Frame,Time,SMPTE,bar_head_x,bar_head_y,bar_head_z
1,0.0,00:58:06:08,1440.0113,651.722,1092.4373
2,0.01,00:58:06:08,1440.0203,651.6773,1092.4453
3,0.02,00:58:06:08,1440.016,651.6393,1092.437
4,0.03,00:58:06:09,1439.507,651.3867,1092.2993
5,0.04,00:58:06:09,1439.523,651.3287,1092.306
6,0.05,00:58:06:09,1439.491,651.319,1092.3087
7,0.06,00:58:06:09,1439.4843,651.2793,1092.2923
8,0.07,00:58:06:10,1439.4937,651.2483,1092.314
9,0.08,00:58:06:10,1439.4767,651.1997,1092.3117
10,0.09,00:58:06:10,1439.4597,651.1457,1092.321
11,0.1,00:58:06:10,1439.436,651.0893,1092.341
12,0.11,00:58:06:11,1439.4173,651.0253,1092.3703
13,0.12,00:58:06:11,1439.3913,650.9547,1092.4007
14,0.13,00:58:06:11,1439.3747,650.878,1092.424
15,0.14,00:58:06:11,1439.354,650.807,1092.4327
16,0.15,00:58:06:12,1439.33,650.7153,1092.446
17,0.16,00:58:06:12,1439.314,650.6283,1092.4577
18,0.17,00:58:06:12,1439.3067,650.535,1092.472
19,0.18,00:58:06:12,1439.299,650.4363,1092.477
20,0.19,00:58:06:13,1439.2977,650.323,1092.486
21,0.2,00:58:06:13,1439.3103,650.221,1092.4957
22,0.21,00:58:06:13,1439.3239999999996,650.115,1092.4927
23,0.22,00:58:06:13,1439.329,650.0063,1092.4907
24,0.23,00:58:06:14,1439.3583,649.903,1092.4827
25,0.24,00:58:06:14,1439.3977,649.7917,1092.4687
26,0.25,00:58:06:14,1439.4437,649.6807,1092.4587
27,0.26,00:58:06:14,1439.4963,649.5677,1092.4433
28,0.27,00:58:06:15,1439.5533,649.4583,1092.4227
29,0.28,00:58:06:15,1439.604,649.3407,1092.3967
30,0.29,00:58:06:15,1439.652,649.2267,1092.356
31,0.3,00:58:06:15,1439.7333,649.118,1092.3463
32,0.31,00:58:06:16,1439.7943,649.0103,1092.3153
33,0.32,00:58:06:16,1439.8657,648.8919999999998,1092.2843
34,0.33,00:58:06:16,1439.9229999999998,648.7677,1092.2497
35,0.34,00:58:06:16,1439.9853,648.6433,1092.22
36,0.35,00:58:06:17,1440.053,648.5093,1092.1989999999996
37,0.36,00:58:06:17,1440.118,648.3747,1092.1837
38,0.37,00:58:06:17,1440.1607,648.2307,1092.156
39,0.38,00:58:06:17,1440.2197,648.0833,1092.1493
40,0.39,00:58:06:18,1440.2437,647.9267,1092.1253
41,0.4,00:58:06:18,1440.2883,647.768,1092.1173
42,0.41,00:58:06:18,1440.3163,647.6027,1092.1003
43,0.42,00:58:06:18,1440.3603,647.4367,1092.1077
44,0.43,00:58:06:19,1440.3767,647.2603,1092.0763
45,0.44,00:58:06:19,1440.3887,647.0743,1092.052
46,0.45,00:58:06:19,1440.4233,646.9037,1092.0253
47,0.46,00:58:06:19,1440.4527,646.7477,1091.9903
48,0.47,00:58:06:20,1440.473,646.5767,1091.962
49,0.48,00:58:06:20,1440.475,646.4197,1091.931
50,0.49,00:58:06:20,1440.4937,646.256,1091.8917
51,0.5,00:58:06:20,1440.496,646.0997,1091.856
52,0.51,00:58:06:21,1440.4967,645.9583,1091.8437
53,0.52,00:58:06:21,1440.497,645.819,1091.818
54,0.53,00:58:06:21,1440.4933,645.6733,1091.8037
55,0.54,00:58:06:21,1440.4937,645.5393,1091.7913
56,0.55,00:58:06:22,1440.4787,645.4143,1091.7910000000004
57,0.56,00:58:06:22,1440.46,645.289,1091.773
58,0.57,00:58:06:22,1440.4457,645.168,1091.772
59,0.58,00:58:06:22,1440.437,645.0543,1091.7713
60,0.59,00:58:06:23,1440.424,644.9407,1091.7687
61,0.6,00:58:06:23,1440.4183,644.8193,1091.7763
62,0.61,00:58:06:23,1440.3977,644.7157,1091.775
63,0.62,00:58:06:23,1440.375,644.6057,1091.7657
64,0.63,00:58:06:24,1440.3503,644.4973,1091.764
65,0.64,00:58:06:24,1440.3273,644.4057,1091.7673
66,0.65,00:58:06:24,1440.307,644.3253,1091.766
67,0.66,00:58:06:24,1440.2857,644.243,1091.7693
68,0.67,00:58:07:00,1440.2703,644.1669999999998,1091.7923
69,0.68,00:58:07:00,1440.2543,644.1133,1091.8033
70,0.69,00:58:07:00,1440.2320000000002,644.0413,1091.8233
71,0.7,00:58:07:00,1440.1947,643.981,1091.8363
72,0.71,00:58:07:01,1440.1807,643.927,1091.864
73,0.72,00:58:07:01,1440.1553,643.8743,1091.883
74,0.73,00:58:07:01,1440.134,643.8323,1091.8993
75,0.74,00:58:07:01,1440.0997,643.784,1091.9097
76,0.75,00:58:07:02,1440.1003,643.752,1091.925
77,0.76,00:58:07:02,1440.0733,643.7197,1091.9297
78,0.77,00:58:07:02,1440.0637,643.6927,1091.9597
79,0.78,00:58:07:02,1440.0413,643.6737,1091.951
80,0.79,00:58:07:03,1440.0237,643.65,1091.9623
81,0.8,00:58:07:03,1440.019,643.6433,1091.9703
82,0.81,00:58:07:03,1439.9913,643.6133,1091.9667
83,0.82,00:58:07:03,1439.9797,643.5980000000002,1091.976
84,0.83,00:58:07:04,1439.9627,643.5713,1091.9717
85,0.84,00:58:07:04,1439.9193,643.538,1091.9773
86,0.85,00:58:07:04,1439.8957,643.494,1091.9827
87,0.86,00:58:07:04,1439.8647,643.4490000000002,1091.9863
88,0.87,00:58:07:05,1439.8239999999996,643.3973,1091.9853
89,0.88,00:58:07:05,1439.799,643.3317,1091.9773
90,0.89,00:58:07:05,1439.774,643.262,1091.9733
91,0.9,00:58:07:05,1439.7527,643.193,1091.9587
92,0.91,00:58:07:06,1439.7477,643.129,1091.9503
93,0.92,00:58:07:06,1439.726,643.053,1091.913
94,0.93,00:58:07:06,1439.7233,642.9907,1091.8857
95,0.94,00:58:07:06,1439.7333,642.9473,1091.8457
96,0.95,00:58:07:07,1439.745,642.8997,1091.8010000000004
97,0.96,00:58:07:07,1439.7583,642.8603,1091.7607
98,0.97,00:58:07:07,1439.783,642.852,1091.7033
99,0.98,00:58:07:07,1439.8143,642.8427,1091.6667
100,0.99,00:58:07:08,1439.8427,642.8580000000002,1091.6177
101,1.0,00:58:07:08,1439.9023,642.881,1091.587
102,1.01,00:58:07:08,1439.9183,642.9197,1091.5397
103,1.02,00:58:07:08,1439.9687,642.9737,1091.5027
104,1.03,00:58:07:09,1439.996,643.0343,1091.4697
105,1.04,00:58:07:09,1440.006,643.1063,1091.423
106,1.05,00:58:07:09,1440.0313,643.2007,1091.397
107,1.06,00:58:07:09,1440.0463,643.3013,1091.359
108,1.07,00:58:07:10,1440.0677,643.4113,1091.3397
109,1.08,00:58:07:10,1440.0717,643.5219999999998,1091.3093
110,1.09,00:58:07:10,1440.054,643.639,1091.2923
111,1.1,00:58:07:10,1440.0433,643.7527,1091.2807
112,1.11,00:58:07:11,1440.01,643.8653,1091.268
113,1.12,00:58:07:11,1439.9783,643.9817,1091.2627
114,1.13,00:58:07:11,1439.9303,644.092,1091.2703
115,1.14,00:58:07:11,1439.8687,644.1957,1091.2737
116,1.15,00:58:07:12,1439.8010000000004,644.286,1091.302
117,1.16,00:58:07:12,1439.7453,644.3713,1091.3263
118,1.17,00:58:07:12,1439.6707,644.448,1091.3527
119,1.18,00:58:07:12,1439.5857,644.5133,1091.371
120,1.19,00:58:07:13,1439.5097,644.568,1091.4033
121,1.2,00:58:07:13,1439.4207,644.6107,1091.4247
122,1.21,00:58:07:13,1439.3437,644.6443,1091.453
123,1.22,00:58:07:13,1439.254,644.6709999999998,1091.4817
124,1.23,00:58:07:14,1439.1467,644.681,1091.521
125,1.24,00:58:07:14,1439.036,644.6703,1091.5547
126,1.25,00:58:07:14,1438.9057,644.6343,1091.5847
127,1.26,00:58:07:14,1438.797,644.5923,1091.6343
128,1.27,00:58:07:15,1438.661,644.5287,1091.6763
129,1.28,00:58:07:15,1438.5197,644.4393,1091.7247
130,1.29,00:58:07:15,1438.3683,644.3207,1091.753
131,1.3,00:58:07:15,1438.1933,644.164,1091.79
132,1.31,00:58:07:16,1437.9897,643.9643,1091.853
133,1.32,00:58:07:16,1437.7327,643.711,1091.8853
134,1.33,00:58:07:16,1437.4513,643.384,1091.937
135,1.34,00:58:07:16,1437.1243,642.9893,1091.9777
136,1.35,00:58:07:17,1436.7847,642.4917,1092.0323
137,1.36,00:58:07:17,1436.3567,641.894,1091.9993
