Frame,Time,SMPTE,bar_right_hip_x,bar_right_hip_y,bar_right_hip_z
1,0.0,00:58:06:08,1974.72,1011.916,1002.423
2,0.01,00:58:06:08,1974.761,1012.0025,1002.4295
3,0.02,00:58:06:08,1974.8155,1012.07,1002.41
4,0.03,00:58:06:09,1974.8645,1012.137,1002.4065
5,0.04,00:58:06:09,1974.9070000000002,1012.185,1002.425
6,0.05,00:58:06:09,1974.9979999999998,1012.2585,1002.3395
7,0.06,00:58:06:09,1975.0495,1012.3330000000001,1002.3075
8,0.07,00:58:06:10,1975.0910000000001,1012.3969999999999,1002.27
9,0.08,00:58:06:10,1975.135,1012.4955,1002.2395
10,0.09,00:58:06:10,1975.1629999999998,1012.579,1002.2260000000001
11,0.1,00:58:06:10,1975.193,1012.6419999999999,1002.209
12,0.11,00:58:06:11,1975.213,1012.732,1002.158
13,0.12,00:58:06:11,1975.2395,1012.814,1002.1619999999999
14,0.13,00:58:06:11,1975.2415,1012.9255,1002.1365
15,0.14,00:58:06:11,1975.2555,1013.013,1002.1285
16,0.15,00:58:06:12,1975.254,1013.1239999999999,1002.1139999999999
17,0.16,00:58:06:12,1975.273,1013.235,1002.0905
18,0.17,00:58:06:12,1975.2555,1013.3545,1002.08
19,0.18,00:58:06:12,1975.24,1013.472,1002.069
20,0.19,00:58:06:13,1975.2225,1013.5915,1002.071
21,0.2,00:58:06:13,1975.2125,1013.705,1002.05
22,0.21,00:58:06:13,1975.1895,1013.8265,1002.029
23,0.22,00:58:06:13,1975.168,1013.9415,1002.0335
24,0.23,00:58:06:14,1975.1625,1014.06,1002.0305
25,0.24,00:58:06:14,1975.1455,1014.168,1002.0205
26,0.25,00:58:06:14,1975.131,1014.2655,1002.0205
27,0.26,00:58:06:14,1975.112,1014.352,1002.0095
28,0.27,00:58:06:15,1975.0755,1014.4265,1001.9960000000001
29,0.28,00:58:06:15,1975.0645,1014.4639999999999,1001.9775
30,0.29,00:58:06:15,1975.0375,1014.4910000000001,1001.928
31,0.3,00:58:06:15,1975.036,1014.4925,1001.9005
32,0.31,00:58:06:16,1975.0105,1014.4760000000001,1001.8705
33,0.32,00:58:06:16,1975.0135,1014.4445,1001.8265
34,0.33,00:58:06:16,1975.0205,1014.368,1001.798
35,0.34,00:58:06:16,1975.0395,1014.2995,1001.758
36,0.35,00:58:06:17,1975.0629999999999,1014.198,1001.72
37,0.36,00:58:06:17,1975.079,1014.068,1001.6715
38,0.37,00:58:06:17,1975.134,1013.929,1001.6245
39,0.38,00:58:06:17,1975.1595,1013.7865,1001.5989999999999
40,0.39,00:58:06:18,1975.1970000000001,1013.6085,1001.575
41,0.4,00:58:06:18,1975.224,1013.446,1001.5375
42,0.41,00:58:06:18,1975.266,1013.313,1001.5085
43,0.42,00:58:06:18,1975.3005,1013.1625,1001.4745
44,0.43,00:58:06:19,1975.3410000000001,1013.0455,1001.462
