Frame,Time,SMPTE,bar_hip_centre_x,bar_hip_centre_y,bar_hip_centre_z
1,0.0,00:58:06:08,2120.0278,1016.762,1003.9805
2,0.01,00:58:06:08,2120.0705,1016.8595,1003.9835
3,0.02,00:58:06:08,2120.121,1016.9555,1003.9552
4,0.03,00:58:06:09,2120.1922,1017.0245,1003.9702
5,0.04,00:58:06:09,2120.2645,1017.0862,1003.9352
6,0.05,00:58:06:09,2120.3295,1017.1242,1003.9062
7,0.06,00:58:06:09,2120.3785,1017.2218,1003.8842
8,0.07,00:58:06:10,2120.4218,1017.301,1003.8608
9,0.08,00:58:06:10,2120.464,1017.4068,1003.8422
10,0.09,00:58:06:10,2120.493,1017.5055,1003.8278
11,0.1,00:58:06:10,2120.5428,1017.5922,1003.8195
12,0.11,00:58:06:11,2120.5758,1017.675,1003.7860000000001
13,0.12,00:58:06:11,2120.6172,1017.7312,1003.7882
14,0.13,00:58:06:11,2120.638,1017.8002,1003.7785
15,0.14,00:58:06:11,2120.6468,1017.8552,1003.7505
16,0.15,00:58:06:12,2120.645,1017.9088,1003.7348
17,0.16,00:58:06:12,2120.655,1017.953,1003.707
18,0.17,00:58:06:12,2120.6418,1017.993,1003.6975
19,0.18,00:58:06:12,2120.639,1018.0475,1003.681
20,0.19,00:58:06:13,2120.6335,1018.0908,1003.66
21,0.2,00:58:06:13,2120.6255,1018.1188,1003.6198
22,0.21,00:58:06:13,2120.6115,1018.1532,1003.5998
23,0.22,00:58:06:13,2120.5955,1018.1818,1003.5682
24,0.23,00:58:06:14,2120.5818,1018.2212,1003.535
25,0.24,00:58:06:14,2120.5788,1018.2362,1003.5055
26,0.25,00:58:06:14,2120.5658,1018.2389999999999,1003.4852
27,0.26,00:58:06:14,2120.5508,1018.2502,1003.4562
28,0.27,00:58:06:15,2120.5305,1018.2408,1003.4258
29,0.28,00:58:06:15,2120.541,1018.2102,1003.4132
30,0.29,00:58:06:15,2120.5165,1018.2015,1003.363
31,0.3,00:58:06:15,2120.5132,1018.1638,1003.3439999999999
32,0.31,00:58:06:16,2120.4928,1018.122,1003.3078
33,0.32,00:58:06:16,2120.4825,1018.0882,1003.2878
34,0.33,00:58:06:16,2120.4952,1018.0308,1003.255
35,0.34,00:58:06:16,2120.5162,1017.9998,1003.2265
36,0.35,00:58:06:17,2120.5478,1017.9478,1003.203
37,0.36,00:58:06:17,2120.593,1017.8995,1003.1988
