Frame,Time,SMPTE,bar_left_hip_x,bar_left_hip_y,bar_left_hip_z
1,0.0,00:58:06:08,2265.3355,1021.6080000000001,1005.538
2,0.01,00:58:06:08,2265.38,1021.7165,1005.5375
3,0.02,00:58:06:08,2265.4265,1021.841,1005.5005
4,0.03,00:58:06:09,2265.52,1021.9119999999999,1005.534
5,0.04,00:58:06:09,2265.6220000000003,1021.9875,1005.4455
6,0.05,00:58:06:09,2265.661,1021.99,1005.4730000000001
7,0.06,00:58:06:09,2265.7075,1022.1105,1005.461
8,0.07,00:58:06:10,2265.7525,1022.205,1005.4515
9,0.08,00:58:06:10,2265.7929999999997,1022.318,1005.445
10,0.09,00:58:06:10,2265.823,1022.432,1005.4295
11,0.1,00:58:06:10,2265.8925,1022.5425,1005.43
12,0.11,00:58:06:11,2265.9385,1022.618,1005.414
13,0.12,00:58:06:11,2265.995,1022.6485,1005.4145
14,0.13,00:58:06:11,2266.0345,1022.675,1005.4205
15,0.14,00:58:06:11,2266.038,1022.6975,1005.3725
16,0.15,00:58:06:12,2266.036,1022.6935,1005.3555
17,0.16,00:58:06:12,2266.0370000000003,1022.671,1005.3235
18,0.17,00:58:06:12,2266.028,1022.6315,1005.315
19,0.18,00:58:06:12,2266.038,1022.623,1005.293
20,0.19,00:58:06:13,2266.0445,1022.59,1005.2489999999999
21,0.2,00:58:06:13,2266.0385,1022.5325,1005.1895
22,0.21,00:58:06:13,2266.0335,1022.48,1005.1705
23,0.22,00:58:06:13,2266.0229999999997,1022.422,1005.1030000000001
24,0.23,00:58:06:14,2266.001,1022.3825,1005.0395
25,0.24,00:58:06:14,2266.012,1022.3045,1004.9905
26,0.25,00:58:06:14,2266.0005,1022.2125,1004.95
27,0.26,00:58:06:14,2265.9895,1022.1485,1004.903
28,0.27,00:58:06:15,2265.9855,1022.055,1004.8555
29,0.28,00:58:06:15,2266.0175,1021.9565,1004.8489999999999
30,0.29,00:58:06:15,2265.9955,1021.9119999999999,1004.798
31,0.3,00:58:06:15,2265.9905,1021.835,1004.7875
32,0.31,00:58:06:16,2265.975,1021.768,1004.745
33,0.32,00:58:06:16,2265.9515,1021.732,1004.7489999999999
34,0.33,00:58:06:16,2265.97,1021.6935,1004.712
35,0.34,00:58:06:16,2265.993,1021.7,1004.695
36,0.35,00:58:06:17,2266.0325,1021.6975,1004.686
37,0.36,00:58:06:17,2266.107,1021.7310000000001,1004.7260000000001
38,0.37,00:58:06:17,2266.127,1021.7555,1004.7035
39,0.38,00:58:06:17,2266.1620000000003,1021.7905,1004.6895
40,0.39,00:58:06:18,2266.2125,1021.8105,1004.6905
41,0.4,00:58:06:18,2266.275,1021.815,1004.6785
42,0.41,00:58:06:18,2266.3305,1021.8455,1004.684
43,0.42,00:58:06:18,2266.3955,1021.855,1004.6885
44,0.43,00:58:06:19,2266.446,1021.852,1004.7105
45,0.44,00:58:06:19,2266.4770000000003,1021.842,1004.6915
46,0.45,00:58:06:19,2266.511,1021.822,1004.698
