Frame,Time,SMPTE,bar_left_wrist_x,bar_left_wrist_y,bar_left_wrist_z
1,0.0,00:59:54:15,2830.4295,1135.087,1357.0745
2,0.01,00:59:54:15,2830.3775,1135.0285,1356.8010000000002
3,0.02,00:59:54:16,2830.3540000000003,1135.005,1356.5495
4,0.03,00:59:54:16,2830.3455,1134.971,1356.3155
5,0.04,00:59:54:16,2829.994,1135.1075,1356.1760000000002
6,0.05,00:59:54:16,2829.9065,1135.1135,1355.8370000000002
7,0.06,00:59:54:17,2829.8535,1135.0755,1355.5339999999999
8,0.07,00:59:54:17,2829.8179999999998,1135.0905,1355.221
9,0.08,00:59:54:17,2829.8075,1135.101,1354.89
10,0.09,00:59:54:17,2829.8,1135.097,1354.624
11,0.1,00:59:54:18,2829.796,1135.0645,1354.3670000000002
12,0.11,00:59:54:18,2829.7859999999996,1135.0535,1354.115
13,0.12,00:59:54:18,2829.792,1135.0955,1353.8855
14,0.13,00:59:54:18,2829.684,1135.0795,1353.5255
15,0.14,00:59:54:19,2829.728,1135.3015,1353.2785
16,0.15,00:59:54:19,2829.5405,1135.35,1352.7879999999998
17,0.16,00:59:54:19,2829.528,1135.4825,1352.463
18,0.17,00:59:54:19,2829.4709999999995,1135.628,1352.07
19,0.18,00:59:54:20,2829.4440000000004,1135.7545,1351.6195
20,0.19,00:59:54:20,2829.414,1135.854,1351.144
21,0.2,00:59:54:20,2829.3735,1135.997,1350.6695
22,0.21,00:59:54:20,2829.3740000000003,1136.1245,1350.2520000000002
23,0.22,00:59:54:21,2829.3595,1136.2465,1349.89
24,0.23,00:59:54:21,2829.343,1136.4045,1349.519
25,0.24,00:59:54:21,2829.3515,1136.5339999999999,1349.2379999999998
26,0.25,00:59:54:21,2829.316,1136.6695,1348.942
27,0.26,00:59:54:22,2828.9695,1136.797,1348.9470000000001
28,0.27,00:59:54:22,2828.9629999999997,1136.9215,1348.743
29,0.28,00:59:54:22,2828.952,1137.0545,1348.5510000000002
30,0.29,00:59:54:22,2828.9675,1137.1789999999999,1348.3475
31,0.3,00:59:54:23,2828.991,1137.326,1348.1675
32,0.31,00:59:54:23,2829.0185,1137.464,1348.0465
33,0.32,00:59:54:23,2829.079,1137.5905,1347.9685
34,0.33,00:59:54:23,2829.1365,1137.743,1347.9720000000002
35,0.34,00:59:54:24,2829.1925,1137.8905,1348.0325
36,0.35,00:59:54:24,2829.2805,1138.04,1348.1865
37,0.36,00:59:54:24,2829.3705,1138.2155,1348.369
38,0.37,00:59:54:24,2829.44,1138.3885,1348.5520000000001
39,0.38,00:59:55:00,2829.5085,1138.5510000000002,1348.7835
40,0.39,00:59:55:00,2829.558,1138.7169999999999,1348.9345
41,0.4,00:59:55:00,2829.6495,1138.8655,1349.191
42,0.41,00:59:55:00,2829.725,1139.0405,1349.3829999999998
43,0.42,00:59:55:01,2829.7740000000003,1139.2485,1349.5645
44,0.43,00:59:55:01,2829.8070000000002,1139.425,1349.6825
45,0.44,00:59:55:01,2829.842,1139.6375,1349.793
46,0.45,00:59:55:01,2829.8735,1139.8415,1349.908
47,0.46,00:59:55:02,2830.2565,1140.0295,1349.7545
48,0.47,00:59:55:02,2830.2835,1140.236,1349.8415
49,0.48,00:59:55:02,2830.3035,1140.422,1349.921
50,0.49,00:59:55:02,2830.3335,1140.6025,1349.957
51,0.5,00:59:55:03,2830.3559999999998,1140.769,1349.973
52,0.51,00:59:55:03,2830.05,1140.945,1350.229
53,0.52,00:59:55:03,2830.075,1141.124,1350.1689999999999
54,0.53,00:59:55:03,2830.093,1141.2855,1350.0875
55,0.54,00:59:55:04,2830.145,1141.4560000000001,1349.993
56,0.55,00:59:55:04,2830.17,1141.6495,1349.825
57,0.56,00:59:55:04,2830.2209999999995,1141.857,1349.7105
58,0.57,00:59:55:04,2830.2495,1142.0535,1349.5245
59,0.58,00:59:55:05,2830.258,1142.252,1349.269
60,0.59,00:59:55:05,2830.2765,1142.4080000000001,1349.0810000000001
