Frame,Time,SMPTE,bar_right_ankle_x,bar_right_ankle_y,bar_right_ankle_z
1,0.0,00:59:54:15,1899.596,1188.9489999999998,64.40100000000001
2,0.01,00:59:54:15,1899.614,1188.96,64.392
3,0.02,00:59:54:16,1899.599,1188.9569999999999,64.392
4,0.03,00:59:54:16,1899.3310000000001,1189.155,64.602
5,0.04,00:59:54:16,1899.139,1188.89,64.703
6,0.05,00:59:54:16,1899.422,1188.74,64.508
7,0.06,00:59:54:17,1899.4370000000001,1188.721,64.506
8,0.07,00:59:54:17,1899.4479999999999,1188.7,64.50399999999999
9,0.08,00:59:54:17,1899.4589999999998,1188.701,64.494
10,0.09,00:59:54:17,1899.4720000000002,1188.693,64.487
11,0.1,00:59:54:18,1899.491,1188.7060000000001,64.469
12,0.11,00:59:54:18,1899.4589999999998,1188.705,64.486
13,0.12,00:59:54:18,1899.4579999999999,1188.71,64.48100000000001
14,0.13,00:59:54:18,1899.4379999999999,1188.6860000000001,64.494
15,0.14,00:59:54:19,1899.4270000000001,1188.693,64.505
16,0.15,00:59:54:19,1899.4279999999999,1188.694,64.49600000000001
17,0.16,00:59:54:19,1899.4129999999998,1188.691,64.482
18,0.17,00:59:54:19,1899.4360000000001,1188.693,64.468
19,0.18,00:59:54:20,1899.4279999999999,1188.674,64.48899999999999
20,0.19,00:59:54:20,1899.4389999999999,1188.681,64.464
21,0.2,00:59:54:20,1899.435,1188.6689999999999,64.508
22,0.21,00:59:54:20,1899.444,1188.685,64.502
23,0.22,00:59:54:21,1899.422,1188.671,64.524
24,0.23,00:59:54:21,1899.43,1188.677,64.499
25,0.24,00:59:54:21,1899.445,1188.67,64.497
26,0.25,00:59:54:21,1899.454,1188.6660000000002,64.516
27,0.26,00:59:54:22,1899.4579999999999,1188.654,64.487
28,0.27,00:59:54:22,1899.434,1188.672,64.509
29,0.28,00:59:54:22,1899.441,1188.681,64.51
30,0.29,00:59:54:22,1899.455,1188.67,64.514
31,0.3,00:59:54:23,1899.464,1188.675,64.492
32,0.31,00:59:54:23,1899.457,1188.667,64.501
33,0.32,00:59:54:23,1899.4360000000001,1188.6760000000002,64.51100000000001
34,0.33,00:59:54:23,1899.4579999999999,1188.649,64.497
35,0.34,00:59:54:24,1899.433,1188.6680000000001,64.48899999999999
36,0.35,00:59:54:24,1899.455,1188.6760000000002,64.53
37,0.36,00:59:54:24,1899.453,1188.664,64.524
38,0.37,00:59:54:24,1899.4620000000002,1188.655,64.515
39,0.38,00:59:55:00,1899.471,1188.6580000000001,64.54
40,0.39,00:59:55:00,1899.471,1188.647,64.515
41,0.4,00:59:55:00,1899.475,1188.657,64.524
42,0.41,00:59:55:00,1899.471,1188.652,64.515
43,0.42,00:59:55:01,1899.465,1188.637,64.503
44,0.43,00:59:55:01,1899.467,1188.646,64.516
