Frame,Time,SMPTE,bar_right_shoulder_x,bar_right_shoulder_y,bar_right_shoulder_z
1,0.0,00:59:54:15,2001.297,1095.411,1475.122
2,0.01,00:59:54:15,2001.326,1095.423,1475.125
3,0.02,00:59:54:16,2001.364,1095.464,1475.138
4,0.03,00:59:54:16,2001.394,1095.458,1475.152
5,0.04,00:59:54:16,2001.401,1095.502,1475.237
6,0.05,00:59:54:16,2001.52,1095.517,1475.174
7,0.06,00:59:54:17,2001.559,1095.535,1475.1779999999999
8,0.07,00:59:54:17,2001.611,1095.548,1475.2079999999999
9,0.08,00:59:54:17,2001.648,1095.558,1475.229
10,0.09,00:59:54:17,2001.682,1095.588,1475.217
11,0.1,00:59:54:18,2001.7120000000002,1095.601,1475.244
12,0.11,00:59:54:18,2001.765,1095.638,1475.24
13,0.12,00:59:54:18,2001.777,1095.695,1475.275
14,0.13,00:59:54:18,2001.808,1095.746,1475.257
15,0.14,00:59:54:19,2001.8239999999998,1095.78,1475.245
16,0.15,00:59:54:19,2001.854,1095.83,1475.226
17,0.16,00:59:54:19,2001.8770000000002,1095.891,1475.224
18,0.17,00:59:54:19,2001.905,1095.931,1475.2020000000002
19,0.18,00:59:54:20,2001.944,1096.009,1475.1889999999999
20,0.19,00:59:54:20,2001.965,1096.015,1475.1870000000001
21,0.2,00:59:54:20,2001.995,1096.0610000000001,1475.192
22,0.21,00:59:54:20,2002.004,1096.1019999999999,1475.1789999999999
23,0.22,00:59:54:21,2002.007,1096.127,1475.162
24,0.23,00:59:54:21,2002.01,1096.18,1475.1779999999999
25,0.24,00:59:54:21,2002.017,1096.238,1475.181
26,0.25,00:59:54:21,2002.007,1096.307,1475.148
27,0.26,00:59:54:22,2002.025,1096.336,1475.136
28,0.27,00:59:54:22,2002.031,1096.34,1475.111
29,0.28,00:59:54:22,2002.0770000000002,1096.386,1475.067
30,0.29,00:59:54:22,2002.101,1096.392,1475.03
31,0.3,00:59:54:23,2002.154,1096.4089999999999,1475.05
32,0.31,00:59:54:23,2002.234,1096.421,1475.0510000000002
33,0.32,00:59:54:23,2002.29,1096.441,1475.059
34,0.33,00:59:54:23,2002.374,1096.462,1475.0839999999998
35,0.34,00:59:54:24,2002.4489999999998,1096.487,1475.122
36,0.35,00:59:54:24,2002.54,1096.537,1475.193
37,0.36,00:59:54:24,2002.606,1096.569,1475.203
38,0.37,00:59:54:24,2002.684,1096.607,1475.2479999999998
39,0.38,00:59:55:00,2002.8110000000001,1096.637,1475.2779999999998
40,0.39,00:59:55:00,2002.868,1096.7160000000001,1475.315
41,0.4,00:59:55:00,2002.914,1096.756,1475.339
42,0.41,00:59:55:00,2002.98,1096.796,1475.358
43,0.42,00:59:55:01,2003.045,1096.85,1475.354
44,0.43,00:59:55:01,2003.094,1096.858,1475.365
45,0.44,00:59:55:01,2003.115,1096.906,1475.3429999999998
46,0.45,00:59:55:01,2003.162,1096.937,1475.3220000000001
47,0.46,00:59:55:02,2003.1889999999999,1096.932,1475.2910000000002
48,0.47,00:59:55:02,2003.229,1096.958,1475.279
49,0.48,00:59:55:02,2003.2910000000002,1096.981,1475.2620000000002
50,0.49,00:59:55:02,2003.319,1097.005,1475.279
51,0.5,00:59:55:03,2003.355,1097.018,1475.2820000000002
52,0.51,00:59:55:03,2003.4,1097.036,1475.295
53,0.52,00:59:55:03,2003.454,1097.0919999999999,1475.346
54,0.53,00:59:55:03,2003.481,1097.12,1475.362
55,0.54,00:59:55:04,2003.521,1097.181,1475.389
56,0.55,00:59:55:04,2003.5629999999999,1097.22,1475.442
57,0.56,00:59:55:04,2003.586,1097.279,1475.514
58,0.57,00:59:55:04,2003.652,1097.3,1475.569
59,0.58,00:59:55:05,2003.664,1097.347,1475.622
60,0.59,00:59:55:05,2003.705,1097.394,1475.684
61,0.6,00:59:55:05,2003.757,1097.411,1475.74
62,0.61,00:59:55:05,2003.783,1097.411,1475.79
63,0.62,00:59:55:06,2003.8139999999999,1097.403,1475.826
