Frame,Time,SMPTE,bar_right_wrist_x,bar_right_wrist_y,bar_right_wrist_z
1,0.0,00:59:54:15,1458.5910000000001,1124.45,1373.6335
2,0.01,00:59:54:15,1458.6245,1124.6025,1373.4479999999999
3,0.02,00:59:54:16,1458.6879999999999,1124.751,1373.2615
4,0.03,00:59:54:16,1458.745,1124.9025,1373.0725
5,0.04,00:59:54:16,1458.7555,1124.9245,1372.6589999999999
6,0.05,00:59:54:16,1458.8575,1125.0695,1372.5195
7,0.06,00:59:54:17,1458.9145,1125.243,1372.316
8,0.07,00:59:54:17,1459.0025,1125.4089999999999,1372.04
9,0.08,00:59:54:17,1459.102,1125.633,1371.77
10,0.09,00:59:54:17,1459.5935,1126.1925,1371.9485
11,0.1,00:59:54:18,1459.724,1126.515,1371.6975
12,0.11,00:59:54:18,1459.8355,1126.8039999999999,1371.4295
13,0.12,00:59:54:18,1459.9189999999999,1127.0905,1371.138
14,0.13,00:59:54:18,1459.983,1127.3115,1370.95
15,0.14,00:59:54:19,1460.0395,1127.4385,1370.6705
16,0.15,00:59:54:19,1460.0435,1127.3585,1370.4535
17,0.16,00:59:54:19,1460.0005,1127.373,1370.241
18,0.17,00:59:54:19,1459.9655,1127.4925,1370.0045
19,0.18,00:59:54:20,1459.941,1127.4265,1369.5925
20,0.19,00:59:54:20,1459.996,1127.647,1369.2295
21,0.2,00:59:54:20,1460.082,1127.8075,1368.9275
22,0.21,00:59:54:20,1460.134,1127.8895,1368.681
23,0.22,00:59:54:21,1460.1655,1127.943,1368.5085
24,0.23,00:59:54:21,1460.251,1128.04,1368.328
25,0.24,00:59:54:21,1460.354,1128.113,1368.174
26,0.25,00:59:54:21,1460.44,1128.1865,1368.096
27,0.26,00:59:54:22,1460.516,1128.2325,1368.0885
28,0.27,00:59:54:22,1460.5825,1128.287,1368.1660000000002
29,0.28,00:59:54:22,1460.6545,1128.3175,1368.274
30,0.29,00:59:54:22,1460.6870000000001,1128.3545,1368.4085
31,0.3,00:59:54:23,1460.6835,1128.325,1368.45
32,0.31,00:59:54:23,1460.6815,1128.2715,1368.474
33,0.32,00:59:54:23,1460.6605,1128.201,1368.479
34,0.33,00:59:54:23,1460.635,1128.1235,1368.4745
35,0.34,00:59:54:24,1460.619,1128.0235,1368.4765
36,0.35,00:59:54:24,1460.598,1127.9175,1368.4765
37,0.36,00:59:54:24,1460.6029999999998,1127.8055,1368.49
38,0.37,00:59:54:24,1460.598,1127.6945,1368.523
39,0.38,00:59:55:00,1460.6329999999998,1127.5935,1368.582
40,0.39,00:59:55:00,1460.6795,1127.508,1368.654
41,0.4,00:59:55:00,1460.7220000000002,1127.447,1368.7585
42,0.41,00:59:55:00,1460.7785,1127.377,1368.89
43,0.42,00:59:55:01,1460.8270000000002,1127.308,1369.0175
44,0.43,00:59:55:01,1460.866,1127.242,1369.146
45,0.44,00:59:55:01,1460.8865,1127.139,1369.261
46,0.45,00:59:55:01,1460.8929999999998,1127.0539999999999,1369.3805
47,0.46,00:59:55:02,1460.9035,1126.9495,1369.4705
48,0.47,00:59:55:02,1460.918,1126.836,1369.5305
49,0.48,00:59:55:02,1460.9229999999998,1126.7515,1369.599
50,0.49,00:59:55:02,1460.921,1126.6465,1369.6405
51,0.5,00:59:55:03,1460.941,1126.536,1369.7060000000001
52,0.51,00:59:55:03,1460.965,1126.4455,1369.7585
53,0.52,00:59:55:03,1460.9679999999998,1126.351,1369.83
54,0.53,00:59:55:03,1460.9645,1126.248,1369.9089999999999
55,0.54,00:59:55:04,1460.975,1126.1705,1369.995
56,0.55,00:59:55:04,1460.9665,1126.1005,1370.1270000000002
57,0.56,00:59:55:04,1460.9445,1126.059,1370.241
58,0.57,00:59:55:04,1460.9675,1126.175,1370.5505
59,0.58,00:59:55:05,1460.9460000000001,1126.113,1370.6185
60,0.59,00:59:55:05,1460.9425,1126.037,1370.6745
61,0.6,00:59:55:05,1460.9325,1125.9665,1370.713
62,0.61,00:59:55:05,1460.9105,1125.879,1370.7465
63,0.62,00:59:55:06,1460.908,1125.806,1370.797
64,0.63,00:59:55:06,1460.9025,1125.721,1370.8470000000002
65,0.64,00:59:55:06,1460.9089999999999,1125.6215,1370.8995
66,0.65,00:59:55:06,1460.9255,1125.52,1370.9695
67,0.66,00:59:55:07,1460.9445,1125.4160000000002,1371.043
68,0.67,00:59:55:07,1460.967,1125.296,1371.1065
69,0.68,00:59:55:07,1460.9805,1125.1585,1371.204
70,0.69,00:59:55:07,1460.9975,1125.0305,1371.2875
71,0.7,00:59:55:08,1461.006,1124.8535,1371.3629999999998
72,0.71,00:59:55:08,1461.0135,1124.6845,1371.4955
73,0.72,00:59:55:08,1461.035,1124.506,1371.6095
74,0.73,00:59:55:08,1461.059,1124.328,1371.7175
75,0.74,00:59:55:09,1461.0629999999999,1124.14,1371.839
76,0.75,00:59:55:09,1461.082,1123.9475,1371.961
77,0.76,00:59:55:09,1461.0925,1123.7435,1372.099
78,0.77,00:59:55:09,1461.1035,1123.545,1372.2255
79,0.78,00:59:55:10,1461.1295,1123.344,1372.3405
80,0.79,00:59:55:10,1461.1625,1123.133,1372.453
81,0.8,00:59:55:10,1461.1905,1122.923,1372.525
82,0.81,00:59:55:10,1461.205,1122.7195,1372.621
83,0.82,00:59:55:11,1461.2165,1122.548,1372.7245
84,0.83,00:59:55:11,1461.23,1122.3585,1372.796
85,0.84,00:59:55:11,1461.2655,1122.1845,1372.871
86,0.85,00:59:55:11,1461.28,1122.024,1372.971
87,0.86,00:59:55:12,1461.3165,1121.843,1373.049
88,0.87,00:59:55:12,1461.3265,1121.6635,1373.1205
89,0.88,00:59:55:12,1461.3475,1121.489,1373.158
90,0.89,00:59:55:12,1461.3355,1121.2885,1373.1625
91,0.9,00:59:55:13,1461.3339999999998,1121.1245,1373.2145
92,0.91,00:59:55:13,1461.3585,1120.953,1373.2735
93,0.92,00:59:55:13,1461.369,1120.7839999999999,1373.3139999999999
94,0.93,00:59:55:13,1461.3765,1120.601,1373.3555
95,0.94,00:59:55:14,1461.3965,1120.394,1373.354
96,0.95,00:59:55:14,1461.41,1120.191,1373.3010000000002
97,0.96,00:59:55:14,1461.411,1119.976,1373.279
98,0.97,00:59:55:14,1461.434,1119.7665,1373.2275
99,0.98,00:59:55:15,1461.4265,1119.5605,1373.161
100,0.99,00:59:55:15,1461.4470000000001,1119.3705,1373.1070000000002
101,1.0,00:59:55:15,1461.4625,1119.2005,1373.0315
102,1.01,00:59:55:15,1461.4865,1119.0435,1372.961
103,1.02,00:59:55:16,1461.487,1118.8980000000001,1372.8925
104,1.03,00:59:55:16,1461.4825,1118.763,1372.8095
105,1.04,00:59:55:16,1461.4855,1118.6705,1372.7620000000002
106,1.05,00:59:55:16,1461.451,1118.5819999999999,1372.749
107,1.06,00:59:55:17,1461.4255,1118.5355,1372.753
108,1.07,00:59:55:17,1461.395,1118.51,1372.751
109,1.08,00:59:55:17,1461.355,1118.4805,1372.729
110,1.09,00:59:55:17,1461.3155,1118.4975,1372.7185
111,1.1,00:59:55:18,1461.308,1118.5215,1372.703
112,1.11,00:59:55:18,1461.2865,1118.566,1372.6945
113,1.12,00:59:55:18,1461.297,1118.646,1372.71
114,1.13,00:59:55:18,1461.299,1118.726,1372.7205
115,1.14,00:59:55:19,1461.329,1118.843,1372.756
116,1.15,00:59:55:19,1461.342,1118.9595,1372.7979999999998
