Frame,Time,SMPTE,bar_left_ankle_x,bar_left_ankle_y,bar_left_ankle_z
1,0.0,00:59:54:15,2330.28,1212.3319999999999,81.64399999999999
2,0.01,00:59:54:15,2330.272,1212.347,81.648
3,0.02,00:59:54:16,2330.26,1212.3410000000001,81.619
4,0.03,00:59:54:16,2330.25,1212.351,81.633
5,0.04,00:59:54:16,2330.2960000000003,1212.329,81.697
6,0.05,00:59:54:16,2330.331,1212.3339999999998,81.69800000000001
7,0.06,00:59:54:17,2330.3289999999997,1212.323,81.691
8,0.07,00:59:54:17,2330.339,1212.3139999999999,81.696
9,0.08,00:59:54:17,2330.347,1212.351,81.694
10,0.09,00:59:54:17,2330.335,1212.354,81.67399999999999
11,0.1,00:59:54:18,2330.3360000000002,1212.328,81.693
12,0.11,00:59:54:18,2330.311,1212.3419999999999,81.655
13,0.12,00:59:54:18,2330.313,1212.337,81.66199999999999
14,0.13,00:59:54:18,2330.305,1212.348,81.656
15,0.14,00:59:54:19,2330.2929999999997,1212.319,81.643
16,0.15,00:59:54:19,2330.295,1212.328,81.64699999999999
17,0.16,00:59:54:19,2330.275,1212.326,81.627
18,0.17,00:59:54:19,2330.301,1212.3210000000001,81.682
19,0.18,00:59:54:20,2330.2960000000003,1212.325,81.634
20,0.19,00:59:54:20,2330.276,1212.3410000000001,81.635
21,0.2,00:59:54:20,2330.295,1212.318,81.634
22,0.21,00:59:54:20,2330.321,1212.2939999999999,81.658
23,0.22,00:59:54:21,2330.301,1212.3039999999999,81.646
24,0.23,00:59:54:21,2330.305,1212.305,81.641
25,0.24,00:59:54:21,2330.278,1212.313,81.615
26,0.25,00:59:54:21,2330.294,1212.312,81.648
27,0.26,00:59:54:22,2330.2889999999998,1212.306,81.637
28,0.27,00:59:54:22,2330.291,1212.318,81.625
29,0.28,00:59:54:22,2330.28,1212.32,81.627
30,0.29,00:59:54:22,2330.304,1212.286,81.653
31,0.3,00:59:54:23,2330.2889999999998,1212.316,81.632
32,0.31,00:59:54:23,2330.261,1212.3139999999999,81.616
33,0.32,00:59:54:23,2330.269,1212.317,81.612
34,0.33,00:59:54:23,2330.271,1212.325,81.638
35,0.34,00:59:54:24,2330.265,1212.3010000000002,81.608
36,0.35,00:59:54:24,2330.27,1212.278,81.641
