Frame,Time,SMPTE,bar_left_foot_x,bar_left_foot_y,bar_left_foot_z
1,0.0,00:59:54:15,2310.22,1120.1633,37.7533
2,0.01,00:59:54:15,2310.2317,1120.167,37.772
3,0.02,00:59:54:16,2310.2097,1120.1647,37.7593
4,0.03,00:59:54:16,2310.218,1120.156,37.77
5,0.04,00:59:54:16,2310.2927,1119.9489999999998,37.781
6,0.05,00:59:54:16,2310.2973,1119.9237,37.7683
7,0.06,00:59:54:17,2310.299,1119.906,37.7867
8,0.07,00:59:54:17,2310.3017,1119.8957,37.79
9,0.08,00:59:54:17,2310.3097,1119.8917,37.7753
10,0.09,00:59:54:17,2310.3013,1119.8983,37.793
11,0.1,00:59:54:18,2310.3057,1119.907,37.7783
12,0.11,00:59:54:18,2310.3003,1119.9163,37.7743
13,0.12,00:59:54:18,2310.2929999999997,1119.9097,37.7737
14,0.13,00:59:54:18,2310.2913,1119.9183,37.7777
15,0.14,00:59:54:19,2310.2833,1119.9067,37.784
16,0.15,00:59:54:19,2310.2977,1119.9043,37.788000000000004
17,0.16,00:59:54:19,2310.2917,1119.9,37.7893
18,0.17,00:59:54:19,2310.2877,1119.9167,37.7727
19,0.18,00:59:54:20,2310.2907,1119.9083,37.7773
20,0.19,00:59:54:20,2310.2929999999997,1119.9117,37.7573
21,0.2,00:59:54:20,2310.2873,1119.9043,37.779
22,0.21,00:59:54:20,2310.295,1119.8980000000001,37.7823
23,0.22,00:59:54:21,2310.2913,1119.9113,37.7567
24,0.23,00:59:54:21,2310.2877,1119.904,37.7597
25,0.24,00:59:54:21,2310.2843,1119.8993,37.760999999999996
26,0.25,00:59:54:21,2310.2867,1119.9,37.7597
27,0.26,00:59:54:22,2310.2713,1119.901,37.7503
28,0.27,00:59:54:22,2310.285,1119.8977,37.763000000000005
29,0.28,00:59:54:22,2310.2843,1119.9017,37.772
30,0.29,00:59:54:22,2310.272,1119.904,37.7537
31,0.3,00:59:54:23,2310.2807,1119.9073,37.759
32,0.31,00:59:54:23,2310.2703,1119.9,37.7727
33,0.32,00:59:54:23,2310.269,1119.8923,37.7747
34,0.33,00:59:54:23,2310.2657,1119.9013,37.7547
35,0.34,00:59:54:24,2310.262,1119.911,37.765
36,0.35,00:59:54:24,2310.2723,1119.9027,37.7707
37,0.36,00:59:54:24,2310.2597,1119.9013,37.7523
38,0.37,00:59:54:24,2310.269,1119.8977,37.7623
39,0.38,00:59:55:00,2310.264,1119.8997,37.7463
40,0.39,00:59:55:00,2310.2713,1119.8997,37.7573
41,0.4,00:59:55:00,2310.264,1119.9003,37.753
42,0.41,00:59:55:00,2310.2627,1119.907,37.768
43,0.42,00:59:55:01,2310.261,1119.901,37.738
44,0.43,00:59:55:01,2310.2507,1119.896,37.748000000000005
45,0.44,00:59:55:01,2310.269,1119.892,37.7743
46,0.45,00:59:55:01,2310.259,1119.9023,37.7543
47,0.46,00:59:55:02,2310.2673,1119.885,37.7577
48,0.47,00:59:55:02,2310.2557,1119.892,37.7633
49,0.48,00:59:55:02,2310.2477,1119.8953,37.744
50,0.49,00:59:55:02,2310.2487,1119.8963,37.731
51,0.5,00:59:55:03,2310.2483,1119.8983,37.7617
52,0.51,00:59:55:03,2310.2473,1119.892,37.7617
53,0.52,00:59:55:03,2310.2457,1119.8807,37.7447
54,0.53,00:59:55:03,2310.2443,1119.8873,37.7457
55,0.54,00:59:55:04,2310.2507,1119.881,37.743
56,0.55,00:59:55:04,2310.2453,1119.8933,37.759
57,0.56,00:59:55:04,2310.2567,1119.9043,37.7547
58,0.57,00:59:55:04,2310.2517,1119.8933,37.7607
59,0.58,00:59:55:05,2310.237,1119.892,37.764
60,0.59,00:59:55:05,2310.25,1119.8993,37.7517
61,0.6,00:59:55:05,2310.2467,1119.899,37.743
62,0.61,00:59:55:05,2310.2457,1119.904,37.7583
63,0.62,00:59:55:06,2310.2529999999997,1119.8947,37.775999999999996
64,0.63,00:59:55:06,2310.2297,1119.8997,37.7697
65,0.64,00:59:55:06,2310.2563,1119.8973,37.7573
66,0.65,00:59:55:06,2310.2383,1119.9097,37.7333
67,0.66,00:59:55:07,2310.2423,1119.8973,37.743
68,0.67,00:59:55:07,2310.2477,1119.9017,37.7487
69,0.68,00:59:55:07,2310.2403,1119.8980000000001,37.723
70,0.69,00:59:55:07,2310.242,1119.9003,37.7423
71,0.7,00:59:55:08,2310.2483,1119.8980000000001,37.726
72,0.71,00:59:55:08,2310.244,1119.8987,37.7223
73,0.72,00:59:55:08,2310.2363,1119.9077,37.7453
74,0.73,00:59:55:08,2310.24,1119.9003,37.727
75,0.74,00:59:55:09,2310.236,1119.8963,37.74
76,0.75,00:59:55:09,2310.2313,1119.9103,37.717
77,0.76,00:59:55:09,2310.2273,1119.9013,37.725
78,0.77,00:59:55:09,2310.254,1119.9093,37.7313
79,0.78,00:59:55:10,2310.2397,1119.9027,37.7383
80,0.79,00:59:55:10,2310.2407,1119.907,37.7233
81,0.8,00:59:55:10,2310.244,1119.917,37.751
82,0.81,00:59:55:10,2310.2387,1119.905,37.7413
83,0.82,00:59:55:11,2310.2413,1119.9147,37.7167
84,0.83,00:59:55:11,2310.2293,1119.9137,37.7207
85,0.84,00:59:55:11,2310.234,1119.9093,37.7213
86,0.85,00:59:55:11,2310.2283,1119.9143,37.7327
87,0.86,00:59:55:12,2310.231,1119.912,37.705
88,0.87,00:59:55:12,2310.2247,1119.91,37.7197
89,0.88,00:59:55:12,2310.2283,1119.9127,37.7177
90,0.89,00:59:55:12,2310.2317,1119.906,37.725
91,0.9,00:59:55:13,2310.2197,1119.912,37.7297
92,0.91,00:59:55:13,2310.2087,1119.915,37.7143
93,0.92,00:59:55:13,2310.201,1119.9017,37.7357
94,0.93,00:59:55:13,2310.2113,1119.9,37.7263
95,0.94,00:59:55:14,2310.2017,1119.9023,37.7257
96,0.95,00:59:55:14,2310.214,1119.8977,37.7347
97,0.96,00:59:55:14,2310.205,1119.8997,37.7243
98,0.97,00:59:55:14,2310.2017,1119.9127,37.7067
99,0.98,00:59:55:15,2310.2023,1119.9117,37.71
100,0.99,00:59:55:15,2310.2127,1119.911,37.7243
101,1.0,00:59:55:15,2310.2193,1119.9087,37.7327
102,1.01,00:59:55:15,2310.212,1119.913,37.7267
103,1.02,00:59:55:16,2310.2047,1119.9189999999999,37.705
104,1.03,00:59:55:16,2310.2053,1119.9160000000002,37.718
105,1.04,00:59:55:16,2310.201,1119.9187,37.705999999999996
106,1.05,00:59:55:16,2310.1987,1119.9193,37.7317
107,1.06,00:59:55:17,2310.2233,1119.9117,37.7207
108,1.07,00:59:55:17,2310.218,1119.9183,37.7237
109,1.08,00:59:55:17,2310.2113,1119.9183,37.7143
110,1.09,00:59:55:17,2310.2067,1119.9167,37.7093
111,1.1,00:59:55:18,2310.2083,1119.9167,37.7097
112,1.11,00:59:55:18,2310.202,1119.9197,37.711999999999996
113,1.12,00:59:55:18,2310.199,1119.9117,37.709
114,1.13,00:59:55:18,2310.2003,1119.9073,37.708
115,1.14,00:59:55:19,2310.179,1119.8937,37.7167
116,1.15,00:59:55:19,2310.1687,1119.8923,37.7273
117,1.16,00:59:55:19,2310.154,1119.8757,37.736
118,1.17,00:59:55:19,2310.1377,1119.8753,37.732
119,1.18,00:59:55:20,2310.123,1119.8597,37.7413
120,1.19,00:59:55:20,2310.0883,1119.8407,37.7737
121,1.2,00:59:55:20,2310.0820000000003,1119.822,37.7527
122,1.21,00:59:55:20,2310.0570000000002,1119.8137,37.7563
