Frame,Time,SMPTE,bar_right_hand_x,bar_right_hand_y,bar_right_hand_z
1,0.0,01:21:22:23,-463.31699999999995,1491.726,1412.32
2,0.01,01:21:22:23,-463.30300000000005,1491.69,1412.2879999999998
3,0.02,01:21:22:23,-463.296,1491.651,1412.237
4,0.03,01:21:22:24,-463.077,1491.516,1412.329
5,0.04,01:21:22:24,-463.209,1491.399,1412.1670000000001
6,0.05,01:21:22:24,-463.212,1491.3529999999998,1411.997
7,0.06,01:21:22:24,-463.221,1491.254,1411.844
8,0.07,01:21:23:00,-463.19699999999995,1491.1629999999998,1411.703
9,0.08,01:21:23:00,-463.184,1491.0320000000002,1411.5320000000002
10,0.09,01:21:23:00,-463.15,1490.902,1411.3229999999999
11,0.1,01:21:23:00,-463.13,1490.781,1411.1
12,0.11,01:21:23:01,-463.106,1490.6670000000001,1410.886
13,0.12,01:21:23:01,-463.10699999999997,1490.568,1410.6729999999998
14,0.13,01:21:23:01,-463.098,1490.471,1410.483
15,0.14,01:21:23:01,-463.089,1490.361,1410.3
16,0.15,01:21:23:02,-463.115,1490.2720000000002,1410.088
17,0.16,01:21:23:02,-463.083,1490.182,1409.915
18,0.17,01:21:23:02,-463.06199999999995,1490.094,1409.73
19,0.18,01:21:23:02,-463.051,1490.013,1409.5510000000002
20,0.19,01:21:23:03,-463.038,1489.9160000000002,1409.4229999999998
21,0.2,01:21:23:03,-463.00800000000004,1489.8229999999999,1409.266
22,0.21,01:21:23:03,-462.981,1489.7279999999998,1409.118
23,0.22,01:21:23:03,-462.964,1489.611,1408.9979999999998
24,0.23,01:21:23:04,-462.93699999999995,1489.5279999999998,1408.8729999999998
25,0.24,01:21:23:04,-462.93,1489.465,1408.78
26,0.25,01:21:23:04,-462.92199999999997,1489.42,1408.6979999999999
27,0.26,01:21:23:04,-462.89300000000003,1489.382,1408.65
28,0.27,01:21:23:05,-462.866,1489.3470000000002,1408.5910000000001
29,0.28,01:21:23:05,-462.824,1489.319,1408.5710000000001
30,0.29,01:21:23:05,-462.805,1489.3039999999999,1408.5510000000002
31,0.3,01:21:23:05,-462.76300000000003,1489.2820000000002,1408.558
32,0.31,01:21:23:06,-462.745,1489.241,1408.5510000000002
33,0.32,01:21:23:06,-462.71,1489.19,1408.566
34,0.33,01:21:23:06,-462.681,1489.125,1408.5810000000001
35,0.34,01:21:23:06,-462.62199999999996,1489.0520000000001,1408.588
36,0.35,01:21:23:07,-462.57,1488.98,1408.616
37,0.36,01:21:23:07,-462.515,1488.9089999999999,1408.655
38,0.37,01:21:23:07,-462.444,1488.836,1408.6670000000001
39,0.38,01:21:23:07,-462.401,1488.7479999999998,1408.7320000000002
40,0.39,01:21:23:08,-462.34,1488.6770000000001,1408.793
41,0.4,01:21:23:08,-462.282,1488.604,1408.856
42,0.41,01:21:23:08,-462.233,1488.524,1408.924
43,0.42,01:21:23:08,-462.18199999999996,1488.45,1409.0
44,0.43,01:21:23:09,-462.12,1488.371,1409.056
45,0.44,01:21:23:09,-462.074,1488.2979999999998,1409.106
46,0.45,01:21:23:09,-462.024,1488.195,1409.101
47,0.46,01:21:23:09,-461.969,1488.066,1409.075
48,0.47,01:21:23:10,-461.95300000000003,1487.9189999999999,1409.0220000000002
