Frame,Time,SMPTE,bar_left_elbow_x,bar_left_elbow_y,bar_left_elbow_z
1,0.0,01:21:22:23,744.6139999999999,1577.4145,1368.91
2,0.01,01:21:22:23,744.6415,1577.3405,1369.0475
3,0.02,01:21:22:23,744.66,1577.2679999999998,1369.1515
4,0.03,01:21:22:24,744.6669999999999,1577.1960000000001,1369.2565
5,0.04,01:21:22:24,744.5645,1577.0105,1369.1645
6,0.05,01:21:22:24,744.5665,1576.934,1369.2435
7,0.06,01:21:22:24,744.5675,1576.8695,1369.3505
8,0.07,01:21:23:00,744.5975,1576.7345,1369.4489999999998
9,0.08,01:21:23:00,744.6055,1576.6855,1369.5235
10,0.09,01:21:23:00,744.6135,1576.6129999999998,1369.6015
11,0.1,01:21:23:00,744.6205,1576.547,1369.635
12,0.11,01:21:23:01,744.623,1576.49,1369.652
13,0.12,01:21:23:01,744.623,1576.4165,1369.6305
14,0.13,01:21:23:01,744.6325,1576.336,1369.6095
15,0.14,01:21:23:01,744.6345,1576.2675,1369.6165
16,0.15,01:21:23:02,744.6669999999999,1576.191,1369.7295
17,0.16,01:21:23:02,744.6835,1576.131,1369.7415
18,0.17,01:21:23:02,744.686,1576.0655,1369.727
19,0.18,01:21:23:02,744.693,1576.0045,1369.7105
20,0.19,01:21:23:03,744.687,1575.965,1369.691
21,0.2,01:21:23:03,744.688,1575.896,1369.668
22,0.21,01:21:23:03,744.6605,1575.8415,1369.6570000000002
23,0.22,01:21:23:03,744.678,1575.783,1369.635
24,0.23,01:21:23:04,744.694,1575.6889999999999,1369.635
25,0.24,01:21:23:04,744.7145,1575.6165,1369.64
26,0.25,01:21:23:04,744.742,1575.5620000000001,1369.661
27,0.26,01:21:23:04,744.78,1575.489,1369.684
28,0.27,01:21:23:05,744.815,1575.4535,1369.6775
29,0.28,01:21:23:05,744.8539999999999,1575.3885,1369.6970000000001
30,0.29,01:21:23:05,744.885,1575.35,1369.713
31,0.3,01:21:23:05,744.9175,1575.3485,1369.7405
32,0.31,01:21:23:06,744.944,1575.3529999999998,1369.775
33,0.32,01:21:23:06,744.9739999999999,1575.3335,1369.767
34,0.33,01:21:23:06,744.9675,1575.3895,1369.8125
35,0.34,01:21:23:06,744.9725,1575.4335,1369.8095
36,0.35,01:21:23:07,744.9785,1575.4745,1369.825
37,0.36,01:21:23:07,744.9705,1575.5055,1369.85
38,0.37,01:21:23:07,744.9965,1575.5375,1369.8845
39,0.38,01:21:23:07,745.028,1575.557,1369.942
40,0.39,01:21:23:08,745.0675,1575.5739999999998,1370.0395
41,0.4,01:21:23:08,745.1039999999999,1575.5865,1370.102
42,0.41,01:21:23:08,745.1415,1575.579,1370.1670000000001
43,0.42,01:21:23:08,745.1755,1575.61,1370.2245
44,0.43,01:21:23:09,745.2015,1575.624,1370.2595
45,0.44,01:21:23:09,745.222,1575.6779999999999,1370.2835
46,0.45,01:21:23:09,745.2575,1575.7225,1370.296
47,0.46,01:21:23:09,745.2955,1575.7665,1370.2925
48,0.47,01:21:23:10,745.34,1575.8029999999999,1370.265
49,0.48,01:21:23:10,745.3795,1575.8645,1370.2435
50,0.49,01:21:23:10,745.442,1575.9,1370.22
51,0.5,01:21:23:10,745.5025,1575.932,1370.1665
52,0.51,01:21:23:11,745.562,1575.969,1370.1295
53,0.52,01:21:23:11,745.6295,1575.976,1370.075
54,0.53,01:21:23:11,745.678,1576.0120000000002,1369.976
55,0.54,01:21:23:11,745.698,1576.0395,1369.881
56,0.55,01:21:23:12,745.7465,1576.078,1369.749
57,0.56,01:21:23:12,745.7719999999999,1576.067,1369.59
58,0.57,01:21:23:12,745.7975,1576.1115,1369.443
59,0.58,01:21:23:12,745.7819999999999,1576.214,1369.1325
60,0.59,01:21:23:13,745.7669999999999,1576.275,1368.9415
61,0.6,01:21:23:13,745.747,1576.3270000000002,1368.749
62,0.61,01:21:23:13,745.7585,1576.3535,1368.5435
63,0.62,01:21:23:13,745.7685,1576.3725,1368.338
64,0.63,01:21:23:14,745.8015,1576.4660000000001,1368.1265
65,0.64,01:21:23:14,745.7935,1576.5079999999998,1367.9170000000001
66,0.65,01:21:23:14,745.805,1576.5465,1367.7079999999999
67,0.66,01:21:23:14,745.7605,1576.5735,1367.513
68,0.67,01:21:23:15,745.7339999999999,1576.601,1367.2779999999998
69,0.68,01:21:23:15,745.7075,1576.6395,1367.036
70,0.69,01:21:23:15,745.6965,1576.725,1366.846
71,0.7,01:21:23:15,745.7080000000001,1576.7945,1366.6
72,0.71,01:21:23:16,745.7285,1576.852,1366.3705
73,0.72,01:21:23:16,745.7439999999999,1576.9055,1366.115
74,0.73,01:21:23:16,745.755,1576.9525,1365.9395
75,0.74,01:21:23:16,745.7655,1577.0685,1365.6755
76,0.75,01:21:23:17,745.7719999999999,1577.14,1365.505
77,0.76,01:21:23:17,745.7615,1577.2245,1365.351
78,0.77,01:21:23:17,745.7410000000001,1577.309,1365.2185
79,0.78,01:21:23:17,745.7360000000001,1577.401,1365.094
80,0.79,01:21:23:18,745.745,1577.496,1364.9915
81,0.8,01:21:23:18,745.75,1577.596,1364.9189999999999
82,0.81,01:21:23:18,745.7635,1577.6815,1364.875
83,0.82,01:21:23:18,745.7905,1577.763,1364.849
84,0.83,01:21:23:19,745.8185,1577.8375,1364.8270000000002
85,0.84,01:21:23:19,745.8475,1577.891,1364.8165
86,0.85,01:21:23:19,745.882,1578.0115,1364.7815
87,0.86,01:21:23:19,745.9169999999999,1578.0375,1364.7525
88,0.87,01:21:23:20,745.98,1578.0735,1364.721
89,0.88,01:21:23:20,746.039,1578.0985,1364.7220000000002
90,0.89,01:21:23:20,746.1135,1578.1,1364.7220000000002
91,0.9,01:21:23:20,746.206,1578.1,1364.7335
92,0.91,01:21:23:21,746.3015,1578.114,1364.7665
93,0.92,01:21:23:21,746.3965,1578.1529999999998,1364.795
94,0.93,01:21:23:21,746.4905,1578.13,1364.8329999999999
95,0.94,01:21:23:21,746.6035,1578.128,1364.859
96,0.95,01:21:23:22,746.709,1578.1329999999998,1364.859
97,0.96,01:21:23:22,746.84,1578.1345,1364.8729999999998
98,0.97,01:21:23:22,746.9789999999999,1578.1245,1364.8635
99,0.98,01:21:23:22,747.1335,1578.098,1364.8695
100,0.99,01:21:23:23,747.2695,1578.0985,1364.856
101,1.0,01:21:23:23,747.4035,1578.1229999999998,1364.8335
102,1.01,01:21:23:23,747.5189999999999,1578.1465,1364.777
103,1.02,01:21:23:23,747.6425,1578.1760000000002,1364.7160000000001
104,1.03,01:21:23:24,747.7755,1578.195,1364.6689999999999
105,1.04,01:21:23:24,747.9015,1578.2120000000002,1364.6335
106,1.05,01:21:23:24,748.0365,1578.2165,1364.6185
107,1.06,01:21:23:24,748.1845,1578.2089999999998,1364.5965
108,1.07,01:21:24:00,748.3125,1578.207,1364.59
109,1.08,01:21:24:00,748.4255,1578.1635,1364.5929999999998
110,1.09,01:21:24:00,748.539,1578.122,1364.586
111,1.1,01:21:24:00,748.6260000000001,1578.0715,1364.5725
112,1.11,01:21:24:01,748.7295,1578.0175,1364.5620000000001
113,1.12,01:21:24:01,748.8235,1577.9579999999999,1364.5639999999999
114,1.13,01:21:24:01,748.9245,1577.8615,1364.559
115,1.14,01:21:24:01,749.0235,1577.7935,1364.5529999999999
116,1.15,01:21:24:02,749.1455,1577.7335,1364.5870000000002
117,1.16,01:21:24:02,749.258,1577.6555,1364.616
118,1.17,01:21:24:02,749.3405,1577.618,1364.6295
119,1.18,01:21:24:02,749.435,1577.5810000000001,1364.645
120,1.19,01:21:24:03,749.5215,1577.499,1364.6645
121,1.2,01:21:24:03,749.591,1577.4720000000002,1364.6445
122,1.21,01:21:24:03,749.6535,1577.4635,1364.644
123,1.22,01:21:24:03,749.7189999999999,1577.4460000000001,1364.6355
124,1.23,01:21:24:04,749.77,1577.4235,1364.64
125,1.24,01:21:24:04,749.8530000000001,1577.43,1364.6370000000002
126,1.25,01:21:24:04,749.919,1577.4345,1364.646
127,1.26,01:21:24:04,749.9889999999999,1577.425,1364.6370000000002
128,1.27,01:21:24:05,750.0535,1577.4170000000001,1364.6575
129,1.28,01:21:24:05,750.0965,1577.3905,1364.6795
130,1.29,01:21:24:05,750.1285,1577.3725,1364.7345
131,1.3,01:21:24:05,750.1745,1577.3845,1364.774
132,1.31,01:21:24:06,750.209,1577.3775,1364.8105
133,1.32,01:21:24:06,750.242,1577.3795,1364.8595
134,1.33,01:21:24:06,750.2505,1577.385,1364.8845
135,1.34,01:21:24:06,750.27,1577.415,1364.9165
136,1.35,01:21:24:07,750.28,1577.4395,1364.9560000000001
137,1.36,01:21:24:07,750.3035,1577.484,1365.01
138,1.37,01:21:24:07,750.325,1577.495,1365.0905
139,1.38,01:21:24:07,750.3615,1577.5295,1365.214
140,1.39,01:21:24:08,750.3845,1577.579,1365.3210000000001
141,1.4,01:21:24:08,750.4215,1577.6285,1365.4189999999999
142,1.41,01:21:24:08,750.4385,1577.6870000000001,1365.509
143,1.42,01:21:24:08,750.467,1577.747,1365.6105
144,1.43,01:21:24:09,750.4830000000001,1577.8105,1365.775
145,1.44,01:21:24:09,750.5305,1577.8635,1365.921
146,1.45,01:21:24:09,750.5889999999999,1577.9279999999999,1366.2155
147,1.46,01:21:24:09,750.6435,1578.016,1366.4229999999998
148,1.47,01:21:24:10,750.683,1578.0945,1366.6125
149,1.48,01:21:24:10,750.716,1578.1865,1366.776
150,1.49,01:21:24:10,750.7275,1578.296,1366.9145
151,1.5,01:21:24:10,750.716,1578.3695,1367.043
152,1.51,01:21:24:11,750.7005,1578.463,1367.1629999999998
153,1.52,01:21:24:11,750.6835,1578.464,1367.2925
154,1.53,01:21:24:11,750.6755,1578.549,1367.3845
155,1.54,01:21:24:11,750.698,1578.6070000000002,1367.5115
156,1.55,01:21:24:12,750.7185,1578.6655,1367.626
157,1.56,01:21:24:12,750.7489999999999,1578.7045,1367.7325
158,1.57,01:21:24:12,750.7535,1578.7479999999998,1367.8285
159,1.58,01:21:24:12,750.755,1578.7985,1367.9170000000001
160,1.59,01:21:24:13,750.77,1578.8265,1368.031
161,1.6,01:21:24:13,750.804,1578.816,1368.1705
162,1.61,01:21:24:13,750.8545,1578.836,1368.3595
163,1.62,01:21:24:13,750.9145,1578.78,1368.4920000000002
164,1.63,01:21:24:14,751.0175,1578.8165,1368.727
165,1.64,01:21:24:14,751.1039999999999,1578.872,1369.0195
166,1.65,01:21:24:14,751.1995,1578.9285,1369.3329999999999
167,1.66,01:21:24:14,751.2860000000001,1578.986,1369.644
168,1.67,01:21:24:15,751.3939999999999,1579.0605,1370.1045
169,1.68,01:21:24:15,751.5345,1579.1170000000002,1370.48
170,1.69,01:21:24:15,751.6765,1579.168,1370.7985
171,1.7,01:21:24:15,751.779,1579.261,1371.1029999999998
172,1.71,01:21:24:16,751.8660000000001,1579.4095,1371.443
173,1.72,01:21:24:16,751.939,1579.539,1371.7825
174,1.73,01:21:24:16,751.9789999999999,1579.723,1372.1035
175,1.74,01:21:24:16,751.9865,1579.9105,1372.3665
176,1.75,01:21:24:17,751.9695,1580.1070000000002,1372.5765
177,1.76,01:21:24:17,751.9345,1580.2835,1372.7565
178,1.77,01:21:24:17,751.9015,1580.4635,1372.8555
179,1.78,01:21:24:17,751.8785,1580.5945,1372.8325
180,1.79,01:21:24:18,751.842,1580.7605,1372.8329999999999
181,1.8,01:21:24:18,751.8085,1580.9665,1372.759
182,1.81,01:21:24:18,751.7235,1581.239,1372.6975
183,1.82,01:21:24:18,751.6315,1581.4845,1372.399
184,1.83,01:21:24:19,751.5065,1581.8625,1371.981
185,1.84,01:21:24:19,751.3355,1582.2815,1371.4845
186,1.85,01:21:24:19,751.187,1582.8129999999999,1370.9270000000001
187,1.86,01:21:24:19,751.0855,1583.3470000000002,1370.2805
188,1.87,01:21:24:20,750.9915,1583.8735,1369.49
189,1.88,01:21:24:20,750.9175,1584.4129999999998,1368.5120000000002
190,1.89,01:21:24:20,750.747,1585.047,1367.4115
191,1.9,01:21:24:20,750.5495,1585.7325,1366.11
192,1.91,01:21:24:21,750.2660000000001,1586.433,1364.3970000000002
193,1.92,01:21:24:21,749.8639999999999,1587.3615,1362.5095
