Frame,Time,SMPTE,bar_left_knee_x,bar_left_knee_y,bar_left_knee_z
1,0.0,01:21:22:23,396.9875,1555.764,480.3275
2,0.01,01:21:22:23,397.0,1555.845,480.333
3,0.02,01:21:22:23,397.005,1555.9395,480.3395
4,0.03,01:21:22:24,396.9145,1555.4170000000001,480.3865
5,0.04,01:21:22:24,396.8205,1555.3665,480.105
6,0.05,01:21:22:24,396.81699999999995,1555.5035,480.056
7,0.06,01:21:22:24,396.834,1555.5805,480.041
8,0.07,01:21:23:00,396.8625,1555.6365,480.0235
9,0.08,01:21:23:00,396.8805,1555.711,480.01
10,0.09,01:21:23:00,396.9075,1555.7745,480.0
11,0.1,01:21:23:00,396.9475,1555.842,480.001
12,0.11,01:21:23:01,396.99,1555.9360000000001,479.98699999999997
13,0.12,01:21:23:01,397.017,1555.9379999999999,479.978
14,0.13,01:21:23:01,397.0665,1556.0425,479.972
15,0.14,01:21:23:01,397.0955,1556.085,479.9505
16,0.15,01:21:23:02,397.1195,1556.1785,479.9595
17,0.16,01:21:23:02,397.1445,1556.2375,479.9525
18,0.17,01:21:23:02,397.1705,1556.2905,479.9445
19,0.18,01:21:23:02,397.204,1556.4375,479.9525
20,0.19,01:21:23:03,397.2355,1556.5,479.9485
21,0.2,01:21:23:03,397.293,1556.5885,479.9225
22,0.21,01:21:23:03,397.325,1556.6760000000002,479.9165
23,0.22,01:21:23:03,397.3675,1556.745,479.918
24,0.23,01:21:23:04,397.4015,1556.8270000000002,479.916
25,0.24,01:21:23:04,397.434,1556.85,479.918
26,0.25,01:21:23:04,397.4635,1556.896,479.92199999999997
27,0.26,01:21:23:04,397.5,1556.945,479.9325
28,0.27,01:21:23:05,397.5375,1556.975,479.92199999999997
29,0.28,01:21:23:05,397.574,1557.0,479.914
30,0.29,01:21:23:05,397.602,1557.0529999999999,479.916
31,0.3,01:21:23:05,397.62199999999996,1557.0915,479.9055
32,0.31,01:21:23:06,397.6505,1557.0965,479.9115
33,0.32,01:21:23:06,397.6775,1557.0885,479.8835
34,0.33,01:21:23:06,397.725,1557.1335,479.89599999999996
35,0.34,01:21:23:06,397.7595,1557.1825,479.8915
36,0.35,01:21:23:07,397.798,1557.1535,479.904
37,0.36,01:21:23:07,397.8225,1557.118,479.907
38,0.37,01:21:23:07,397.88,1557.121,479.8835
39,0.38,01:21:23:07,397.9065,1557.0770000000002,479.902
40,0.39,01:21:23:08,397.95,1557.0365,479.8845
41,0.4,01:21:23:08,397.9845,1557.0020000000002,479.88199999999995
42,0.41,01:21:23:08,398.0195,1556.954,479.8885
43,0.42,01:21:23:08,398.0545,1556.9425,479.895
44,0.43,01:21:23:09,398.0815,1556.9395,479.8955
45,0.44,01:21:23:09,398.10900000000004,1557.017,479.92800000000005
46,0.45,01:21:23:09,398.14099999999996,1557.09,479.9325
47,0.46,01:21:23:09,398.151,1557.2015,479.9505
48,0.47,01:21:23:10,398.1675,1557.2725,479.9575
49,0.48,01:21:23:10,398.173,1557.32,479.9475
50,0.49,01:21:23:10,398.1875,1557.415,479.968
51,0.5,01:21:23:10,398.20099999999996,1557.4145,479.97
52,0.51,01:21:23:11,398.2415,1557.4289999999999,479.976
53,0.52,01:21:23:11,398.2435,1557.4085,479.9655
54,0.53,01:21:23:11,398.2455,1557.4065,479.98
55,0.54,01:21:23:11,398.218,1557.365,479.9545
56,0.55,01:21:23:12,398.168,1557.354,479.9815
57,0.56,01:21:23:12,398.134,1557.3229999999999,479.981
58,0.57,01:21:23:12,398.1005,1557.2779999999998,479.9685
59,0.58,01:21:23:12,398.0795,1557.2485,479.9815
60,0.59,01:21:23:13,398.077,1557.1979999999999,479.9825
61,0.6,01:21:23:13,398.0705,1557.2295,480.0025
62,0.61,01:21:23:13,398.0805,1557.1960000000001,479.9805
63,0.62,01:21:23:13,398.092,1557.2045,479.9735
64,0.63,01:21:23:14,398.1165,1557.221,479.994
65,0.64,01:21:23:14,398.14,1557.2445,479.9875
66,0.65,01:21:23:14,398.158,1557.3105,480.0065
67,0.66,01:21:23:14,398.1665,1557.3385,480.0165
68,0.67,01:21:23:15,398.1925,1557.4225,480.009
69,0.68,01:21:23:15,398.17699999999996,1557.4705,480.027
70,0.69,01:21:23:15,398.181,1557.5895,480.0635
71,0.7,01:21:23:15,398.1865,1557.7135,480.0985
72,0.71,01:21:23:16,398.215,1557.8085,480.1325
73,0.72,01:21:23:16,398.255,1557.8805,480.162
74,0.73,01:21:23:16,398.31800000000004,1557.9465,480.1595
75,0.74,01:21:23:16,398.3715,1557.9965,480.1765
76,0.75,01:21:23:17,398.466,1557.9995,480.17199999999997
77,0.76,01:21:23:17,398.545,1558.021,480.19300000000004
78,0.77,01:21:23:17,398.6405,1558.021,480.191
79,0.78,01:21:23:17,398.7415,1558.001,480.1725
80,0.79,01:21:23:18,398.852,1558.0585,480.157
81,0.8,01:21:23:18,398.9865,1558.09,480.1545
82,0.81,01:21:23:18,399.1315,1558.2245,480.1495
83,0.82,01:21:23:18,399.2565,1558.2905,480.11400000000003
84,0.83,01:21:23:19,399.4045,1558.41,480.13599999999997
85,0.84,01:21:23:19,399.5295,1558.5645,480.1475
86,0.85,01:21:23:19,399.6545,1558.629,480.1545
87,0.86,01:21:23:19,399.746,1558.7085,480.1685
88,0.87,01:21:23:20,399.8245,1558.8005,480.1795
89,0.88,01:21:23:20,399.8855,1558.789,480.1605
90,0.89,01:21:23:20,399.9505,1558.861,480.142
91,0.9,01:21:23:20,399.994,1558.8029999999999,480.1305
92,0.91,01:21:23:21,400.035,1558.8570000000002,480.1185
93,0.92,01:21:23:21,400.0835,1558.8725,480.1205
94,0.93,01:21:23:21,400.116,1558.9070000000002,480.1005
95,0.94,01:21:23:21,400.1585,1558.9215,480.1025
96,0.95,01:21:23:22,400.208,1558.951,480.091
97,0.96,01:21:23:22,400.2485,1558.769,479.8395
98,0.97,01:21:23:22,400.314,1559.1085,480.06699999999995
99,0.98,01:21:23:22,400.3665,1558.9165,479.8255
100,0.99,01:21:23:23,400.4295,1558.9465,479.7985
101,1.0,01:21:23:23,400.4705,1559.023,479.7925
102,1.01,01:21:23:23,400.5315,1559.065,479.7725
103,1.02,01:21:23:23,400.555,1559.0610000000001,479.7535
104,1.03,01:21:23:24,400.597,1559.0745,479.7305
105,1.04,01:21:23:24,400.6225,1559.0839999999998,479.736
106,1.05,01:21:23:24,400.63699999999994,1559.1075,479.7475
107,1.06,01:21:23:24,400.64300000000003,1559.1135,479.756
108,1.07,01:21:24:00,400.6465,1559.164,479.7665
109,1.08,01:21:24:00,400.6755,1559.2025,479.7765
110,1.09,01:21:24:00,400.695,1559.253,479.76300000000003
111,1.1,01:21:24:00,400.6435,1559.2185,479.8915
112,1.11,01:21:24:01,400.782,1559.2945,479.7675
113,1.12,01:21:24:01,400.73800000000006,1559.25,479.879
114,1.13,01:21:24:01,400.774,1559.2535,479.8795
115,1.14,01:21:24:01,400.801,1559.2615,479.8695
116,1.15,01:21:24:02,400.7925,1559.21,479.8735
117,1.16,01:21:24:02,400.8165,1559.161,479.8565
118,1.17,01:21:24:02,400.8075,1559.1595,479.8705
119,1.18,01:21:24:02,400.9085,1559.1925,479.726
120,1.19,01:21:24:03,400.918,1559.1555,479.736
121,1.2,01:21:24:03,400.853,1559.101,479.8595
122,1.21,01:21:24:03,400.8745,1559.106,479.86699999999996
123,1.22,01:21:24:03,400.8845,1559.1145,479.871
124,1.23,01:21:24:04,400.914,1559.1495,479.8735
125,1.24,01:21:24:04,400.9135,1559.1475,479.876
126,1.25,01:21:24:04,400.92699999999996,1559.1770000000001,479.86699999999996
127,1.26,01:21:24:04,400.9395,1559.192,479.85699999999997
128,1.27,01:21:24:05,400.9385,1559.205,479.8545
129,1.28,01:21:24:05,400.95,1559.14,479.849
130,1.29,01:21:24:05,400.9345,1559.138,479.8395
131,1.3,01:21:24:05,400.935,1559.1135,479.8495
132,1.31,01:21:24:06,400.92900000000003,1559.0479999999998,479.8565
133,1.32,01:21:24:06,400.9235,1558.9875,479.8425
134,1.33,01:21:24:06,400.9165,1558.9395,479.8395
135,1.34,01:21:24:06,400.8905,1558.915,479.84
136,1.35,01:21:24:07,400.959,1558.945,479.694
137,1.36,01:21:24:07,400.865,1558.8829999999998,479.81199999999995
138,1.37,01:21:24:07,400.9315,1558.9289999999999,479.6885
139,1.38,01:21:24:07,400.9135,1558.942,479.694
140,1.39,01:21:24:08,400.884,1558.9165,479.68800000000005
141,1.4,01:21:24:08,400.8645,1558.924,479.69199999999995
142,1.41,01:21:24:08,400.8325,1558.862,479.68300000000005
143,1.42,01:21:24:08,400.809,1558.8410000000001,479.6955
144,1.43,01:21:24:09,400.7745,1558.7720000000002,479.69300000000004
145,1.44,01:21:24:09,400.736,1558.6945,479.6575
146,1.45,01:21:24:09,400.731,1558.654,479.6975
147,1.46,01:21:24:09,400.707,1558.6329999999998,479.7065
148,1.47,01:21:24:10,400.6905,1558.5615,479.6975
149,1.48,01:21:24:10,400.689,1558.5145,479.6815
150,1.49,01:21:24:10,400.67900000000003,1558.4665,479.6725
151,1.5,01:21:24:10,400.67699999999996,1558.396,479.6645
152,1.51,01:21:24:11,400.658,1558.351,479.64599999999996
153,1.52,01:21:24:11,400.644,1558.27,479.6405
154,1.53,01:21:24:11,400.602,1558.235,479.667
155,1.54,01:21:24:11,400.5735,1558.1415,479.6795
156,1.55,01:21:24:12,400.5495,1558.1055,479.6815
157,1.56,01:21:24:12,400.501,1558.0220000000002,479.685
158,1.57,01:21:24:12,400.478,1557.965,479.70099999999996
159,1.58,01:21:24:12,400.466,1557.8929999999998,479.6995
160,1.59,01:21:24:13,400.455,1557.8270000000002,479.6825
161,1.6,01:21:24:13,400.458,1557.77,479.6825
162,1.61,01:21:24:13,400.4605,1557.6989999999998,479.666
163,1.62,01:21:24:13,400.4455,1557.6015,479.66
164,1.63,01:21:24:14,400.425,1557.5775,479.668
165,1.64,01:21:24:14,400.3785,1557.51,479.658
166,1.65,01:21:24:14,400.3485,1557.443,479.6825
167,1.66,01:21:24:14,400.3105,1557.3865,479.667
168,1.67,01:21:24:15,400.279,1557.3355,479.657
169,1.68,01:21:24:15,400.1335,1557.2285,479.827
170,1.69,01:21:24:15,400.1055,1557.191,479.8195
171,1.7,01:21:24:15,400.1835,1557.2520000000002,479.68300000000005
172,1.71,01:21:24:16,400.061,1557.0825,479.839
173,1.72,01:21:24:16,400.039,1557.049,479.8125
174,1.73,01:21:24:16,400.0065,1557.02,479.8305
175,1.74,01:21:24:16,399.9735,1556.9815,479.8365
176,1.75,01:21:24:17,399.9385,1556.965,479.8225
177,1.76,01:21:24:17,399.89,1556.9225,479.8315
178,1.77,01:21:24:17,399.853,1556.9105,479.834
179,1.78,01:21:24:17,399.8185,1556.844,479.82599999999996
180,1.79,01:21:24:18,399.7845,1556.7979999999998,479.8305
181,1.8,01:21:24:18,399.765,1556.7405,479.815
182,1.81,01:21:24:18,399.73800000000006,1556.7395,479.80699999999996
183,1.82,01:21:24:18,399.7125,1556.683,479.8195
184,1.83,01:21:24:19,399.6835,1556.6375,479.81300000000005
185,1.84,01:21:24:19,399.651,1556.5755,479.827
186,1.85,01:21:24:19,399.6305,1556.5055,479.82300000000004
187,1.86,01:21:24:19,399.702,1556.4815,479.6695
188,1.87,01:21:24:20,399.6895,1556.3285,479.6855
189,1.88,01:21:24:20,399.67800000000005,1556.2025,479.667
190,1.89,01:21:24:20,399.6625,1556.112,479.66
191,1.9,01:21:24:20,399.6575,1555.976,479.6635
192,1.91,01:21:24:21,399.657,1555.888,479.648
193,1.92,01:21:24:21,399.6485,1555.7755,479.65
194,1.93,01:21:24:21,399.6555,1555.7125,479.655
195,1.94,01:21:24:21,399.6705,1555.5885,479.6315
196,1.95,01:21:24:22,399.6885,1555.4835,479.63699999999994
197,1.96,01:21:24:22,399.7125,1555.396,479.602
198,1.97,01:21:24:22,399.72900000000004,1555.3410000000001,479.6295
199,1.98,01:21:24:22,399.7505,1555.2995,479.6205
200,1.99,01:21:24:23,399.73,1555.2535,479.6205
201,2.0,01:21:24:23,399.7205,1555.1555,479.5895
202,2.01,01:21:24:23,399.7145,1555.0515,479.55199999999996
203,2.02,01:21:24:23,399.7185,1554.991,479.5445
204,2.03,01:21:24:24,399.74199999999996,1554.8925,479.535
205,2.04,01:21:24:24,399.7465,1554.7895,479.5285
206,2.05,01:21:24:24,399.7725,1554.6855,479.5055
