Frame,Time,SMPTE,bar_right_foot_x,bar_right_foot_y,bar_right_foot_z
1,0.0,01:22:57:07,202.229,1490.1433,32.8463
2,0.01,01:22:57:07,202.232,1490.1343,32.853
3,0.02,01:22:57:07,202.2363,1490.1387,32.8453
4,0.03,01:22:57:08,202.1657,1490.1217,32.9363
5,0.04,01:22:57:08,202.30599999999998,1489.9593,32.8627
6,0.05,01:22:57:08,202.3213,1489.9707,32.835
7,0.06,01:22:57:08,202.3693,1489.9470000000001,32.7823
8,0.07,01:22:57:09,202.3727,1489.9343,32.7713
9,0.08,01:22:57:09,202.3833,1489.9363,32.775999999999996
10,0.09,01:22:57:09,202.364,1489.9257,32.771
11,0.1,01:22:57:09,202.3793,1489.9217,32.7633
12,0.11,01:22:57:10,202.3823,1489.92,32.7663
13,0.12,01:22:57:10,202.3727,1489.918,32.7673
14,0.13,01:22:57:10,202.3823,1489.9170000000001,32.7747
15,0.14,01:22:57:10,202.34900000000002,1489.9260000000002,32.823
16,0.15,01:22:57:11,202.372,1489.904,32.777
17,0.16,01:22:57:11,202.3677,1489.9103,32.7833
18,0.17,01:22:57:11,202.3307,1489.925,32.830999999999996
19,0.18,01:22:57:11,202.3343,1489.9289999999999,32.83
20,0.19,01:22:57:12,202.3513,1489.9167,32.768
21,0.2,01:22:57:12,202.3463,1489.9153,32.77
22,0.21,01:22:57:12,202.34099999999998,1489.9093,32.7643
23,0.22,01:22:57:12,202.3427,1489.9047,32.7653
24,0.23,01:22:57:13,202.357,1489.9013,32.7617
25,0.24,01:22:57:13,202.3543,1489.9153,32.7677
26,0.25,01:22:57:13,202.3653,1489.9107,32.7663
27,0.26,01:22:57:13,202.3633,1489.9103,32.7693
28,0.27,01:22:57:14,202.3647,1489.9007,32.7723
29,0.28,01:22:57:14,202.36700000000002,1489.9103,32.781
30,0.29,01:22:57:14,202.375,1489.908,32.7717
31,0.3,01:22:57:14,202.3703,1489.914,32.7747
32,0.31,01:22:57:15,202.33900000000003,1489.9227,32.8323
33,0.32,01:22:57:15,202.3743,1489.9,32.7793
34,0.33,01:22:57:15,202.3687,1489.9057,32.774
35,0.34,01:22:57:15,202.37900000000002,1489.905,32.7783
36,0.35,01:22:57:16,202.3843,1489.906,32.779
37,0.36,01:22:57:16,202.3677,1489.9097,32.7823
38,0.37,01:22:57:16,202.3847,1489.8983,32.7737
39,0.38,01:22:57:16,202.37599999999998,1489.9043,32.771
40,0.39,01:22:57:17,202.365,1489.8997,32.7753
41,0.4,01:22:57:17,202.365,1489.904,32.7867
42,0.41,01:22:57:17,202.3583,1489.8970000000002,32.7813
43,0.42,01:22:57:17,202.3577,1489.9,32.792
44,0.43,01:22:57:18,202.362,1489.8947,32.7947
45,0.44,01:22:57:18,202.3563,1489.8877,32.805
46,0.45,01:22:57:18,202.347,1489.8747,32.7887
47,0.46,01:22:57:18,202.3573,1489.8703,32.792
48,0.47,01:22:57:19,202.3517,1489.855,32.7907
49,0.48,01:22:57:19,202.3463,1489.861,32.7933
50,0.49,01:22:57:19,202.3447,1489.8607,32.793
51,0.5,01:22:57:19,202.3443,1489.8613,32.7893
52,0.51,01:22:57:20,202.328,1489.8617,32.798
53,0.52,01:22:57:20,202.3257,1489.864,32.7883
54,0.53,01:22:57:20,202.3293,1489.8653,32.794000000000004
55,0.54,01:22:57:20,202.3217,1489.865,32.797
56,0.55,01:22:57:21,202.3143,1489.861,32.789
57,0.56,01:22:57:21,202.3113,1489.865,32.8037
58,0.57,01:22:57:21,202.299,1489.8603,32.8007
59,0.58,01:22:57:21,202.2957,1489.8617,32.805
60,0.59,01:22:57:22,202.352,1489.809,32.815
61,0.6,01:22:57:22,202.29,1489.8643,32.7957
62,0.61,01:22:57:22,202.2873,1489.8737,32.8033
63,0.62,01:22:57:22,202.2953,1489.86,32.7983
64,0.63,01:22:57:23,202.30599999999998,1489.8657,32.7993
65,0.64,01:22:57:23,202.3073,1489.8693,32.795
66,0.65,01:22:57:23,202.3027,1489.8533,32.7933
67,0.66,01:22:57:23,202.3087,1489.8670000000002,32.7797
68,0.67,01:22:57:24,202.3087,1489.8643,32.7807
69,0.68,01:22:57:24,202.3067,1489.861,32.795
70,0.69,01:22:57:24,202.299,1489.862,32.805
71,0.7,01:22:57:24,202.3057,1489.866,32.7943
72,0.71,01:22:58:00,202.3133,1489.861,32.7983
73,0.72,01:22:58:00,202.3117,1489.8663,32.785
74,0.73,01:22:58:00,202.3247,1489.8617,32.806999999999995
75,0.74,01:22:58:00,202.317,1489.8633,32.7907
76,0.75,01:22:58:01,202.312,1489.8607,32.8047
77,0.76,01:22:58:01,202.3193,1489.8627,32.7943
78,0.77,01:22:58:01,202.3293,1489.8513,32.791
79,0.78,01:22:58:01,202.3297,1489.8587,32.7957
80,0.79,01:22:58:02,202.34099999999998,1489.8513,32.7943
81,0.8,01:22:58:02,202.3287,1489.8587,32.789
82,0.81,01:22:58:02,202.3267,1489.858,32.7957
83,0.82,01:22:58:02,202.3477,1489.852,32.7867
