Frame,Time,SMPTE,bar_spine_x,bar_spine_y,bar_spine_z
1,0.0,01:22:57:07,303.1313,1625.2103,1233.4357
2,0.01,01:22:57:07,303.1447,1625.1437,1233.4413
3,0.02,01:22:57:07,303.1567,1625.0683,1233.4373
4,0.03,01:22:57:08,303.2483,1624.9147,1233.4507
5,0.04,01:22:57:08,303.1067,1624.7617,1233.23
6,0.05,01:22:57:08,303.036,1624.8707,1233.4187
7,0.06,01:22:57:08,303.035,1624.8393,1233.4403
8,0.07,01:22:57:09,303.0197,1624.8057,1233.4643
9,0.08,01:22:57:09,303.0227,1624.739,1233.468
10,0.09,01:22:57:09,303.0223,1624.6760000000002,1233.4613
11,0.1,01:22:57:09,303.059,1624.6323,1233.4883
12,0.11,01:22:57:10,303.04200000000003,1624.547,1233.4783
13,0.12,01:22:57:10,303.0407,1624.4817,1233.5217
14,0.13,01:22:57:10,303.0583,1624.4257,1233.5653
15,0.14,01:22:57:10,303.0647,1624.366,1233.5873
16,0.15,01:22:57:11,303.0647,1624.299,1233.597
17,0.16,01:22:57:11,303.07099999999997,1624.2283,1233.6033
18,0.17,01:22:57:11,303.0733,1624.1523,1233.5993
19,0.18,01:22:57:11,303.0763,1624.0763,1233.5983
20,0.19,01:22:57:12,303.0943,1623.999,1233.5977
21,0.2,01:22:57:12,303.128,1623.9129999999998,1233.5953
22,0.21,01:22:57:12,303.158,1623.8433,1233.596
23,0.22,01:22:57:12,303.188,1623.754,1233.593
24,0.23,01:22:57:13,303.219,1623.6637,1233.5847
25,0.24,01:22:57:13,303.243,1623.5723,1233.5867
26,0.25,01:22:57:13,303.258,1623.483,1233.5807
27,0.26,01:22:57:13,303.27299999999997,1623.4383,1233.5243
28,0.27,01:22:57:14,303.2833,1623.3487,1233.5287
29,0.28,01:22:57:14,303.2963,1623.247,1233.5197
30,0.29,01:22:57:14,303.317,1623.1523,1233.5217
31,0.3,01:22:57:14,303.34,1623.0663,1233.5327
32,0.31,01:22:57:15,303.3553,1622.9679999999998,1233.5417
33,0.32,01:22:57:15,303.3777,1622.872,1233.5417
34,0.33,01:22:57:15,303.3833,1622.7707,1233.5207
35,0.34,01:22:57:15,303.3667,1622.6643,1233.505
36,0.35,01:22:57:16,303.357,1622.5533,1233.476
37,0.36,01:22:57:16,303.3483,1622.3993,1233.5037
38,0.37,01:22:57:16,303.3473,1622.2947,1233.4757
39,0.38,01:22:57:16,303.3413,1622.1887,1233.444
40,0.39,01:22:57:17,303.343,1622.0763,1233.4227
41,0.4,01:22:57:17,303.33799999999997,1621.9703,1233.4073
42,0.41,01:22:57:17,303.3333,1621.8513,1233.3773
43,0.42,01:22:57:17,303.3217,1621.73,1233.3413
44,0.43,01:22:57:18,303.3343,1621.5973,1233.2939999999999
45,0.44,01:22:57:18,303.3207,1621.4637,1233.2417
46,0.45,01:22:57:18,303.327,1621.316,1233.1747
47,0.46,01:22:57:18,303.3333,1621.161,1233.0947
48,0.47,01:22:57:19,303.3467,1621.0137,1233.0307
49,0.48,01:22:57:19,303.3637,1620.862,1232.9713
50,0.49,01:22:57:19,303.358,1620.6813,1232.897
51,0.5,01:22:57:19,303.36400000000003,1620.5693,1232.8407
52,0.51,01:22:57:20,303.3513,1620.464,1232.7773
53,0.52,01:22:57:20,303.3523,1620.3503,1232.7227
54,0.53,01:22:57:20,303.347,1620.251,1232.6697
55,0.54,01:22:57:20,303.3603,1620.1533,1232.6333
56,0.55,01:22:57:21,303.372,1620.0527,1232.5863
57,0.56,01:22:57:21,303.3737,1619.95,1232.5443
58,0.57,01:22:57:21,303.3957,1619.8533,1232.5177
59,0.58,01:22:57:21,303.4113,1619.749,1232.4827
60,0.59,01:22:57:22,303.404,1619.6470000000002,1232.4377
61,0.6,01:22:57:22,303.4057,1619.5497,1232.3867
62,0.61,01:22:57:22,303.403,1619.453,1232.3297
63,0.62,01:22:57:22,303.407,1619.36,1232.2767
64,0.63,01:22:57:23,303.4023,1619.271,1232.232
65,0.64,01:22:57:23,303.4017,1619.192,1232.1937
66,0.65,01:22:57:23,303.3957,1619.1107,1232.167
67,0.66,01:22:57:23,303.3917,1619.0353,1232.1437
68,0.67,01:22:57:24,303.3703,1618.96,1232.1093
69,0.68,01:22:57:24,303.36400000000003,1618.872,1232.0483
70,0.69,01:22:57:24,303.3287,1618.797,1232.012
71,0.7,01:22:57:24,303.3283,1618.7217,1231.9747
72,0.71,01:22:58:00,303.32,1618.6583,1231.9397
73,0.72,01:22:58:00,303.3043,1618.5993,1231.8937
74,0.73,01:22:58:00,303.3097,1618.5373,1231.8543
75,0.74,01:22:58:00,303.3027,1618.4883,1231.8123
76,0.75,01:22:58:01,303.3057,1618.4283,1231.7593
77,0.76,01:22:58:01,303.306,1618.3803,1231.698
78,0.77,01:22:58:01,303.3127,1618.3347,1231.6553
79,0.78,01:22:58:01,303.3257,1618.3,1231.5987
80,0.79,01:22:58:02,303.332,1618.259,1231.5433
81,0.8,01:22:58:02,303.3503,1618.2153,1231.4923
82,0.81,01:22:58:02,303.3627,1618.1723,1231.4417
83,0.82,01:22:58:02,303.3807,1618.1187,1231.395
84,0.83,01:22:58:03,303.3887,1618.076,1231.3617
85,0.84,01:22:58:03,303.4053,1618.03,1231.3147
86,0.85,01:22:58:03,303.4193,1617.9803,1231.2743
87,0.86,01:22:58:03,303.431,1617.9347,1231.2197
88,0.87,01:22:58:04,303.4453,1617.8867,1231.1703
89,0.88,01:22:58:04,303.4547,1617.8427,1231.14
90,0.89,01:22:58:04,303.4557,1617.7953,1231.1033
91,0.9,01:22:58:04,303.4767,1617.7417,1231.0663
92,0.91,01:22:58:05,303.4993,1617.6983,1231.0093
93,0.92,01:22:58:05,303.514,1617.6587,1230.944
94,0.93,01:22:58:05,303.5343,1617.6127,1230.8793
95,0.94,01:22:58:05,303.5357,1617.5767,1230.8223
96,0.95,01:22:58:06,303.5467,1617.5353,1230.7597
97,0.96,01:22:58:06,303.543,1617.5037,1230.6987
98,0.97,01:22:58:06,303.5363,1617.4663,1230.6233
99,0.98,01:22:58:06,303.5387,1617.435,1230.55
100,0.99,01:22:58:07,303.525,1617.391,1230.4687
101,1.0,01:22:58:07,303.5263,1617.3667,1230.4180000000001
102,1.01,01:22:58:07,303.5463,1617.3317,1230.3563
103,1.02,01:22:58:07,303.5583,1617.2993,1230.303
104,1.03,01:22:58:08,303.578,1617.2633,1230.2467
105,1.04,01:22:58:08,303.6097,1617.2267,1230.1927
106,1.05,01:22:58:08,303.6393,1617.184,1230.1333
107,1.06,01:22:58:08,303.666,1617.1423,1230.0819999999999
108,1.07,01:22:58:09,303.6977,1617.1017,1230.04
109,1.08,01:22:58:09,303.7163,1617.0517,1229.9933
110,1.09,01:22:58:09,303.748,1617.0003,1229.9573
