Frame,Time,SMPTE,bar_left_hand_x,bar_left_hand_y,bar_left_hand_z
1,0.0,01:22:57:07,1082.052,1487.797,1342.266
2,0.01,01:22:57:07,1082.046,1487.588,1342.351
3,0.02,01:22:57:07,1082.054,1487.382,1342.421
4,0.03,01:22:57:08,1082.123,1487.196,1342.671
5,0.04,01:22:57:08,1081.859,1486.91,1342.4
6,0.05,01:22:57:08,1081.8339999999996,1486.651,1342.496
7,0.06,01:22:57:08,1081.799,1486.4070000000004,1342.549
8,0.07,01:22:57:09,1081.784,1486.148,1342.626
9,0.08,01:22:57:09,1081.754,1485.8929999999998,1342.7089999999996
10,0.09,01:22:57:09,1081.778,1485.626,1342.7979999999998
11,0.1,01:22:57:09,1081.787,1485.37,1342.8729999999996
12,0.11,01:22:57:10,1081.81,1485.1329999999996,1342.944
13,0.12,01:22:57:10,1081.8,1484.899,1343.023
14,0.13,01:22:57:10,1081.799,1484.6760000000004,1343.129
15,0.14,01:22:57:10,1081.7910000000004,1484.455,1343.216
16,0.15,01:22:57:11,1081.789,1484.23,1343.271
17,0.16,01:22:57:11,1081.782,1483.995,1343.311
18,0.17,01:22:57:11,1081.777,1483.749,1343.3370000000002
19,0.18,01:22:57:11,1081.758,1483.473,1343.354
20,0.19,01:22:57:12,1081.736,1483.211,1343.365
21,0.2,01:22:57:12,1081.697,1482.942,1343.374
22,0.21,01:22:57:12,1081.653,1482.6729999999998,1343.389
23,0.22,01:22:57:12,1081.633,1482.43,1343.395
24,0.23,01:22:57:13,1081.638,1482.208,1343.38
25,0.24,01:22:57:13,1081.634,1481.977,1343.361
26,0.25,01:22:57:13,1081.614,1481.769,1343.356
27,0.26,01:22:57:13,1081.59,1481.586,1343.381
28,0.27,01:22:57:14,1081.581,1481.44,1343.428
29,0.28,01:22:57:14,1081.549,1481.3429999999996,1343.514
30,0.29,01:22:57:14,1081.525,1481.264,1343.601
31,0.3,01:22:57:14,1081.51,1481.196,1343.668
32,0.31,01:22:57:15,1081.517,1481.122,1343.687
33,0.32,01:22:57:15,1081.516,1481.0079999999996,1343.704
34,0.33,01:22:57:15,1081.533,1480.908,1343.698
35,0.34,01:22:57:15,1081.562,1480.7720000000004,1343.706
36,0.35,01:22:57:16,1081.58,1480.66,1343.739
37,0.36,01:22:57:16,1081.5839999999996,1480.58,1343.829
38,0.37,01:22:57:16,1081.607,1480.505,1344.001
39,0.38,01:22:57:16,1081.617,1480.463,1344.203
40,0.39,01:22:57:17,1081.647,1480.433,1344.441
41,0.4,01:22:57:17,1081.648,1480.36,1344.645
42,0.41,01:22:57:17,1081.685,1480.265,1344.89
43,0.42,01:22:57:17,1081.686,1480.129,1345.149
44,0.43,01:22:57:18,1081.703,1480.013,1345.411
45,0.44,01:22:57:18,1081.733,1479.922,1345.695
46,0.45,01:22:57:18,1081.742,1479.855,1346.0120000000004
47,0.46,01:22:57:18,1081.757,1479.836,1346.344
48,0.47,01:22:57:19,1081.788,1479.866,1346.681
49,0.48,01:22:57:19,1081.811,1479.908,1347.027
50,0.49,01:22:57:19,1081.839,1479.9620000000002,1347.389
51,0.5,01:22:57:19,1081.857,1480.0020000000004,1347.6570000000004
52,0.51,01:22:57:20,1081.909,1480.053,1347.8729999999996
53,0.52,01:22:57:20,1081.936,1480.101,1348.072
54,0.53,01:22:57:20,1081.9589999999996,1480.142,1348.246
55,0.54,01:22:57:20,1081.945,1480.21,1348.3929999999998
56,0.55,01:22:57:21,1081.954,1480.308,1348.5410000000004
57,0.56,01:22:57:21,1081.939,1480.39,1348.6660000000004
58,0.57,01:22:57:21,1081.884,1480.483,1348.755
59,0.58,01:22:57:21,1081.849,1480.559,1348.812
60,0.59,01:22:57:22,1081.807,1480.5970000000002,1348.796
61,0.6,01:22:57:22,1081.765,1480.64,1348.757
62,0.61,01:22:57:22,1081.726,1480.69,1348.704
63,0.62,01:22:57:22,1081.703,1480.759,1348.6760000000004
64,0.63,01:22:57:23,1081.67,1480.849,1348.6270000000004
65,0.64,01:22:57:23,1081.644,1480.935,1348.566
66,0.65,01:22:57:23,1081.609,1481.021,1348.499
67,0.66,01:22:57:23,1081.579,1481.065,1348.421
68,0.67,01:22:57:24,1081.549,1481.094,1348.317
69,0.68,01:22:57:24,1081.509,1481.098,1348.189
70,0.69,01:22:57:24,1081.467,1481.094,1348.099
71,0.7,01:22:57:24,1081.452,1481.09,1348.005
72,0.71,01:22:58:00,1081.442,1481.098,1347.951
73,0.72,01:22:58:00,1081.415,1481.088,1347.914
74,0.73,01:22:58:00,1081.42,1481.078,1347.91
75,0.74,01:22:58:00,1081.396,1481.056,1347.927
76,0.75,01:22:58:01,1081.384,1481.021,1347.969
77,0.76,01:22:58:01,1081.374,1480.987,1348.029
78,0.77,01:22:58:01,1081.378,1480.967,1348.125
79,0.78,01:22:58:01,1081.386,1480.939,1348.24
80,0.79,01:22:58:02,1081.405,1480.9129999999998,1348.37
81,0.8,01:22:58:02,1081.409,1480.889,1348.529
82,0.81,01:22:58:02,1081.432,1480.8729999999996,1348.683
83,0.82,01:22:58:02,1081.456,1480.884,1348.831
84,0.83,01:22:58:03,1081.515,1480.922,1349.0120000000004
85,0.84,01:22:58:03,1081.563,1480.931,1349.1660000000004
86,0.85,01:22:58:03,1081.609,1480.955,1349.294
87,0.86,01:22:58:03,1081.662,1480.9620000000002,1349.385
88,0.87,01:22:58:04,1081.682,1480.947,1349.4070000000004
89,0.88,01:22:58:04,1081.672,1480.8870000000004,1349.359
90,0.89,01:22:58:04,1081.638,1480.841,1349.227
91,0.9,01:22:58:04,1081.571,1480.7679999999998,1348.977
92,0.91,01:22:58:05,1081.515,1480.7120000000002,1348.696
93,0.92,01:22:58:05,1081.457,1480.655,1348.3729999999996
94,0.93,01:22:58:05,1081.422,1480.622,1347.958
95,0.94,01:22:58:05,1081.393,1480.605,1347.491
96,0.95,01:22:58:06,1081.398,1480.6029999999996,1346.928
97,0.96,01:22:58:06,1081.4160000000004,1480.665,1346.339
98,0.97,01:22:58:06,1081.477,1480.74,1345.7179999999996
99,0.98,01:22:58:06,1081.528,1480.8670000000004,1345.0770000000002
100,0.99,01:22:58:07,1081.564,1480.979,1344.509
101,1.0,01:22:58:07,1081.608,1481.1370000000004,1343.9029999999998
102,1.01,01:22:58:07,1081.638,1481.29,1343.2910000000004
103,1.02,01:22:58:07,1081.651,1481.476,1342.776
104,1.03,01:22:58:08,1081.6989999999996,1481.671,1342.284
105,1.04,01:22:58:08,1081.753,1481.915,1341.833
106,1.05,01:22:58:08,1081.764,1482.0870000000002,1341.424
107,1.06,01:22:58:08,1081.8,1482.316,1341.101
108,1.07,01:22:58:09,1081.803,1482.534,1340.828
109,1.08,01:22:58:09,1081.836,1482.767,1340.575
110,1.09,01:22:58:09,1081.88,1482.997,1340.382
111,1.1,01:22:58:09,1081.95,1483.235,1340.2379999999996
112,1.11,01:22:58:10,1082.036,1483.443,1340.124
113,1.12,01:22:58:10,1082.117,1483.6270000000004,1340.064
114,1.13,01:22:58:10,1082.182,1483.809,1340.079
115,1.14,01:22:58:10,1082.249,1484.017,1340.155
116,1.15,01:22:58:11,1082.306,1484.225,1340.311
117,1.16,01:22:58:11,1082.391,1484.457,1340.503
118,1.17,01:22:58:11,1082.488,1484.6529999999998,1340.7679999999998
119,1.18,01:22:58:11,1082.583,1484.852,1341.029
120,1.19,01:22:58:12,1082.668,1485.0120000000004,1341.36
121,1.2,01:22:58:12,1082.772,1485.183,1341.7910000000004
122,1.21,01:22:58:12,1082.866,1485.3339999999996,1342.279
123,1.22,01:22:58:12,1082.93,1485.501,1342.779
124,1.23,01:22:58:13,1083.023,1485.66,1343.355
125,1.24,01:22:58:13,1083.1,1485.8010000000004,1343.941
126,1.25,01:22:58:13,1083.143,1485.8770000000004,1344.477
127,1.26,01:22:58:13,1083.192,1485.963,1345.042
128,1.27,01:22:58:14,1083.252,1486.017,1345.665
129,1.28,01:22:58:14,1083.264,1486.0220000000004,1346.276
130,1.29,01:22:58:14,1083.307,1486.033,1346.839
131,1.3,01:22:58:14,1083.329,1486.001,1347.386
132,1.31,01:22:58:15,1083.321,1485.951,1347.8870000000004
133,1.32,01:22:58:15,1083.316,1485.8829999999996,1348.375
134,1.33,01:22:58:15,1083.289,1485.804,1348.829
135,1.34,01:22:58:15,1083.261,1485.6989999999996,1349.281
136,1.35,01:22:58:16,1083.202,1485.546,1349.6629999999998
137,1.36,01:22:58:16,1083.134,1485.3929999999998,1349.939
138,1.37,01:22:58:16,1083.085,1485.196,1350.144
139,1.38,01:22:58:16,1083.021,1484.979,1350.309
140,1.39,01:22:58:17,1082.955,1484.7320000000002,1350.4070000000004
141,1.4,01:22:58:17,1082.86,1484.501,1350.445
142,1.41,01:22:58:17,1082.769,1484.261,1350.422
143,1.42,01:22:58:17,1082.663,1484.023,1350.296
144,1.43,01:22:58:18,1082.552,1483.73,1350.0770000000002
145,1.44,01:22:58:18,1082.435,1483.3870000000004,1349.703
146,1.45,01:22:58:18,1082.293,1483.013,1349.245
147,1.46,01:22:58:18,1082.127,1482.622,1348.705
148,1.47,01:22:58:19,1081.924,1482.259,1348.101
149,1.48,01:22:58:19,1081.741,1481.891,1347.428
150,1.49,01:22:58:19,1081.557,1481.537,1346.615
151,1.5,01:22:58:19,1081.39,1481.219,1345.707
152,1.51,01:22:58:20,1081.28,1480.932,1344.851
153,1.52,01:22:58:20,1081.158,1480.668,1343.9589999999996
154,1.53,01:22:58:20,1081.099,1480.455,1343.082
155,1.54,01:22:58:20,1081.043,1480.325,1342.28
156,1.55,01:22:58:21,1080.979,1480.2679999999998,1341.5839999999996
157,1.56,01:22:58:21,1080.9489999999996,1480.273,1341.047
158,1.57,01:22:58:21,1080.938,1480.3429999999996,1340.582
159,1.58,01:22:58:21,1080.933,1480.454,1340.25
160,1.59,01:22:58:22,1080.924,1480.559,1339.996
161,1.6,01:22:58:22,1080.948,1480.689,1339.868
162,1.61,01:22:58:22,1080.953,1480.814,1339.8339999999996
163,1.62,01:22:58:22,1080.9489999999996,1480.947,1339.946
164,1.63,01:22:58:23,1080.96,1481.102,1340.197
165,1.64,01:22:58:23,1080.939,1481.259,1340.5770000000002
166,1.65,01:22:58:23,1080.939,1481.458,1341.015
167,1.66,01:22:58:23,1080.924,1481.635,1341.5220000000004
168,1.67,01:22:58:24,1080.901,1481.804,1342.11
169,1.68,01:22:58:24,1080.891,1481.9720000000002,1342.727
170,1.69,01:22:58:24,1080.789,1482.148,1343.333
171,1.7,01:22:58:24,1080.677,1482.326,1343.957
172,1.71,01:22:59:00,1080.521,1482.471,1344.513
173,1.72,01:22:59:00,1080.31,1482.655,1345.1029999999996
174,1.73,01:22:59:00,1079.991,1482.869,1345.735
175,1.74,01:22:59:00,1079.593,1483.091,1346.296
176,1.75,01:22:59:01,1079.011,1483.2579999999996,1346.711
177,1.76,01:22:59:01,1078.236,1483.388,1346.925
178,1.77,01:22:59:01,1077.15,1483.424,1346.906
179,1.78,01:22:59:01,1075.746,1483.3370000000002,1346.596
180,1.79,01:22:59:02,1073.968,1483.053,1345.879
181,1.8,01:22:59:02,1071.705,1482.506,1344.683
182,1.81,01:22:59:02,1068.96,1481.674,1343.1229999999996
183,1.82,01:22:59:02,1065.589,1480.533,1341.026
184,1.83,01:22:59:03,1061.612,1479.068,1338.4070000000004
185,1.84,01:22:59:03,1056.954,1477.369,1335.118
186,1.85,01:22:59:03,1051.592,1475.388,1331.255
187,1.86,01:22:59:03,1045.509,1473.284,1326.721
188,1.87,01:22:59:04,1038.704,1471.108,1321.527
189,1.88,01:22:59:04,1031.197,1468.932,1315.668
190,1.89,01:22:59:04,1023.052,1466.81,1309.08
191,1.9,01:22:59:04,1014.264,1464.698,1301.746
192,1.91,01:22:59:05,1004.89,1462.596,1293.68
193,1.92,01:22:59:05,995.12,1460.35,1284.695
194,1.93,01:22:59:05,984.656,1458.306,1275.03
195,1.94,01:22:59:05,973.999,1456.292,1264.606
196,1.95,01:22:59:06,963.028,1454.319,1253.379
197,1.96,01:22:59:06,951.868,1452.5479999999998,1241.461
198,1.97,01:22:59:06,940.588,1450.836,1228.789
199,1.98,01:22:59:06,929.15,1449.464,1215.566
200,1.99,01:22:59:07,917.725,1448.181,1201.616
201,2.0,01:22:59:07,906.278,1447.1070000000002,1187.136
202,2.01,01:22:59:07,894.8539999999998,1446.36,1172.094
203,2.02,01:22:59:07,883.507,1445.89,1156.531
204,2.03,01:22:59:08,872.419,1445.7,1140.624
205,2.04,01:22:59:08,861.012,1445.649,1124.192
206,2.05,01:22:59:08,849.7460000000002,1445.94,1107.435
207,2.06,01:22:59:08,838.462,1446.517,1090.427
208,2.07,01:22:59:09,827.1089999999998,1447.308,1073.377
209,2.08,01:22:59:09,815.627,1448.34,1056.233
210,2.09,01:22:59:09,804.041,1449.5770000000002,1039.11
211,2.1,01:22:59:09,792.197,1450.8970000000004,1022.087
212,2.11,01:22:59:10,780.1360000000002,1452.31,1005.325
213,2.12,01:22:59:10,767.5169999999998,1453.5220000000004,988.782
214,2.13,01:22:59:10,755.3510000000001,1455.325,973.15
215,2.14,01:22:59:10,742.773,1456.901,957.904
216,2.15,01:22:59:11,730.062,1458.4229999999998,943.304
217,2.16,01:22:59:11,717.243,1460.5479999999998,929.031
218,2.17,01:22:59:11,704.3689999999998,1462.386,915.644
219,2.18,01:22:59:11,691.192,1464.183,902.906
220,2.19,01:22:59:12,678.544,1466.136,891.062
221,2.2,01:22:59:12,666.2,1468.067,879.905
222,2.21,01:22:59:12,654.13,1470.275,869.541
223,2.22,01:22:59:12,642.914,1472.7520000000004,860.1419999999998
224,2.23,01:22:59:13,631.331,1475.188,851.0930000000002
225,2.24,01:22:59:13,620.7,1477.8339999999996,843.048
226,2.25,01:22:59:13,610.615,1480.681,835.824
227,2.26,01:22:59:13,601.039,1483.589,829.165
228,2.27,01:22:59:14,592.43,1486.605,823.421
229,2.28,01:22:59:14,584.4490000000002,1489.605,818.273
230,2.29,01:22:59:14,577.323,1492.705,813.703
231,2.3,01:22:59:14,571.031,1495.7020000000002,809.7330000000002
232,2.31,01:22:59:15,565.472,1498.701,806.2810000000002
233,2.32,01:22:59:15,559.616,1501.679,803.14
234,2.33,01:22:59:15,555.742,1504.654,800.7539999999998
235,2.34,01:22:59:15,552.678,1507.554,798.689
236,2.35,01:22:59:16,550.53,1510.414,797.255
237,2.36,01:22:59:16,549.153,1513.274,796.2819999999998
238,2.37,01:22:59:16,548.558,1516.1129999999996,795.7639999999999
239,2.38,01:22:59:16,548.815,1518.838,795.7330000000002
240,2.39,01:22:59:17,549.809,1521.575,796.084
241,2.4,01:22:59:17,551.595,1524.259,796.905
242,2.41,01:22:59:17,554.069,1526.99,798.2180000000002
243,2.42,01:22:59:17,557.0459999999998,1529.765,799.5889999999998
244,2.43,01:22:59:18,560.464,1532.484,801.355
245,2.44,01:22:59:18,564.344,1535.165,803.27
246,2.45,01:22:59:18,568.673,1537.7420000000004,805.4789999999998
247,2.46,01:22:59:18,573.271,1540.553,808.07
248,2.47,01:22:59:19,578.1519999999998,1543.057,810.882
249,2.48,01:22:59:19,583.222,1545.51,813.872
250,2.49,01:22:59:19,588.181,1548.6660000000004,817.13
251,2.5,01:22:59:19,593.342,1550.987,820.488
252,2.51,01:22:59:20,598.535,1553.275,824.053
