Frame,Time,SMPTE,bar_left_shoulder_x,bar_left_shoulder_y,bar_left_shoulder_z
1,0.0,01:22:57:07,415.35900000000004,1496.1429999999998,1475.8770000000002
2,0.01,01:22:57:07,415.39599999999996,1496.0610000000001,1475.911
3,0.02,01:22:57:07,415.345,1495.95,1475.856
4,0.03,01:22:57:08,415.337,1495.8570000000002,1475.846
5,0.04,01:22:57:08,415.121,1495.5420000000001,1475.15
6,0.05,01:22:57:08,415.105,1495.5739999999998,1475.3010000000002
7,0.06,01:22:57:08,415.10400000000004,1495.497,1475.281
8,0.07,01:22:57:09,415.092,1495.406,1475.2479999999998
9,0.08,01:22:57:09,415.096,1495.32,1475.223
10,0.09,01:22:57:09,415.08,1495.195,1475.182
11,0.1,01:22:57:09,415.098,1495.085,1475.194
12,0.11,01:22:57:10,415.094,1494.973,1475.174
13,0.12,01:22:57:10,415.093,1494.865,1475.185
14,0.13,01:22:57:10,415.097,1494.785,1475.201
15,0.14,01:22:57:10,415.096,1494.707,1475.1979999999999
16,0.15,01:22:57:11,415.08,1494.62,1475.2079999999999
17,0.16,01:22:57:11,415.086,1494.546,1475.221
18,0.17,01:22:57:11,415.07099999999997,1494.4479999999999,1475.224
19,0.18,01:22:57:11,415.048,1494.3429999999998,1475.2089999999998
20,0.19,01:22:57:12,415.028,1494.243,1475.227
21,0.2,01:22:57:12,415.028,1494.106,1475.227
22,0.21,01:22:57:12,415.024,1493.9779999999998,1475.215
23,0.22,01:22:57:12,415.004,1493.849,1475.1760000000002
24,0.23,01:22:57:13,415.01,1493.733,1475.162
25,0.24,01:22:57:13,414.99300000000005,1493.616,1475.132
26,0.25,01:22:57:13,414.98900000000003,1493.517,1475.12
27,0.26,01:22:57:13,414.994,1493.4070000000002,1475.108
28,0.27,01:22:57:14,414.97,1493.2910000000002,1475.098
29,0.28,01:22:57:14,414.944,1493.194,1475.11
30,0.29,01:22:57:14,414.93300000000005,1493.094,1475.126
31,0.3,01:22:57:14,414.92,1492.993,1475.148
32,0.31,01:22:57:15,414.912,1492.9160000000002,1475.1770000000001
33,0.32,01:22:57:15,414.892,1492.8270000000002,1475.1770000000001
34,0.33,01:22:57:15,414.87699999999995,1492.76,1475.201
35,0.34,01:22:57:15,414.844,1492.7089999999998,1475.2079999999999
36,0.35,01:22:57:16,414.82599999999996,1492.648,1475.203
37,0.36,01:22:57:16,414.80699999999996,1492.5810000000001,1475.227
38,0.37,01:22:57:16,414.785,1492.549,1475.236
39,0.38,01:22:57:16,414.773,1492.52,1475.261
40,0.39,01:22:57:17,414.764,1492.486,1475.2779999999998
41,0.4,01:22:57:17,414.786,1492.4660000000001,1475.2910000000002
42,0.41,01:22:57:17,414.791,1492.432,1475.28
43,0.42,01:22:57:17,414.795,1492.4160000000002,1475.274
44,0.43,01:22:57:18,414.82099999999997,1492.3929999999998,1475.273
45,0.44,01:22:57:18,414.846,1492.372,1475.254
46,0.45,01:22:57:18,414.847,1492.342,1475.2479999999998
47,0.46,01:22:57:18,414.852,1492.319,1475.244
48,0.47,01:22:57:19,414.847,1492.309,1475.2579999999998
49,0.48,01:22:57:19,414.846,1492.3039999999999,1475.259
50,0.49,01:22:57:19,414.833,1492.296,1475.247
51,0.5,01:22:57:19,414.83,1492.276,1475.2479999999998
52,0.51,01:22:57:20,414.815,1492.259,1475.23
53,0.52,01:22:57:20,414.8,1492.22,1475.22
54,0.53,01:22:57:20,414.75800000000004,1492.1689999999999,1475.21
55,0.54,01:22:57:20,414.73400000000004,1492.111,1475.2060000000001
56,0.55,01:22:57:21,414.66900000000004,1492.055,1475.204
57,0.56,01:22:57:21,414.64,1492.011,1475.229
58,0.57,01:22:57:21,414.58099999999996,1491.969,1475.235
59,0.58,01:22:57:21,414.529,1491.9370000000001,1475.254
60,0.59,01:22:57:22,414.47,1491.911,1475.266
61,0.6,01:22:57:22,414.411,1491.869,1475.26
62,0.61,01:22:57:22,414.353,1491.81,1475.2679999999998
63,0.62,01:22:57:22,414.291,1491.745,1475.271
64,0.63,01:22:57:23,414.219,1491.703,1475.274
65,0.64,01:22:57:23,414.181,1491.645,1475.259
66,0.65,01:22:57:23,414.135,1491.624,1475.253
67,0.66,01:22:57:23,414.097,1491.588,1475.257
68,0.67,01:22:57:24,414.061,1491.556,1475.256
69,0.68,01:22:57:24,414.01099999999997,1491.527,1475.253
70,0.69,01:22:57:24,413.971,1491.529,1475.249
71,0.7,01:22:57:24,413.944,1491.525,1475.241
72,0.71,01:22:58:00,413.921,1491.531,1475.2279999999998
73,0.72,01:22:58:00,413.907,1491.537,1475.215
74,0.73,01:22:58:00,413.898,1491.557,1475.205
75,0.74,01:22:58:00,413.899,1491.5739999999998,1475.1889999999999
76,0.75,01:22:58:01,413.89,1491.58,1475.1860000000001
77,0.76,01:22:58:01,413.889,1491.62,1475.161
78,0.77,01:22:58:01,413.879,1491.654,1475.154
79,0.78,01:22:58:01,413.89099999999996,1491.6960000000001,1475.139
80,0.79,01:22:58:02,413.92199999999997,1491.74,1475.126
81,0.8,01:22:58:02,413.949,1491.783,1475.112
82,0.81,01:22:58:02,413.976,1491.8220000000001,1475.0929999999998
83,0.82,01:22:58:02,414.006,1491.85,1475.0870000000002
84,0.83,01:22:58:03,414.039,1491.9,1475.069
85,0.84,01:22:58:03,414.06699999999995,1491.9620000000002,1475.066
86,0.85,01:22:58:03,414.102,1491.993,1475.0510000000002
87,0.86,01:22:58:03,414.116,1492.0420000000001,1475.031
88,0.87,01:22:58:04,414.153,1492.086,1475.03
89,0.88,01:22:58:04,414.162,1492.116,1475.013
90,0.89,01:22:58:04,414.19800000000004,1492.1670000000001,1474.996
91,0.9,01:22:58:04,414.249,1492.1879999999999,1474.981
92,0.91,01:22:58:05,414.32,1492.225,1474.985
93,0.92,01:22:58:05,414.37800000000004,1492.2420000000002,1474.9589999999998
94,0.93,01:22:58:05,414.44199999999995,1492.26,1474.94
95,0.94,01:22:58:05,414.50199999999995,1492.295,1474.9070000000002
96,0.95,01:22:58:06,414.579,1492.3370000000002,1474.86
97,0.96,01:22:58:06,414.67400000000004,1492.392,1474.797
98,0.97,01:22:58:06,414.765,1492.469,1474.733
99,0.98,01:22:58:06,414.844,1492.559,1474.6860000000001
100,0.99,01:22:58:07,414.936,1492.631,1474.648
101,1.0,01:22:58:07,415.019,1492.715,1474.614
102,1.01,01:22:58:07,415.075,1492.787,1474.5739999999998
103,1.02,01:22:58:07,415.13699999999994,1492.84,1474.565
104,1.03,01:22:58:08,415.18,1492.8870000000002,1474.5379999999998
105,1.04,01:22:58:08,415.236,1492.94,1474.496
106,1.05,01:22:58:08,415.276,1492.9560000000001,1474.454
107,1.06,01:22:58:08,415.341,1492.963,1474.4379999999999
108,1.07,01:22:58:09,415.385,1492.975,1474.4170000000001
109,1.08,01:22:58:09,415.44,1492.994,1474.379
110,1.09,01:22:58:09,415.49300000000005,1492.981,1474.3529999999998
111,1.1,01:22:58:09,415.543,1492.984,1474.326
112,1.11,01:22:58:10,415.593,1492.983,1474.281
113,1.12,01:22:58:10,415.64300000000003,1492.944,1474.239
114,1.13,01:22:58:10,415.685,1492.9160000000002,1474.191
115,1.14,01:22:58:10,415.719,1492.862,1474.1789999999999
116,1.15,01:22:58:11,415.774,1492.8310000000001,1474.1760000000002
117,1.16,01:22:58:11,415.819,1492.808,1474.158
118,1.17,01:22:58:11,415.858,1492.785,1474.148
119,1.18,01:22:58:11,415.885,1492.751,1474.13
120,1.19,01:22:58:12,415.921,1492.719,1474.124
121,1.2,01:22:58:12,415.941,1492.6760000000002,1474.122
122,1.21,01:22:58:12,415.94599999999997,1492.658,1474.122
123,1.22,01:22:58:12,415.93699999999995,1492.6170000000002,1474.112
124,1.23,01:22:58:13,415.964,1492.579,1474.122
125,1.24,01:22:58:13,415.95099999999996,1492.495,1474.124
126,1.25,01:22:58:13,415.94199999999995,1492.432,1474.135
127,1.26,01:22:58:13,415.902,1492.359,1474.141
128,1.27,01:22:58:14,415.88,1492.281,1474.146
129,1.28,01:22:58:14,415.851,1492.207,1474.155
130,1.29,01:22:58:14,415.806,1492.131,1474.1660000000002
131,1.3,01:22:58:14,415.74,1492.068,1474.1779999999999
132,1.31,01:22:58:15,415.69599999999997,1491.987,1474.207
133,1.32,01:22:58:15,415.619,1491.899,1474.235
134,1.33,01:22:58:15,415.564,1491.8239999999998,1474.2820000000002
135,1.34,01:22:58:15,415.50800000000004,1491.719,1474.3229999999999
136,1.35,01:22:58:16,415.464,1491.65,1474.395
137,1.36,01:22:58:16,415.389,1491.549,1474.43
138,1.37,01:22:58:16,415.329,1491.473,1474.467
139,1.38,01:22:58:16,415.269,1491.381,1474.514
140,1.39,01:22:58:17,415.204,1491.31,1474.545
141,1.4,01:22:58:17,415.161,1491.2279999999998,1474.585
142,1.41,01:22:58:17,415.142,1491.171,1474.615
143,1.42,01:22:58:17,415.125,1491.099,1474.601
144,1.43,01:22:58:18,415.12699999999995,1491.03,1474.594
145,1.44,01:22:58:18,415.115,1490.973,1474.576
146,1.45,01:22:58:18,415.124,1490.899,1474.5639999999999
147,1.46,01:22:58:18,415.12,1490.825,1474.56
148,1.47,01:22:58:19,415.105,1490.745,1474.529
149,1.48,01:22:58:19,415.06800000000004,1490.6660000000002,1474.525
150,1.49,01:22:58:19,415.08,1490.576,1474.496
151,1.5,01:22:58:19,415.077,1490.486,1474.4820000000002
152,1.51,01:22:58:20,415.04699999999997,1490.4,1474.4779999999998
153,1.52,01:22:58:20,415.006,1490.295,1474.435
154,1.53,01:22:58:20,414.973,1490.219,1474.415
155,1.54,01:22:58:20,414.92199999999997,1490.11,1474.3870000000002
156,1.55,01:22:58:21,414.88300000000004,1490.001,1474.38
157,1.56,01:22:58:21,414.86,1489.854,1474.4070000000002
158,1.57,01:22:58:21,414.79400000000004,1489.707,1474.382
159,1.58,01:22:58:21,414.767,1489.5379999999998,1474.425
160,1.59,01:22:58:22,414.704,1489.372,1474.425
161,1.6,01:22:58:22,414.64300000000003,1489.1889999999999,1474.4470000000001
162,1.61,01:22:58:22,414.59,1489.003,1474.465
163,1.62,01:22:58:22,414.532,1488.8039999999999,1474.4579999999999
164,1.63,01:22:58:23,414.474,1488.616,1474.464
165,1.64,01:22:58:23,414.42900000000003,1488.402,1474.471
166,1.65,01:22:58:23,414.414,1488.2060000000001,1474.485
167,1.66,01:22:58:23,414.366,1488.025,1474.499
168,1.67,01:22:58:24,414.337,1487.866,1474.51
169,1.68,01:22:58:24,414.311,1487.724,1474.5120000000002
170,1.69,01:22:58:24,414.285,1487.58,1474.516
171,1.7,01:22:58:24,414.27099999999996,1487.4379999999999,1474.529
172,1.71,01:22:59:00,414.26599999999996,1487.2910000000002,1474.505
173,1.72,01:22:59:00,414.28,1487.116,1474.4779999999998
174,1.73,01:22:59:00,414.32,1486.921,1474.441
175,1.74,01:22:59:00,414.409,1486.685,1474.4089999999999
176,1.75,01:22:59:01,414.526,1486.386,1474.3410000000001
177,1.76,01:22:59:01,414.75800000000004,1486.001,1474.2910000000002
178,1.77,01:22:59:01,415.07199999999995,1485.531,1474.1960000000001
179,1.78,01:22:59:01,415.458,1485.059,1474.0539999999999
180,1.79,01:22:59:02,415.89,1484.555,1473.8239999999998
181,1.8,01:22:59:02,416.4,1484.006,1473.525
182,1.81,01:22:59:02,417.009,1483.4260000000002,1473.139
183,1.82,01:22:59:02,417.671,1483.005,1472.859
184,1.83,01:22:59:03,418.54,1482.3570000000002,1472.41
185,1.84,01:22:59:03,419.551,1481.68,1471.849
186,1.85,01:22:59:03,420.69800000000004,1480.9620000000002,1471.256
187,1.86,01:22:59:03,421.906,1480.231,1470.6229999999998
188,1.87,01:22:59:04,423.23900000000003,1479.455,1469.899
189,1.88,01:22:59:04,424.439,1478.68,1469.125
190,1.89,01:22:59:04,425.671,1477.8629999999998,1468.2420000000002
191,1.9,01:22:59:04,426.754,1477.106,1467.405
192,1.91,01:22:59:05,427.856,1476.352,1466.411
193,1.92,01:22:59:05,428.95099999999996,1475.594,1465.424
194,1.93,01:22:59:05,429.955,1474.868,1464.4279999999999
195,1.94,01:22:59:05,430.844,1474.17,1463.412
196,1.95,01:22:59:06,431.62300000000005,1473.463,1462.362
197,1.96,01:22:59:06,432.223,1472.7620000000002,1461.339
198,1.97,01:22:59:06,432.70599999999996,1472.082,1460.316
199,1.98,01:22:59:06,433.096,1471.221,1459.204
200,1.99,01:22:59:07,433.345,1470.602,1458.293
201,2.0,01:22:59:07,433.42900000000003,1469.954,1457.36
202,2.01,01:22:59:07,433.476,1469.281,1456.5410000000002
203,2.02,01:22:59:07,433.504,1468.503,1455.747
204,2.03,01:22:59:08,433.52099999999996,1467.5629999999999,1454.955
205,2.04,01:22:59:08,433.406,1466.668,1454.14
206,2.05,01:22:59:08,433.14599999999996,1465.5970000000002,1453.376
207,2.06,01:22:59:08,432.853,1464.525,1452.69
208,2.07,01:22:59:09,432.543,1463.402,1452.029
209,2.08,01:22:59:09,432.19599999999997,1462.451,1451.376
210,2.09,01:22:59:09,432.00800000000004,1460.989,1450.3329999999999
211,2.1,01:22:59:09,431.50800000000004,1459.514,1449.2979999999998
212,2.11,01:22:59:10,431.173,1458.514,1448.855
213,2.12,01:22:59:10,430.62699999999995,1457.094,1447.8570000000002
214,2.13,01:22:59:10,429.88300000000004,1455.457,1446.717
215,2.14,01:22:59:10,429.093,1453.8470000000002,1445.293
216,2.15,01:22:59:11,428.526,1452.3139999999999,1444.318
217,2.16,01:22:59:11,427.88,1450.8110000000001,1443.4679999999998
218,2.17,01:22:59:11,427.159,1449.275,1442.675
219,2.18,01:22:59:11,426.42800000000005,1447.775,1441.9279999999999
220,2.19,01:22:59:12,425.601,1446.2279999999998,1441.2320000000002
221,2.2,01:22:59:12,424.694,1444.6570000000002,1440.638
222,2.21,01:22:59:12,423.70599999999996,1443.069,1439.977
223,2.22,01:22:59:12,422.63699999999994,1441.46,1439.28
