Frame,Time,SMPTE,bar_right_elbow_x,bar_right_elbow_y,bar_right_elbow_z
1,0.0,01:26:28:12,-211.0665,1559.1315,1401.6715
2,0.01,01:26:28:12,-211.128,1559.01,1401.5485
3,0.02,01:26:28:12,-211.196,1558.886,1401.4485
4,0.03,01:26:28:13,-211.31599999999997,1558.622,1401.424
5,0.04,01:26:28:13,-211.4405,1558.5405,1401.267
6,0.05,01:26:28:13,-211.574,1558.408,1401.2395
7,0.06,01:26:28:13,-211.6355,1558.307,1401.1735
8,0.07,01:26:28:14,-211.7085,1558.2235,1401.125
9,0.08,01:26:28:14,-211.765,1558.125,1401.0955
10,0.09,01:26:28:14,-211.797,1558.0615,1401.065
11,0.1,01:26:28:14,-211.8445,1558.004,1401.0805
12,0.11,01:26:28:15,-211.8755,1557.96,1401.076
13,0.12,01:26:28:15,-211.9265,1557.922,1401.0805
14,0.13,01:26:28:15,-211.9575,1557.8855,1401.0870000000002
15,0.14,01:26:28:15,-211.9855,1557.8685,1401.1
16,0.15,01:26:28:16,-212.024,1557.8565,1401.1095
17,0.16,01:26:28:16,-212.054,1557.8525,1401.128
18,0.17,01:26:28:16,-212.0695,1557.8675,1401.1645
19,0.18,01:26:28:16,-212.105,1557.8935,1401.193
20,0.19,01:26:28:17,-212.1245,1557.914,1401.2245
21,0.2,01:26:28:17,-212.1495,1557.9265,1401.2520000000002
22,0.21,01:26:28:17,-212.1475,1557.9515,1401.2715
23,0.22,01:26:28:17,-212.1575,1557.9645,1401.3245
24,0.23,01:26:28:18,-212.1655,1557.9920000000002,1401.352
25,0.24,01:26:28:18,-212.178,1558.009,1401.366
26,0.25,01:26:28:18,-212.173,1558.0379999999998,1401.3870000000002
27,0.26,01:26:28:18,-212.1855,1558.0575,1401.386
28,0.27,01:26:28:19,-212.178,1558.067,1401.39
29,0.28,01:26:28:19,-212.18599999999998,1558.0929999999998,1401.3770000000002
30,0.29,01:26:28:19,-212.187,1558.098,1401.3495
31,0.3,01:26:28:19,-212.1955,1558.0945,1401.3255
32,0.31,01:26:28:20,-212.21200000000002,1558.0855,1401.2825
33,0.32,01:26:28:20,-212.2145,1558.0575,1401.2335
34,0.33,01:26:28:20,-212.2145,1558.0439999999999,1401.171
35,0.34,01:26:28:20,-212.2385,1558.0015,1401.094
36,0.35,01:26:28:21,-212.2595,1557.98,1401.017
37,0.36,01:26:28:21,-212.2765,1557.9660000000001,1400.9115
38,0.37,01:26:28:21,-212.28799999999998,1557.9305,1400.8139999999999
39,0.38,01:26:28:21,-212.30200000000002,1557.9075,1400.7075
40,0.39,01:26:28:22,-212.312,1557.876,1400.588
41,0.4,01:26:28:22,-212.3195,1557.8465,1400.4375
42,0.41,01:26:28:22,-212.351,1557.7985,1400.3095
43,0.42,01:26:28:22,-212.37900000000002,1557.7665,1400.182
44,0.43,01:26:28:23,-212.4015,1557.731,1400.0505
45,0.44,01:26:28:23,-212.429,1557.6815,1399.9370000000001
46,0.45,01:26:28:23,-212.44099999999997,1557.644,1399.8110000000001
47,0.46,01:26:28:23,-212.4565,1557.6170000000002,1399.711
48,0.47,01:26:28:24,-212.454,1557.5995,1399.6
49,0.48,01:26:28:24,-212.472,1557.5955,1399.5079999999998
50,0.49,01:26:28:24,-212.4695,1557.595,1399.414
51,0.5,01:26:28:24,-212.467,1557.596,1399.3210000000001
52,0.51,01:26:29:00,-212.4685,1557.5825,1399.2465
53,0.52,01:26:29:00,-212.4815,1557.5555,1399.1455
54,0.53,01:26:29:00,-212.486,1557.5045,1399.0915
55,0.54,01:26:29:00,-212.49400000000003,1557.457,1399.0539999999999
56,0.55,01:26:29:01,-212.4715,1557.4175,1398.996
57,0.56,01:26:29:01,-212.468,1557.3529999999998,1399.0025
58,0.57,01:26:29:01,-212.4445,1557.3005,1399.001
59,0.58,01:26:29:01,-212.43599999999998,1557.2545,1399.033
60,0.59,01:26:29:02,-212.4195,1557.1960000000001,1399.0995
61,0.6,01:26:29:02,-212.3965,1557.162,1399.16
62,0.61,01:26:29:02,-212.361,1557.122,1399.2305
63,0.62,01:26:29:02,-212.326,1557.0825,1399.32
64,0.63,01:26:29:03,-212.2855,1557.0445,1399.4145
65,0.64,01:26:29:03,-212.233,1557.0020000000002,1399.5315
66,0.65,01:26:29:03,-212.18400000000003,1556.9605,1399.638
