Frame,Time,SMPTE,bar_right_knee_x,bar_right_knee_y,bar_right_knee_z
1,0.0,01:26:28:12,96.6685,1489.7615,472.9385
2,0.01,01:26:28:12,96.649,1489.7945,472.9205
3,0.02,01:26:28:12,96.2615,1490.9935,472.6575
4,0.03,01:26:28:13,96.42299999999999,1491.3265,472.86400000000003
5,0.04,01:26:28:13,96.311,1490.777,472.6725
6,0.05,01:26:28:13,96.476,1491.006,472.624
7,0.06,01:26:28:13,96.469,1491.0195,472.6145
8,0.07,01:26:28:14,96.4845,1491.039,472.6205
9,0.08,01:26:28:14,96.488,1491.0605,472.60699999999997
10,0.09,01:26:28:14,96.48200000000001,1491.0965,472.61300000000006
11,0.1,01:26:28:14,96.486,1491.116,472.619
12,0.11,01:26:28:15,96.4915,1491.1629999999998,472.589
13,0.12,01:26:28:15,96.49799999999999,1491.1835,472.5775
14,0.13,01:26:28:15,96.488,1491.201,472.585
15,0.14,01:26:28:15,96.501,1491.219,472.6025
16,0.15,01:26:28:16,96.50200000000001,1491.241,472.62199999999996
17,0.16,01:26:28:16,96.51100000000001,1491.2615,472.62800000000004
18,0.17,01:26:28:16,96.507,1491.3010000000002,472.6365
19,0.18,01:26:28:16,96.5195,1491.34,472.6315
20,0.19,01:26:28:17,96.5335,1491.396,472.61699999999996
21,0.2,01:26:28:17,96.55799999999999,1491.44,472.6325
22,0.21,01:26:28:17,96.579,1491.5320000000002,472.6245
23,0.22,01:26:28:17,96.6145,1491.6075,472.651
24,0.23,01:26:28:18,96.625,1491.6785,472.6525
25,0.24,01:26:28:18,96.633,1491.777,472.6595
26,0.25,01:26:28:18,96.65,1491.828,472.6635
27,0.26,01:26:28:18,96.64,1491.9055,472.685
28,0.27,01:26:28:19,96.65100000000001,1491.953,472.6895
29,0.28,01:26:28:19,96.6625,1492.015,472.6965
30,0.29,01:26:28:19,96.76100000000001,1492.4679999999998,472.76800000000003
31,0.3,01:26:28:19,96.6825,1492.101,472.6965
32,0.31,01:26:28:20,96.7675,1492.5479999999998,472.75699999999995
33,0.32,01:26:28:20,96.6825,1492.162,472.6955
34,0.33,01:26:28:20,96.696,1492.1475,472.70300000000003
35,0.34,01:26:28:20,96.79899999999999,1492.5829999999999,472.7745
36,0.35,01:26:28:21,96.81700000000001,1492.6145,472.7715
37,0.36,01:26:28:21,96.7715,1492.221,472.7065
38,0.37,01:26:28:21,96.9085,1492.655,472.7665
39,0.38,01:26:28:21,96.9285,1492.6860000000001,472.7615
40,0.39,01:26:28:22,96.9695,1492.7279999999998,472.7485
41,0.4,01:26:28:22,96.9825,1492.7479999999998,472.7485
42,0.41,01:26:28:22,97.00200000000001,1492.7745,472.77099999999996
43,0.42,01:26:28:22,97.03,1492.789,472.76300000000003
44,0.43,01:26:28:23,96.9645,1492.4005,472.713
45,0.44,01:26:28:23,96.9635,1492.4065,472.6955
46,0.45,01:26:28:23,97.06200000000001,1492.7925,472.7365
47,0.46,01:26:28:23,97.0715,1492.7939999999999,472.73199999999997
48,0.47,01:26:28:24,96.99600000000001,1492.41,472.714
49,0.48,01:26:28:24,97.0745,1492.8110000000001,472.759
50,0.49,01:26:28:24,97.089,1492.829,472.7515
51,0.5,01:26:28:24,97.10700000000001,1492.844,472.755
52,0.51,01:26:29:00,97.0455,1492.4479999999999,472.6905
53,0.52,01:26:29:00,97.1505,1492.835,472.73800000000006
54,0.53,01:26:29:00,97.182,1492.8210000000001,472.7395
55,0.54,01:26:29:00,97.22200000000001,1492.8,472.7315
56,0.55,01:26:29:01,97.221,1492.7825,472.7335
57,0.56,01:26:29:01,97.2165,1492.7515,472.6905
58,0.57,01:26:29:01,97.209,1492.6965,472.69599999999997
59,0.58,01:26:29:01,97.185,1492.6775,472.6865
60,0.59,01:26:29:02,97.2815,1492.636,472.7555
61,0.6,01:26:29:02,97.1595,1492.635,472.6975
62,0.61,01:26:29:02,97.154,1492.631,472.685
63,0.62,01:26:29:02,97.15899999999999,1492.5915,472.691
64,0.63,01:26:29:03,97.1445,1492.5970000000002,472.6955
65,0.64,01:26:29:03,97.1555,1492.5765,472.68300000000005
66,0.65,01:26:29:03,97.0495,1492.1365,472.648
67,0.66,01:26:29:03,97.109,1492.5165,472.69800000000004
68,0.67,01:26:29:04,97.01700000000001,1492.0785,472.6375
69,0.68,01:26:29:04,96.985,1492.043,472.642
70,0.69,01:26:29:04,97.0515,1492.4305,472.7145
71,0.7,01:26:29:04,97.0225,1492.4215,472.719
