Frame,Time,SMPTE,bar_shoulder_centre_x,bar_shoulder_centre_y,bar_shoulder_centre_z
1,0.0,01:28:37:14,236.2585,1532.2595,1486.693
2,0.01,01:28:37:14,236.28099999999998,1532.2985,1486.703
3,0.02,01:28:37:14,236.206,1531.8425,1486.7120000000002
4,0.03,01:28:37:15,236.1935,1532.0555,1486.832
5,0.04,01:28:37:15,236.165,1531.971,1486.5520000000001
6,0.05,01:28:37:15,236.1725,1531.9965,1486.5279999999998
7,0.06,01:28:37:15,236.1915,1532.016,1486.54
8,0.07,01:28:37:16,236.227,1532.0455,1486.5405
9,0.08,01:28:37:16,236.269,1532.066,1486.54
10,0.09,01:28:37:16,236.308,1532.0720000000001,1486.558
11,0.1,01:28:37:16,236.35299999999998,1532.0835,1486.5510000000002
12,0.11,01:28:37:17,236.4055,1532.0975,1486.5585
13,0.12,01:28:37:17,236.4615,1532.102,1486.57
14,0.13,01:28:37:17,236.5125,1532.1165,1486.59
15,0.14,01:28:37:17,236.55599999999998,1532.125,1486.578
16,0.15,01:28:37:18,236.5965,1532.1270000000002,1486.5770000000002
17,0.16,01:28:37:18,236.63099999999997,1532.13,1486.5770000000002
18,0.17,01:28:37:18,236.67,1532.1395,1486.5755
19,0.18,01:28:37:18,236.707,1532.139,1486.5745
20,0.19,01:28:37:19,236.7305,1532.139,1486.578
21,0.2,01:28:37:19,236.7695,1532.14,1486.5995
22,0.21,01:28:37:19,236.7935,1532.142,1486.6129999999998
23,0.22,01:28:37:19,236.8225,1532.134,1486.6235
24,0.23,01:28:37:20,236.86900000000003,1532.14,1486.649
25,0.24,01:28:37:20,236.90099999999998,1532.139,1486.675
26,0.25,01:28:37:20,236.938,1532.1295,1486.6779999999999
27,0.26,01:28:37:20,236.9745,1532.124,1486.67
28,0.27,01:28:37:21,236.997,1532.094,1486.6629999999998
29,0.28,01:28:37:21,237.0475,1532.0710000000001,1486.6575
30,0.29,01:28:37:21,237.0615,1532.033,1486.641
31,0.3,01:28:37:21,237.083,1532.014,1486.6385
32,0.31,01:28:37:22,237.1075,1532.0055,1486.6315
33,0.32,01:28:37:22,237.111,1532.005,1486.6195
34,0.33,01:28:37:22,237.1305,1532.014,1486.6365
35,0.34,01:28:37:22,237.123,1532.0145,1486.6275
36,0.35,01:28:37:23,237.1285,1532.039,1486.644
37,0.36,01:28:37:23,237.1345,1532.0625,1486.6545
38,0.37,01:28:37:23,237.125,1532.0775,1486.6565
39,0.38,01:28:37:23,237.125,1532.1170000000002,1486.6635
40,0.39,01:28:37:24,237.1265,1532.144,1486.652
41,0.4,01:28:37:24,237.1145,1532.19,1486.6470000000002
42,0.41,01:28:37:24,237.1055,1532.213,1486.6229999999998
43,0.42,01:28:37:24,237.0905,1532.2465,1486.5955
44,0.43,01:28:38:00,237.07,1532.274,1486.578
45,0.44,01:28:38:00,237.05599999999998,1532.2965,1486.5575
46,0.45,01:28:38:00,237.03900000000002,1532.3245,1486.5215
47,0.46,01:28:38:00,237.0195,1532.3615,1486.5105
48,0.47,01:28:38:01,237.0,1532.385,1486.4895
49,0.48,01:28:38:01,236.9755,1532.4265,1486.4675
50,0.49,01:28:38:01,236.9645,1532.4545,1486.47
51,0.5,01:28:38:01,236.9445,1532.5065,1486.469
52,0.51,01:28:38:02,236.9105,1532.5320000000002,1486.4589999999998
53,0.52,01:28:38:02,236.88299999999998,1532.569,1486.45
54,0.53,01:28:38:02,236.86,1532.619,1486.4425
55,0.54,01:28:38:02,236.81900000000002,1532.65,1486.422
56,0.55,01:28:38:03,236.7985,1532.703,1486.3965
57,0.56,01:28:38:03,236.7715,1532.7345,1486.356
58,0.57,01:28:38:03,236.747,1532.77,1486.3275
59,0.58,01:28:38:03,236.7195,1532.815,1486.2855
60,0.59,01:28:38:04,236.71099999999998,1532.8475,1486.2615
61,0.6,01:28:38:04,236.68400000000003,1532.8705,1486.2285
62,0.61,01:28:38:04,236.65099999999998,1532.898,1486.223
63,0.62,01:28:38:04,236.623,1532.9170000000001,1486.2165
64,0.63,01:28:38:05,236.595,1532.93,1486.2085
65,0.64,01:28:38:05,236.57299999999998,1532.9489999999998,1486.221
66,0.65,01:28:38:05,236.541,1532.967,1486.214
67,0.66,01:28:38:05,236.5,1532.996,1486.219
68,0.67,01:28:38:06,236.47400000000002,1533.005,1486.2215
69,0.68,01:28:38:06,236.45,1533.007,1486.2285
70,0.69,01:28:38:06,236.415,1533.0275,1486.2185
71,0.7,01:28:38:06,236.3945,1533.0375,1486.2185
72,0.71,01:28:38:07,236.37,1533.0439999999999,1486.205
73,0.72,01:28:38:07,236.3495,1533.0485,1486.185
74,0.73,01:28:38:07,236.3265,1533.058,1486.1779999999999
75,0.74,01:28:38:07,236.3155,1533.0905,1486.1570000000002
76,0.75,01:28:38:08,236.2985,1533.0970000000002,1486.1370000000002
77,0.76,01:28:38:08,236.2765,1533.124,1486.1215
78,0.77,01:28:38:08,236.2675,1533.1570000000002,1486.1185
79,0.78,01:28:38:08,236.2555,1533.19,1486.105
80,0.79,01:28:38:09,236.26,1533.2325,1486.0835
81,0.8,01:28:38:09,236.248,1533.2679999999998,1486.0685
82,0.81,01:28:38:09,236.235,1533.299,1486.0439999999999
83,0.82,01:28:38:09,236.24200000000002,1533.3265,1486.036
84,0.83,01:28:38:10,236.2375,1533.348,1486.0220000000002
85,0.84,01:28:38:10,236.243,1533.3670000000002,1486.004
86,0.85,01:28:38:10,236.237,1533.386,1486.0055
87,0.86,01:28:38:10,236.2485,1533.386,1486.0015
88,0.87,01:28:38:11,236.261,1533.381,1485.9920000000002
89,0.88,01:28:38:11,236.27700000000002,1533.3765,1486.0095
90,0.89,01:28:38:11,236.2885,1533.369,1485.9905
91,0.9,01:28:38:11,236.303,1533.3575,1486.0015
92,0.91,01:28:38:12,236.329,1533.332,1486.0015
93,0.92,01:28:38:12,236.345,1533.3085,1486.0
94,0.93,01:28:38:12,236.3625,1533.2755,1486.0035
95,0.94,01:28:38:12,236.3965,1533.2315,1486.0095
96,0.95,01:28:38:13,236.418,1533.1955,1486.0120000000002
97,0.96,01:28:38:13,236.43900000000002,1533.1415,1486.0215
98,0.97,01:28:38:13,236.4775,1533.086,1486.0175
99,0.98,01:28:38:13,236.503,1533.0295,1486.007
100,0.99,01:28:38:14,236.516,1532.9725,1486.0085
101,1.0,01:28:38:14,236.5545,1532.9085,1485.9945
102,1.01,01:28:38:14,236.58,1532.8465,1485.9979999999998
103,1.02,01:28:38:14,236.5925,1532.786,1485.997
104,1.03,01:28:38:15,236.632,1532.7215,1485.9915
105,1.04,01:28:38:15,236.662,1532.671,1486.0025
106,1.05,01:28:38:15,236.697,1532.6105,1486.0015
107,1.06,01:28:38:15,236.7335,1532.557,1486.0115
108,1.07,01:28:38:16,236.762,1532.5120000000002,1486.011
109,1.08,01:28:38:16,236.785,1532.477,1486.011
110,1.09,01:28:38:16,236.8075,1532.433,1486.0195
111,1.1,01:28:38:16,236.825,1532.4095,1486.025
112,1.11,01:28:38:17,236.8495,1532.3905,1486.0245
113,1.12,01:28:38:17,236.868,1532.385,1486.023
114,1.13,01:28:38:17,236.88,1532.3805,1486.0165
115,1.14,01:28:38:17,236.894,1532.3970000000002,1486.017
116,1.15,01:28:38:18,236.899,1532.3970000000002,1486.014
117,1.16,01:28:38:18,236.9215,1532.4185,1486.019
118,1.17,01:28:38:18,236.9325,1532.4485,1486.011
119,1.18,01:28:38:18,236.9475,1532.4895,1486.0145
120,1.19,01:28:38:19,236.96,1532.5115,1486.0075
121,1.2,01:28:38:19,236.9815,1532.56,1485.9985
122,1.21,01:28:38:19,237.007,1532.5915,1486.007
123,1.22,01:28:38:19,237.0225,1532.642,1486.0055
124,1.23,01:28:38:20,237.0395,1532.6685,1486.014
125,1.24,01:28:38:20,237.0615,1532.707,1486.0079999999998
126,1.25,01:28:38:20,237.084,1532.7355,1486.017
127,1.26,01:28:38:20,237.1085,1532.7755,1486.0215
128,1.27,01:28:38:21,237.128,1532.783,1486.025
129,1.28,01:28:38:21,237.1675,1532.81,1486.0305
130,1.29,01:28:38:21,237.1875,1532.815,1486.033
131,1.3,01:28:38:21,237.2215,1532.807,1486.037
132,1.31,01:28:38:22,237.2335,1532.796,1486.029
133,1.32,01:28:38:22,237.268,1532.7845,1486.04
134,1.33,01:28:38:22,237.29,1532.757,1486.0365
135,1.34,01:28:38:22,237.3135,1532.7005,1486.0275
136,1.35,01:28:38:23,237.3365,1532.6570000000002,1486.04
137,1.36,01:28:38:23,237.3505,1532.5725,1486.0529999999999
138,1.37,01:28:38:23,237.3785,1532.4925,1486.0735
139,1.38,01:28:38:23,237.4045,1532.422,1486.0839999999998
140,1.39,01:28:38:24,237.4165,1532.3329999999999,1486.1015
141,1.4,01:28:38:24,237.45,1532.2575,1486.0945
142,1.41,01:28:38:24,237.47299999999998,1532.19,1486.1115
143,1.42,01:28:38:24,237.5,1532.112,1486.124
144,1.43,01:28:39:00,237.532,1532.049,1486.1265
145,1.44,01:28:39:00,237.5535,1531.9805,1486.1385
146,1.45,01:28:39:00,237.576,1531.922,1486.1529999999998
147,1.46,01:28:39:00,237.5945,1531.8675,1486.1629999999998
148,1.47,01:28:39:01,237.6155,1531.8205,1486.1879999999999
149,1.48,01:28:39:01,237.63099999999997,1531.7779999999998,1486.1779999999999
150,1.49,01:28:39:01,237.6605,1531.7245,1486.1965
151,1.5,01:28:39:01,237.66099999999997,1531.6665,1486.2055
152,1.51,01:28:39:02,237.699,1531.619,1486.215
153,1.52,01:28:39:02,237.702,1531.5755,1486.221
154,1.53,01:28:39:02,237.7185,1531.536,1486.2285
155,1.54,01:28:39:02,237.7305,1531.501,1486.236
156,1.55,01:28:39:03,237.7475,1531.4695,1486.244
157,1.56,01:28:39:03,237.7565,1531.4425,1486.244
158,1.57,01:28:39:03,237.774,1531.4295,1486.243
159,1.58,01:28:39:03,237.7865,1531.4229999999998,1486.2555
160,1.59,01:28:39:04,237.795,1531.43,1486.2455
161,1.6,01:28:39:04,237.795,1531.4275,1486.2525
162,1.61,01:28:39:04,237.72299999999998,1532.019,1485.9389999999999
163,1.62,01:28:39:04,237.718,1532.0385,1485.9185
164,1.63,01:28:39:05,237.715,1532.069,1485.918
165,1.64,01:28:39:05,237.7255,1532.0929999999998,1485.904
166,1.65,01:28:39:05,237.705,1532.1129999999998,1485.8965
167,1.66,01:28:39:05,237.7005,1532.1095,1485.8795
168,1.67,01:28:39:06,237.69799999999998,1532.1165,1485.891
169,1.68,01:28:39:06,237.69,1532.1085,1485.9005
170,1.69,01:28:39:06,237.6825,1532.138,1485.902
171,1.7,01:28:39:06,237.6655,1532.1315,1485.8985
172,1.71,01:28:39:07,237.639,1532.128,1485.882
173,1.72,01:28:39:07,237.6365,1532.1235,1485.8855
174,1.73,01:28:39:07,237.6255,1532.135,1485.885
175,1.74,01:28:39:07,237.622,1532.121,1485.8855
176,1.75,01:28:39:08,237.6115,1532.1085,1485.8670000000002
177,1.76,01:28:39:08,237.636,1532.1115,1485.8715
178,1.77,01:28:39:08,237.6395,1532.1105,1485.8705
179,1.78,01:28:39:08,237.64,1532.1025,1485.8555
180,1.79,01:28:39:09,237.6585,1532.1155,1485.8405
181,1.8,01:28:39:09,237.683,1532.146,1485.8405
182,1.81,01:28:39:09,237.7065,1532.1765,1485.8355
183,1.82,01:28:39:09,237.7415,1532.2,1485.8275
184,1.83,01:28:39:10,237.7535,1532.224,1485.8225
185,1.84,01:28:39:10,237.7795,1532.2655,1485.805
186,1.85,01:28:39:10,237.80200000000002,1532.29,1485.8020000000001
187,1.86,01:28:39:10,237.8315,1532.3195,1485.787
188,1.87,01:28:39:11,237.861,1532.3645,1485.7785
189,1.88,01:28:39:11,237.9035,1532.4025,1485.776
190,1.89,01:28:39:11,237.94400000000002,1532.4505,1485.7515
191,1.9,01:28:39:11,237.989,1532.5025,1485.7420000000002
192,1.91,01:28:39:12,238.0515,1532.555,1485.7160000000001
