Frame,Time,SMPTE,bar_head_x,bar_head_y,bar_head_z
1,0.0,00:54:24:00,-1199.827,644.148,1035.5843
2,0.01,00:54:24:00,-1199.5073,644.1419999999998,1035.5713
3,0.02,00:54:24:01,-1199.155,644.136,1035.561
4,0.03,00:54:24:01,-1198.883,644.1469999999998,1035.6233
5,0.04,00:54:24:01,-1198.624,644.3077,1035.645
6,0.05,00:54:24:01,-1198.073,644.1987,1035.5877
7,0.06,00:54:24:02,-1197.695,644.183,1035.5957
8,0.07,00:54:24:02,-1197.3073,644.181,1035.576
9,0.08,00:54:24:02,-1196.895,644.1777,1035.5857
10,0.09,00:54:24:02,-1196.5083,644.1853,1035.5643
11,0.1,00:54:24:03,-1196.097,644.191,1035.569
12,0.11,00:54:24:03,-1195.6567,644.2057,1035.5177
13,0.12,00:54:24:03,-1195.232,644.2183,1035.522
14,0.13,00:54:24:03,-1194.7683,644.2230000000002,1035.5293
15,0.14,00:54:24:04,-1194.3367,644.231,1035.483
16,0.15,00:54:24:04,-1193.864,644.2387,1035.461
17,0.16,00:54:24:04,-1193.4043,644.247,1035.4127
18,0.17,00:54:24:04,-1192.9260000000004,644.241,1035.397
19,0.18,00:54:24:05,-1192.4523,644.244,1035.36
20,0.19,00:54:24:05,-1191.9953,644.231,1035.3153
21,0.2,00:54:24:05,-1191.5207,644.2253,1035.272
22,0.21,00:54:24:05,-1191.0427,644.2303,1035.1967
23,0.22,00:54:24:06,-1190.5713,644.216,1035.1677
24,0.23,00:54:24:06,-1190.1067,644.2113,1035.098
25,0.24,00:54:24:06,-1189.639,644.225,1035.0397
26,0.25,00:54:24:06,-1189.206,644.2243,1034.9623
27,0.26,00:54:24:07,-1188.741,644.217,1034.9260000000004
28,0.27,00:54:24:07,-1188.3239999999996,644.2293,1034.8513
29,0.28,00:54:24:07,-1187.892,644.2323,1034.8187
30,0.29,00:54:24:07,-1187.5107,644.2503,1034.781
31,0.3,00:54:24:08,-1187.1167,644.2767,1034.747
32,0.31,00:54:24:08,-1186.769,644.309,1034.7113
33,0.32,00:54:24:08,-1186.434,644.3293,1034.729
34,0.33,00:54:24:08,-1186.1137,644.3513,1034.7053
35,0.34,00:54:24:09,-1185.8193,644.3893,1034.6943
36,0.35,00:54:24:09,-1185.5333,644.4237,1034.7077
37,0.36,00:54:24:09,-1185.2777,644.453,1034.7027
38,0.37,00:54:24:09,-1185.0383,644.4737,1034.7163
39,0.38,00:54:24:10,-1184.7713,644.4853,1034.7273
40,0.39,00:54:24:10,-1184.5507,644.5063,1034.7263
41,0.4,00:54:24:10,-1184.348,644.5037,1034.7307
42,0.41,00:54:24:10,-1184.1217,644.4983,1034.7483
43,0.42,00:54:24:11,-1183.9403,644.4883,1034.7313
44,0.43,00:54:24:11,-1183.7873,644.4587,1034.742
45,0.44,00:54:24:11,-1183.6357,644.423,1034.7373
46,0.45,00:54:24:11,-1183.4713,644.3867,1034.7407
47,0.46,00:54:24:12,-1183.336,644.328,1034.741
48,0.47,00:54:24:12,-1183.2263,644.2647,1034.7317
49,0.48,00:54:24:12,-1183.1237,644.1997,1034.719
50,0.49,00:54:24:12,-1183.03,644.1297,1034.7043
51,0.5,00:54:24:13,-1182.9637,644.0527,1034.6923
52,0.51,00:54:24:13,-1182.9113,643.975,1034.6823
53,0.52,00:54:24:13,-1182.8787,643.891,1034.681
54,0.53,00:54:24:13,-1182.8543,643.8053,1034.6757
55,0.54,00:54:24:14,-1182.8443,643.7040000000002,1034.6760000000004
56,0.55,00:54:24:14,-1182.8587,643.604,1034.689
57,0.56,00:54:24:14,-1182.8767,643.4987,1034.69
58,0.57,00:54:24:14,-1182.9260000000004,643.3927,1034.686
59,0.58,00:54:24:15,-1182.9903,643.268,1034.7083
60,0.59,00:54:24:15,-1183.0467,643.1423,1034.7157
61,0.6,00:54:24:15,-1183.142,643.0073,1034.7357
62,0.61,00:54:24:15,-1183.2417,642.8597,1034.7527
63,0.62,00:54:24:16,-1183.3547,642.7130000000002,1034.7823
64,0.63,00:54:24:16,-1183.476,642.5627,1034.804
65,0.64,00:54:24:16,-1183.649,642.4143,1034.8177
66,0.65,00:54:24:16,-1183.786,642.26,1034.8507
67,0.66,00:54:24:17,-1183.9477,642.1143,1034.891
68,0.67,00:54:24:17,-1184.1213,641.9757,1034.9163
69,0.68,00:54:24:17,-1184.3023,641.8373,1034.943
70,0.69,00:54:24:17,-1184.5093,641.687,1034.9823
71,0.7,00:54:24:18,-1184.7003,641.5369999999998,1035.019
72,0.71,00:54:24:18,-1184.9017,641.3953,1035.071
73,0.72,00:54:24:18,-1185.1007,641.249,1035.1103
74,0.73,00:54:24:18,-1185.3003,641.102,1035.142
75,0.74,00:54:24:19,-1185.5237,640.9433,1035.1543
76,0.75,00:54:24:19,-1185.7277,640.7807,1035.1887
77,0.76,00:54:24:19,-1185.946,640.6337,1035.2017
78,0.77,00:54:24:19,-1186.191,640.4523,1035.2243
