Frame,Time,SMPTE,bar_right_ankle_x,bar_right_ankle_y,bar_right_ankle_z
1,0.0,00:54:24:00,-1991.162,1023.747,58.942
2,0.01,00:54:24:00,-1991.114,1023.735,58.952
3,0.02,00:54:24:01,-1991.112,1023.7360000000001,58.95399999999999
4,0.03,00:54:24:01,-1993.3039999999999,1021.6519999999999,58.292
5,0.04,00:54:24:01,-1992.661,1022.0930000000001,58.699
6,0.05,00:54:24:01,-1992.535,1022.174,58.748999999999995
7,0.06,00:54:24:02,-1992.484,1022.2510000000001,58.824
8,0.07,00:54:24:02,-1992.4270000000001,1022.112,58.903999999999996
9,0.08,00:54:24:02,-1992.3229999999999,1022.091,58.965
10,0.09,00:54:24:02,-1992.3410000000001,1022.013,59.068999999999996
11,0.1,00:54:24:03,-1992.2320000000002,1022.19,58.993
12,0.11,00:54:24:03,-1992.1570000000002,1022.1030000000001,59.04
13,0.12,00:54:24:03,-1992.1170000000002,1022.068,59.111000000000004
14,0.13,00:54:24:03,-1992.059,1022.082,59.151
15,0.14,00:54:24:04,-1991.987,1022.077,59.20399999999999
16,0.15,00:54:24:04,-1991.9479999999999,1021.8939999999999,59.263000000000005
17,0.16,00:54:24:04,-1991.8529999999998,1021.9119999999999,59.31100000000001
18,0.17,00:54:24:04,-1991.828,1021.9830000000001,59.349
19,0.18,00:54:24:05,-1991.68,1021.845,59.342
20,0.19,00:54:24:05,-1991.6429999999998,1021.959,59.376999999999995
21,0.2,00:54:24:05,-1991.618,1021.8560000000001,59.423
22,0.21,00:54:24:05,-1991.725,1021.6460000000001,59.169
23,0.22,00:54:24:06,-1991.73,1022.0310000000001,59.192
24,0.23,00:54:24:06,-1991.629,1021.7560000000001,59.269
25,0.24,00:54:24:06,-1991.611,1021.903,59.358999999999995
26,0.25,00:54:24:06,-1991.431,1021.677,59.321999999999996
27,0.26,00:54:24:07,-1991.345,1021.6489999999999,59.341
28,0.27,00:54:24:07,-1991.325,1021.5889999999999,59.453
29,0.28,00:54:24:07,-1991.2479999999998,1021.426,59.504
30,0.29,00:54:24:07,-1991.214,1021.6260000000001,59.45
31,0.3,00:54:24:08,-1991.255,1021.737,59.595
32,0.31,00:54:24:08,-1991.1860000000001,1021.666,59.656000000000006
33,0.32,00:54:24:08,-1991.13,1021.735,59.617
34,0.33,00:54:24:08,-1991.058,1021.585,59.638000000000005
35,0.34,00:54:24:09,-1991.0870000000002,1021.797,59.706
36,0.35,00:54:24:09,-1990.9660000000001,1021.6389999999999,59.647
37,0.36,00:54:24:09,-1991.013,1021.7180000000001,59.718
38,0.37,00:54:24:09,-1991.057,1021.846,59.833
39,0.38,00:54:24:10,-1990.925,1021.6510000000001,59.768
40,0.39,00:54:24:10,-1990.85,1021.645,59.638999999999996
41,0.4,00:54:24:10,-1990.85,1021.753,59.622
42,0.41,00:54:24:10,-1990.904,1021.748,59.745
43,0.42,00:54:24:11,-1990.856,1021.664,59.707
44,0.43,00:54:24:11,-1990.8970000000002,1021.5830000000001,59.907
45,0.44,00:54:24:11,-1990.861,1021.64,59.858999999999995
46,0.45,00:54:24:11,-1990.9,1021.722,59.93
47,0.46,00:54:24:12,-1990.7979999999998,1021.547,59.836000000000006
48,0.47,00:54:24:12,-1990.795,1021.686,59.86600000000001
49,0.48,00:54:24:12,-1990.8039999999999,1021.664,59.88399999999999
50,0.49,00:54:24:12,-1990.8629999999998,1021.927,59.91
51,0.5,00:54:24:13,-1990.829,1021.672,59.931000000000004
52,0.51,00:54:24:13,-1990.854,1021.7689999999999,59.938
53,0.52,00:54:24:13,-1990.79,1021.7189999999999,59.842
54,0.53,00:54:24:13,-1990.737,1021.579,59.738
55,0.54,00:54:24:14,-1990.8020000000001,1021.539,59.876999999999995
56,0.55,00:54:24:14,-1990.8329999999999,1021.635,59.931999999999995
57,0.56,00:54:24:14,-1990.8,1021.674,59.838
58,0.57,00:54:24:14,-1990.756,1021.553,59.798
59,0.58,00:54:24:15,-1990.79,1021.755,59.755
60,0.59,00:54:24:15,-1990.8410000000001,1021.812,59.848
61,0.6,00:54:24:15,-1990.851,1021.716,59.825
62,0.61,00:54:24:15,-1990.933,1021.842,59.842
63,0.62,00:54:24:16,-1990.9160000000002,1021.664,59.818999999999996
64,0.63,00:54:24:16,-1990.908,1021.7389999999999,59.791000000000004
65,0.64,00:54:24:16,-1990.9389999999999,1021.653,59.82899999999999
66,0.65,00:54:24:16,-1991.014,1021.638,59.894
67,0.66,00:54:24:17,-1991.025,1021.822,59.833999999999996
68,0.67,00:54:24:17,-1990.984,1021.68,59.788000000000004
69,0.68,00:54:24:17,-1991.108,1021.7919999999999,59.927
70,0.69,00:54:24:17,-1990.985,1021.508,59.766000000000005
71,0.7,00:54:24:18,-1991.0479999999998,1021.7289999999999,59.778
72,0.71,00:54:24:18,-1991.01,1021.495,59.766999999999996
73,0.72,00:54:24:18,-1991.094,1021.591,59.843
74,0.73,00:54:24:18,-1991.058,1021.5939999999999,59.751999999999995
75,0.74,00:54:24:19,-1991.069,1021.355,59.854
76,0.75,00:54:24:19,-1991.0279999999998,1021.454,59.762
77,0.76,00:54:24:19,-1991.095,1021.405,59.864
78,0.77,00:54:24:19,-1991.036,1021.27,59.70399999999999
79,0.78,00:54:24:20,-1991.126,1021.4960000000001,59.776
80,0.79,00:54:24:20,-1991.096,1021.42,59.66
81,0.8,00:54:24:20,-1991.088,1021.372,59.662
82,0.81,00:54:24:20,-1991.201,1021.425,59.756
83,0.82,00:54:24:21,-1991.2279999999998,1021.495,59.718
84,0.83,00:54:24:21,-1991.3020000000001,1021.5269999999999,59.816
85,0.84,00:54:24:21,-1991.191,1021.455,59.617
86,0.85,00:54:24:21,-1991.194,1021.465,59.611000000000004
87,0.86,00:54:24:22,-1991.2279999999998,1021.3560000000001,59.608999999999995
88,0.87,00:54:24:22,-1991.2939999999999,1021.523,59.641000000000005
89,0.88,00:54:24:22,-1991.236,1021.4119999999999,59.543
90,0.89,00:54:24:22,-1991.2979999999998,1021.581,59.508
91,0.9,00:54:24:23,-1991.25,1021.5039999999999,59.483000000000004
92,0.91,00:54:24:23,-1991.247,1021.4169999999999,59.497
93,0.92,00:54:24:23,-1991.249,1021.4730000000001,59.43899999999999
94,0.93,00:54:24:23,-1991.1879999999999,1021.436,59.385
95,0.94,00:54:24:24,-1991.2160000000001,1021.327,59.442
96,0.95,00:54:24:24,-1991.2620000000002,1021.507,59.471000000000004
97,0.96,00:54:24:24,-1991.1589999999999,1021.341,59.349
98,0.97,00:54:24:24,-1991.2620000000002,1021.355,59.534
99,0.98,00:54:25:00,-1991.21,1021.327,59.477
100,0.99,00:54:25:00,-1991.2079999999999,1021.448,59.46
101,1.0,00:54:25:00,-1991.135,1021.25,59.431000000000004
102,1.01,00:54:25:00,-1991.111,1021.118,59.477
103,1.02,00:54:25:01,-1991.1570000000002,1021.319,59.425
104,1.03,00:54:25:01,-1991.106,1021.1,59.406000000000006
105,1.04,00:54:25:01,-1991.1789999999999,1021.4739999999999,59.526
106,1.05,00:54:25:01,-1991.079,1021.2760000000001,59.403999999999996
107,1.06,00:54:25:02,-1991.112,1021.3789999999999,59.431999999999995
108,1.07,00:54:25:02,-1991.121,1021.313,59.534
109,1.08,00:54:25:02,-1990.99,1021.1389999999999,59.371
110,1.09,00:54:25:02,-1991.019,1021.297,59.412
111,1.1,00:54:25:03,-1990.94,1021.1360000000001,59.31399999999999
112,1.11,00:54:25:03,-1990.991,1021.2919999999999,59.42
113,1.12,00:54:25:03,-1990.896,1021.1089999999999,59.387
114,1.13,00:54:25:03,-1990.85,1021.1469999999999,59.282
115,1.14,00:54:25:04,-1990.9470000000001,1021.034,59.452
116,1.15,00:54:25:04,-1990.945,1021.1260000000001,59.413999999999994
117,1.16,00:54:25:04,-1990.933,1021.079,59.479
118,1.17,00:54:25:04,-1990.944,1021.148,59.405
119,1.18,00:54:25:05,-1991.039,1021.285,59.492
120,1.19,00:54:25:05,-1990.8929999999998,1021.0010000000001,59.339
121,1.2,00:54:25:05,-1990.9470000000001,1021.185,59.328
122,1.21,00:54:25:05,-1990.924,1021.1030000000001,59.339
123,1.22,00:54:25:06,-1990.932,1021.0889999999999,59.306000000000004
124,1.23,00:54:25:06,-1991.046,1021.2769999999999,59.403
125,1.24,00:54:25:06,-1990.99,1021.0369999999999,59.324
126,1.25,00:54:25:06,-1990.967,1020.9910000000001,59.333999999999996
127,1.26,00:54:25:07,-1991.0810000000001,1021.153,59.39
128,1.27,00:54:25:07,-1990.963,1021.14,59.22
129,1.28,00:54:25:07,-1990.918,1020.8810000000001,59.102
130,1.29,00:54:25:07,-1991.067,1021.212,59.251999999999995
131,1.3,00:54:25:08,-1991.0910000000001,1021.238,59.269
132,1.31,00:54:25:08,-1991.06,1021.105,59.193000000000005
133,1.32,00:54:25:08,-1991.0479999999998,1020.96,59.208999999999996
134,1.33,00:54:25:08,-1991.07,1021.028,59.199
135,1.34,00:54:25:09,-1991.0839999999998,1021.034,59.153999999999996
136,1.35,00:54:25:09,-1991.078,1021.1030000000001,59.083999999999996
137,1.36,00:54:25:09,-1991.0810000000001,1021.08,59.123999999999995
138,1.37,00:54:25:09,-1991.15,1021.09,59.181999999999995
139,1.38,00:54:25:10,-1991.19,1021.172,59.174
140,1.39,00:54:25:10,-1991.057,1021.012,59.019
141,1.4,00:54:25:10,-1991.244,1021.176,59.269
142,1.41,00:54:25:10,-1991.155,1020.997,59.11600000000001
143,1.42,00:54:25:11,-1991.1779999999999,1021.0,59.161
144,1.43,00:54:25:11,-1991.299,1021.209,59.24
145,1.44,00:54:25:11,-1991.18,1021.003,59.089
146,1.45,00:54:25:11,-1991.29,1021.2410000000001,59.192
147,1.46,00:54:25:12,-1991.234,1021.2330000000001,59.101000000000006
148,1.47,00:54:25:12,-1991.233,1021.045,59.08
149,1.48,00:54:25:12,-1991.2160000000001,1020.9639999999999,59.031000000000006
150,1.49,00:54:25:12,-1991.289,1021.1160000000001,59.108999999999995
151,1.5,00:54:25:13,-1991.3310000000001,1021.095,59.248999999999995
152,1.51,00:54:25:13,-1991.29,1020.9689999999999,59.137
153,1.52,00:54:25:13,-1991.3020000000001,1021.102,59.071999999999996
154,1.53,00:54:25:13,-1991.444,1021.425,59.187
155,1.54,00:54:25:14,-1991.371,1021.1669999999999,59.119
156,1.55,00:54:25:14,-1991.396,1021.163,59.196999999999996
157,1.56,00:54:25:14,-1991.4379999999999,1021.2819999999999,59.16
158,1.57,00:54:25:14,-1991.3370000000002,1021.1110000000001,59.086000000000006
159,1.58,00:54:25:15,-1991.366,1021.1339999999999,59.077
160,1.59,00:54:25:15,-1991.4679999999998,1021.3330000000001,59.169
161,1.6,00:54:25:15,-1991.395,1021.002,59.075
162,1.61,00:54:25:15,-1991.4479999999999,1021.387,59.081
163,1.62,00:54:25:16,-1991.434,1021.192,59.078
164,1.63,00:54:25:16,-1991.434,1021.1619999999999,59.031000000000006
165,1.64,00:54:25:16,-1991.4379999999999,1021.182,58.992
166,1.65,00:54:25:16,-1991.4560000000001,1021.137,59.034
167,1.66,00:54:25:17,-1991.395,1021.055,58.983999999999995
168,1.67,00:54:25:17,-1991.42,1021.16,58.968
169,1.68,00:54:25:17,-1991.4620000000002,1021.029,59.09
170,1.69,00:54:25:17,-1991.44,1020.936,59.01
