Frame,Time,SMPTE,bar_shoulder_centre_x,bar_shoulder_centre_y,bar_shoulder_centre_z
1,0.0,00:54:24:00,-1879.115,959.0325,1294.995
2,0.01,00:54:24:00,-1878.567,959.0795,1294.9460000000001
3,0.02,00:54:24:01,-1878.02,959.15,1294.8905
4,0.03,00:54:24:01,-1877.3410000000001,958.8145,1294.692
5,0.04,00:54:24:01,-1876.6225,959.046,1294.5865
6,0.05,00:54:24:01,-1876.07,959.6469999999999,1294.493
7,0.06,00:54:24:02,-1875.5555,959.6289999999999,1294.478
8,0.07,00:54:24:02,-1874.9375,959.7175,1294.445
9,0.08,00:54:24:02,-1874.299,959.824,1294.4065
10,0.09,00:54:24:02,-1873.6229999999998,959.8935,1294.364
11,0.1,00:54:24:03,-1872.9565,959.9905,1294.3355
12,0.11,00:54:24:03,-1872.2745,960.0880000000001,1294.285
13,0.12,00:54:24:03,-1871.6225,960.1610000000001,1294.259
14,0.13,00:54:24:03,-1870.861,960.3435,1294.213
15,0.14,00:54:24:04,-1870.1775,960.418,1294.165
16,0.15,00:54:24:04,-1869.4655,960.4395,1294.1435
17,0.16,00:54:24:04,-1868.9505,960.3839999999999,1294.138
18,0.17,00:54:24:04,-1868.3165,960.456,1294.0955
19,0.18,00:54:24:05,-1867.5705,960.659,1294.039
20,0.19,00:54:24:05,-1866.7405,960.1525,1294.035
21,0.2,00:54:24:05,-1866.3429999999998,960.8125,1293.9445
22,0.21,00:54:24:05,-1865.5805,960.3255,1293.9375
23,0.22,00:54:24:06,-1865.046,960.4105,1293.91
24,0.23,00:54:24:06,-1864.8655,961.034,1293.8005
25,0.24,00:54:24:06,-1864.251,961.2335,1293.76
26,0.25,00:54:24:06,-1863.7220000000002,961.3085,1293.7225
27,0.26,00:54:24:07,-1863.2665,961.4010000000001,1293.6875
28,0.27,00:54:24:07,-1862.817,961.4965,1293.6345
29,0.28,00:54:24:07,-1862.495,961.485,1293.632
30,0.29,00:54:24:07,-1862.049,961.5845,1293.5705
31,0.3,00:54:24:08,-1861.649,961.6560000000001,1293.5605
32,0.31,00:54:24:08,-1861.22,961.738,1293.525
33,0.32,00:54:24:08,-1860.851,961.8055,1293.4955
34,0.33,00:54:24:08,-1860.4815,961.8855,1293.4785
35,0.34,00:54:24:09,-1860.1415,961.9405,1293.4495
36,0.35,00:54:24:09,-1859.7915,962.0035,1293.4215
37,0.36,00:54:24:09,-1859.496,962.074,1293.392
38,0.37,00:54:24:09,-1859.161,962.125,1293.3695
39,0.38,00:54:24:10,-1858.8935,962.1795,1293.3515
40,0.39,00:54:24:10,-1858.6,962.222,1293.2895
41,0.4,00:54:24:10,-1858.3605,962.2775,1293.3039999999999
42,0.41,00:54:24:10,-1857.9435,961.6245,1293.2785
43,0.42,00:54:24:11,-1857.8965,962.3395,1293.2465
44,0.43,00:54:24:11,-1857.7089999999998,962.3895,1293.2235
45,0.44,00:54:24:11,-1857.386,961.7515,1293.2425
46,0.45,00:54:24:11,-1857.2255,961.7915,1293.226
