Frame,Time,SMPTE,bar_left_foot_x,bar_left_foot_y,bar_left_foot_z
1,0.0,00:54:24:00,-1782.039,939.454,24.699
2,0.01,00:54:24:00,-1782.0457,939.4563,24.6867
3,0.02,00:54:24:01,-1782.031,939.5063,24.6853
4,0.03,00:54:24:01,-1782.0303,941.237,26.2817
5,0.04,00:54:24:01,-1781.5777,941.3943,26.6607
6,0.05,00:54:24:01,-1781.4533,941.3923,26.5217
7,0.06,00:54:24:02,-1781.3853,941.4257,26.5207
8,0.07,00:54:24:02,-1781.325,941.403,26.5373
9,0.08,00:54:24:02,-1781.2837,941.4433,26.5027
10,0.09,00:54:24:02,-1781.283,941.4213,26.5213
11,0.1,00:54:24:03,-1781.2023,941.4747,26.4893
12,0.11,00:54:24:03,-1781.1733,941.4817,26.511
13,0.12,00:54:24:03,-1781.1029999999998,941.5007,26.4973
14,0.13,00:54:24:03,-1781.1183,941.529,26.3223
15,0.14,00:54:24:04,-1781.0953,941.5597,26.275
16,0.15,00:54:24:04,-1781.0677,941.555,26.2713
17,0.16,00:54:24:04,-1781.0287,941.557,26.2803
18,0.17,00:54:24:04,-1780.996,941.5673,26.2757
19,0.18,00:54:24:05,-1781.016,941.5777,26.2453
20,0.19,00:54:24:05,-1780.9983,941.6013,26.244
21,0.2,00:54:24:05,-1780.9837,941.6033,26.2383
22,0.21,00:54:24:05,-1780.9589999999998,941.6027,26.2353
23,0.22,00:54:24:06,-1780.9407,941.617,26.2437
24,0.23,00:54:24:06,-1780.9353,941.6097,26.2403
25,0.24,00:54:24:06,-1780.9137,941.6217,26.2547
26,0.25,00:54:24:06,-1780.9243,941.643,26.2247
27,0.26,00:54:24:07,-1780.8813,941.6387,26.2297
28,0.27,00:54:24:07,-1780.864,941.6647,26.21
29,0.28,00:54:24:07,-1780.8327,941.6753,26.209
30,0.29,00:54:24:07,-1780.8323,941.6703,26.2087
31,0.3,00:54:24:08,-1780.8,941.69,26.2057
32,0.31,00:54:24:08,-1780.8327,941.6673,26.2047
33,0.32,00:54:24:08,-1780.839,941.687,26.1933
34,0.33,00:54:24:08,-1780.82,941.699,26.2027
35,0.34,00:54:24:09,-1780.8107,941.7143,26.195
36,0.35,00:54:24:09,-1780.7557,941.7523,26.2033
37,0.36,00:54:24:09,-1780.7327,941.7533,26.195999999999998
38,0.37,00:54:24:09,-1780.7267,941.7693,26.1887
39,0.38,00:54:24:10,-1780.721,941.773,26.1923
40,0.39,00:54:24:10,-1780.703,941.7727,26.2037
41,0.4,00:54:24:10,-1780.6963,941.7877,26.2
42,0.41,00:54:24:10,-1780.6817,941.7943,26.1817
43,0.42,00:54:24:11,-1780.6717,941.7963,26.186999999999998
44,0.43,00:54:24:11,-1780.6597,941.8187,26.18
45,0.44,00:54:24:11,-1780.6227,941.8187,26.179000000000002
46,0.45,00:54:24:11,-1780.6167,941.812,26.1863
47,0.46,00:54:24:12,-1780.6157,941.829,26.1723
