Frame,Time,SMPTE,bar_left_hand_x,bar_left_hand_y,bar_left_hand_z
1,0.0,00:54:24:00,-1653.52,874.9739999999997,757.747
2,0.01,00:54:24:00,-1653.0179999999998,875.232,757.684
3,0.02,00:54:24:01,-1652.5620000000001,875.4119999999997,757.592
4,0.03,00:54:24:01,-1652.132,875.6189999999997,757.2539999999997
5,0.04,00:54:24:01,-1651.693,875.918,757.053
6,0.05,00:54:24:01,-1650.899,875.8510000000001,757.316
7,0.06,00:54:24:02,-1650.336,876.0169999999997,757.2510000000003
8,0.07,00:54:24:02,-1649.807,876.204,757.127
9,0.08,00:54:24:02,-1649.245,876.3660000000001,757.047
10,0.09,00:54:24:02,-1648.723,876.551,756.934
11,0.1,00:54:24:03,-1648.182,876.692,756.7869999999997
12,0.11,00:54:24:03,-1647.63,876.8660000000001,756.664
13,0.12,00:54:24:03,-1647.106,877.0060000000003,756.562
14,0.13,00:54:24:03,-1646.578,877.166,756.413
15,0.14,00:54:24:04,-1646.0320000000006,877.2860000000003,756.342
16,0.15,00:54:24:04,-1645.509,877.3969999999997,756.252
17,0.16,00:54:24:04,-1645.0020000000006,877.471,756.12
18,0.17,00:54:24:04,-1644.5439999999999,877.555,756.046
19,0.18,00:54:24:05,-1644.0479999999998,877.602,755.929
20,0.19,00:54:24:05,-1643.635,877.633,755.857
21,0.2,00:54:24:05,-1643.221,877.5989999999997,755.7689999999999
22,0.21,00:54:24:05,-1642.829,877.575,755.7339999999997
23,0.22,00:54:24:06,-1642.3829999999994,877.5310000000003,755.562
24,0.23,00:54:24:06,-1641.969,877.4580000000003,755.442
25,0.24,00:54:24:06,-1641.6660000000006,877.334,755.3710000000003
26,0.25,00:54:24:06,-1641.335,877.194,755.2760000000003
27,0.26,00:54:24:07,-1641.0520000000001,877.005,755.2080000000003
28,0.27,00:54:24:07,-1640.694,876.7919999999997,755.148
29,0.28,00:54:24:07,-1640.4979999999994,876.5360000000003,755.075
30,0.29,00:54:24:07,-1640.2120000000002,876.297,755.0089999999999
31,0.3,00:54:24:08,-1639.961,875.949,754.9839999999997
32,0.31,00:54:24:08,-1639.726,875.668,754.944
33,0.32,00:54:24:08,-1639.483,875.367,754.8689999999997
34,0.33,00:54:24:08,-1639.2910000000006,875.053,754.834
35,0.34,00:54:24:09,-1639.105,874.738,754.7860000000003
36,0.35,00:54:24:09,-1638.9189999999999,874.419,754.7660000000003
37,0.36,00:54:24:09,-1638.694,874.079,754.721
38,0.37,00:54:24:09,-1638.569,873.775,754.698
39,0.38,00:54:24:10,-1638.4289999999999,873.4630000000003,754.643
40,0.39,00:54:24:10,-1638.318,873.1439999999999,754.6310000000003
41,0.4,00:54:24:10,-1638.152,872.8330000000003,754.587
42,0.41,00:54:24:10,-1638.0379999999998,872.528,754.56
43,0.42,00:54:24:11,-1637.933,872.275,754.485
44,0.43,00:54:24:11,-1637.8429999999994,871.94,754.5210000000003
45,0.44,00:54:24:11,-1637.766,871.669,754.482
46,0.45,00:54:24:11,-1637.743,871.37,754.4830000000003
47,0.46,00:54:24:12,-1637.6889999999999,871.087,754.4689999999997
48,0.47,00:54:24:12,-1637.6689999999999,870.789,754.451
49,0.48,00:54:24:12,-1637.66,870.5169999999997,754.415
50,0.49,00:54:24:12,-1637.631,870.247,754.42
51,0.5,00:54:24:13,-1637.618,869.961,754.398
52,0.51,00:54:24:13,-1637.595,869.701,754.4
53,0.52,00:54:24:13,-1637.6629999999998,869.45,754.346
54,0.53,00:54:24:13,-1637.656,869.172,754.352
55,0.54,00:54:24:14,-1637.68,868.944,754.346
56,0.55,00:54:24:14,-1637.729,868.699,754.3480000000003
57,0.56,00:54:24:14,-1637.75,868.477,754.3760000000003
58,0.57,00:54:24:14,-1637.7910000000006,868.273,754.334
59,0.58,00:54:24:15,-1637.832,868.075,754.362
60,0.59,00:54:24:15,-1637.918,867.872,754.3739999999997
61,0.6,00:54:24:15,-1638.001,867.669,754.404
62,0.61,00:54:24:15,-1638.111,867.436,754.445
63,0.62,00:54:24:16,-1638.213,867.258,754.4889999999997
64,0.63,00:54:24:16,-1638.336,867.045,754.513
65,0.64,00:54:24:16,-1638.465,866.89,754.52
66,0.65,00:54:24:16,-1638.595,866.715,754.569
67,0.66,00:54:24:17,-1638.76,866.595,754.566
68,0.67,00:54:24:17,-1638.925,866.404,754.592
69,0.68,00:54:24:17,-1639.109,866.252,754.635
70,0.69,00:54:24:17,-1639.29,866.135,754.6289999999997
71,0.7,00:54:24:18,-1639.487,866.0010000000003,754.64
72,0.71,00:54:24:18,-1639.7060000000001,865.89,754.623
73,0.72,00:54:24:18,-1639.859,865.7719999999997,754.637
74,0.73,00:54:24:18,-1640.043,865.669,754.617
75,0.74,00:54:24:19,-1640.261,865.584,754.63
