Frame,Time,SMPTE,bar_left_hip_x,bar_left_hip_y,bar_left_hip_z
1,0.0,00:54:24:00,-1744.351,956.4405,898.2815
2,0.01,00:54:24:00,-1743.9145,956.544,898.2395
3,0.02,00:54:24:01,-1743.4615,956.325,898.191
4,0.03,00:54:24:01,-1742.9229999999998,956.1975,898.2895
5,0.04,00:54:24:01,-1742.0870000000002,956.5155,898.1875
6,0.05,00:54:24:01,-1741.6235,956.573,898.202
7,0.06,00:54:24:02,-1741.116,956.6555,898.1345
8,0.07,00:54:24:02,-1740.5395,956.73,898.0205
9,0.08,00:54:24:02,-1740.0505,956.7760000000001,897.935
10,0.09,00:54:24:02,-1739.5375,956.831,897.88
11,0.1,00:54:24:03,-1738.9820000000002,956.8860000000001,897.855
12,0.11,00:54:24:03,-1738.5105,956.8595,897.8889999999999
13,0.12,00:54:24:03,-1737.9660000000001,956.8985,897.7785
14,0.13,00:54:24:03,-1737.4885,956.9365,897.7080000000001
15,0.14,00:54:24:04,-1736.9855,956.9465,897.6615
16,0.15,00:54:24:04,-1736.4795,956.9325,897.6160000000001
17,0.16,00:54:24:04,-1735.9285,956.9115,897.5545
18,0.17,00:54:24:04,-1735.4905,956.903,897.5195
19,0.18,00:54:24:05,-1735.0665,956.8195,897.5239999999999
20,0.19,00:54:24:05,-1734.5435,956.7725,897.4019999999999
21,0.2,00:54:24:05,-1734.078,956.6935,897.3380000000001
22,0.21,00:54:24:05,-1733.5795,956.6080000000001,897.35
23,0.22,00:54:24:06,-1733.149,956.502,897.3085
24,0.23,00:54:24:06,-1732.731,956.3845,897.2725
25,0.24,00:54:24:06,-1732.297,956.2455,897.2205
26,0.25,00:54:24:06,-1731.88,956.1060000000001,897.1585
27,0.26,00:54:24:07,-1731.526,955.99,897.127
28,0.27,00:54:24:07,-1731.145,955.8355,897.082
29,0.28,00:54:24:07,-1730.7935,955.6339999999999,897.1080000000001
30,0.29,00:54:24:07,-1730.3965,955.5095,897.01
31,0.3,00:54:24:08,-1730.0565,955.3245,896.98
32,0.31,00:54:24:08,-1729.6725,955.1410000000001,896.9645
33,0.32,00:54:24:08,-1729.384,955.003,896.9305
34,0.33,00:54:24:08,-1729.1085,954.7725,896.8910000000001
35,0.34,00:54:24:09,-1728.8270000000002,954.5975,896.8605
36,0.35,00:54:24:09,-1728.5839999999998,954.3725,896.8530000000001
37,0.36,00:54:24:09,-1728.3725,954.2125,896.7919999999999
38,0.37,00:54:24:09,-1728.1879999999999,953.9680000000001,896.8195
39,0.38,00:54:24:10,-1727.9585,953.7710000000001,896.7955
40,0.39,00:54:24:10,-1727.7415,953.5475,896.805
41,0.4,00:54:24:10,-1727.5420000000001,953.3525,896.773
42,0.41,00:54:24:10,-1727.3465,953.133,896.7605
43,0.42,00:54:24:11,-1727.2145,952.914,896.752
44,0.43,00:54:24:11,-1727.0575,952.6439999999999,896.7330000000001
45,0.44,00:54:24:11,-1726.9229999999998,952.3989999999999,896.7325
46,0.45,00:54:24:11,-1726.797,952.13,896.7389999999999
47,0.46,00:54:24:12,-1726.707,951.8510000000001,896.7335
48,0.47,00:54:24:12,-1726.6265,951.612,896.7245
49,0.48,00:54:24:12,-1726.5665,951.3889999999999,896.7385
50,0.49,00:54:24:12,-1726.5455,951.1310000000001,896.712
51,0.5,00:54:24:13,-1726.524,950.8995,896.717
52,0.51,00:54:24:13,-1726.4455,950.65,896.7389999999999
53,0.52,00:54:24:13,-1726.4505,950.3725,896.7465
54,0.53,00:54:24:13,-1726.5745,950.2115,896.694
55,0.54,00:54:24:14,-1726.611,949.9505,896.698
56,0.55,00:54:24:14,-1726.6370000000002,949.717,896.6975
57,0.56,00:54:24:14,-1726.704,949.4675,896.6915
58,0.57,00:54:24:14,-1726.7285,949.2375,896.7295
59,0.58,00:54:24:15,-1726.8045,948.9985,896.7439999999999
60,0.59,00:54:24:15,-1726.922,948.735,896.7545
61,0.6,00:54:24:15,-1727.0185,948.4885,896.7775
62,0.61,00:54:24:15,-1727.088,948.248,896.826
63,0.62,00:54:24:16,-1727.1979999999999,948.03,896.83
64,0.63,00:54:24:16,-1727.3525,947.8305,896.8330000000001
65,0.64,00:54:24:16,-1727.4855,947.632,896.9
66,0.65,00:54:24:16,-1727.6735,947.4105,896.9045
67,0.66,00:54:24:17,-1727.866,947.1925,896.9445
68,0.67,00:54:24:17,-1728.058,946.9915,896.959
69,0.68,00:54:24:17,-1728.2939999999999,946.834,896.9765
70,0.69,00:54:24:17,-1728.4875,946.6615,896.9960000000001
71,0.7,00:54:24:18,-1728.711,946.5445,897.0269999999999
72,0.71,00:54:24:18,-1728.9270000000001,946.436,897.038
73,0.72,00:54:24:18,-1729.158,946.32,897.0945
74,0.73,00:54:24:18,-1729.384,946.2255,897.1185
75,0.74,00:54:24:19,-1729.629,946.1060000000001,897.1775
76,0.75,00:54:24:19,-1729.9085,946.02,897.216
77,0.76,00:54:24:19,-1730.1985,945.9165,897.232
78,0.77,00:54:24:19,-1730.4615,945.8610000000001,897.2435
79,0.78,00:54:24:20,-1730.704,945.8005,897.3165
80,0.79,00:54:24:20,-1730.9695,945.7510000000001,897.3515
81,0.8,00:54:24:20,-1731.23,945.7189999999999,897.3889999999999
82,0.81,00:54:24:20,-1731.5775,945.6695,897.4010000000001
83,0.82,00:54:24:21,-1731.8405,945.627,897.444
84,0.83,00:54:24:21,-1732.144,945.5915,897.4789999999999
85,0.84,00:54:24:21,-1732.4535,945.5595,897.5015
86,0.85,00:54:24:21,-1732.743,945.541,897.5310000000001
87,0.86,00:54:24:22,-1733.006,945.5075,897.581
88,0.87,00:54:24:22,-1733.2865,945.497,897.6185
89,0.88,00:54:24:22,-1733.5755,945.4945,897.648
90,0.89,00:54:24:22,-1733.8725,945.5039999999999,897.703
91,0.9,00:54:24:23,-1734.1585,945.5185,897.7339999999999
92,0.91,00:54:24:23,-1734.4475,945.529,897.784
93,0.92,00:54:24:23,-1734.7265,945.5335,897.783
94,0.93,00:54:24:23,-1735.016,945.5835,897.814
95,0.94,00:54:24:24,-1735.285,945.6115,897.8755
96,0.95,00:54:24:24,-1735.5255,945.6465,897.908
97,0.96,00:54:24:24,-1735.77,945.717,897.9565
98,0.97,00:54:24:24,-1736.023,945.7675,897.9985
99,0.98,00:54:25:00,-1736.2579999999998,945.817,898.0265
100,0.99,00:54:25:00,-1736.5205,945.8760000000001,898.085
101,1.0,00:54:25:00,-1736.776,945.9255,898.113
102,1.01,00:54:25:00,-1737.009,945.9825,898.1345
103,1.02,00:54:25:01,-1737.2505,946.0419999999999,898.158
104,1.03,00:54:25:01,-1737.4920000000002,946.084,898.2125
105,1.04,00:54:25:01,-1737.6885,946.1625,898.2135
106,1.05,00:54:25:01,-1737.9635,946.2485,898.248
107,1.06,00:54:25:02,-1738.2005,946.318,898.288
108,1.07,00:54:25:02,-1738.4270000000001,946.3585,898.3135
109,1.08,00:54:25:02,-1738.6565,946.4755,898.3395
110,1.09,00:54:25:02,-1738.852,946.5260000000001,898.3810000000001
111,1.1,00:54:25:03,-1739.0420000000001,946.605,898.4105
112,1.11,00:54:25:03,-1739.2785,946.6965,898.4255
113,1.12,00:54:25:03,-1739.477,946.788,898.442
114,1.13,00:54:25:03,-1739.7160000000001,946.8365,898.4555
115,1.14,00:54:25:04,-1739.9125,946.9110000000001,898.4885
116,1.15,00:54:25:04,-1740.0929999999998,946.985,898.5160000000001
117,1.16,00:54:25:04,-1740.2895,947.053,898.5115
118,1.17,00:54:25:04,-1740.4975,947.1265,898.5335
119,1.18,00:54:25:05,-1740.6825,947.188,898.552
120,1.19,00:54:25:05,-1740.8885,947.2595,898.5805
121,1.2,00:54:25:05,-1741.0715,947.319,898.5995
122,1.21,00:54:25:05,-1741.2465,947.393,898.5935
123,1.22,00:54:25:06,-1741.433,947.4375,898.6395
124,1.23,00:54:25:06,-1741.6129999999998,947.51,898.6625
125,1.24,00:54:25:06,-1741.781,947.557,898.685
126,1.25,00:54:25:06,-1741.8470000000002,947.503,898.7795
127,1.26,00:54:25:07,-1742.025,947.567,898.8105
128,1.27,00:54:25:07,-1742.211,947.6305,898.832
129,1.28,00:54:25:07,-1742.4189999999999,947.6805,898.804
130,1.29,00:54:25:07,-1742.6105,947.7255,898.819
131,1.3,00:54:25:08,-1742.77,947.7719999999999,898.823
132,1.31,00:54:25:08,-1742.9589999999998,947.846,898.832
133,1.32,00:54:25:08,-1743.1365,947.8975,898.8285
134,1.33,00:54:25:08,-1743.3035,947.949,898.8545
135,1.34,00:54:25:09,-1743.4855,948.0169999999999,898.86
136,1.35,00:54:25:09,-1743.636,948.063,898.8405
137,1.36,00:54:25:09,-1743.828,948.0995,898.8580000000001
138,1.37,00:54:25:09,-1743.973,948.1515,898.8515
139,1.38,00:54:25:10,-1744.1589999999999,948.2055,898.87
140,1.39,00:54:25:10,-1744.31,948.2315,898.8955
141,1.4,00:54:25:10,-1744.467,948.2955,898.898
142,1.41,00:54:25:10,-1744.646,948.3145,898.9019999999999
143,1.42,00:54:25:11,-1744.7835,948.3505,898.9135
144,1.43,00:54:25:11,-1744.969,948.387,898.9275
145,1.44,00:54:25:11,-1745.1295,948.564,898.9545
146,1.45,00:54:25:11,-1745.375,947.9945,898.9335
147,1.46,00:54:25:12,-1745.4985,948.2919999999999,899.0010000000001
148,1.47,00:54:25:12,-1745.7185,948.023,898.953
149,1.48,00:54:25:12,-1745.8105,948.4989999999999,898.92
150,1.49,00:54:25:12,-1745.9355,948.6825,898.931
151,1.5,00:54:25:13,-1746.0715,948.73,898.9355
152,1.51,00:54:25:13,-1746.221,948.7335,898.9325
153,1.52,00:54:25:13,-1746.3835,948.7935,898.9195
154,1.53,00:54:25:13,-1746.5225,948.7710000000001,898.943
155,1.54,00:54:25:14,-1746.6715,948.7955,898.941
156,1.55,00:54:25:14,-1746.809,948.8075,898.9445
157,1.56,00:54:25:14,-1746.931,948.7935,898.9405
158,1.57,00:54:25:14,-1747.0805,948.807,898.9405
159,1.58,00:54:25:15,-1747.2115,948.7919999999999,898.9585
160,1.59,00:54:25:15,-1747.329,948.794,898.9445
161,1.6,00:54:25:15,-1747.4575,948.7705,898.9695
162,1.61,00:54:25:15,-1747.588,948.8125,898.946
163,1.62,00:54:25:16,-1747.7135,948.794,898.951
164,1.63,00:54:25:16,-1747.854,948.8165,898.9685
165,1.64,00:54:25:16,-1747.9805,948.816,898.9855
166,1.65,00:54:25:16,-1748.1135,948.814,898.9425
167,1.66,00:54:25:17,-1748.2485,948.827,898.9765
168,1.67,00:54:25:17,-1748.345,948.826,898.9839999999999
169,1.68,00:54:25:17,-1748.454,948.8639999999999,899.013
170,1.69,00:54:25:17,-1748.5895,948.8665,898.998
171,1.7,00:54:25:18,-1748.7020000000002,948.8480000000001,899.0155
172,1.71,00:54:25:18,-1748.816,948.8645,899.0139999999999
173,1.72,00:54:25:18,-1748.945,948.9145,899.0185
174,1.73,00:54:25:18,-1749.0445,948.8955,899.034
175,1.74,00:54:25:19,-1749.1770000000001,948.9065,899.0210000000001
176,1.75,00:54:25:19,-1749.2879999999998,948.9115,899.023
177,1.76,00:54:25:19,-1749.399,948.931,899.0145
178,1.77,00:54:25:19,-1749.4975,948.9775,899.0265
179,1.78,00:54:25:20,-1749.6295,948.9975,899.0260000000001
180,1.79,00:54:25:20,-1749.7405,949.0375,899.0185
181,1.8,00:54:25:20,-1749.8429999999998,949.0725,899.0225
182,1.81,00:54:25:20,-1749.961,949.1285,899.02
183,1.82,00:54:25:21,-1750.0665,949.178,899.0145
184,1.83,00:54:25:21,-1750.1705,949.2505,899.0225
185,1.84,00:54:25:21,-1750.24,949.2915,899.0225
186,1.85,00:54:25:21,-1750.346,949.3735,899.023
187,1.86,00:54:25:22,-1750.4295,949.4475,899.043
188,1.87,00:54:25:22,-1750.509,949.505,899.038
189,1.88,00:54:25:22,-1750.614,949.5595,899.0465
190,1.89,00:54:25:22,-1750.713,949.6285,899.0455
191,1.9,00:54:25:23,-1750.7985,949.6685,899.039
192,1.91,00:54:25:23,-1750.8815,949.7280000000001,899.0615
193,1.92,00:54:25:23,-1750.9845,949.7935,899.0565
194,1.93,00:54:25:23,-1751.07,949.8555,899.058
195,1.94,00:54:25:24,-1751.1570000000002,949.913,899.072
196,1.95,00:54:25:24,-1751.266,949.9645,899.0885
197,1.96,00:54:25:24,-1751.366,950.0189999999999,899.097
198,1.97,00:54:25:24,-1751.4585,949.87,899.0705
199,1.98,00:54:26:00,-1751.57,949.9445,899.063
200,1.99,00:54:26:00,-1751.6665,950.003,899.0930000000001
201,2.0,00:54:26:00,-1751.743,950.065,899.0815
202,2.01,00:54:26:00,-1751.865,950.138,899.105
203,2.02,00:54:26:01,-1751.945,950.1795,899.1115
204,2.03,00:54:26:01,-1752.0439999999999,950.243,899.1339999999999
205,2.04,00:54:26:01,-1752.138,950.302,899.1419999999999
206,2.05,00:54:26:01,-1752.233,950.37,899.1389999999999
207,2.06,00:54:26:02,-1752.332,950.409,899.1389999999999
208,2.07,00:54:26:02,-1752.4415,950.4645,899.164
209,2.08,00:54:26:02,-1752.5225,950.4885,899.177
210,2.09,00:54:26:02,-1752.6475,950.528,899.1605
211,2.1,00:54:26:03,-1752.746,950.551,899.1519999999999
212,2.11,00:54:26:03,-1752.9520000000002,950.1060000000001,899.1125
213,2.12,00:54:26:03,-1752.9625,950.5375,899.1645
214,2.13,00:54:26:03,-1753.0465,950.528,899.168
215,2.14,00:54:26:04,-1753.215,950.046,899.1695
216,2.15,00:54:26:04,-1752.953,950.684,899.2895
217,2.16,00:54:26:04,-1753.0085,950.7225,899.2725
218,2.17,00:54:26:04,-1753.075,950.7180000000001,899.2965
219,2.18,00:54:26:05,-1753.12,950.7185,899.3105
220,2.19,00:54:26:05,-1753.21,950.747,899.315
221,2.2,00:54:26:05,-1753.2635,950.752,899.323
222,2.21,00:54:26:05,-1753.3285,950.7645,899.3135
223,2.22,00:54:26:06,-1753.4925,950.7439999999999,899.2915
224,2.23,00:54:26:06,-1753.4955,950.7825,899.3075
225,2.24,00:54:26:06,-1753.4865,950.8185,899.293
226,2.25,00:54:26:06,-1753.5455,950.8555,899.293
227,2.26,00:54:26:07,-1753.5995,950.9115,899.2885
