Frame,Time,SMPTE,bar_left_shoulder_x,bar_left_shoulder_y,bar_left_shoulder_z
1,0.0,00:54:24:00,-1724.672,966.691,1294.3010000000002
2,0.01,00:54:24:00,-1724.162,966.799,1294.205
3,0.02,00:54:24:01,-1723.634,966.941,1294.111
4,0.03,00:54:24:01,-1723.0710000000001,967.0880000000001,1294.01
5,0.04,00:54:24:01,-1722.474,967.525,1293.996
6,0.05,00:54:24:01,-1721.601,967.482,1293.913
7,0.06,00:54:24:02,-1721.184,967.423,1293.868
8,0.07,00:54:24:02,-1720.588,967.579,1293.774
9,0.08,00:54:24:02,-1719.9489999999998,967.748,1293.642
10,0.09,00:54:24:02,-1719.2479999999998,967.882,1293.546
11,0.1,00:54:24:03,-1718.579,968.05,1293.482
12,0.11,00:54:24:03,-1717.901,968.199,1293.365
13,0.12,00:54:24:03,-1717.271,968.308,1293.3010000000002
14,0.13,00:54:24:03,-1716.4460000000001,968.6410000000001,1293.1789999999999
15,0.14,00:54:24:04,-1715.741,968.7439999999999,1293.095
16,0.15,00:54:24:04,-1714.9720000000002,968.7439999999999,1293.046
17,0.16,00:54:24:04,-1714.5729999999999,968.579,1292.989
18,0.17,00:54:24:04,-1713.951,968.645,1292.882
19,0.18,00:54:24:05,-1713.0729999999999,968.9830000000001,1292.715
20,0.19,00:54:24:05,-1712.44,969.0310000000001,1292.65
21,0.2,00:54:24:05,-1711.861,969.1210000000001,1292.553
22,0.21,00:54:24:05,-1711.286,969.177,1292.442
23,0.22,00:54:24:06,-1710.7620000000002,969.23,1292.357
24,0.23,00:54:24:06,-1710.549,969.169,1292.212
25,0.24,00:54:24:06,-1709.819,969.4010000000001,1292.113
26,0.25,00:54:24:06,-1709.271,969.4,1292.0330000000001
27,0.26,00:54:24:07,-1708.8039999999999,969.4110000000001,1291.951
28,0.27,00:54:24:07,-1708.3670000000002,969.409,1291.861
29,0.28,00:54:24:07,-1708.114,969.188,1291.822
30,0.29,00:54:24:07,-1707.649,969.209,1291.726
31,0.3,00:54:24:08,-1707.243,969.172,1291.694
32,0.31,00:54:24:08,-1706.7779999999998,969.1560000000001,1291.637
33,0.32,00:54:24:08,-1706.4279999999999,969.12,1291.569
34,0.33,00:54:24:08,-1706.047,969.1039999999999,1291.556
35,0.34,00:54:24:09,-1705.7420000000002,969.062,1291.514
36,0.35,00:54:24:09,-1705.369,969.028,1291.462
37,0.36,00:54:24:09,-1705.0870000000002,968.985,1291.421
38,0.37,00:54:24:09,-1704.724,968.937,1291.395
39,0.38,00:54:24:10,-1704.445,968.893,1291.356
40,0.39,00:54:24:10,-1704.165,968.847,1291.309
41,0.4,00:54:24:10,-1703.8870000000002,968.812,1291.286
42,0.41,00:54:24:10,-1703.639,968.752,1291.245
43,0.42,00:54:24:11,-1703.4379999999999,968.7289999999999,1291.225
44,0.43,00:54:24:11,-1703.26,968.704,1291.1860000000001
45,0.44,00:54:24:11,-1703.0870000000002,968.68,1291.146
46,0.45,00:54:24:11,-1702.92,968.6510000000001,1291.125
47,0.46,00:54:24:12,-1702.681,968.471,1291.094
48,0.47,00:54:24:12,-1702.5910000000001,968.444,1291.046
49,0.48,00:54:24:12,-1702.4920000000002,968.405,1291.011
50,0.49,00:54:24:12,-1702.421,968.37,1290.999
51,0.5,00:54:24:13,-1702.3770000000002,968.341,1290.976
52,0.51,00:54:24:13,-1702.34,968.3,1290.9589999999998
53,0.52,00:54:24:13,-1702.2879999999998,968.255,1290.925
54,0.53,00:54:24:13,-1702.3210000000001,968.215,1290.912
55,0.54,00:54:24:14,-1702.308,968.19,1290.884
56,0.55,00:54:24:14,-1702.366,968.1460000000001,1290.874
57,0.56,00:54:24:14,-1702.412,968.075,1290.873
58,0.57,00:54:24:14,-1702.479,968.057,1290.868
59,0.58,00:54:24:15,-1702.558,967.977,1290.9260000000002
60,0.59,00:54:24:15,-1702.6529999999998,967.97,1290.952
61,0.6,00:54:24:15,-1702.7479999999998,967.914,1290.95
62,0.61,00:54:24:15,-1702.855,967.8480000000001,1291.022
63,0.62,00:54:24:16,-1703.015,967.7760000000001,1291.065
64,0.63,00:54:24:16,-1703.1889999999999,967.681,1291.112
65,0.64,00:54:24:16,-1703.3270000000002,967.6089999999999,1291.1760000000002
66,0.65,00:54:24:16,-1703.318,967.72,1291.222
67,0.66,00:54:24:17,-1703.504,967.602,1291.229
68,0.67,00:54:24:17,-1703.711,967.438,1291.292
69,0.68,00:54:24:17,-1703.964,967.284,1291.2939999999999
70,0.69,00:54:24:17,-1704.18,967.096,1291.345
71,0.7,00:54:24:18,-1704.44,966.903,1291.379
72,0.71,00:54:24:18,-1704.6979999999999,966.737,1291.402
73,0.72,00:54:24:18,-1704.981,966.5110000000001,1291.423
74,0.73,00:54:24:18,-1705.5320000000002,966.0939999999999,1291.473
75,0.74,00:54:24:19,-1705.631,966.1010000000001,1291.499
