Frame,Time,SMPTE,bar_right_ankle_x,bar_right_ankle_y,bar_right_ankle_z
1,0.0,00:54:24:00,2053.655,932.422,97.366
2,0.01,00:54:24:00,2053.655,932.422,97.366
3,0.02,00:54:24:01,2053.655,932.422,97.366
4,0.03,00:54:24:01,2053.655,932.422,97.366
5,0.04,00:54:24:01,2053.655,932.422,97.366
6,0.05,00:54:24:01,2053.655,932.422,97.366
7,0.06,00:54:24:02,2053.655,932.422,97.366
8,0.07,00:54:24:02,2053.655,932.422,97.366
9,0.08,00:54:24:02,2053.655,932.422,97.366
10,0.09,00:54:24:02,2053.655,932.422,97.366
11,0.1,00:54:24:03,2053.655,932.422,97.366
12,0.11,00:54:24:03,2053.655,932.422,97.366
13,0.12,00:54:24:03,2053.655,932.422,97.366
14,0.13,00:54:24:03,2053.655,932.422,97.366
15,0.14,00:54:24:04,2053.655,932.422,97.366
16,0.15,00:54:24:04,2053.655,932.422,97.366
17,0.16,00:54:24:04,2053.655,932.422,97.366
18,0.17,00:54:24:04,2053.655,932.422,97.366
19,0.18,00:54:24:05,2053.655,932.422,97.366
20,0.19,00:54:24:05,2053.655,932.422,97.366
21,0.2,00:54:24:05,2053.655,932.422,97.366
22,0.21,00:54:24:05,2053.655,932.422,97.366
23,0.22,00:54:24:06,2053.655,932.422,97.366
24,0.23,00:54:24:06,2053.655,932.422,97.366
25,0.24,00:54:24:06,2053.655,932.422,97.366
26,0.25,00:54:24:06,2053.655,932.422,97.366
27,0.26,00:54:24:07,2053.655,932.422,97.366
28,0.27,00:54:24:07,2053.655,932.422,97.366
29,0.28,00:54:24:07,2053.655,932.422,97.366
30,0.29,00:54:24:07,2053.655,932.422,97.366
31,0.3,00:54:24:08,2053.655,932.422,97.366
32,0.31,00:54:24:08,2053.655,932.422,97.366
33,0.32,00:54:24:08,2053.655,932.422,97.366
34,0.33,00:54:24:08,2053.655,932.422,97.366
35,0.34,00:54:24:09,2053.655,932.422,97.366
36,0.35,00:54:24:09,2053.655,932.422,97.366
37,0.36,00:54:24:09,2053.655,932.422,97.366
38,0.37,00:54:24:09,2053.655,932.422,97.366
39,0.38,00:54:24:10,2053.655,932.422,97.366
40,0.39,00:54:24:10,2053.655,932.422,97.366
41,0.4,00:54:24:10,2053.655,932.422,97.366
42,0.41,00:54:24:10,2053.655,932.422,97.366
43,0.42,00:54:24:11,2053.655,932.422,97.366
44,0.43,00:54:24:11,2053.655,932.422,97.366
45,0.44,00:54:24:11,2053.655,932.422,97.366
46,0.45,00:54:24:11,2053.655,932.422,97.366
47,0.46,00:54:24:12,2053.655,932.422,97.366
48,0.47,00:54:24:12,2053.655,932.422,97.366
49,0.48,00:54:24:12,2053.655,932.422,97.366
50,0.49,00:54:24:12,2053.655,932.422,97.366
51,0.5,00:54:24:13,2053.655,932.422,97.366
52,0.51,00:54:24:13,2053.655,932.422,97.366
53,0.52,00:54:24:13,2053.655,932.422,97.366
54,0.53,00:54:24:13,2053.655,932.422,97.366
55,0.54,00:54:24:14,2053.655,932.422,97.366
56,0.55,00:54:24:14,2053.655,932.422,97.366
57,0.56,00:54:24:14,2053.655,932.422,97.366
58,0.57,00:54:24:14,2053.655,932.422,97.366
59,0.58,00:54:24:15,2053.655,932.422,97.366
60,0.59,00:54:24:15,2053.655,932.422,97.366
61,0.6,00:54:24:15,2053.655,932.422,97.366
62,0.61,00:54:24:15,2053.655,932.422,97.366
63,0.62,00:54:24:16,2053.655,932.422,97.366
64,0.63,00:54:24:16,2053.655,932.422,97.366
65,0.64,00:54:24:16,2053.655,932.422,97.366
66,0.65,00:54:24:16,2053.655,932.422,97.366
67,0.66,00:54:24:17,2053.655,932.422,97.366
68,0.67,00:54:24:17,2053.655,932.422,97.366
69,0.68,00:54:24:17,2053.655,932.422,97.366
70,0.69,00:54:24:17,2053.655,932.422,97.366
71,0.7,00:54:24:18,2053.655,932.422,97.366
72,0.71,00:54:24:18,2053.655,932.422,97.366
73,0.72,00:54:24:18,2053.655,932.422,97.366
74,0.73,00:54:24:18,2053.655,932.422,97.366
75,0.74,00:54:24:19,2053.655,932.422,97.366
76,0.75,00:54:24:19,2053.655,932.422,97.366
77,0.76,00:54:24:19,2053.655,932.422,97.366
78,0.77,00:54:24:19,2053.655,932.422,97.366
79,0.78,00:54:24:20,2053.655,932.422,97.366
80,0.79,00:54:24:20,2053.655,932.422,97.366
81,0.8,00:54:24:20,2053.655,932.422,97.366
82,0.81,00:54:24:20,2053.655,932.422,97.366
83,0.82,00:54:24:21,2053.655,932.422,97.366
84,0.83,00:54:24:21,2053.655,932.422,97.366
85,0.84,00:54:24:21,2053.655,932.422,97.366
86,0.85,00:54:24:21,2053.655,932.422,97.366
87,0.86,00:54:24:22,2053.655,932.422,97.366
88,0.87,00:54:24:22,2053.655,932.422,97.366
89,0.88,00:54:24:22,2053.655,932.422,97.366
90,0.89,00:54:24:22,2053.655,932.422,97.366
91,0.9,00:54:24:23,2053.655,932.422,97.366
92,0.91,00:54:24:23,2053.655,932.422,97.366
93,0.92,00:54:24:23,2053.655,932.422,97.366
94,0.93,00:54:24:23,2053.655,932.422,97.366
95,0.94,00:54:24:24,2053.655,932.422,97.366
96,0.95,00:54:24:24,2053.655,932.422,97.366
97,0.96,00:54:24:24,2053.655,932.422,97.366
98,0.97,00:54:24:24,2053.655,932.422,97.366
99,0.98,00:54:25:00,2053.655,932.422,97.366
100,0.99,00:54:25:00,2053.655,932.422,97.366
101,1.0,00:54:25:00,2053.655,932.422,97.366
102,1.01,00:54:25:00,2053.655,932.422,97.366
103,1.02,00:54:25:01,2053.655,932.422,97.366
104,1.03,00:54:25:01,2053.655,932.422,97.366
105,1.04,00:54:25:01,2053.655,932.422,97.366
106,1.05,00:54:25:01,2053.655,932.422,97.366
107,1.06,00:54:25:02,2053.655,932.422,97.366
108,1.07,00:54:25:02,2053.655,932.422,97.366
109,1.08,00:54:25:02,2053.655,932.422,97.366
110,1.09,00:54:25:02,2053.655,932.422,97.366
111,1.1,00:54:25:03,2053.655,932.422,97.366
112,1.11,00:54:25:03,2053.655,932.422,97.366
113,1.12,00:54:25:03,2053.655,932.422,97.366
114,1.13,00:54:25:03,2053.655,932.422,97.366
