Frame,Time,SMPTE,bar_right_hip_x,bar_right_hip_y,bar_right_hip_z
1,0.0,00:54:24:00,2044.9675,812.3825,942.567
2,0.01,00:54:24:00,2044.9675,812.3825,942.567
3,0.02,00:54:24:01,2044.9675,812.3825,942.567
4,0.03,00:54:24:01,2044.9675,812.3825,942.567
5,0.04,00:54:24:01,2044.9675,812.3825,942.567
6,0.05,00:54:24:01,2044.9675,812.3825,942.567
7,0.06,00:54:24:02,2044.9675,812.3825,942.567
8,0.07,00:54:24:02,2044.9675,812.3825,942.567
9,0.08,00:54:24:02,2044.9675,812.3825,942.567
10,0.09,00:54:24:02,2044.9675,812.3825,942.567
11,0.1,00:54:24:03,2044.9675,812.3825,942.567
12,0.11,00:54:24:03,2044.9675,812.3825,942.567
13,0.12,00:54:24:03,2044.9675,812.3825,942.567
14,0.13,00:54:24:03,2044.9675,812.3825,942.567
15,0.14,00:54:24:04,2044.9675,812.3825,942.567
16,0.15,00:54:24:04,2044.9675,812.3825,942.567
17,0.16,00:54:24:04,2044.9675,812.3825,942.567
18,0.17,00:54:24:04,2044.9675,812.3825,942.567
19,0.18,00:54:24:05,2044.9675,812.3825,942.567
20,0.19,00:54:24:05,2044.9675,812.3825,942.567
21,0.2,00:54:24:05,2044.9675,812.3825,942.567
22,0.21,00:54:24:05,2044.9675,812.3825,942.567
23,0.22,00:54:24:06,2044.9675,812.3825,942.567
24,0.23,00:54:24:06,2044.9675,812.3825,942.567
25,0.24,00:54:24:06,2044.9675,812.3825,942.567
26,0.25,00:54:24:06,2044.9675,812.3825,942.567
27,0.26,00:54:24:07,2044.9675,812.3825,942.567
28,0.27,00:54:24:07,2044.9675,812.3825,942.567
29,0.28,00:54:24:07,2044.9675,812.3825,942.567
30,0.29,00:54:24:07,2044.9675,812.3825,942.567
31,0.3,00:54:24:08,2044.9675,812.3825,942.567
32,0.31,00:54:24:08,2044.9675,812.3825,942.567
33,0.32,00:54:24:08,2044.9675,812.3825,942.567
34,0.33,00:54:24:08,2044.9675,812.3825,942.567
35,0.34,00:54:24:09,2044.9675,812.3825,942.567
36,0.35,00:54:24:09,2044.9675,812.3825,942.567
37,0.36,00:54:24:09,2044.9675,812.3825,942.567
38,0.37,00:54:24:09,2044.9675,812.3825,942.567
39,0.38,00:54:24:10,2044.9675,812.3825,942.567
40,0.39,00:54:24:10,2044.9675,812.3825,942.567
41,0.4,00:54:24:10,2044.9675,812.3825,942.567
42,0.41,00:54:24:10,2044.9675,812.3825,942.567
43,0.42,00:54:24:11,2044.9675,812.3825,942.567
44,0.43,00:54:24:11,2044.9675,812.3825,942.567
45,0.44,00:54:24:11,2044.9675,812.3825,942.567
46,0.45,00:54:24:11,2044.9675,812.3825,942.567
47,0.46,00:54:24:12,2044.9675,812.3825,942.567
48,0.47,00:54:24:12,2044.9675,812.3825,942.567
49,0.48,00:54:24:12,2044.9675,812.3825,942.567
50,0.49,00:54:24:12,2044.9675,812.3825,942.567
51,0.5,00:54:24:13,2044.9675,812.3825,942.567
52,0.51,00:54:24:13,2044.9675,812.3825,942.567
53,0.52,00:54:24:13,2044.9675,812.3825,942.567
54,0.53,00:54:24:13,2044.9675,812.3825,942.567
55,0.54,00:54:24:14,2044.9675,812.3825,942.567
56,0.55,00:54:24:14,2044.9675,812.3825,942.567
57,0.56,00:54:24:14,2044.9675,812.3825,942.567
58,0.57,00:54:24:14,2044.9675,812.3825,942.567
59,0.58,00:54:24:15,2044.9675,812.3825,942.567
60,0.59,00:54:24:15,2044.9675,812.3825,942.567
61,0.6,00:54:24:15,2044.9675,812.3825,942.567
62,0.61,00:54:24:15,2044.9675,812.3825,942.567
63,0.62,00:54:24:16,2044.9675,812.3825,942.567
64,0.63,00:54:24:16,2044.9675,812.3825,942.567
65,0.64,00:54:24:16,2044.9675,812.3825,942.567
66,0.65,00:54:24:16,2044.9675,812.3825,942.567
67,0.66,00:54:24:17,2044.9675,812.3825,942.567
68,0.67,00:54:24:17,2044.9675,812.3825,942.567
69,0.68,00:54:24:17,2044.9675,812.3825,942.567
70,0.69,00:54:24:17,2044.9675,812.3825,942.567
71,0.7,00:54:24:18,2044.9675,812.3825,942.567
72,0.71,00:54:24:18,2044.9675,812.3825,942.567
73,0.72,00:54:24:18,2044.9675,812.3825,942.567
74,0.73,00:54:24:18,2044.9675,812.3825,942.567
75,0.74,00:54:24:19,2044.9675,812.3825,942.567
76,0.75,00:54:24:19,2044.9675,812.3825,942.567
77,0.76,00:54:24:19,2044.9675,812.3825,942.567
78,0.77,00:54:24:19,2044.9675,812.3825,942.567
79,0.78,00:54:24:20,2044.9675,812.3825,942.567
80,0.79,00:54:24:20,2044.9675,812.3825,942.567
81,0.8,00:54:24:20,2044.9675,812.3825,942.567
82,0.81,00:54:24:20,2044.9675,812.3825,942.567
83,0.82,00:54:24:21,2044.9675,812.3825,942.567
84,0.83,00:54:24:21,2044.9675,812.3825,942.567
85,0.84,00:54:24:21,2044.9675,812.3825,942.567
86,0.85,00:54:24:21,2044.9675,812.3825,942.567
87,0.86,00:54:24:22,2044.9675,812.3825,942.567
88,0.87,00:54:24:22,2044.9675,812.3825,942.567
89,0.88,00:54:24:22,2044.9675,812.3825,942.567
90,0.89,00:54:24:22,2044.9675,812.3825,942.567
91,0.9,00:54:24:23,2044.9675,812.3825,942.567
92,0.91,00:54:24:23,2044.9675,812.3825,942.567
93,0.92,00:54:24:23,2044.9675,812.3825,942.567
94,0.93,00:54:24:23,2044.9675,812.3825,942.567
95,0.94,00:54:24:24,2044.9675,812.3825,942.567
96,0.95,00:54:24:24,2044.9675,812.3825,942.567
97,0.96,00:54:24:24,2044.9675,812.3825,942.567
98,0.97,00:54:24:24,2044.9675,812.3825,942.567
99,0.98,00:54:25:00,2044.9675,812.3825,942.567
100,0.99,00:54:25:00,2044.9675,812.3825,942.567
101,1.0,00:54:25:00,2044.9675,812.3825,942.567
102,1.01,00:54:25:00,2044.9675,812.3825,942.567
103,1.02,00:54:25:01,2044.9675,812.3825,942.567
104,1.03,00:54:25:01,2044.9675,812.3825,942.567
105,1.04,00:54:25:01,2044.9675,812.3825,942.567
106,1.05,00:54:25:01,2044.9675,812.3825,942.567
107,1.06,00:54:25:02,2044.9675,812.3825,942.567
108,1.07,00:54:25:02,2044.9675,812.3825,942.567
109,1.08,00:54:25:02,2044.9675,812.3825,942.567
110,1.09,00:54:25:02,2044.9675,812.3825,942.567
111,1.1,00:54:25:03,2044.9675,812.3825,942.567
112,1.11,00:54:25:03,2044.9675,812.3825,942.567
113,1.12,00:54:25:03,2044.9675,812.3825,942.567
114,1.13,00:54:25:03,2044.9675,812.3825,942.567
115,1.14,00:54:25:04,2044.9675,812.3825,942.567
116,1.15,00:54:25:04,2044.9675,812.3825,942.567
117,1.16,00:54:25:04,2044.9675,812.3825,942.567
118,1.17,00:54:25:04,2044.9675,812.3825,942.567
119,1.18,00:54:25:05,2044.9675,812.3825,942.567
120,1.19,00:54:25:05,2044.9675,812.3825,942.567
121,1.2,00:54:25:05,2044.9675,812.3825,942.567
122,1.21,00:54:25:05,2044.9675,812.3825,942.567
123,1.22,00:54:25:06,2044.9675,812.3825,942.567
124,1.23,00:54:25:06,2044.9675,812.3825,942.567
125,1.24,00:54:25:06,2044.9675,812.3825,942.567
126,1.25,00:54:25:06,2044.9675,812.3825,942.567
127,1.26,00:54:25:07,2044.9675,812.3825,942.567
128,1.27,00:54:25:07,2044.9675,812.3825,942.567
129,1.28,00:54:25:07,2044.9675,812.3825,942.567
130,1.29,00:54:25:07,2044.9675,812.3825,942.567
131,1.3,00:54:25:08,2044.9675,812.3825,942.567
132,1.31,00:54:25:08,2044.9675,812.3825,942.567
133,1.32,00:54:25:08,2044.9675,812.3825,942.567
134,1.33,00:54:25:08,2044.9675,812.3825,942.567
135,1.34,00:54:25:09,2044.9675,812.3825,942.567
136,1.35,00:54:25:09,2044.9675,812.3825,942.567
137,1.36,00:54:25:09,2044.9675,812.3825,942.567
138,1.37,00:54:25:09,2044.9675,812.3825,942.567
139,1.38,00:54:25:10,2044.9675,812.3825,942.567
140,1.39,00:54:25:10,2044.9675,812.3825,942.567
141,1.4,00:54:25:10,2044.9675,812.3825,942.567
142,1.41,00:54:25:10,2044.9675,812.3825,942.567
143,1.42,00:54:25:11,2044.9675,812.3825,942.567
144,1.43,00:54:25:11,2044.9675,812.3825,942.567
145,1.44,00:54:25:11,2044.9675,812.3825,942.567
146,1.45,00:54:25:11,2044.9675,812.3825,942.567
147,1.46,00:54:25:12,2044.9675,812.3825,942.567
148,1.47,00:54:25:12,2044.9675,812.3825,942.567
149,1.48,00:54:25:12,2044.9675,812.3825,942.567
150,1.49,00:54:25:12,2044.9675,812.3825,942.567
151,1.5,00:54:25:13,2044.9675,812.3825,942.567
152,1.51,00:54:25:13,2044.9675,812.3825,942.567
153,1.52,00:54:25:13,2044.9675,812.3825,942.567
154,1.53,00:54:25:13,2044.9675,812.3825,942.567
155,1.54,00:54:25:14,2044.9675,812.3825,942.567
