Frame,Time,SMPTE,bar_right_wrist_x,bar_right_wrist_y,bar_right_wrist_z
1,0.0,00:54:24:00,1980.661,820.6265,770.182
2,0.01,00:54:24:00,1980.629,819.84,770.2455
3,0.02,00:54:24:01,1980.5255,819.1310000000001,770.3435
4,0.03,00:54:24:01,1979.6125,818.5010000000001,770.885
5,0.04,00:54:24:01,1979.4745,817.7875,770.862
6,0.05,00:54:24:01,1979.2755,817.0555,770.8715
7,0.06,00:54:24:02,1978.9985,816.367,770.885
8,0.07,00:54:24:02,1978.7095,815.71,770.9825
9,0.08,00:54:24:02,1978.4045,815.078,771.0365
10,0.09,00:54:24:02,1978.076,814.4665,771.095
11,0.1,00:54:24:03,1977.7820000000002,813.8530000000001,771.179
12,0.11,00:54:24:03,1977.422,813.2795,771.2145
13,0.12,00:54:24:03,1977.0870000000002,812.7165,771.2945
14,0.13,00:54:24:03,1976.776,812.172,771.3889999999999
15,0.14,00:54:24:04,1976.4460000000001,811.665,771.4415
16,0.15,00:54:24:04,1976.1905,811.172,771.503
17,0.16,00:54:24:04,1975.9395,810.6955,771.5715
18,0.17,00:54:24:04,1975.6655,810.1945,771.6165
19,0.18,00:54:24:05,1975.453,809.7525,771.6295
20,0.19,00:54:24:05,1975.2575,809.331,771.684
21,0.2,00:54:24:05,1975.085,808.8925,771.6815
22,0.21,00:54:24:05,1974.933,808.4805,771.671
23,0.22,00:54:24:06,1974.8055,808.0915,771.6675
24,0.23,00:54:24:06,1974.6995,807.705,771.6189999999999
25,0.24,00:54:24:06,1974.658,807.328,771.6085
26,0.25,00:54:24:06,1974.59,806.92,771.552
27,0.26,00:54:24:07,1974.5529999999999,806.5039999999999,771.4825
28,0.27,00:54:24:07,1974.5505,806.1055,771.423
29,0.28,00:54:24:07,1974.5929999999998,805.7355,771.3610000000001
30,0.29,00:54:24:07,1974.645,805.335,771.309
31,0.3,00:54:24:08,1974.7215,804.921,771.2555
32,0.31,00:54:24:08,1974.8410000000001,804.4760000000001,771.184
33,0.32,00:54:24:08,1974.954,804.0815,771.1385
34,0.33,00:54:24:08,1975.1235,803.6435,771.076
35,0.34,00:54:24:09,1975.293,803.191,771.0039999999999
36,0.35,00:54:24:09,1975.453,802.7255,770.9745
37,0.36,00:54:24:09,1975.624,802.268,770.965
38,0.37,00:54:24:09,1975.8015,801.7975,770.9305
39,0.38,00:54:24:10,1976.0025,801.2895,770.9555
40,0.39,00:54:24:10,1976.1835,800.8055,770.9555
41,0.4,00:54:24:10,1976.348,800.3235,770.95
42,0.41,00:54:24:10,1976.5510000000002,799.8175,770.9789999999999
43,0.42,00:54:24:11,1976.7155,799.313,771.015
44,0.43,00:54:24:11,1976.92,798.831,771.056
45,0.44,00:54:24:11,1977.0870000000002,798.3305,771.054
46,0.45,00:54:24:11,1977.287,797.8439999999999,771.075
47,0.46,00:54:24:12,1977.507,797.3580000000001,771.0865
48,0.47,00:54:24:12,1977.703,796.9145,771.0795
49,0.48,00:54:24:12,1977.876,796.4175,771.0765
50,0.49,00:54:24:12,1978.088,795.962,771.132
51,0.5,00:54:24:13,1978.254,795.5239999999999,771.15
52,0.51,00:54:24:13,1978.4045,795.1055,771.198
53,0.52,00:54:24:13,1978.5620000000001,794.7230000000001,771.217
54,0.53,00:54:24:13,1978.761,794.363,771.2115
55,0.54,00:54:24:14,1978.9489999999998,793.9985,771.215
56,0.55,00:54:24:14,1979.118,793.684,771.2410000000001
57,0.56,00:54:24:14,1979.2975,793.3739999999999,771.3085
58,0.57,00:54:24:14,1979.467,793.0445,771.3580000000001
59,0.58,00:54:24:15,1979.631,792.7710000000001,771.3765
60,0.59,00:54:24:15,1979.8029999999999,792.5095,771.471
61,0.6,00:54:24:15,1979.97,792.2925,771.4875
62,0.61,00:54:24:15,1980.0995,792.071,771.5089999999999
63,0.62,00:54:24:16,1980.2515,791.8760000000001,771.556
64,0.63,00:54:24:16,1980.4160000000002,791.6985,771.6535
65,0.64,00:54:24:16,1980.536,791.5215,771.666
66,0.65,00:54:24:16,1980.6675,791.3545,771.6765
67,0.66,00:54:24:17,1980.8265,791.166,771.671
68,0.67,00:54:24:17,1980.954,791.025,771.6275
69,0.68,00:54:24:17,1981.0765,790.8605,771.627
70,0.69,00:54:24:17,1981.207,790.7325,771.6185
71,0.7,00:54:24:18,1981.3335,790.5835,771.5455
72,0.71,00:54:24:18,1981.4535,790.4565,771.535
73,0.72,00:54:24:18,1981.6,790.3355,771.5215
74,0.73,00:54:24:18,1981.7320000000002,790.2130000000001,771.4839999999999
75,0.74,00:54:24:19,1981.875,790.0925,771.4989999999999
76,0.75,00:54:24:19,1982.0525,790.0005,771.5225
77,0.76,00:54:24:19,1982.1945,789.898,771.5465
78,0.77,00:54:24:19,1982.3295,789.8035,771.575
79,0.78,00:54:24:20,1982.4565,789.7439999999999,771.602
80,0.79,00:54:24:20,1982.602,789.673,771.6569999999999
81,0.8,00:54:24:20,1982.72,789.6065,771.716
82,0.81,00:54:24:20,1982.8505,789.566,771.788
