Frame,Time,SMPTE,bar_spine_x,bar_spine_y,bar_spine_z
1,0.0,00:54:24:00,2225.9703,937.3243,1151.5823
2,0.01,00:54:24:00,2225.8293,936.7417,1151.6037
3,0.02,00:54:24:01,2225.708,936.1847,1151.627
4,0.03,00:54:24:01,2225.335,935.199,1151.587
5,0.04,00:54:24:01,2225.0237,934.7463,1151.6517
6,0.05,00:54:24:01,2224.9003,934.222,1151.6889999999999
7,0.06,00:54:24:02,2224.831,933.721,1151.715
8,0.07,00:54:24:02,2224.7033,933.2297,1151.7013
9,0.08,00:54:24:02,2224.589,932.7333,1151.7227
10,0.09,00:54:24:02,2224.4610000000002,932.2589999999999,1151.7323
11,0.1,00:54:24:03,2224.3533,931.8047,1151.7267
12,0.11,00:54:24:03,2224.2387,931.3647,1151.7333
13,0.12,00:54:24:03,2224.1443,930.935,1151.7437
14,0.13,00:54:24:03,2224.048,930.5033,1151.7643
15,0.14,00:54:24:04,2223.9533,930.0977,1151.753
16,0.15,00:54:24:04,2223.8267,929.7067,1151.7827
17,0.16,00:54:24:04,2223.6923,929.34,1151.776
18,0.17,00:54:24:04,2223.5683,928.9907,1151.774
19,0.18,00:54:24:05,2223.4320000000002,928.6457,1151.7687
20,0.19,00:54:24:05,2223.275,928.3193,1151.764
21,0.2,00:54:24:05,2223.137,928.0169999999999,1151.767
22,0.21,00:54:24:05,2222.9997,927.7263,1151.7673
23,0.22,00:54:24:06,2222.842,927.4413,1151.7337
24,0.23,00:54:24:06,2222.7110000000002,927.1783,1151.6933
25,0.24,00:54:24:06,2222.5417,926.9043,1151.6613
26,0.25,00:54:24:06,2222.4067,926.669,1151.595
27,0.26,00:54:24:07,2222.2633,926.4167,1151.5373
28,0.27,00:54:24:07,2222.13,926.1607,1151.45
29,0.28,00:54:24:07,2222.0029999999997,925.9517,1151.4123
30,0.29,00:54:24:07,2221.875,925.7467,1151.359
31,0.3,00:54:24:08,2221.7393,925.5457,1151.3147
32,0.31,00:54:24:08,2221.6167,925.3467,1151.2597
33,0.32,00:54:24:08,2221.5157,925.1683,1151.2137
34,0.33,00:54:24:08,2221.4457,924.977,1151.1597
35,0.34,00:54:24:09,2221.3603,924.8307,1151.0827
36,0.35,00:54:24:09,2221.2917,924.672,1150.9973
37,0.36,00:54:24:09,2221.2427,924.5473,1150.9203
38,0.37,00:54:24:09,2221.215,924.414,1150.8367
39,0.38,00:54:24:10,2221.194,924.3137,1150.7307
40,0.39,00:54:24:10,2221.177,924.1907,1150.6307
41,0.4,00:54:24:10,2221.1887,924.1087,1150.5143
42,0.41,00:54:24:10,2221.2077,924.0257,1150.4057
43,0.42,00:54:24:11,2221.2353,923.9647,1150.2903
44,0.43,00:54:24:11,2221.2767,923.9169999999999,1150.1733
45,0.44,00:54:24:11,2221.3247,923.868,1150.0287
46,0.45,00:54:24:11,2221.385,923.8389999999999,1149.8857
47,0.46,00:54:24:12,2221.4633,923.8103,1149.757
48,0.47,00:54:24:12,2221.5627,923.8053,1149.633
49,0.48,00:54:24:12,2221.6563,923.8183,1149.4713
50,0.49,00:54:24:12,2221.762,923.8330000000001,1149.345
51,0.5,00:54:24:13,2221.8717,923.8497,1149.195
52,0.51,00:54:24:13,2221.9843,923.8603,1149.047
53,0.52,00:54:24:13,2222.1447,923.8867,1148.887
54,0.53,00:54:24:13,2222.2729999999997,923.9173,1148.7467
55,0.54,00:54:24:14,2222.4197,923.9407,1148.614
56,0.55,00:54:24:14,2222.5353,923.972,1148.4773
57,0.56,00:54:24:14,2222.6623,923.997,1148.343
58,0.57,00:54:24:14,2222.7583,924.029,1148.2037
59,0.58,00:54:24:15,2222.8977,924.0807,1148.073
60,0.59,00:54:24:15,2223.041,924.127,1147.952
61,0.6,00:54:24:15,2223.1627,924.1737,1147.8327
62,0.61,00:54:24:15,2223.308,924.2283,1147.6847
63,0.62,00:54:24:16,2223.423,924.2983,1147.5157
64,0.63,00:54:24:16,2223.5347,924.357,1147.3763
65,0.64,00:54:24:16,2223.6703,924.4427,1147.205
66,0.65,00:54:24:16,2223.7837,924.5193,1147.022
67,0.66,00:54:24:17,2223.9303,924.596,1146.8593
68,0.67,00:54:24:17,2224.0643,924.6947,1146.7117
69,0.68,00:54:24:17,2224.183,924.7697,1146.5657
70,0.69,00:54:24:17,2224.29,924.8477,1146.4217
71,0.7,00:54:24:18,2224.4027,924.931,1146.2910000000002
72,0.71,00:54:24:18,2224.527,925.0210000000001,1146.174
73,0.72,00:54:24:18,2224.641,925.1147,1146.06
74,0.73,00:54:24:18,2224.7773,925.2117,1145.9237
75,0.74,00:54:24:19,2224.905,925.313,1145.81
76,0.75,00:54:24:19,2225.0777,925.4103,1145.7177
77,0.76,00:54:24:19,2225.2093,925.5010000000001,1145.627
78,0.77,00:54:24:19,2225.363,925.5977,1145.5427
79,0.78,00:54:24:20,2225.5233,925.7033,1145.4783
80,0.79,00:54:24:20,2225.6717,925.8157,1145.3987
81,0.8,00:54:24:20,2225.8347,925.9213,1145.3327
82,0.81,00:54:24:20,2225.9803,926.034,1145.2823
83,0.82,00:54:24:21,2226.1433,926.1733,1145.2169999999999
84,0.83,00:54:24:21,2226.2863,926.2907,1145.1697
85,0.84,00:54:24:21,2226.426,926.415,1145.1237
86,0.85,00:54:24:21,2226.5817,926.5437,1145.0667
87,0.86,00:54:24:22,2226.697,926.6707,1145.021
88,0.87,00:54:24:22,2226.8089999999997,926.8023,1144.979
89,0.88,00:54:24:22,2226.9423,926.9327,1144.9243
90,0.89,00:54:24:22,2227.0683,927.0673,1144.8943
