Frame,Time,SMPTE,bar_left_elbow_x,bar_left_elbow_y,bar_left_elbow_z
1,0.0,00:54:24:00,2412.26,822.6965,971.7745
2,0.01,00:54:24:00,2412.2529999999997,822.5369999999999,971.8285
3,0.02,00:54:24:01,2412.2485,822.3635,971.862
4,0.03,00:54:24:01,2412.402,822.091,971.904
5,0.04,00:54:24:01,2412.4825,821.5575,971.8795
6,0.05,00:54:24:01,2412.0675,821.5319999999999,972.245
7,0.06,00:54:24:02,2409.0860000000002,827.6005,975.952
8,0.07,00:54:24:02,2409.3175,826.967,975.797
9,0.08,00:54:24:02,2409.1805,826.7365,975.9175
10,0.09,00:54:24:02,2409.061,826.456,975.9475
11,0.1,00:54:24:03,2408.924,826.2230000000001,975.9575
12,0.11,00:54:24:03,2408.7929999999997,825.8889999999999,975.9535
13,0.12,00:54:24:03,2408.6665,825.6435,975.9275
14,0.13,00:54:24:03,2408.56,825.346,975.946
15,0.14,00:54:24:04,2408.4105,825.077,975.909
16,0.15,00:54:24:04,2408.32,824.8985,975.9315
17,0.16,00:54:24:04,2407.749,824.3785,975.758
18,0.17,00:54:24:04,2407.6195,824.3610000000001,975.7455
19,0.18,00:54:24:05,2407.5195,824.1015,975.7335
20,0.19,00:54:24:05,2407.383,824.04,975.7385
21,0.2,00:54:24:05,2407.2885,823.895,975.7105
22,0.21,00:54:24:05,2407.161,823.81,975.696
23,0.22,00:54:24:06,2407.0915,823.7539999999999,975.694
24,0.23,00:54:24:06,2406.883,823.546,975.7165
25,0.24,00:54:24:06,2406.7495,823.717,975.7195
26,0.25,00:54:24:06,2406.7129999999997,823.53,975.7435
27,0.26,00:54:24:07,2406.655,823.3975,975.7410000000001
28,0.27,00:54:24:07,2407.9415,817.166,975.0055
29,0.28,00:54:24:07,2407.895,816.931,975.0110000000001
30,0.29,00:54:24:07,2407.81,816.7815,974.99
31,0.3,00:54:24:08,2407.777,816.535,975.0135
32,0.31,00:54:24:08,2407.7929999999997,816.4169999999999,975.0225
33,0.32,00:54:24:08,2407.782,816.296,975.0110000000001
34,0.33,00:54:24:08,2407.768,816.221,975.0235
35,0.34,00:54:24:09,2407.766,816.1460000000001,975.005
36,0.35,00:54:24:09,2407.779,816.0545,975.0105
37,0.36,00:54:24:09,2407.851,815.9875,974.9910000000001
38,0.37,00:54:24:09,2407.907,815.801,974.9915
39,0.38,00:54:24:10,2407.9685,815.7355,974.9665
40,0.39,00:54:24:10,2408.0545,815.5310000000001,974.9695
41,0.4,00:54:24:10,2408.107,815.6455,974.9145
42,0.41,00:54:24:10,2408.221,815.437,974.8655
43,0.42,00:54:24:11,2408.3085,815.3510000000001,974.8125
44,0.43,00:54:24:11,2408.409,815.325,974.7485
45,0.44,00:54:24:11,2408.5065,815.262,974.699
46,0.45,00:54:24:11,2408.6205,815.2405,974.6239999999999
47,0.46,00:54:24:12,2408.7625,815.2139999999999,974.5269999999999
48,0.47,00:54:24:12,2408.87,815.1905,974.4365
49,0.48,00:54:24:12,2409.015,815.1535,974.372
50,0.49,00:54:24:12,2409.1535,815.1725,974.2715
51,0.5,00:54:24:13,2409.2795,815.148,974.205
52,0.51,00:54:24:13,2409.445,815.1425,974.1415
53,0.52,00:54:24:13,2409.583,815.166,974.01
54,0.53,00:54:24:13,2409.738,815.0635,973.9425
55,0.54,00:54:24:14,2409.846,815.066,973.8565
56,0.55,00:54:24:14,2409.9595,815.1489999999999,973.7460000000001
57,0.56,00:54:24:14,2410.0860000000002,815.1575,973.6685
58,0.57,00:54:24:14,2410.2015,815.2289999999999,973.5685
59,0.58,00:54:24:15,2410.328,815.2685,973.5105
60,0.59,00:54:24:15,2410.4445,815.316,973.4245
61,0.6,00:54:24:15,2410.56,815.4445,973.329
62,0.61,00:54:24:15,2410.709,815.4985,973.209
63,0.62,00:54:24:16,2410.839,815.654,973.1125
64,0.63,00:54:24:16,2410.992,815.73,972.9915
65,0.64,00:54:24:16,2411.126,815.8085,972.8510000000001
66,0.65,00:54:24:16,2411.2735,815.9465,972.7455
67,0.66,00:54:24:17,2411.3995,816.0795,972.623
68,0.67,00:54:24:17,2411.5325,816.2015,972.5065
69,0.68,00:54:24:17,2411.6375,816.3555,972.4035
70,0.69,00:54:24:17,2411.757,816.4915,972.309
71,0.7,00:54:24:18,2411.8605,816.613,972.245
72,0.71,00:54:24:18,2411.7575,816.8085,972.2685
73,0.72,00:54:24:18,2411.869,816.949,972.2155
74,0.73,00:54:24:18,2411.9655,817.1195,972.1215
75,0.74,00:54:24:19,2412.073,817.188,972.1085
76,0.75,00:54:24:19,2412.2205,817.2835,972.0575
77,0.76,00:54:24:19,2412.52,817.4035,971.8025
78,0.77,00:54:24:19,2412.6620000000003,817.5,971.7705
79,0.78,00:54:24:20,2412.5865,817.6315,971.898
80,0.79,00:54:24:20,2412.7235,817.6715,971.8745
81,0.8,00:54:24:20,2412.8275,817.855,971.7965
82,0.81,00:54:24:20,2412.9785,817.868,971.795
83,0.82,00:54:24:21,2413.076,818.0055,971.701
84,0.83,00:54:24:21,2413.2215,818.0735,971.6735
85,0.84,00:54:24:21,2413.301,818.1695,971.587
86,0.85,00:54:24:21,2413.4235,818.196,971.5915
87,0.86,00:54:24:22,2413.476,818.34,971.4960000000001
88,0.87,00:54:24:22,2413.599,818.315,971.4760000000001
89,0.88,00:54:24:22,2413.6820000000002,818.4275,971.409
90,0.89,00:54:24:22,2413.75,818.533,971.342
91,0.9,00:54:24:23,2413.851,818.602,971.2745
92,0.91,00:54:24:23,2413.9455,818.6289999999999,971.2215
93,0.92,00:54:24:23,2414.0185,818.72,971.1745
94,0.93,00:54:24:23,2414.1035,818.7895,971.1085
95,0.94,00:54:24:24,2414.1710000000003,818.898,971.0375
96,0.95,00:54:24:24,2414.264,818.946,971.0105
97,0.96,00:54:24:24,2414.326,819.0980000000001,970.908
98,0.97,00:54:24:24,2414.3615,819.232,970.8235
99,0.98,00:54:25:00,2414.4315,819.334,970.7760000000001
100,0.99,00:54:25:00,2414.446,819.518,970.648
101,1.0,00:54:25:00,2414.506,819.6239999999999,970.5930000000001
102,1.01,00:54:25:00,2414.562,819.7130000000001,970.5385
103,1.02,00:54:25:01,2414.578,819.819,970.46
104,1.03,00:54:25:01,2414.5795,820.0055,970.3825
105,1.04,00:54:25:01,2414.576,820.13,970.2825
106,1.05,00:54:25:01,2414.5705,820.434,970.1485
107,1.06,00:54:25:02,2414.5465,820.602,970.0825
108,1.07,00:54:25:02,2414.4965,820.8475,969.946
109,1.08,00:54:25:02,2414.423,821.047,969.8739999999999
110,1.09,00:54:25:02,2414.361,821.2325,969.8025
111,1.1,00:54:25:03,2414.29,821.4745,969.7355
112,1.11,00:54:25:03,2414.1929999999998,821.5365,969.7615
113,1.12,00:54:25:03,2414.093,821.919,969.6685
114,1.13,00:54:25:03,2413.9925,822.1295,969.6975
115,1.14,00:54:25:04,2413.89,822.368,969.7425
116,1.15,00:54:25:04,2413.7715,822.665,969.7689999999999
117,1.16,00:54:25:04,2413.6910000000003,822.893,969.8330000000001
118,1.17,00:54:25:04,2413.625,823.165,969.8765
119,1.18,00:54:25:05,2413.615,823.3205,969.9545
120,1.19,00:54:25:05,2413.5565,823.457,970.074
121,1.2,00:54:25:05,2413.518,823.7289999999999,970.1295
122,1.21,00:54:25:05,2413.4515,824.0465,970.1569999999999
123,1.22,00:54:25:06,2413.429,824.299,970.205
124,1.23,00:54:25:06,2413.4139999999998,824.556,970.243
125,1.24,00:54:25:06,2413.424,824.8035,970.2539999999999
126,1.25,00:54:25:06,2413.423,825.2330000000001,970.2655
127,1.26,00:54:25:07,2413.4105,825.5385,970.2510000000001
128,1.27,00:54:25:07,2413.4075,825.8330000000001,970.2575
129,1.28,00:54:25:07,2413.416,826.118,970.265
130,1.29,00:54:25:07,2413.4210000000003,826.409,970.2885
131,1.3,00:54:25:08,2413.3675,826.82,970.245
132,1.31,00:54:25:08,2413.37,827.1335,970.2615
133,1.32,00:54:25:08,2413.3179999999998,827.55,970.2085
134,1.33,00:54:25:08,2413.2575,827.9385,970.1445
135,1.34,00:54:25:09,2413.2005,828.3810000000001,970.1055
136,1.35,00:54:25:09,2413.1505,828.798,970.091
