Frame,Time,SMPTE,bar_left_hand_x,bar_left_hand_y,bar_left_hand_z
1,0.0,00:54:24:00,2414.455,687.8660000000001,727.962
2,0.01,00:54:24:00,2414.632,687.592,728.095
3,0.02,00:54:24:01,2414.759,687.2280000000003,728.169
4,0.03,00:54:24:01,2414.8360000000002,686.89,728.196
5,0.04,00:54:24:01,2414.7270000000008,686.342,728.308
6,0.05,00:54:24:01,2414.68,686.038,728.285
7,0.06,00:54:24:02,2414.623,685.789,728.238
8,0.07,00:54:24:02,2414.565,685.564,728.15
9,0.08,00:54:24:02,2414.507,685.3839999999999,728.05
10,0.09,00:54:24:02,2414.4210000000007,685.199,727.947
11,0.1,00:54:24:03,2414.35,685.0419999999998,727.847
12,0.11,00:54:24:03,2414.282,684.904,727.7560000000003
13,0.12,00:54:24:03,2414.1929999999998,684.7760000000002,727.671
14,0.13,00:54:24:03,2414.1079999999997,684.6669999999998,727.563
15,0.14,00:54:24:04,2414.031,684.576,727.513
16,0.15,00:54:24:04,2413.98,684.465,727.429
17,0.16,00:54:24:04,2413.949,684.3639999999998,727.3910000000003
18,0.17,00:54:24:04,2413.859,684.2230000000002,727.3330000000003
19,0.18,00:54:24:05,2413.776,684.1060000000001,727.288
20,0.19,00:54:24:05,2413.724,683.9780000000002,727.2860000000003
21,0.2,00:54:24:05,2413.6479999999997,683.835,727.29
22,0.21,00:54:24:05,2413.581,683.666,727.309
23,0.22,00:54:24:06,2413.512,683.5210000000002,727.335
24,0.23,00:54:24:06,2413.475,683.352,727.385
25,0.24,00:54:24:06,2413.4829999999997,683.184,727.429
26,0.25,00:54:24:06,2413.528,683.005,727.543
27,0.26,00:54:24:07,2413.57,682.841,727.592
28,0.27,00:54:24:07,2413.658,682.6489999999999,727.696
29,0.28,00:54:24:07,2413.74,682.452,727.7689999999999
30,0.29,00:54:24:07,2413.84,682.2610000000002,727.8710000000003
31,0.3,00:54:24:08,2413.948,682.057,727.9989999999997
32,0.31,00:54:24:08,2414.089,681.84,728.085
33,0.32,00:54:24:08,2414.252,681.622,728.195
34,0.33,00:54:24:08,2414.4539999999997,681.425,728.33
35,0.34,00:54:24:09,2414.636,681.2330000000002,728.444
36,0.35,00:54:24:09,2414.857,681.045,728.5239999999999
37,0.36,00:54:24:09,2415.08,680.8539999999998,728.5980000000003
38,0.37,00:54:24:09,2415.334,680.685,728.725
39,0.38,00:54:24:10,2415.573,680.4789999999998,728.7460000000003
40,0.39,00:54:24:10,2415.842,680.2710000000002,728.846
41,0.4,00:54:24:10,2416.118,680.075,728.9019999999997
42,0.41,00:54:24:10,2416.399,679.8760000000002,728.9830000000003
43,0.42,00:54:24:11,2416.672,679.658,729.047
44,0.43,00:54:24:11,2416.973,679.471,729.1039999999997
45,0.44,00:54:24:11,2417.264,679.283,729.133
46,0.45,00:54:24:11,2417.587,679.064,729.176
47,0.46,00:54:24:12,2417.9120000000007,678.867,729.2260000000001
48,0.47,00:54:24:12,2418.2129999999997,678.658,729.257
49,0.48,00:54:24:12,2418.511,678.4680000000002,729.25
50,0.49,00:54:24:12,2418.8089999999997,678.268,729.2760000000003
51,0.5,00:54:24:13,2419.089,678.091,729.283
52,0.51,00:54:24:13,2419.36,677.903,729.2919999999997
53,0.52,00:54:24:13,2419.634,677.74,729.314
54,0.53,00:54:24:13,2419.886,677.5980000000002,729.346
55,0.54,00:54:24:14,2420.157,677.422,729.342
56,0.55,00:54:24:14,2420.422,677.337,729.3889999999999
57,0.56,00:54:24:14,2420.655,677.18,729.387
58,0.57,00:54:24:14,2420.886,677.071,729.4119999999997
59,0.58,00:54:24:15,2421.166,676.9730000000002,729.51
60,0.59,00:54:24:15,2421.374,676.8739999999998,729.505
61,0.6,00:54:24:15,2421.569,676.762,729.482
62,0.61,00:54:24:15,2421.762,676.7460000000002,729.5310000000003
63,0.62,00:54:24:16,2421.9410000000007,676.678,729.4889999999997
64,0.63,00:54:24:16,2422.146,676.6510000000002,729.4739999999997
65,0.64,00:54:24:16,2422.302,676.5989999999998,729.403
66,0.65,00:54:24:16,2422.489,676.613,729.363
67,0.66,00:54:24:17,2422.646,676.6060000000001,729.324
68,0.67,00:54:24:17,2422.8,676.62,729.2410000000001
69,0.68,00:54:24:17,2423.008,676.668,729.205
70,0.69,00:54:24:17,2423.198,676.7230000000002,729.135
71,0.7,00:54:24:18,2423.3579999999997,676.805,729.08
72,0.71,00:54:24:18,2423.555,676.9119999999998,728.9839999999997
73,0.72,00:54:24:18,2423.729,677.0219999999998,728.905
74,0.73,00:54:24:18,2423.896,677.153,728.812
75,0.74,00:54:24:19,2424.054,677.285,728.696
76,0.75,00:54:24:19,2424.219,677.457,728.581
77,0.76,00:54:24:19,2424.341,677.627,728.4689999999997
78,0.77,00:54:24:19,2424.478,677.819,728.3510000000001
79,0.78,00:54:24:20,2424.631,678.008,728.235
80,0.79,00:54:24:20,2424.777,678.173,728.1110000000001
81,0.8,00:54:24:20,2424.905,678.388,728.008
82,0.81,00:54:24:20,2425.028,678.565,727.885
83,0.82,00:54:24:21,2425.158,678.7280000000002,727.7860000000003
84,0.83,00:54:24:21,2425.314,678.914,727.697
