Frame,Time,SMPTE,bar_left_wrist_x,bar_left_wrist_y,bar_left_wrist_z
1,0.0,00:56:19:07,-1661.6870000000001,1005.3395,790.3605
2,0.01,00:56:19:07,-1661.6070000000002,1005.3555,790.3639999999999
3,0.02,00:56:19:07,-1661.5455,1005.3575,790.368
4,0.03,00:56:19:08,-1661.6785,1005.457,790.0975
5,0.04,00:56:19:08,-1661.332,1005.7865,790.0925
6,0.05,00:56:19:08,-1661.3825,1005.4910000000001,790.2139999999999
7,0.06,00:56:19:08,-1661.3515,1005.5275,790.207
8,0.07,00:56:19:09,-1661.308,1005.5475,790.209
9,0.08,00:56:19:09,-1661.2679999999998,1005.568,790.191
10,0.09,00:56:19:09,-1661.2625,1005.587,790.1695
11,0.1,00:56:19:09,-1661.2565,1005.6305,790.1395
12,0.11,00:56:19:10,-1661.2620000000002,1005.64,790.1135
13,0.12,00:56:19:10,-1661.2839999999999,1005.6345,790.1039999999999
14,0.13,00:56:19:10,-1661.2815,1005.6385,790.1
15,0.14,00:56:19:10,-1661.299,1005.6455,790.0965
16,0.15,00:56:19:11,-1661.3415,1005.6260000000001,790.085
17,0.16,00:56:19:11,-1661.3975,1005.3205,790.0305
18,0.17,00:56:19:11,-1661.4275,1005.285,790.046
19,0.18,00:56:19:11,-1661.467,1005.2425,790.0935
20,0.19,00:56:19:12,-1661.4885,1005.2005,790.1175
21,0.2,00:56:19:12,-1661.5215,1005.135,790.1525
22,0.21,00:56:19:12,-1661.543,1005.065,790.211
23,0.22,00:56:19:12,-1661.5739999999998,1004.9925,790.2495
24,0.23,00:56:19:13,-1661.543,1004.9025,790.341
25,0.24,00:56:19:13,-1661.567,1004.8265,790.398
26,0.25,00:56:19:13,-1661.5835,1004.7575,790.461
27,0.26,00:56:19:13,-1661.54,1004.6795,790.541
28,0.27,00:56:19:14,-1661.516,1004.6195,790.6260000000001
29,0.28,00:56:19:14,-1661.4915,1004.552,790.699
30,0.29,00:56:19:14,-1661.4089999999999,1004.7669999999999,790.8439999999999
31,0.3,00:56:19:14,-1661.3670000000002,1004.7085,790.927
32,0.31,00:56:19:15,-1661.3139999999999,1004.659,791.0055
33,0.32,00:56:19:15,-1661.3039999999999,1004.3365,791.0035
34,0.33,00:56:19:15,-1661.2005,1004.6,791.1565
35,0.34,00:56:19:15,-1661.1860000000001,1004.2835,791.1505
36,0.35,00:56:19:16,-1661.09,1004.275,791.2055
37,0.36,00:56:19:16,-1661.0339999999999,1004.2610000000001,791.283
38,0.37,00:56:19:16,-1660.987,1004.2710000000001,791.3105
39,0.38,00:56:19:16,-1660.9029999999998,1004.2835,791.3515
40,0.39,00:56:19:17,-1660.8335,1004.304,791.3960000000001
41,0.4,00:56:19:17,-1660.7545,1004.324,791.4195
42,0.41,00:56:19:17,-1660.681,1004.3835,791.4425
43,0.42,00:56:19:17,-1660.6015,1004.434,791.4805
44,0.43,00:56:19:18,-1660.4825,1004.81,791.5725
45,0.44,00:56:19:18,-1660.4045,1004.873,791.5989999999999
46,0.45,00:56:19:18,-1660.339,1004.9295,791.617
47,0.46,00:56:19:18,-1660.279,1005.007,791.6510000000001
48,0.47,00:56:19:19,-1660.2285,1005.0775,791.67
49,0.48,00:56:19:19,-1660.156,1005.1239999999999,791.706
50,0.49,00:56:19:19,-1660.112,1005.185,791.7230000000001
51,0.5,00:56:19:19,-1660.0610000000001,1005.2525,791.7305
52,0.51,00:56:19:20,-1660.017,1005.306,791.747
53,0.52,00:56:19:20,-1659.9865,1005.3475,791.7510000000001
54,0.53,00:56:19:20,-1659.957,1005.3910000000001,791.773
55,0.54,00:56:19:20,-1659.9495,1005.428,791.773
56,0.55,00:56:19:21,-1659.9415,1005.457,791.7669999999999
57,0.56,00:56:19:21,-1659.9405,1005.495,791.7885
58,0.57,00:56:19:21,-1659.953,1005.52,791.7610000000001
59,0.58,00:56:19:21,-1659.9915,1005.5405,791.773
60,0.59,00:56:19:22,-1660.016,1005.5565,791.7719999999999
61,0.6,00:56:19:22,-1660.0829999999999,1005.571,791.7795
62,0.61,00:56:19:22,-1660.1570000000002,1005.5795,791.7669999999999
63,0.62,00:56:19:22,-1660.2579999999998,1005.5939999999999,791.7745
64,0.63,00:56:19:23,-1660.3410000000001,1005.591,791.7719999999999
65,0.64,00:56:19:23,-1660.46,1005.5830000000001,791.7885
66,0.65,00:56:19:23,-1660.586,1005.5645,791.7805
67,0.66,00:56:19:23,-1660.72,1005.562,791.7835
68,0.67,00:56:19:24,-1660.8415,1005.556,791.784
69,0.68,00:56:19:24,-1661.001,1005.5189999999999,791.775
70,0.69,00:56:19:24,-1661.1455,1005.508,791.785
71,0.7,00:56:19:24,-1661.3025,1005.457,791.8135
72,0.71,00:56:20:00,-1661.4560000000001,1005.431,791.8215
73,0.72,00:56:20:00,-1661.6755,1005.11,791.7315
74,0.73,00:56:20:00,-1661.78,1005.0685,791.758
75,0.74,00:56:20:00,-1661.935,1005.0435,791.753
76,0.75,00:56:20:01,-1662.057,1005.0085,791.7535
77,0.76,00:56:20:01,-1662.1665,1004.9755,791.7555
78,0.77,00:56:20:01,-1662.249,1004.938,791.7739999999999
79,0.78,00:56:20:01,-1662.3339999999998,1004.927,791.7645
80,0.79,00:56:20:02,-1662.38,1004.908,791.785
81,0.8,00:56:20:02,-1662.3935,1004.8935,791.7985
82,0.81,00:56:20:02,-1662.4305,1004.905,791.794
83,0.82,00:56:20:02,-1662.3635,1005.2115,791.8810000000001
