Frame,Time,SMPTE,bar_right_hand_x,bar_right_hand_y,bar_right_hand_z
1,0.0,00:56:19:07,-2093.819,938.1160000000001,733.35
2,0.01,00:56:19:07,-2093.792,937.962,733.447
3,0.02,00:56:19:07,-2093.741,937.805,733.545
4,0.03,00:56:19:08,-2093.7,937.6669999999999,733.6160000000001
5,0.04,00:56:19:08,-2092.795,938.115,733.945
6,0.05,00:56:19:08,-2092.732,938.041,734.005
7,0.06,00:56:19:08,-2092.724,937.948,734.13
8,0.07,00:56:19:09,-2092.678,937.8839999999999,734.26
9,0.08,00:56:19:09,-2092.646,937.829,734.3380000000001
10,0.09,00:56:19:09,-2092.658,937.7669999999999,734.4739999999999
11,0.1,00:56:19:09,-2092.646,937.73,734.575
12,0.11,00:56:19:10,-2092.71,937.6260000000001,734.645
13,0.12,00:56:19:10,-2092.709,937.61,734.7230000000001
14,0.13,00:56:19:10,-2092.7529999999997,937.5989999999999,734.804
15,0.14,00:56:19:10,-2092.792,937.576,734.8889999999999
16,0.15,00:56:19:11,-2092.839,937.558,734.967
17,0.16,00:56:19:11,-2092.8920000000003,937.556,735.0319999999999
18,0.17,00:56:19:11,-2092.9629999999997,937.563,735.091
19,0.18,00:56:19:11,-2093.028,937.597,735.188
20,0.19,00:56:19:12,-2093.052,937.632,735.216
21,0.2,00:56:19:12,-2093.13,937.681,735.289
22,0.21,00:56:19:12,-2093.185,937.7289999999999,735.324
23,0.22,00:56:19:12,-2093.2129999999997,937.7439999999999,735.317
24,0.23,00:56:19:13,-2093.23,937.789,735.357
25,0.24,00:56:19:13,-2093.291,937.846,735.3969999999999
26,0.25,00:56:19:13,-2093.3179999999998,937.8889999999999,735.3960000000001
27,0.26,00:56:19:13,-2093.3579999999997,937.961,735.395
28,0.27,00:56:19:14,-2093.349,937.943,735.4119999999999
29,0.28,00:56:19:14,-2093.351,938.03,735.4110000000001
30,0.29,00:56:19:14,-2093.353,938.1239999999999,735.442
31,0.3,00:56:19:14,-2093.317,938.1339999999999,735.4069999999999
32,0.31,00:56:19:15,-2093.299,938.159,735.408
33,0.32,00:56:19:15,-2093.255,938.171,735.435
34,0.33,00:56:19:15,-2093.21,938.2,735.467
35,0.34,00:56:19:15,-2093.1079999999997,938.2330000000001,735.493
36,0.35,00:56:19:16,-2093.061,938.222,735.4780000000001
37,0.36,00:56:19:16,-2092.956,938.2689999999999,735.498
38,0.37,00:56:19:16,-2092.879,938.273,735.507
39,0.38,00:56:19:16,-2092.822,938.306,735.498
40,0.39,00:56:19:17,-2092.743,938.332,735.5010000000001
41,0.4,00:56:19:17,-2092.65,938.365,735.53
42,0.41,00:56:19:17,-2092.575,938.388,735.4810000000001
43,0.42,00:56:19:17,-2092.5229999999997,938.427,735.5310000000001
44,0.43,00:56:19:18,-2092.446,938.433,735.561
45,0.44,00:56:19:18,-2092.43,938.5360000000001,735.538
46,0.45,00:56:19:18,-2092.382,938.562,735.573
47,0.46,00:56:19:18,-2092.361,938.6160000000001,735.58
48,0.47,00:56:19:19,-2092.34,938.691,735.565
49,0.48,00:56:19:19,-2092.348,938.7330000000001,735.597
50,0.49,00:56:19:19,-2092.375,938.804,735.613
