Frame,Time,SMPTE,bar_right_knee_x,bar_right_knee_y,bar_right_knee_z
1,0.0,00:56:19:07,-1944.4845,1039.2060000000001,419.051
2,0.01,00:56:19:07,-1944.499,1039.2345,419.0585
3,0.02,00:56:19:07,-1944.4945,1039.268,419.05800000000005
4,0.03,00:56:19:08,-1943.1525,1042.5795,418.6565
5,0.04,00:56:19:08,-1942.8745,1043.1515,418.51800000000003
6,0.05,00:56:19:08,-1943.0695,1042.4255,418.7
7,0.06,00:56:19:08,-1943.641,1041.722,418.528
8,0.07,00:56:19:09,-1943.6025,1041.685,418.528
9,0.08,00:56:19:09,-1943.608,1041.7089999999998,418.55300000000005
10,0.09,00:56:19:09,-1943.58,1041.6735,418.5585
11,0.1,00:56:19:09,-1943.0225,1042.3435,418.7485
12,0.11,00:56:19:10,-1943.537,1041.6865,418.537
13,0.12,00:56:19:10,-1942.9525,1042.422,418.73
14,0.13,00:56:19:10,-1942.92,1042.3985,418.72900000000004
15,0.14,00:56:19:10,-1942.9589999999998,1042.3095,418.73900000000003
16,0.15,00:56:19:11,-1943.4905,1041.6225,418.5665
17,0.16,00:56:19:11,-1942.9165,1042.3785,418.7385
18,0.17,00:56:19:11,-1942.9165,1042.289,418.746
19,0.18,00:56:19:11,-1942.8985,1042.432,418.74699999999996
20,0.19,00:56:19:12,-1942.8865,1042.4105,418.7515
21,0.2,00:56:19:12,-1943.4655,1041.635,418.648
22,0.21,00:56:19:12,-1942.9065,1042.3995,418.7705
23,0.22,00:56:19:12,-1943.4460000000001,1041.693,418.6
24,0.23,00:56:19:13,-1943.4235,1041.775,418.599
25,0.24,00:56:19:13,-1943.414,1041.782,418.6135
26,0.25,00:56:19:13,-1943.4135,1041.756,418.606
27,0.26,00:56:19:13,-1942.878,1042.471,418.7775
28,0.27,00:56:19:14,-1942.9379999999999,1042.481,418.791
29,0.28,00:56:19:14,-1943.398,1041.865,418.624
30,0.29,00:56:19:14,-1942.8745,1042.5765,418.7825
31,0.3,00:56:19:14,-1942.8695,1042.6580000000001,418.7845
32,0.31,00:56:19:15,-1942.8895,1042.7,418.7885
33,0.32,00:56:19:15,-1942.898,1042.6525,418.81800000000004
34,0.33,00:56:19:15,-1943.42,1041.9745,418.6425
35,0.34,00:56:19:15,-1943.4370000000001,1042.008,418.68
36,0.35,00:56:19:16,-1942.8785,1042.7295,418.8165
37,0.36,00:56:19:16,-1943.4145,1042.1680000000001,418.62
38,0.37,00:56:19:16,-1943.433,1042.0615,418.6625
39,0.38,00:56:19:16,-1943.412,1042.1345,418.64300000000003
40,0.39,00:56:19:17,-1942.8705,1042.7505,418.798
41,0.4,00:56:19:17,-1942.8595,1042.8010000000002,418.8135
42,0.41,00:56:19:17,-1943.4135,1042.1055,418.6455
43,0.42,00:56:19:17,-1942.8835,1042.772,418.8325
44,0.43,00:56:19:18,-1943.418,1042.1465,418.6385
45,0.44,00:56:19:18,-1942.8470000000002,1043.056,418.76599999999996
46,0.45,00:56:19:18,-1942.912,1042.826,418.81
47,0.46,00:56:19:18,-1942.8829999999998,1043.0135,418.816
