Frame,Time,SMPTE,bar_right_shoulder_x,bar_right_shoulder_y,bar_right_shoulder_z
1,0.0,00:56:19:07,-2024.156,1024.059,1291.928
2,0.01,00:56:19:07,-2024.1229999999998,1024.032,1292.01
3,0.02,00:56:19:07,-2024.092,1023.9989999999999,1292.096
4,0.03,00:56:19:08,-2023.681,1022.7760000000001,1291.883
5,0.04,00:56:19:08,-2023.463,1022.89,1291.746
6,0.05,00:56:19:08,-2023.4070000000002,1022.8439999999999,1291.805
7,0.06,00:56:19:08,-2023.338,1022.801,1291.866
8,0.07,00:56:19:09,-2023.3020000000001,1022.765,1291.972
9,0.08,00:56:19:09,-2023.254,1022.7589999999999,1292.0230000000001
10,0.09,00:56:19:09,-2023.2220000000002,1022.747,1292.124
11,0.1,00:56:19:09,-2023.19,1022.758,1292.193
12,0.11,00:56:19:10,-2023.118,1022.7489999999999,1292.254
13,0.12,00:56:19:10,-2023.118,1022.763,1292.337
14,0.13,00:56:19:10,-2023.0639999999999,1022.768,1292.383
15,0.14,00:56:19:10,-2023.025,1022.789,1292.465
16,0.15,00:56:19:11,-2023.024,1022.7660000000001,1292.537
17,0.16,00:56:19:11,-2022.9820000000002,1022.788,1292.62
18,0.17,00:56:19:11,-2022.945,1022.82,1292.651
19,0.18,00:56:19:11,-2022.91,1022.819,1292.704
20,0.19,00:56:19:12,-2022.866,1022.818,1292.765
21,0.2,00:56:19:12,-2022.872,1022.816,1292.815
22,0.21,00:56:19:12,-2022.842,1022.806,1292.859
23,0.22,00:56:19:12,-2022.78,1022.832,1292.892
24,0.23,00:56:19:13,-2022.74,1022.8430000000001,1292.9180000000001
25,0.24,00:56:19:13,-2022.7,1022.8530000000001,1292.935
26,0.25,00:56:19:13,-2022.6770000000001,1022.877,1292.979
27,0.26,00:56:19:13,-2022.6329999999998,1022.878,1292.992
28,0.27,00:56:19:14,-2022.6170000000002,1022.921,1293.014
29,0.28,00:56:19:14,-2022.579,1022.931,1293.047
30,0.29,00:56:19:14,-2022.592,1022.965,1293.063
31,0.3,00:56:19:14,-2022.549,1022.995,1293.085
32,0.31,00:56:19:15,-2022.5220000000002,1023.0219999999999,1293.097
33,0.32,00:56:19:15,-2022.501,1023.058,1293.108
34,0.33,00:56:19:15,-2022.496,1023.074,1293.13
35,0.34,00:56:19:15,-2022.487,1023.1060000000001,1293.131
36,0.35,00:56:19:16,-2022.454,1023.132,1293.14
37,0.36,00:56:19:16,-2022.453,1023.145,1293.155
38,0.37,00:56:19:16,-2022.444,1023.169,1293.1760000000002
39,0.38,00:56:19:16,-2022.441,1023.199,1293.195
40,0.39,00:56:19:17,-2022.442,1023.23,1293.195
41,0.4,00:56:19:17,-2022.433,1023.255,1293.19
42,0.41,00:56:19:17,-2022.4579999999999,1023.275,1293.225
43,0.42,00:56:19:17,-2022.474,1023.288,1293.2160000000001
44,0.43,00:56:19:18,-2022.506,1023.314,1293.245
45,0.44,00:56:19:18,-2022.531,1023.346,1293.246
46,0.45,00:56:19:18,-2022.556,1023.3660000000001,1293.27
47,0.46,00:56:19:18,-2022.609,1023.3960000000001,1293.327
48,0.47,00:56:19:19,-2022.6889999999999,1023.448,1293.397
49,0.48,00:56:19:19,-2022.7079999999999,1023.454,1293.414
50,0.49,00:56:19:19,-2022.806,1023.4780000000001,1293.476
51,0.5,00:56:19:19,-2022.872,1023.5219999999999,1293.536
52,0.51,00:56:19:20,-2022.945,1023.563,1293.586
53,0.52,00:56:19:20,-2023.016,1023.57,1293.618
54,0.53,00:56:19:20,-2023.105,1023.6089999999999,1293.683
55,0.54,00:56:19:20,-2023.1860000000001,1023.643,1293.7160000000001
56,0.55,00:56:19:21,-2023.26,1023.68,1293.77
57,0.56,00:56:19:21,-2023.339,1023.717,1293.813
58,0.57,00:56:19:21,-2023.399,1023.745,1293.857
59,0.58,00:56:19:21,-2023.479,1023.78,1293.928
60,0.59,00:56:19:22,-2023.529,1023.829,1293.968
61,0.6,00:56:19:22,-2023.602,1023.882,1294.003
62,0.61,00:56:19:22,-2023.668,1023.91,1294.0639999999999
63,0.62,00:56:19:22,-2023.675,1023.9830000000001,1294.094
64,0.63,00:56:19:23,-2023.7079999999999,1024.027,1294.154
65,0.64,00:56:19:23,-2023.734,1024.088,1294.185
66,0.65,00:56:19:23,-2023.7379999999998,1024.155,1294.248
67,0.66,00:56:19:23,-2023.73,1024.208,1294.286
68,0.67,00:56:19:24,-2023.736,1024.272,1294.296
