Frame,Time,SMPTE,bar_spine_x,bar_spine_y,bar_spine_z
1,0.0,00:56:19:07,-1867.5173,1180.224,1175.3277
2,0.01,00:56:19:07,-1867.4883,1180.2253,1175.3507
3,0.02,00:56:19:07,-1867.4983,1180.213,1175.3697
4,0.03,00:56:19:08,-1866.9157,1180.3213,1175.798
5,0.04,00:56:19:08,-1866.9787,1180.5577,1175.8167
6,0.05,00:56:19:08,-1866.828,1180.4503,1175.8437
7,0.06,00:56:19:08,-1866.8133,1180.4453,1175.8703
8,0.07,00:56:19:09,-1866.7920000000001,1180.4433,1175.9027
9,0.08,00:56:19:09,-1866.7457,1180.4367,1175.9277
10,0.09,00:56:19:09,-1866.7193,1180.4293,1175.9467
11,0.1,00:56:19:09,-1866.6903,1180.4337,1175.965
12,0.11,00:56:19:10,-1866.6467,1180.4253,1175.9823
13,0.12,00:56:19:10,-1866.6263,1180.4397,1176.0017
14,0.13,00:56:19:10,-1866.5770000000002,1180.4257,1176.0153
15,0.14,00:56:19:10,-1866.5520000000001,1180.432,1176.0383
16,0.15,00:56:19:11,-1866.511,1180.4497,1176.053
17,0.16,00:56:19:11,-1866.4577,1180.4260000000002,1176.0563
18,0.17,00:56:19:11,-1866.4029999999998,1180.4313,1176.0797
19,0.18,00:56:19:11,-1866.3673,1180.4457,1176.0873
20,0.19,00:56:19:12,-1866.3233,1180.4547,1176.11
21,0.2,00:56:19:12,-1866.2979999999998,1180.4653,1176.1293
22,0.21,00:56:19:12,-1866.251,1180.4737,1176.149
23,0.22,00:56:19:12,-1866.2023,1180.4973,1176.163
24,0.23,00:56:19:13,-1866.155,1180.5123,1176.178
25,0.24,00:56:19:13,-1866.1297,1180.5339999999999,1176.1913
26,0.25,00:56:19:13,-1866.0663,1180.552,1176.2060000000001
27,0.26,00:56:19:13,-1866.0297,1180.5797,1176.2307
28,0.27,00:56:19:14,-1865.9927,1180.6043,1176.239
29,0.28,00:56:19:14,-1865.9379999999999,1180.6293,1176.2557
30,0.29,00:56:19:14,-1865.9167,1180.663,1176.2797
31,0.3,00:56:19:14,-1865.8737,1180.691,1176.3117
32,0.31,00:56:19:15,-1865.8403,1180.72,1176.3167
33,0.32,00:56:19:15,-1865.8037,1180.7433,1176.3433
34,0.33,00:56:19:15,-1865.7697,1180.7667,1176.3557
35,0.34,00:56:19:15,-1865.7233,1180.7887,1176.3757
36,0.35,00:56:19:16,-1865.6887,1180.8173,1176.3987
37,0.36,00:56:19:16,-1865.6587,1180.8447,1176.4189999999999
38,0.37,00:56:19:16,-1865.6187,1180.875,1176.438
39,0.38,00:56:19:16,-1865.612,1180.9089999999999,1176.4677
40,0.39,00:56:19:17,-1865.6023,1180.9313,1176.49
41,0.4,00:56:19:17,-1865.5870000000002,1180.962,1176.525
42,0.41,00:56:19:17,-1865.5807,1180.985,1176.5397
43,0.42,00:56:19:17,-1865.5697,1181.0167,1176.5637
44,0.43,00:56:19:18,-1865.5629999999999,1181.0253,1176.594
45,0.44,00:56:19:18,-1865.5767,1181.0457,1176.6017
46,0.45,00:56:19:18,-1865.5957,1181.0757,1176.624
47,0.46,00:56:19:18,-1865.499,1180.7713,1176.7803
48,0.47,00:56:19:19,-1865.5213,1180.7930000000001,1176.7933
49,0.48,00:56:19:19,-1865.558,1180.827,1176.8139999999999
50,0.49,00:56:19:19,-1865.609,1180.845,1176.8267
51,0.5,00:56:19:19,-1865.6370000000002,1180.8677,1176.8419999999999
52,0.51,00:56:19:20,-1865.7027,1180.9089999999999,1176.8653
53,0.52,00:56:19:20,-1865.7583,1180.9247,1176.8657
54,0.53,00:56:19:20,-1865.807,1180.9643,1176.8623
55,0.54,00:56:19:20,-1865.8637,1181.0007,1176.8837
56,0.55,00:56:19:21,-1865.9229999999998,1181.0287,1176.8943
57,0.56,00:56:19:21,-1865.9927,1181.068,1176.8853
58,0.57,00:56:19:21,-1866.0543,1181.1117,1176.8963
59,0.58,00:56:19:21,-1866.1053,1181.1483,1176.8957
60,0.59,00:56:19:22,-1866.1429999999998,1181.1833,1176.9053
61,0.6,00:56:19:22,-1866.2043,1181.22,1176.9067
62,0.61,00:56:19:22,-1866.2357,1181.2727,1176.904
63,0.62,00:56:19:22,-1866.2723,1181.3013,1176.9153
64,0.63,00:56:19:23,-1866.2717,1181.3337,1176.91
65,0.64,00:56:19:23,-1866.2983,1181.3833,1176.9033
66,0.65,00:56:19:23,-1866.3087,1181.4163,1176.8983
67,0.66,00:56:19:23,-1866.3073,1181.4457,1176.8837
68,0.67,00:56:19:24,-1866.2943,1181.5027,1176.8823
69,0.68,00:56:19:24,-1866.2937,1181.552,1176.88
70,0.69,00:56:19:24,-1866.2767,1181.5933,1176.8743
71,0.7,00:56:19:24,-1866.2707,1181.6347,1176.8833
72,0.71,00:56:20:00,-1866.2420000000002,1181.6787,1176.864
73,0.72,00:56:20:00,-1866.229,1181.734,1176.8657
74,0.73,00:56:20:00,-1866.1917,1181.7813,1176.849
75,0.74,00:56:20:00,-1866.1670000000001,1181.8373,1176.8373
76,0.75,00:56:20:01,-1866.1497,1181.875,1176.8147
77,0.76,00:56:20:01,-1866.1433,1181.9373,1176.7983
78,0.77,00:56:20:01,-1866.129,1181.979,1176.771
79,0.78,00:56:20:01,-1866.1107,1182.027,1176.7517
80,0.79,00:56:20:02,-1866.1037,1182.0717,1176.7203
81,0.8,00:56:20:02,-1866.1017,1182.123,1176.7097
82,0.81,00:56:20:02,-1866.0937,1182.1923,1176.6763
83,0.82,00:56:20:02,-1866.101,1182.2423,1176.6513
84,0.83,00:56:20:03,-1866.098,1182.3007,1176.6283
85,0.84,00:56:20:03,-1866.1143,1182.364,1176.6063
86,0.85,00:56:20:03,-1866.1077,1182.4160000000002,1176.5919999999999
87,0.86,00:56:20:03,-1866.2557,1182.8937,1176.4057
88,0.87,00:56:20:04,-1866.2713,1182.954,1176.3843
89,0.88,00:56:20:04,-1866.1163,1182.5927,1176.5057
90,0.89,00:56:20:04,-1866.2939999999999,1183.0603,1176.3247
91,0.9,00:56:20:04,-1866.3073,1183.1253,1176.29
92,0.91,00:56:20:05,-1866.3,1183.1697,1176.263
93,0.92,00:56:20:05,-1866.2967,1183.2203,1176.2293
94,0.93,00:56:20:05,-1866.3197,1183.271,1176.202
95,0.94,00:56:20:05,-1866.3367,1183.3233,1176.1833
96,0.95,00:56:20:06,-1866.3423,1183.3777,1176.1663
97,0.96,00:56:20:06,-1866.344,1183.425,1176.1283
98,0.97,00:56:20:06,-1866.3583,1183.4627,1176.1087
99,0.98,00:56:20:06,-1866.3743,1183.4957,1176.083
100,0.99,00:56:20:07,-1866.3963,1183.553,1176.0773
101,1.0,00:56:20:07,-1866.421,1183.6017,1176.0403
102,1.01,00:56:20:07,-1866.4720000000002,1183.646,1176.0167
103,1.02,00:56:20:07,-1866.4847,1183.6993,1175.994
104,1.03,00:56:20:08,-1866.5279999999998,1183.7403,1175.9589999999998
105,1.04,00:56:20:08,-1866.5707,1183.779,1175.9353
106,1.05,00:56:20:08,-1866.6023,1183.827,1175.9233
107,1.06,00:56:20:08,-1866.648,1183.8697,1175.8993
108,1.07,00:56:20:09,-1866.692,1183.9067,1175.8863
109,1.08,00:56:20:09,-1866.7327,1183.963,1175.8563
110,1.09,00:56:20:09,-1866.8,1184.0013,1175.845
111,1.1,00:56:20:09,-1866.8527,1184.045,1175.808
112,1.11,00:56:20:10,-1866.9033,1184.086,1175.7877
113,1.12,00:56:20:10,-1866.9517,1184.1047,1175.7797
114,1.13,00:56:20:10,-1867.014,1184.1447,1175.7643
115,1.14,00:56:20:10,-1867.031,1184.1607,1175.728
116,1.15,00:56:20:11,-1867.0987,1184.1953,1175.726
117,1.16,00:56:20:11,-1867.1607,1184.238,1175.7093
