Frame,Time,SMPTE,bar_left_knee_x,bar_left_knee_y,bar_left_knee_z
1,0.0,00:56:19:07,-1792.1870000000001,1042.1375,442.565
2,0.01,00:56:19:07,-1792.18,1042.129,442.565
3,0.02,00:56:19:07,-1792.191,1042.13,442.542
4,0.03,00:56:19:08,-1791.28,1042.7015,442.79400000000004
5,0.04,00:56:19:08,-1791.3485,1043.1385,442.464
6,0.05,00:56:19:08,-1791.4235,1042.3475,442.898
7,0.06,00:56:19:08,-1791.4135,1042.3,442.94300000000004
8,0.07,00:56:19:09,-1791.3985,1042.251,442.9345
9,0.08,00:56:19:09,-1791.3695,1042.2715,442.95099999999996
10,0.09,00:56:19:09,-1791.364,1042.225,442.94300000000004
11,0.1,00:56:19:09,-1791.352,1042.27,442.961
12,0.11,00:56:19:10,-1791.2979999999998,1042.2685,442.974
13,0.12,00:56:19:10,-1791.287,1042.2765,442.9845
14,0.13,00:56:19:10,-1791.285,1042.2755,442.976
15,0.14,00:56:19:10,-1791.279,1042.27,442.9815
16,0.15,00:56:19:11,-1791.2495,1042.274,443.00199999999995
17,0.16,00:56:19:11,-1791.2405,1042.2775,442.98699999999997
18,0.17,00:56:19:11,-1791.231,1042.2839999999999,442.9975
19,0.18,00:56:19:11,-1791.224,1042.3,443.0235
20,0.19,00:56:19:12,-1791.2235,1042.297,443.0205
21,0.2,00:56:19:12,-1791.225,1042.2775,443.022
22,0.21,00:56:19:12,-1791.2065,1042.306,443.0215
23,0.22,00:56:19:12,-1791.2045,1042.3075,443.03
24,0.23,00:56:19:13,-1791.1960000000001,1042.3105,443.0115
25,0.24,00:56:19:13,-1791.194,1042.335,443.0145
26,0.25,00:56:19:13,-1791.1895,1042.3695,443.0345
27,0.26,00:56:19:13,-1791.1779999999999,1042.3885,443.035
28,0.27,00:56:19:14,-1791.1715,1042.4075,443.035
29,0.28,00:56:19:14,-1791.175,1042.4005,443.051
30,0.29,00:56:19:14,-1791.174,1042.452,443.05800000000005
