Frame,Time,SMPTE,bar_left_wrist_x,bar_left_wrist_y,bar_left_wrist_z
1,0.0,00:56:19:07,2942.4305,967.2775,1172.6695
2,0.01,00:56:19:07,2942.5665,967.3905,1173.004
3,0.02,00:56:19:07,2942.6915,967.5215,1173.2925
4,0.03,00:56:19:08,2942.8155,967.6510000000001,1173.6045
5,0.04,00:56:19:08,2943.113,967.9215,1174.1115
6,0.05,00:56:19:08,2943.2540000000004,968.0495,1174.4395
7,0.06,00:56:19:08,2943.3805,968.164,1174.7255
8,0.07,00:56:19:09,2943.4995,968.2489999999999,1175.0510000000002
9,0.08,00:56:19:09,2943.6079999999997,968.2705,1175.3295
10,0.09,00:56:19:09,2943.6859999999997,968.2810000000001,1175.5875
11,0.1,00:56:19:09,2943.738,968.2639999999999,1175.846
12,0.11,00:56:19:10,2943.7935,968.2385,1176.105
13,0.12,00:56:19:10,2943.815,968.196,1176.238
14,0.13,00:56:19:10,2943.855,968.1885,1176.3655
15,0.14,00:56:19:10,2943.8540000000003,968.1885,1176.423
16,0.15,00:56:19:11,2943.847,968.164,1176.387
17,0.16,00:56:19:11,2943.8385,968.1455,1176.351
18,0.17,00:56:19:11,2943.8175,968.1310000000001,1176.258
19,0.18,00:56:19:11,2943.7745,968.1030000000001,1176.086
20,0.19,00:56:19:12,2943.7245,968.051,1175.8705
21,0.2,00:56:19:12,2943.6535,968.0169999999999,1175.6255
22,0.21,00:56:19:12,2943.5885,967.9765,1175.322
23,0.22,00:56:19:12,2943.526,967.949,1175.1085
24,0.23,00:56:19:13,2943.4595,967.8975,1174.787
25,0.24,00:56:19:13,2943.4,967.8575,1174.4925
26,0.25,00:56:19:13,2943.3285,967.8025,1174.1685
27,0.26,00:56:19:13,2943.27,967.7280000000001,1173.888
28,0.27,00:56:19:14,2943.2215,967.6515,1173.5815
29,0.28,00:56:19:14,2943.1805,967.525,1173.313
30,0.29,00:56:19:14,2943.112,967.4065,1173.025
31,0.3,00:56:19:14,2943.0585,967.2215,1172.6985
32,0.31,00:56:19:15,2942.9805,967.056,1172.4115
33,0.32,00:56:19:15,2942.9190000000003,966.8795,1172.1325
34,0.33,00:56:19:15,2942.8495,966.654,1171.8475
35,0.34,00:56:19:15,2942.7865,966.4775,1171.5815
36,0.35,00:56:19:16,2942.7340000000004,966.2439999999999,1171.2795
37,0.36,00:56:19:16,2942.6655,966.0145,1170.9645
38,0.37,00:56:19:16,2942.5615,965.8085,1170.6975
39,0.38,00:56:19:16,2942.4809999999998,965.5985,1170.4175
40,0.39,00:56:19:17,2942.4005,965.4115,1170.155
41,0.4,00:56:19:17,2942.3059999999996,965.212,1169.9125
42,0.41,00:56:19:17,2942.211,965.0455,1169.667
43,0.42,00:56:19:17,2942.137,964.9065,1169.3925
44,0.43,00:56:19:18,2942.0475,964.7760000000001,1169.101
45,0.44,00:56:19:18,2941.986,964.689,1168.9355
46,0.45,00:56:19:18,2941.9365,964.5865,1168.7455
47,0.46,00:56:19:18,2941.907,964.5025,1168.6245
48,0.47,00:56:19:19,2941.8675,964.4385,1168.5430000000001
49,0.48,00:56:19:19,2941.8179999999998,964.323,1168.4665
50,0.49,00:56:19:19,2941.7975,964.245,1168.4395
51,0.5,00:56:19:19,2941.7465,964.1610000000001,1168.4085
52,0.51,00:56:19:20,2941.761,964.0980000000001,1168.5035
53,0.52,00:56:19:20,2941.7485,964.018,1168.615
54,0.53,00:56:19:20,2941.7595,963.9760000000001,1168.719
55,0.54,00:56:19:20,2941.7895,963.9085,1168.8765
56,0.55,00:56:19:21,2941.8135,963.873,1169.0525
57,0.56,00:56:19:21,2941.83,963.8380000000001,1169.2535
58,0.57,00:56:19:21,2941.8740000000003,963.7625,1169.5245
59,0.58,00:56:19:21,2941.895,963.6955,1169.776
60,0.59,00:56:19:22,2941.9335,963.6260000000001,1170.047
61,0.6,00:56:19:22,2941.9385,963.552,1170.2995
62,0.61,00:56:19:22,2941.9770000000003,963.487,1170.55
63,0.62,00:56:19:22,2942.0305,963.4045,1170.82
64,0.63,00:56:19:23,2942.0505,963.3575,1171.1025
65,0.64,00:56:19:23,2942.0890000000004,963.285,1171.349
66,0.65,00:56:19:23,2942.1185,963.248,1171.5955
67,0.66,00:56:19:23,2942.1325,963.1855,1171.807
68,0.67,00:56:19:24,2942.1745,963.1165,1172.0015
69,0.68,00:56:19:24,2942.21,963.064,1172.1685
70,0.69,00:56:19:24,2942.1935,962.9785,1172.2855
