Frame,Time,SMPTE,bar_right_elbow_x,bar_right_elbow_y,bar_right_elbow_z
1,0.0,00:56:19:07,1957.151,1124.2355,1229.347
2,0.01,00:56:19:07,1957.175,1124.271,1229.5105
3,0.02,00:56:19:07,1957.2155,1124.1075,1229.5115
4,0.03,00:56:19:08,1957.5529999999999,1124.1955,1230.161
5,0.04,00:56:19:08,1957.5455,1124.1105,1230.3065
6,0.05,00:56:19:08,1957.6355,1124.2089999999998,1230.465
7,0.06,00:56:19:08,1957.701,1124.3,1230.5919999999999
8,0.07,00:56:19:09,1957.7715,1124.4125,1230.7169999999999
9,0.08,00:56:19:09,1957.8370000000002,1124.5435,1230.8265
10,0.09,00:56:19:09,1957.884,1124.6625,1230.8885
11,0.1,00:56:19:09,1957.933,1124.787,1230.9315
12,0.11,00:56:19:10,1957.973,1124.9055,1230.94
13,0.12,00:56:19:10,1958.031,1125.0145,1230.978
14,0.13,00:56:19:10,1958.08,1125.113,1230.952
15,0.14,00:56:19:10,1958.1129999999998,1125.1660000000002,1230.931
16,0.15,00:56:19:11,1958.1555,1125.2275,1230.8785
17,0.16,00:56:19:11,1958.18,1125.262,1230.8115
18,0.17,00:56:19:11,1958.204,1125.6855,1231.111
19,0.18,00:56:19:11,1958.1805,1125.366,1230.684
20,0.19,00:56:19:12,1958.2515,1125.7415,1230.976
21,0.2,00:56:19:12,1958.2695,1125.7525,1230.882
22,0.21,00:56:19:12,1958.275,1125.757,1230.7685
23,0.22,00:56:19:12,1958.276,1125.74,1230.6745
24,0.23,00:56:19:13,1958.2415,1125.75,1230.5365
25,0.24,00:56:19:13,1958.2395,1125.724,1230.4095
26,0.25,00:56:19:13,1958.239,1125.7235,1230.2855
27,0.26,00:56:19:13,1958.2315,1125.73,1230.1789999999999
28,0.27,00:56:19:14,1958.224,1125.6825,1230.019
29,0.28,00:56:19:14,1958.22,1125.682,1229.9005
30,0.29,00:56:19:14,1958.221,1125.6595,1229.757
31,0.3,00:56:19:14,1958.27,1125.6335,1229.601
32,0.31,00:56:19:15,1958.2955,1125.2995,1229.136
33,0.32,00:56:19:15,1958.3445,1125.305,1229.0185
34,0.33,00:56:19:15,1958.404,1125.6589999999999,1229.246
35,0.34,00:56:19:15,1958.4455,1125.6625,1229.094
36,0.35,00:56:19:16,1958.4775,1125.7075,1228.984
37,0.36,00:56:19:16,1958.516,1125.7365,1228.7965
38,0.37,00:56:19:16,1958.5620000000001,1125.7985,1228.6585
39,0.38,00:56:19:16,1958.614,1125.8585,1228.496
40,0.39,00:56:19:17,1958.6595,1125.8935,1228.3315
41,0.4,00:56:19:17,1958.7055,1125.9755,1228.2005
42,0.41,00:56:19:17,1958.7255,1126.004,1228.0665
43,0.42,00:56:19:17,1958.7320000000002,1126.052,1227.9345
44,0.43,00:56:19:18,1958.7245,1126.039,1227.764
