Frame,Time,SMPTE,bar_right_foot_x,bar_right_foot_y,bar_right_foot_z
1,0.0,00:56:19:07,2175.2027,1074.7383,32.4333
2,0.01,00:56:19:07,2175.206,1074.7637,32.4237
3,0.02,00:56:19:07,2175.1923,1074.7503,32.4137
4,0.03,00:56:19:08,2175.197,1074.7583,32.4187
5,0.04,00:56:19:08,2175.1497,1074.7730000000001,32.391
6,0.05,00:56:19:08,2175.1647,1074.7663,32.3997
7,0.06,00:56:19:08,2175.1603,1074.7763,32.3853
8,0.07,00:56:19:09,2175.1517,1074.79,32.3977
9,0.08,00:56:19:09,2175.1567,1074.7903,32.3767
10,0.09,00:56:19:09,2175.1639999999998,1074.7957,32.38
11,0.1,00:56:19:09,2175.1553,1074.8073,32.378
12,0.11,00:56:19:10,2175.1283,1074.816,32.365
13,0.12,00:56:19:10,2175.1337,1074.8193,32.3707
14,0.13,00:56:19:10,2175.1283,1074.8163,32.3697
15,0.14,00:56:19:10,2175.1323,1074.8083,32.3953
16,0.15,00:56:19:11,2175.1353,1074.8167,32.376999999999995
17,0.16,00:56:19:11,2175.1283,1074.8110000000001,32.385999999999996
18,0.17,00:56:19:11,2175.127,1074.8097,32.383
19,0.18,00:56:19:11,2175.1257,1074.8177,32.3763
20,0.19,00:56:19:12,2175.1327,1074.8157,32.3737
21,0.2,00:56:19:12,2175.1163,1074.8357,32.375
22,0.21,00:56:19:12,2175.1323,1074.8067,32.3807
23,0.22,00:56:19:12,2175.1393,1074.8213,32.3707
24,0.23,00:56:19:13,2175.1353,1074.8210000000001,32.389
25,0.24,00:56:19:13,2175.1313,1074.818,32.379
26,0.25,00:56:19:13,2175.136,1074.825,32.385999999999996
27,0.26,00:56:19:13,2175.1417,1074.8177,32.3877
28,0.27,00:56:19:14,2175.123,1074.8303,32.379
29,0.28,00:56:19:14,2175.1333,1074.8239999999998,32.3853
30,0.29,00:56:19:14,2175.1217,1074.8337,32.3817
31,0.3,00:56:19:14,2175.1387,1074.817,32.3817
32,0.31,00:56:19:15,2175.134,1074.8247,32.372
33,0.32,00:56:19:15,2175.136,1074.8283,32.378
34,0.33,00:56:19:15,2175.139,1074.829,32.3723
35,0.34,00:56:19:15,2175.1527,1074.8247,32.3873
36,0.35,00:56:19:16,2175.1493,1074.8253,32.39
37,0.36,00:56:19:16,2175.1303,1074.8283,32.394
38,0.37,00:56:19:16,2175.1487,1074.8273,32.3753
39,0.38,00:56:19:16,2175.149,1074.8287,32.3943
40,0.39,00:56:19:17,2175.1357,1074.827,32.3953
41,0.4,00:56:19:17,2175.1407,1074.816,32.383
42,0.41,00:56:19:17,2175.127,1074.8373,32.3817
43,0.42,00:56:19:17,2175.1423,1074.823,32.3847
44,0.43,00:56:19:18,2175.1443,1074.8227,32.394
45,0.44,00:56:19:18,2175.145,1074.8339999999998,32.3837
46,0.45,00:56:19:18,2175.153,1074.8213,32.376999999999995
47,0.46,00:56:19:18,2175.1413,1074.8173,32.3757
48,0.47,00:56:19:19,2175.1483,1074.816,32.3853
49,0.48,00:56:19:19,2175.1437,1074.8247,32.39
50,0.49,00:56:19:19,2175.1397,1074.8327,32.3937
51,0.5,00:56:19:19,2175.144,1074.8363,32.3947
52,0.51,00:56:19:20,2175.1367,1074.8283,32.385
53,0.52,00:56:19:20,2175.1467,1074.839,32.3863
54,0.53,00:56:19:20,2175.1517,1074.8339999999998,32.38
55,0.54,00:56:19:20,2175.1433,1074.8303,32.378
56,0.55,00:56:19:21,2175.1417,1074.8347,32.3753
57,0.56,00:56:19:21,2175.1467,1074.8347,32.3833
58,0.57,00:56:19:21,2175.154,1074.8227,32.383
59,0.58,00:56:19:21,2175.1303,1074.8237,32.3903
60,0.59,00:56:19:22,2175.135,1074.8237,32.3857
61,0.6,00:56:19:22,2175.136,1074.8167,32.3723
62,0.61,00:56:19:22,2175.135,1074.817,32.3813
63,0.62,00:56:19:22,2175.1233,1074.8133,32.4003
64,0.63,00:56:19:23,2175.1373,1074.8043,32.3863
65,0.64,00:56:19:23,2175.1497,1074.7997,32.3847
66,0.65,00:56:19:23,2175.135,1074.7993,32.408
67,0.66,00:56:19:23,2175.143,1074.792,32.3943
68,0.67,00:56:19:24,2175.151,1074.7907,32.3833
69,0.68,00:56:19:24,2175.1353,1074.8,32.3967
70,0.69,00:56:19:24,2175.1343,1074.807,32.38
71,0.7,00:56:19:24,2175.1347,1074.7953,32.383
72,0.71,00:56:20:00,2175.1287,1074.7863,32.398
73,0.72,00:56:20:00,2175.1253,1074.7839999999999,32.391
74,0.73,00:56:20:00,2175.1387,1074.7857,32.3957
75,0.74,00:56:20:00,2175.1393,1074.7867,32.3913
76,0.75,00:56:20:01,2175.1413,1074.7903,32.3907
77,0.76,00:56:20:01,2175.131,1074.795,32.39
78,0.77,00:56:20:01,2175.1267,1074.7973,32.39
