Frame,Time,SMPTE,bar_right_hand_x,bar_right_hand_y,bar_right_hand_z
1,0.0,00:56:19:07,1687.182,1105.225,1277.33
2,0.01,00:56:19:07,1687.1779999999999,1105.317,1277.75
3,0.02,00:56:19:07,1687.229,1105.403,1278.085
4,0.03,00:56:19:08,1687.396,1105.585,1278.365
5,0.04,00:56:19:08,1687.2879999999998,1105.624,1278.6580000000001
6,0.05,00:56:19:08,1687.614,1105.743,1279.075
7,0.06,00:56:19:08,1687.675,1105.846,1279.384
8,0.07,00:56:19:09,1687.729,1105.968,1279.654
9,0.08,00:56:19:09,1687.828,1106.108,1279.9389999999999
10,0.09,00:56:19:09,1687.875,1106.243,1280.161
11,0.1,00:56:19:09,1687.94,1106.365,1280.36
12,0.11,00:56:19:10,1687.996,1106.468,1280.485
13,0.12,00:56:19:10,1688.0610000000001,1106.583,1280.54
14,0.13,00:56:19:10,1688.105,1106.683,1280.583
15,0.14,00:56:19:10,1688.142,1106.796,1280.56
16,0.15,00:56:19:11,1688.1660000000002,1106.907,1280.488
17,0.16,00:56:19:11,1688.174,1107.017,1280.373
18,0.17,00:56:19:11,1688.148,1107.128,1280.146
19,0.18,00:56:19:11,1688.104,1107.25,1279.899
20,0.19,00:56:19:12,1688.058,1107.339,1279.5410000000002
21,0.2,00:56:19:12,1688.016,1107.401,1279.1860000000001
22,0.21,00:56:19:12,1687.9720000000002,1107.492,1278.822
23,0.22,00:56:19:12,1687.899,1107.597,1278.432
24,0.23,00:56:19:13,1687.8470000000002,1107.712,1278.07
25,0.24,00:56:19:13,1687.793,1107.823,1277.661
26,0.25,00:56:19:13,1687.747,1107.9260000000002,1277.25
27,0.26,00:56:19:13,1687.6760000000002,1108.016,1276.8339999999998
28,0.27,00:56:19:14,1687.6029999999998,1108.098,1276.454
29,0.28,00:56:19:14,1687.5339999999999,1108.172,1276.123
30,0.29,00:56:19:14,1687.475,1108.244,1275.796
31,0.3,00:56:19:14,1687.4520000000002,1108.313,1275.478
32,0.31,00:56:19:15,1687.422,1108.378,1275.165
33,0.32,00:56:19:15,1687.396,1108.4489999999998,1274.826
34,0.33,00:56:19:15,1687.394,1108.503,1274.499
35,0.34,00:56:19:15,1687.392,1108.518,1274.2069999999999
36,0.35,00:56:19:16,1687.394,1108.515,1273.921
37,0.36,00:56:19:16,1687.431,1108.478,1273.701
38,0.37,00:56:19:16,1687.4560000000001,1108.438,1273.424
39,0.38,00:56:19:16,1687.487,1108.4289999999999,1273.248
40,0.39,00:56:19:17,1687.5,1108.389,1273.025
41,0.4,00:56:19:17,1687.4720000000002,1108.367,1272.758
42,0.41,00:56:19:17,1687.4279999999999,1108.361,1272.529
43,0.42,00:56:19:17,1687.404,1108.364,1272.278
44,0.43,00:56:19:18,1687.3529999999998,1108.38,1271.979
45,0.44,00:56:19:18,1687.315,1108.392,1271.685
46,0.45,00:56:19:18,1687.274,1108.437,1271.432
47,0.46,00:56:19:18,1687.224,1108.508,1271.18
48,0.47,00:56:19:19,1687.171,1108.623,1270.934
49,0.48,00:56:19:19,1687.1,1108.7730000000001,1270.71
50,0.49,00:56:19:19,1687.0729999999999,1108.901,1270.54
51,0.5,00:56:19:19,1687.019,1109.0410000000002,1270.42
52,0.51,00:56:19:20,1687.007,1109.161,1270.31
53,0.52,00:56:19:20,1686.974,1109.2939999999999,1270.248
54,0.53,00:56:19:20,1686.957,1109.427,1270.26
55,0.54,00:56:19:20,1686.955,1109.522,1270.3310000000001
56,0.55,00:56:19:21,1686.967,1109.654,1270.453
57,0.56,00:56:19:21,1686.9720000000002,1109.777,1270.625
58,0.57,00:56:19:21,1686.991,1109.902,1270.8239999999998
59,0.58,00:56:19:21,1687.019,1110.008,1271.025
60,0.59,00:56:19:22,1687.0410000000002,1110.095,1271.2169999999999
61,0.6,00:56:19:22,1687.067,1110.185,1271.4360000000001
62,0.61,00:56:19:22,1687.066,1110.27,1271.6480000000001
63,0.62,00:56:19:22,1687.069,1110.379,1271.848
64,0.63,00:56:19:23,1687.08,1110.485,1272.123
65,0.64,00:56:19:23,1687.0929999999998,1110.636,1272.362
66,0.65,00:56:19:23,1687.118,1110.78,1272.5910000000001
67,0.66,00:56:19:23,1687.15,1110.924,1272.818
68,0.67,00:56:19:24,1687.194,1111.063,1273.048
69,0.68,00:56:19:24,1687.193,1111.164,1273.248
70,0.69,00:56:19:24,1687.174,1111.26,1273.452
71,0.7,00:56:19:24,1687.182,1111.343,1273.644
72,0.71,00:56:20:00,1687.207,1111.379,1273.828
73,0.72,00:56:20:00,1687.239,1111.412,1273.979
74,0.73,00:56:20:00,1687.2420000000002,1111.405,1274.098
75,0.74,00:56:20:00,1687.275,1111.378,1274.21
76,0.75,00:56:20:01,1687.28,1111.303,1274.257
77,0.76,00:56:20:01,1687.32,1111.183,1274.266
78,0.77,00:56:20:01,1687.332,1111.065,1274.224
79,0.78,00:56:20:01,1687.338,1110.9189999999999,1274.203
80,0.79,00:56:20:02,1687.319,1110.761,1274.095
81,0.8,00:56:20:02,1687.309,1110.599,1273.955
82,0.81,00:56:20:02,1687.3110000000001,1110.447,1273.82
83,0.82,00:56:20:02,1687.3310000000001,1110.278,1273.67
84,0.83,00:56:20:03,1687.354,1110.106,1273.516
85,0.84,00:56:20:03,1687.3470000000002,1109.935,1273.362
86,0.85,00:56:20:03,1687.358,1109.7939999999999,1273.202
87,0.86,00:56:20:03,1687.3570000000002,1109.611,1273.026
88,0.87,00:56:20:04,1687.3470000000002,1109.448,1272.829
89,0.88,00:56:20:04,1687.31,1109.2910000000002,1272.617
90,0.89,00:56:20:04,1687.296,1109.094,1272.389
91,0.9,00:56:20:04,1687.277,1108.875,1272.172
92,0.91,00:56:20:05,1687.296,1108.646,1271.9660000000001
93,0.92,00:56:20:05,1687.273,1108.4389999999999,1271.687
94,0.93,00:56:20:05,1687.305,1108.1960000000001,1271.4569999999999
95,0.94,00:56:20:05,1687.285,1107.984,1271.256
96,0.95,00:56:20:06,1687.29,1107.78,1271.083
97,0.96,00:56:20:06,1687.255,1107.563,1270.947
98,0.97,00:56:20:06,1687.225,1107.319,1270.798
99,0.98,00:56:20:06,1687.1670000000001,1106.997,1270.645
100,0.99,00:56:20:07,1687.121,1106.625,1270.479
