Frame,Time,SMPTE,bar_right_knee_x,bar_right_knee_y,bar_right_knee_z
1,0.0,00:56:19:07,2250.022,1103.573,415.00300000000004
2,0.01,00:56:19:07,2250.004,1103.6155,414.9925
3,0.02,00:56:19:07,2249.9805,1103.661,414.98699999999997
4,0.03,00:56:19:08,2249.947,1103.7235,414.9455
5,0.04,00:56:19:08,2249.8875,1103.6795,415.0295
6,0.05,00:56:19:08,2249.8555,1103.6895,415.036
7,0.06,00:56:19:08,2249.826,1103.7355,415.02099999999996
8,0.07,00:56:19:09,2249.8015,1103.747,415.01800000000003
9,0.08,00:56:19:09,2249.769,1103.7625,415.009
10,0.09,00:56:19:09,2249.762,1103.7835,414.9965
11,0.1,00:56:19:09,2249.735,1103.7939999999999,414.9965
12,0.11,00:56:19:10,2249.7110000000002,1103.7955,414.995
13,0.12,00:56:19:10,2249.705,1103.787,414.97900000000004
14,0.13,00:56:19:10,2249.673,1103.785,414.976
15,0.14,00:56:19:10,2249.679,1103.7585,414.9865
16,0.15,00:56:19:11,2249.6645,1103.7635,414.9985
17,0.16,00:56:19:11,2249.6635,1103.776,414.9815
18,0.17,00:56:19:11,2249.6725,1103.7725,414.98699999999997
19,0.18,00:56:19:11,2249.647,1103.7975,414.995
20,0.19,00:56:19:12,2249.6725,1103.7925,414.9975
21,0.2,00:56:19:12,2249.6679999999997,1103.7925,414.97900000000004
22,0.21,00:56:19:12,2249.7005,1103.7910000000002,414.996
23,0.22,00:56:19:12,2249.7075,1103.8175,414.9975
24,0.23,00:56:19:13,2249.714,1103.8335,414.9885
25,0.24,00:56:19:13,2249.7485,1103.846,414.9875
26,0.25,00:56:19:13,2249.774,1103.8715,414.967
27,0.26,00:56:19:13,2249.7895,1103.899,414.976
28,0.27,00:56:19:14,2249.826,1103.9495,414.969
29,0.28,00:56:19:14,2249.833,1103.9685,414.965
30,0.29,00:56:19:14,2249.865,1104.007,414.959
31,0.3,00:56:19:14,2249.8705,1104.0330000000001,414.9545
32,0.31,00:56:19:15,2249.9035,1104.07,414.9505
33,0.32,00:56:19:15,2249.899,1104.0865,414.977
34,0.33,00:56:19:15,2249.9120000000003,1104.0895,414.972
35,0.34,00:56:19:15,2249.8935,1104.118,414.958
36,0.35,00:56:19:16,2249.8865,1104.122,414.945
37,0.36,00:56:19:16,2249.8935,1104.1155,414.967
38,0.37,00:56:19:16,2249.899,1104.0965,414.9485
39,0.38,00:56:19:16,2249.8845,1104.09,414.961
40,0.39,00:56:19:17,2249.9035,1104.067,414.9525
41,0.4,00:56:19:17,2249.8875,1104.0815,414.9565
42,0.41,00:56:19:17,2249.885,1104.0735,414.945
43,0.42,00:56:19:17,2249.913,1104.048,414.9395
44,0.43,00:56:19:18,2249.9225,1104.0375,414.961
45,0.44,00:56:19:18,2249.936,1104.0339999999999,414.9455
46,0.45,00:56:19:18,2249.944,1104.046,414.9325
47,0.46,00:56:19:18,2249.9595,1104.021,414.941
48,0.47,00:56:19:19,2249.982,1104.0405,414.9435
49,0.48,00:56:19:19,2249.9995,1104.03,414.9565
50,0.49,00:56:19:19,2249.999,1104.0339999999999,414.9335
51,0.5,00:56:19:19,2250.0015,1104.055,414.9315
52,0.51,00:56:19:20,2250.0085,1104.0545,414.9135
53,0.52,00:56:19:20,2250.0125,1104.0385,414.915
54,0.53,00:56:19:20,2250.0055,1104.03,414.9215
55,0.54,00:56:19:20,2249.9785,1104.02,414.912
56,0.55,00:56:19:21,2249.9705,1103.993,414.9095
57,0.56,00:56:19:21,2249.9675,1103.9375,414.914
58,0.57,00:56:19:21,2249.9410000000003,1103.897,414.908
59,0.58,00:56:19:21,2249.9305,1103.848,414.9475
60,0.59,00:56:19:22,2249.888,1103.813,414.936
61,0.6,00:56:19:22,2249.888,1103.759,414.9435
62,0.61,00:56:19:22,2249.8715,1103.74,414.94699999999995
