Frame,Time,SMPTE,bar_right_shoulder_x,bar_right_shoulder_y,bar_right_shoulder_z
1,0.0,00:56:19:07,2233.535,1078.469,1312.055
2,0.01,00:56:19:07,2233.587,1078.549,1312.089
3,0.02,00:56:19:07,2233.653,1078.618,1312.115
4,0.03,00:56:19:08,2233.772,1078.765,1312.1229999999998
5,0.04,00:56:19:08,2233.939,1078.968,1312.1470000000002
6,0.05,00:56:19:08,2234.04,1079.086,1312.162
7,0.06,00:56:19:08,2234.153,1079.183,1312.1970000000001
8,0.07,00:56:19:09,2234.251,1079.254,1312.191
9,0.08,00:56:19:09,2234.317,1079.3410000000001,1312.205
10,0.09,00:56:19:09,2234.408,1079.4260000000002,1312.1889999999999
11,0.1,00:56:19:09,2234.465,1079.4389999999999,1312.161
12,0.11,00:56:19:10,2234.501,1079.4660000000001,1312.121
13,0.12,00:56:19:10,2234.54,1079.482,1312.089
14,0.13,00:56:19:10,2234.585,1079.478,1312.058
15,0.14,00:56:19:10,2234.597,1079.437,1312.021
16,0.15,00:56:19:11,2234.61,1079.451,1312.003
17,0.16,00:56:19:11,2234.6079999999997,1079.437,1311.974
18,0.17,00:56:19:11,2234.591,1079.407,1311.99
19,0.18,00:56:19:11,2234.585,1079.411,1311.983
20,0.19,00:56:19:12,2234.571,1079.377,1311.97
21,0.2,00:56:19:12,2234.562,1079.3139999999999,1311.9589999999998
22,0.21,00:56:19:12,2234.5229999999997,1079.298,1311.9679999999998
23,0.22,00:56:19:12,2234.467,1079.256,1311.994
24,0.23,00:56:19:13,2234.451,1079.1960000000001,1311.997
25,0.24,00:56:19:13,2234.374,1079.157,1312.011
26,0.25,00:56:19:13,2234.3070000000002,1079.118,1312.001
27,0.26,00:56:19:13,2234.278,1079.0439999999999,1312.021
28,0.27,00:56:19:14,2234.2329999999997,1079.024,1312.005
29,0.28,00:56:19:14,2234.205,1079.012,1312.0279999999998
30,0.29,00:56:19:14,2234.151,1078.982,1311.996
31,0.3,00:56:19:14,2234.14,1078.979,1311.974
32,0.31,00:56:19:15,2234.151,1079.012,1311.977
33,0.32,00:56:19:15,2234.166,1079.008,1311.969
34,0.33,00:56:19:15,2234.151,1079.005,1311.9489999999998
