Frame,Time,SMPTE,bar_shoulder_centre_x,bar_shoulder_centre_y,bar_shoulder_centre_z
1,0.0,00:56:19:07,2355.9610000000002,1062.5065,1306.289
2,0.01,00:56:19:07,2355.981,1062.5835,1306.2965
3,0.02,00:56:19:07,2356.0325,1062.6555,1306.3245
4,0.03,00:56:19:08,2355.8715,1062.9465,1306.6675
5,0.04,00:56:19:08,2355.9875,1063.1065,1306.7145
6,0.05,00:56:19:08,2356.053,1063.2185,1306.721
7,0.06,00:56:19:08,2356.1420000000003,1063.3085,1306.7615
8,0.07,00:56:19:09,2356.2065,1063.3785,1306.7475
9,0.08,00:56:19:09,2356.28,1063.4765,1306.766
10,0.09,00:56:19:09,2356.3360000000002,1063.5245,1306.7755
11,0.1,00:56:19:09,2356.39,1063.5695,1306.7755
12,0.11,00:56:19:10,2356.4295,1063.5885,1306.7215
13,0.12,00:56:19:10,2356.4705,1063.6025,1306.7125
14,0.13,00:56:19:10,2356.512,1063.5845,1306.7145
15,0.14,00:56:19:10,2356.5255,1063.5605,1306.682
16,0.15,00:56:19:11,2356.5355,1063.5495,1306.6795
17,0.16,00:56:19:11,2356.5429999999997,1063.535,1306.6715
18,0.17,00:56:19:11,2356.526,1063.4769999999999,1306.64
19,0.18,00:56:19:11,2356.5355,1063.4415,1306.6525
20,0.19,00:56:19:12,2356.524,1063.413,1306.6655
21,0.2,00:56:19:12,2356.506,1063.3545,1306.651
22,0.21,00:56:19:12,2356.487,1063.31,1306.6589999999999
23,0.22,00:56:19:12,2356.4295,1063.2275,1306.6705
24,0.23,00:56:19:13,2356.4075,1063.141,1306.638
25,0.24,00:56:19:13,2356.3535,1063.079,1306.6545
26,0.25,00:56:19:13,2356.3205,1063.0115,1306.646
27,0.26,00:56:19:13,2356.2955,1062.921,1306.643
28,0.27,00:56:19:14,2356.264,1062.8785,1306.6405
29,0.28,00:56:19:14,2356.2495,1062.8345,1306.6555
30,0.29,00:56:19:14,2356.222,1062.8005,1306.605
31,0.3,00:56:19:14,2356.223,1062.7715,1306.6125
32,0.31,00:56:19:15,2356.243,1062.7835,1306.61
33,0.32,00:56:19:15,2356.2315,1062.527,1306.493
34,0.33,00:56:19:15,2356.249,1062.506,1306.4815
35,0.34,00:56:19:15,2356.281,1062.5025,1306.493
36,0.35,00:56:19:16,2356.323,1062.507,1306.483
37,0.36,00:56:19:16,2356.354,1062.4865,1306.4735
38,0.37,00:56:19:16,2356.365,1062.4825,1306.4165
39,0.38,00:56:19:16,2356.402,1062.4455,1306.3995
40,0.39,00:56:19:17,2356.3905,1062.4145,1306.3635
41,0.4,00:56:19:17,2356.3865,1062.3725,1306.3295
42,0.41,00:56:19:17,2356.4185,1062.5435,1306.4145
43,0.42,00:56:19:17,2356.4025,1062.506,1306.412
44,0.43,00:56:19:18,2356.38,1062.45,1306.361
45,0.44,00:56:19:18,2356.359,1062.4105,1306.345
46,0.45,00:56:19:18,2356.323,1062.356,1306.361
47,0.46,00:56:19:18,2356.3035,1062.3555,1306.378
48,0.47,00:56:19:19,2356.2695,1062.343,1306.371
49,0.48,00:56:19:19,2356.2475,1062.323,1306.3765
50,0.49,00:56:19:19,2356.2075,1062.298,1306.3735
51,0.5,00:56:19:19,2356.201,1062.285,1306.403
52,0.51,00:56:19:20,2356.1805,1062.2705,1306.4015
53,0.52,00:56:19:20,2356.141,1062.2525,1306.397
54,0.53,00:56:19:20,2356.1175,1062.2165,1306.3855
55,0.54,00:56:19:20,2356.1095,1062.1589999999999,1306.399
56,0.55,00:56:19:21,2356.0860000000002,1062.1305,1306.4415
57,0.56,00:56:19:21,2356.0879999999997,1062.083,1306.458
