Frame,Time,SMPTE,bar_hip_centre_x,bar_hip_centre_y,bar_hip_centre_z
1,0.0,00:56:19:07,2336.9322,1040.5510000000002,950.5442
2,0.01,00:56:19:07,2336.8995,1040.5402,950.5622
3,0.02,00:56:19:07,2336.8552,1040.5552,950.5445
4,0.03,00:56:19:08,2336.6628,1040.5142,950.6925
5,0.04,00:56:19:08,2336.6205,1040.53,950.7402
6,0.05,00:56:19:08,2336.5808,1040.5263,950.7555
7,0.06,00:56:19:08,2336.52,1040.5575,950.7808
8,0.07,00:56:19:09,2336.4903,1040.5575,950.7725
9,0.08,00:56:19:09,2336.4688,1040.5453,950.7669999999999
10,0.09,00:56:19:09,2336.4502,1040.5585,950.7652
11,0.1,00:56:19:09,2336.436,1040.575,950.7465
12,0.11,00:56:19:10,2336.4212,1040.5852,950.7218
13,0.12,00:56:19:10,2336.4365,1040.5625,950.6925
14,0.13,00:56:19:10,2336.4592,1040.5725,950.6862
15,0.14,00:56:19:10,2336.4508,1040.5855,950.7038
16,0.15,00:56:19:11,2336.4512,1040.6042,950.6978
17,0.16,00:56:19:11,2336.4548,1040.615,950.71
18,0.17,00:56:19:11,2336.4585,1040.636,950.7062
19,0.18,00:56:19:11,2336.4638,1040.6338,950.7128
20,0.19,00:56:19:12,2336.4677,1040.645,950.7130000000001
21,0.2,00:56:19:12,2336.4778,1040.6712,950.7062
22,0.21,00:56:19:12,2336.4785,1040.6815,950.6985
23,0.22,00:56:19:12,2336.4815,1040.6905,950.7118
24,0.23,00:56:19:13,2336.4882,1040.6895,950.716
25,0.24,00:56:19:13,2336.481,1040.6762,950.7038
26,0.25,00:56:19:13,2336.4852,1040.66,950.7005
27,0.26,00:56:19:13,2336.4892,1040.6367,950.7112
28,0.27,00:56:19:14,2336.4855,1040.6267,950.6945
29,0.28,00:56:19:14,2336.4743,1040.6105,950.6898
30,0.29,00:56:19:14,2336.4875,1040.5888,950.675
31,0.3,00:56:19:14,2336.4932,1040.5705,950.6825
32,0.31,00:56:19:15,2336.5058,1040.5425,950.674
33,0.32,00:56:19:15,2336.5108,1040.5135,950.68
34,0.33,00:56:19:15,2336.531,1040.503,950.6548
35,0.34,00:56:19:15,2336.5537,1040.4542,950.6742
36,0.35,00:56:19:16,2336.5795,1040.4485,950.6577
37,0.36,00:56:19:16,2336.591,1040.4232,950.6538
38,0.37,00:56:19:16,2336.6147,1040.4052,950.6482
39,0.38,00:56:19:16,2336.6279999999997,1040.3835,950.6438
40,0.39,00:56:19:17,2336.6512,1040.3632,950.6485
41,0.4,00:56:19:17,2336.6795,1040.3598,950.6478
42,0.41,00:56:19:17,2336.6935,1040.3352,950.6469999999999
43,0.42,00:56:19:17,2336.7165,1040.317,950.6355
44,0.43,00:56:19:18,2336.7185,1040.2907,950.6328
45,0.44,00:56:19:18,2336.7262,1040.262,950.6178
46,0.45,00:56:19:18,2336.725,1040.2385,950.6218
47,0.46,00:56:19:18,2336.7252,1040.195,950.6295
48,0.47,00:56:19:19,2336.7182,1040.1385,950.6355
49,0.48,00:56:19:19,2336.7018,1040.0982,950.61
50,0.49,00:56:19:19,2336.7110000000002,1040.0538,950.625
51,0.5,00:56:19:19,2336.705,1039.9985,950.6088
52,0.51,00:56:19:20,2336.6942,1039.9402,950.584
53,0.52,00:56:19:20,2336.677,1039.8942,950.5682
54,0.53,00:56:19:20,2336.6767,1039.8497,950.5472
55,0.54,00:56:19:20,2336.6858,1039.7775,950.5562
56,0.55,00:56:19:21,2336.677,1039.723,950.5662
57,0.56,00:56:19:21,2336.6655,1039.6755,950.581
58,0.57,00:56:19:21,2336.658,1039.6335,950.5862
59,0.58,00:56:19:21,2336.6485,1039.5778,950.6052
60,0.59,00:56:19:22,2336.6325,1039.5358,950.605
61,0.6,00:56:19:22,2336.6242,1039.4693,950.6095
62,0.61,00:56:19:22,2336.6158,1039.4165,950.6242
63,0.62,00:56:19:22,2336.611,1039.3607,950.6328
64,0.63,00:56:19:23,2336.6028,1039.2788,950.6445
65,0.64,00:56:19:23,2336.6062,1039.2202,950.6452
66,0.65,00:56:19:23,2336.609,1039.1418,950.6665
67,0.66,00:56:19:23,2336.58,1039.0692,950.6512
68,0.67,00:56:19:24,2336.5762,1039.0048,950.679
69,0.68,00:56:19:24,2336.5585,1038.9332,950.6625
70,0.69,00:56:19:24,2336.5515,1038.8582,950.6560000000001
71,0.7,00:56:19:24,2336.538,1038.7775,950.6672
72,0.71,00:56:20:00,2336.519,1038.7,950.6605
73,0.72,00:56:20:00,2336.522,1038.6215,950.6410000000001
74,0.73,00:56:20:00,2336.515,1038.5523,950.6488
75,0.74,00:56:20:00,2336.5108,1038.4818,950.6278
76,0.75,00:56:20:01,2336.5153,1038.417,950.6345
77,0.76,00:56:20:01,2336.518,1038.3495,950.6165
78,0.77,00:56:20:01,2336.5098,1038.2945,950.6310000000001
79,0.78,00:56:20:01,2336.5128,1038.2015,950.6310000000001
80,0.79,00:56:20:02,2336.5042,1038.1388,950.617
81,0.8,00:56:20:02,2336.4943,1038.0655,950.6292
82,0.81,00:56:20:02,2336.487,1038.004,950.6215
83,0.82,00:56:20:02,2336.48,1037.95,950.6255
84,0.83,00:56:20:03,2336.471,1037.883,950.6215
85,0.84,00:56:20:03,2336.4645,1037.8312,950.6265
