Frame,Time,SMPTE,bar_left_ankle_x,bar_left_ankle_y,bar_left_ankle_z
1,0.0,00:56:19:07,2521.479,1169.402,111.689
2,0.01,00:56:19:07,2521.481,1169.384,111.68700000000001
3,0.02,00:56:19:07,2521.466,1169.397,111.699
4,0.03,00:56:19:08,2521.4610000000002,1169.41,111.685
5,0.04,00:56:19:08,2521.417,1169.295,111.54
6,0.05,00:56:19:08,2521.42,1169.282,111.551
7,0.06,00:56:19:08,2521.429,1169.246,111.545
8,0.07,00:56:19:09,2521.3920000000003,1169.277,111.508
9,0.08,00:56:19:09,2521.396,1169.285,111.523
10,0.09,00:56:19:09,2521.375,1169.3010000000002,111.509
11,0.1,00:56:19:09,2521.37,1169.32,111.493
12,0.11,00:56:19:10,2521.389,1169.258,111.512
13,0.12,00:56:19:10,2521.37,1169.306,111.473
14,0.13,00:56:19:10,2521.356,1169.29,111.475
15,0.14,00:56:19:10,2521.377,1169.303,111.48700000000001
16,0.15,00:56:19:11,2521.376,1169.262,111.51700000000001
17,0.16,00:56:19:11,2521.367,1169.305,111.477
18,0.17,00:56:19:11,2521.357,1169.266,111.505
19,0.18,00:56:19:11,2521.362,1169.2930000000001,111.499
20,0.19,00:56:19:12,2521.376,1169.298,111.473
21,0.2,00:56:19:12,2521.383,1169.312,111.475
22,0.21,00:56:19:12,2521.377,1169.327,111.476
23,0.22,00:56:19:12,2521.396,1169.275,111.493
24,0.23,00:56:19:13,2521.399,1169.296,111.495
25,0.24,00:56:19:13,2521.409,1169.29,111.49
26,0.25,00:56:19:13,2521.436,1169.297,111.49700000000001
27,0.26,00:56:19:13,2521.423,1169.302,111.462
28,0.27,00:56:19:14,2521.42,1169.288,111.492
29,0.28,00:56:19:14,2521.411,1169.31,111.465
30,0.29,00:56:19:14,2521.424,1169.289,111.46799999999999
31,0.3,00:56:19:14,2521.4179999999997,1169.2839999999999,111.46799999999999
32,0.31,00:56:19:15,2521.411,1169.292,111.47399999999999
33,0.32,00:56:19:15,2521.425,1169.31,111.45200000000001
34,0.33,00:56:19:15,2521.429,1169.3039999999999,111.49700000000001
35,0.34,00:56:19:15,2521.4610000000002,1169.259,111.516
36,0.35,00:56:19:16,2521.445,1169.2839999999999,111.49
37,0.36,00:56:19:16,2521.445,1169.282,111.476
38,0.37,00:56:19:16,2521.439,1169.3110000000001,111.46799999999999
39,0.38,00:56:19:16,2521.436,1169.3239999999998,111.441
40,0.39,00:56:19:17,2521.453,1169.297,111.45200000000001
41,0.4,00:56:19:17,2521.4429999999998,1169.279,111.48299999999999
42,0.41,00:56:19:17,2521.435,1169.3210000000001,111.473
43,0.42,00:56:19:17,2521.439,1169.298,111.434
44,0.43,00:56:19:18,2521.449,1169.286,111.49600000000001
45,0.44,00:56:19:18,2521.467,1169.269,111.501
46,0.45,00:56:19:18,2521.465,1169.277,111.456
47,0.46,00:56:19:18,2521.462,1169.288,111.475
48,0.47,00:56:19:19,2521.466,1169.249,111.493
49,0.48,00:56:19:19,2521.479,1169.272,111.473
50,0.49,00:56:19:19,2521.462,1169.282,111.51100000000001
51,0.5,00:56:19:19,2521.47,1169.269,111.5
52,0.51,00:56:19:20,2521.478,1169.302,111.48100000000001
53,0.52,00:56:19:20,2521.466,1169.292,111.47399999999999
54,0.53,00:56:19:20,2521.474,1169.292,111.512
55,0.54,00:56:19:20,2521.484,1169.272,111.484
56,0.55,00:56:19:21,2521.459,1169.251,111.48200000000001
