Frame,Time,SMPTE,bar_left_hip_x,bar_left_hip_y,bar_left_hip_z
1,0.0,00:56:19:07,2485.804,1029.529,947.953
2,0.01,00:56:19:07,2485.772,1029.5135,947.9665
3,0.02,00:56:19:07,2485.7365,1029.524,947.913
4,0.03,00:56:19:08,2485.3815,1029.442,948.2075
5,0.04,00:56:19:08,2485.357,1029.4205,948.2005
6,0.05,00:56:19:08,2485.3225,1029.3915,948.182
7,0.06,00:56:19:08,2485.286,1029.388,948.1675
8,0.07,00:56:19:09,2485.256,1029.3745,948.1389999999999
9,0.08,00:56:19:09,2485.228,1029.3555,948.1239999999999
10,0.09,00:56:19:09,2485.21,1029.3465,948.0905
11,0.1,00:56:19:09,2485.1925,1029.3419999999999,948.05
12,0.11,00:56:19:10,2485.1965,1029.351,948.013
13,0.12,00:56:19:10,2485.181,1029.35,947.9760000000001
14,0.13,00:56:19:10,2485.197,1029.3535,947.956
15,0.14,00:56:19:10,2485.2005,1029.354,947.955
16,0.15,00:56:19:11,2485.1875,1029.348,947.928
17,0.16,00:56:19:11,2485.1910000000003,1029.3445,947.9175
18,0.17,00:56:19:11,2485.202,1029.3495,947.914
19,0.18,00:56:19:11,2485.215,1029.347,947.9285
20,0.19,00:56:19:12,2485.218,1029.3395,947.9255
21,0.2,00:56:19:12,2485.2270000000003,1029.3565,947.93
22,0.21,00:56:19:12,2485.2275,1029.346,947.936
23,0.22,00:56:19:12,2485.2255,1029.3525,947.975
24,0.23,00:56:19:13,2485.2435,1029.3485,947.9845
25,0.24,00:56:19:13,2485.2205,1029.3210000000001,947.9780000000001
26,0.25,00:56:19:13,2485.2205,1029.297,948.0060000000001
27,0.26,00:56:19:13,2485.2285,1029.245,948.044
28,0.27,00:56:19:14,2485.2205,1029.215,948.0405
29,0.28,00:56:19:14,2485.2185,1029.202,948.065
30,0.29,00:56:19:14,2485.2155,1029.157,948.035
31,0.3,00:56:19:14,2485.2215,1029.1255,948.0595
32,0.31,00:56:19:15,2485.2135,1029.076,948.057
33,0.32,00:56:19:15,2485.2205,1029.0355,948.045
34,0.33,00:56:19:15,2485.2425,1029.0095,947.9975
35,0.34,00:56:19:15,2485.248,1028.935,948.0110000000001
