Frame,Time,SMPTE,bar_left_knee_x,bar_left_knee_y,bar_left_knee_z
1,0.0,00:56:19:07,2433.3925,1092.085,427.668
2,0.01,00:56:19:07,2433.349,1092.1235,427.631
3,0.02,00:56:19:07,2433.3115,1092.1475,427.591
4,0.03,00:56:19:08,2433.442,1091.994,427.6115
5,0.04,00:56:19:08,2433.365,1092.138,427.619
6,0.05,00:56:19:08,2433.3255,1092.1055,427.6495
7,0.06,00:56:19:08,2433.2965,1092.107,427.63
8,0.07,00:56:19:09,2433.252,1092.149,427.61400000000003
9,0.08,00:56:19:09,2433.224,1092.167,427.5845
10,0.09,00:56:19:09,2433.1895,1092.2,427.5745
11,0.1,00:56:19:09,2433.1635,1092.1595,427.5565
12,0.11,00:56:19:10,2433.08,1092.184,427.551
13,0.12,00:56:19:10,2433.101,1092.0825,427.584
14,0.13,00:56:19:10,2433.077,1092.117,427.536
15,0.14,00:56:19:10,2433.0660000000003,1092.0925,427.536
16,0.15,00:56:19:11,2433.0705,1092.04,427.5425
17,0.16,00:56:19:11,2433.0645,1092.1095,427.5385
18,0.17,00:56:19:11,2433.0295,1092.1685,427.495
19,0.18,00:56:19:11,2433.0565,1092.1185,427.5
20,0.19,00:56:19:12,2433.0985,1092.0495,427.543
21,0.2,00:56:19:12,2433.11,1092.0739999999998,427.51800000000003
22,0.21,00:56:19:12,2433.1085,1092.076,427.5215
23,0.22,00:56:19:12,2433.1505,1092.113,427.5255
24,0.23,00:56:19:13,2433.1575,1092.1845,427.51599999999996
25,0.24,00:56:19:13,2433.1929999999998,1092.143,427.584
26,0.25,00:56:19:13,2433.214,1092.1385,427.5715
27,0.26,00:56:19:13,2433.2295,1092.155,427.5635
28,0.27,00:56:19:14,2433.2645,1092.1735,427.5635
29,0.28,00:56:19:14,2433.2475,1092.224,427.535
30,0.29,00:56:19:14,2433.2745,1092.195,427.5525
31,0.3,00:56:19:14,2433.288,1092.188,427.58
32,0.31,00:56:19:15,2433.29,1092.2765,427.54400000000004
33,0.32,00:56:19:15,2433.294,1092.247,427.5525
34,0.33,00:56:19:15,2433.2845,1092.308,427.5585
35,0.34,00:56:19:15,2433.272,1092.2730000000001,427.5745
36,0.35,00:56:19:16,2433.295,1092.299,427.5805
37,0.36,00:56:19:16,2433.282,1092.3319999999999,427.5465
38,0.37,00:56:19:16,2433.278,1092.3410000000001,427.5235
39,0.38,00:56:19:16,2433.3065,1092.2865,427.55199999999996
40,0.39,00:56:19:17,2433.2695,1092.333,427.519
41,0.4,00:56:19:17,2433.305,1092.3085,427.5295
42,0.41,00:56:19:17,2433.3055,1092.2945,427.5175
43,0.42,00:56:19:17,2433.314,1092.245,427.5345
44,0.43,00:56:19:18,2433.3185,1092.297,427.4795
45,0.44,00:56:19:18,2433.3125,1092.23,427.4925
46,0.45,00:56:19:18,2433.343,1092.2075,427.50699999999995
47,0.46,00:56:19:18,2433.353,1092.2069999999999,427.5025
48,0.47,00:56:19:19,2433.3745,1092.1225,427.5425
49,0.48,00:56:19:19,2433.3875,1092.119,427.56699999999995
50,0.49,00:56:19:19,2433.384,1092.139,427.5365
51,0.5,00:56:19:19,2433.3995,1092.122,427.5455
52,0.51,00:56:19:20,2433.4115,1092.073,427.5505
53,0.52,00:56:19:20,2433.3915,1092.069,427.5405
54,0.53,00:56:19:20,2433.411,1091.99,427.527
55,0.54,00:56:19:20,2433.402,1092.0135,427.5345
56,0.55,00:56:19:21,2433.3715,1092.013,427.5295
57,0.56,00:56:19:21,2433.3579999999997,1091.9495,427.5215
58,0.57,00:56:19:21,2433.3435,1091.932,427.5595
59,0.58,00:56:19:21,2433.3395,1091.8505,427.55
60,0.59,00:56:19:22,2433.327,1091.806,427.56199999999995
61,0.6,00:56:19:22,2433.311,1091.746,427.542
62,0.61,00:56:19:22,2433.279,1091.6495,427.536
63,0.62,00:56:19:22,2433.305,1091.612,427.5265
64,0.63,00:56:19:23,2433.2735,1091.488,427.5585
65,0.64,00:56:19:23,2433.297,1091.4,427.586
66,0.65,00:56:19:23,2433.2915,1091.3805,427.5685
67,0.66,00:56:19:23,2433.2945,1091.3325,427.606
68,0.67,00:56:19:24,2433.276,1091.358,427.5625
