Frame,Time,SMPTE,bar_left_shoulder_x,bar_left_shoulder_y,bar_left_shoulder_z
1,0.0,00:56:19:07,2478.387,1046.5439999999999,1300.5230000000001
2,0.01,00:56:19:07,2478.375,1046.618,1300.504
3,0.02,00:56:19:07,2478.4120000000003,1046.693,1300.5339999999999
4,0.03,00:56:19:08,2477.971,1047.128,1301.212
5,0.04,00:56:19:08,2478.036,1047.245,1301.282
6,0.05,00:56:19:08,2478.0660000000003,1047.351,1301.28
7,0.06,00:56:19:08,2478.131,1047.434,1301.326
8,0.07,00:56:19:09,2478.1620000000003,1047.503,1301.3039999999999
9,0.08,00:56:19:09,2478.243,1047.612,1301.327
10,0.09,00:56:19:09,2478.264,1047.623,1301.362
11,0.1,00:56:19:09,2478.315,1047.7,1301.39
12,0.11,00:56:19:10,2478.3579999999997,1047.711,1301.322
13,0.12,00:56:19:10,2478.401,1047.723,1301.336
14,0.13,00:56:19:10,2478.439,1047.691,1301.371
15,0.14,00:56:19:10,2478.4539999999997,1047.684,1301.343
16,0.15,00:56:19:11,2478.4610000000002,1047.6480000000001,1301.356
17,0.16,00:56:19:11,2478.478,1047.633,1301.369
18,0.17,00:56:19:11,2478.4610000000002,1047.547,1301.29
19,0.18,00:56:19:11,2478.486,1047.472,1301.322
20,0.19,00:56:19:12,2478.4770000000003,1047.4489999999998,1301.361
21,0.2,00:56:19:12,2478.45,1047.395,1301.343
22,0.21,00:56:19:12,2478.451,1047.322,1301.35
23,0.22,00:56:19:12,2478.3920000000003,1047.1989999999998,1301.347
24,0.23,00:56:19:13,2478.364,1047.086,1301.279
25,0.24,00:56:19:13,2478.333,1047.001,1301.298
26,0.25,00:56:19:13,2478.334,1046.905,1301.2910000000002
27,0.26,00:56:19:13,2478.313,1046.798,1301.265
28,0.27,00:56:19:14,2478.295,1046.733,1301.276
29,0.28,00:56:19:14,2478.294,1046.657,1301.2830000000001
30,0.29,00:56:19:14,2478.2929999999997,1046.619,1301.214
31,0.3,00:56:19:14,2478.306,1046.5639999999999,1301.251
32,0.31,00:56:19:15,2478.335,1046.555,1301.243
33,0.32,00:56:19:15,2478.297,1046.046,1301.017
34,0.33,00:56:19:15,2478.347,1046.007,1301.014
35,0.34,00:56:19:15,2478.397,1045.9589999999998,1301.039
36,0.35,00:56:19:16,2478.446,1045.933,1301.053
37,0.36,00:56:19:16,2478.493,1045.9089999999999,1301.0510000000002
38,0.37,00:56:19:16,2478.519,1045.861,1301.007
39,0.38,00:56:19:16,2478.558,1045.772,1301.027
40,0.39,00:56:19:17,2478.577,1045.718,1301.003
41,0.4,00:56:19:17,2478.59,1045.631,1301.009
42,0.41,00:56:19:17,2478.701,1046.024,1301.194
43,0.42,00:56:19:17,2478.706,1045.9660000000001,1301.193
44,0.43,00:56:19:18,2478.669,1045.863,1301.145
45,0.44,00:56:19:18,2478.678,1045.812,1301.174
46,0.45,00:56:19:18,2478.621,1045.725,1301.156
47,0.46,00:56:19:18,2478.607,1045.712,1301.1860000000001
48,0.47,00:56:19:19,2478.561,1045.678,1301.16
49,0.48,00:56:19:19,2478.554,1045.6480000000001,1301.1789999999999
50,0.49,00:56:19:19,2478.5029999999997,1045.595,1301.17
51,0.5,00:56:19:19,2478.485,1045.575,1301.1889999999999
52,0.51,00:56:19:20,2478.45,1045.548,1301.2
53,0.52,00:56:19:20,2478.403,1045.52,1301.1789999999999
54,0.53,00:56:19:20,2478.357,1045.461,1301.162
55,0.54,00:56:19:20,2478.335,1045.3980000000001,1301.213
56,0.55,00:56:19:21,2478.322,1045.3410000000001,1301.233
57,0.56,00:56:19:21,2478.328,1045.279,1301.263
58,0.57,00:56:19:21,2478.279,1045.229,1301.307
59,0.58,00:56:19:21,2478.271,1045.174,1301.316
60,0.59,00:56:19:22,2478.259,1045.086,1301.343
61,0.6,00:56:19:22,2478.226,1045.0230000000001,1301.374
62,0.61,00:56:19:22,2478.2270000000003,1044.997,1301.396
