Frame,Time,SMPTE,bar_right_elbow_x,bar_right_elbow_y,bar_right_elbow_z
1,0.0,00:51:32:13,-1972.2405,742.3855,1074.891
2,0.01,00:51:32:13,-1972.1565,742.3860000000001,1074.863
3,0.02,00:51:32:13,-1972.106,742.383,1074.836
4,0.03,00:51:32:14,-1972.231,742.2695,1074.823
5,0.04,00:51:32:14,-1972.1795,742.7410000000001,1074.78
6,0.05,00:51:32:14,-1971.955,742.2875,1074.765
7,0.06,00:51:32:14,-1971.8265,742.317,1074.7515
8,0.07,00:51:32:15,-1971.7615,742.3415,1074.7
9,0.08,00:51:32:15,-1971.7515,742.3685,1074.708
10,0.09,00:51:32:15,-1971.6705,742.3825,1074.6725
11,0.1,00:51:32:15,-1971.63,742.3865,1074.6989999999998
12,0.11,00:51:32:16,-1971.5825,742.4295,1074.6945
13,0.12,00:51:32:16,-1971.517,742.434,1074.7065
14,0.13,00:51:32:16,-1971.5205,742.4995,1074.662
15,0.14,00:51:32:16,-1971.4979999999998,742.4910000000001,1074.7060000000001
16,0.15,00:51:32:17,-1971.4470000000001,742.5355,1074.6575
17,0.16,00:51:32:17,-1971.388,742.5635,1074.6815
18,0.17,00:51:32:17,-1971.3629999999998,742.5745,1074.657
19,0.18,00:51:32:17,-1971.3470000000002,742.597,1074.6295
20,0.19,00:51:32:18,-1971.3339999999998,742.6325,1074.675
21,0.2,00:51:32:18,-1971.283,742.6945,1074.6485
22,0.21,00:51:32:18,-1971.31,742.7065,1074.632
23,0.22,00:51:32:18,-1971.3045,742.683,1074.6395
24,0.23,00:51:32:19,-1971.3215,742.7705,1074.644
25,0.24,00:51:32:19,-1971.3095,742.788,1074.671
26,0.25,00:51:32:19,-1971.3305,742.8135,1074.6225
27,0.26,00:51:32:19,-1970.921,741.435,1073.9395
28,0.27,00:51:32:20,-1971.2775,742.846,1074.5755
29,0.28,00:51:32:20,-1971.286,742.918,1074.638
30,0.29,00:51:32:20,-1971.281,742.9635,1074.6325
31,0.3,00:51:32:20,-1971.3195,742.9445,1074.6889999999999
32,0.31,00:51:32:21,-1971.3135,743.0175,1074.7045
33,0.32,00:51:32:21,-1971.3795,743.0575,1074.746
34,0.33,00:51:32:21,-1971.4129999999998,743.0360000000001,1074.7485
35,0.34,00:51:32:21,-1971.414,743.1405,1074.844
36,0.35,00:51:32:22,-1971.4360000000001,743.132,1074.8205
37,0.36,00:51:32:22,-1971.49,743.1715,1074.836
38,0.37,00:51:32:22,-1971.5415,743.2545,1074.863
39,0.38,00:51:32:22,-1971.6105,743.2405,1074.82
40,0.39,00:51:32:23,-1971.634,743.2815,1074.8595
41,0.4,00:51:32:23,-1971.6879999999999,743.297,1074.8795
42,0.41,00:51:32:23,-1971.7275,743.2655,1074.8665
43,0.42,00:51:32:23,-1971.754,743.3335,1074.9089999999999
44,0.43,00:51:32:24,-1971.8029999999999,743.3485,1074.9260000000002
45,0.44,00:51:32:24,-1971.855,743.3795,1075.0075
46,0.45,00:51:32:24,-1971.8805,743.448,1075.011
47,0.46,00:51:32:24,-1971.9625,743.4305,1075.036
48,0.47,00:51:33:00,-1971.9655,743.426,1075.0895
49,0.48,00:51:33:00,-1972.1070000000002,743.503,1075.1
50,0.49,00:51:33:00,-1972.1285,743.493,1075.1255
51,0.5,00:51:33:00,-1972.2115,743.5255,1075.1235
52,0.51,00:51:33:01,-1972.1825,743.5205,1075.1660000000002
53,0.52,00:51:33:01,-1972.237,743.5045,1075.225
54,0.53,00:51:33:01,-1972.243,743.4839999999999,1075.2105
55,0.54,00:51:33:01,-1972.3465,743.497,1075.2995
56,0.55,00:51:33:02,-1972.3255,743.4695,1075.338
57,0.56,00:51:33:02,-1972.389,743.421,1075.413
58,0.57,00:51:33:02,-1972.3575,743.378,1075.41
59,0.58,00:51:33:02,-1972.3965,743.375,1075.4785
60,0.59,00:51:33:03,-1972.42,743.3965,1075.493
61,0.6,00:51:33:03,-1972.453,743.346,1075.5255
62,0.61,00:51:33:03,-1972.4135,743.3455,1075.5365
63,0.62,00:51:33:03,-1972.435,743.3065,1075.5775
64,0.63,00:51:33:04,-1972.461,743.2985,1075.6245
65,0.64,00:51:33:04,-1972.521,743.3175,1075.6315
66,0.65,00:51:33:04,-1972.4975,743.313,1075.6860000000001
67,0.66,00:51:33:04,-1972.4705,743.2995,1075.681
68,0.67,00:51:33:05,-1972.526,743.304,1075.7215
69,0.68,00:51:33:05,-1972.5515,743.2935,1075.7555
70,0.69,00:51:33:05,-1972.5365,743.3245,1075.7455
71,0.7,00:51:33:05,-1972.5135,743.2755,1075.8235
72,0.71,00:51:33:06,-1972.529,743.2355,1075.8655
73,0.72,00:51:33:06,-1972.5020000000002,743.2439999999999,1075.8515
74,0.73,00:51:33:06,-1972.5420000000001,743.2605,1075.913
75,0.74,00:51:33:06,-1972.5485,743.268,1075.9345
76,0.75,00:51:33:07,-1972.5355,743.2760000000001,1075.913
77,0.76,00:51:33:07,-1972.6015,743.3345,1076.016
78,0.77,00:51:33:07,-1972.558,743.2725,1076.025
79,0.78,00:51:33:07,-1972.598,743.2785,1076.0725
80,0.79,00:51:33:08,-1972.6925,743.306,1076.115
81,0.8,00:51:33:08,-1972.7245,743.3919999999999,1076.1145
82,0.81,00:51:33:08,-1972.729,743.3919999999999,1076.1465
83,0.82,00:51:33:08,-1972.744,743.423,1076.1745
84,0.83,00:51:33:09,-1972.8325,743.3960000000001,1076.241
85,0.84,00:51:33:09,-1972.8475,743.3765,1076.262
86,0.85,00:51:33:09,-1972.9195,743.3939999999999,1076.3015
87,0.86,00:51:33:09,-1972.9145,743.3925,1076.315
88,0.87,00:51:33:10,-1972.943,743.398,1076.3565
89,0.88,00:51:33:10,-1973.035,743.3380000000001,1076.392
90,0.89,00:51:33:10,-1973.046,743.3385,1076.4305
91,0.9,00:51:33:10,-1973.1365,743.408,1076.4685
92,0.91,00:51:33:11,-1973.136,743.3735,1076.5105
93,0.92,00:51:33:11,-1973.2225,743.408,1076.5145
94,0.93,00:51:33:11,-1973.2465,743.43,1076.5615
95,0.94,00:51:33:11,-1973.3325,743.4325,1076.601
96,0.95,00:51:33:12,-1973.37,743.4415,1076.6195
97,0.96,00:51:33:12,-1973.4229999999998,743.347,1076.703
98,0.97,00:51:33:12,-1973.5085,743.3905,1076.7825
99,0.98,00:51:33:12,-1973.5975,743.3395,1076.8375
100,0.99,00:51:33:13,-1973.6605,743.323,1076.902
101,1.0,00:51:33:13,-1973.7135,743.295,1076.9575
102,1.01,00:51:33:13,-1973.799,743.3185,1076.983
103,1.02,00:51:33:13,-1973.9055,743.247,1077.0085
104,1.03,00:51:33:14,-1973.9845,743.221,1077.0425
105,1.04,00:51:33:14,-1974.0305,743.2205,1077.0505
106,1.05,00:51:33:14,-1974.082,743.1985,1077.011
107,1.06,00:51:33:14,-1974.1370000000002,743.1465,1077.0545
108,1.07,00:51:33:15,-1974.227,743.1335,1077.0885
109,1.08,00:51:33:15,-1974.3165,743.0755,1077.1035
110,1.09,00:51:33:15,-1974.378,743.0755,1077.126
111,1.1,00:51:33:15,-1974.425,743.06,1077.113
112,1.11,00:51:33:16,-1974.4605,743.052,1077.161
113,1.12,00:51:33:16,-1974.5735,743.0275,1077.187
114,1.13,00:51:33:16,-1974.614,742.971,1077.2005
115,1.14,00:51:33:16,-1974.6235,743.0005,1077.205
116,1.15,00:51:33:17,-1974.621,742.9675,1077.1895
117,1.16,00:51:33:17,-1974.684,742.9655,1077.235
118,1.17,00:51:33:17,-1974.6875,742.9005,1077.2185
119,1.18,00:51:33:17,-1974.6295,742.909,1077.17
120,1.19,00:51:33:18,-1974.6335,742.878,1077.211
121,1.2,00:51:33:18,-1974.646,742.8955,1077.1789999999999
122,1.21,00:51:33:18,-1974.6675,742.9225,1077.1789999999999
123,1.22,00:51:33:18,-1974.6615,742.941,1077.1860000000001
124,1.23,00:51:33:19,-1974.6545,742.9335,1077.2169999999999
125,1.24,00:51:33:19,-1974.59,742.9735,1077.1135
126,1.25,00:51:33:19,-1974.4845,743.0325,1077.0765
127,1.26,00:51:33:19,-1974.517,742.995,1077.1455
128,1.27,00:51:33:20,-1974.501,743.056,1077.123
129,1.28,00:51:33:20,-1974.4160000000002,743.1260000000001,1077.055
130,1.29,00:51:33:20,-1974.3715,743.1415,1077.0395
131,1.3,00:51:33:20,-1974.2665,743.217,1076.989
132,1.31,00:51:33:21,-1974.281,743.317,1076.9905
133,1.32,00:51:33:21,-1974.2,743.3455,1076.9365
134,1.33,00:51:33:21,-1974.144,743.434,1076.911
135,1.34,00:51:33:21,-1974.1345,743.5369999999999,1076.891
136,1.35,00:51:33:22,-1974.0685,743.5889999999999,1076.8555
137,1.36,00:51:33:22,-1974.0355,743.697,1076.8545
138,1.37,00:51:33:22,-1974.0225,743.7625,1076.864
139,1.38,00:51:33:22,-1973.9675,743.903,1076.838
140,1.39,00:51:33:23,-1973.9455,743.9955,1076.7895
141,1.4,00:51:33:23,-1973.899,744.112,1076.765
142,1.41,00:51:33:23,-1973.894,744.235,1076.761
143,1.42,00:51:33:23,-1973.8429999999998,744.36,1076.6815
144,1.43,00:51:33:24,-1973.815,744.4365,1076.6315
145,1.44,00:51:33:24,-1973.8485,744.5495,1076.683
146,1.45,00:51:33:24,-1973.816,744.6395,1076.6625
147,1.46,00:51:33:24,-1973.7979999999998,744.701,1076.638
148,1.47,00:51:34:00,-1973.8370000000002,744.8905,1076.6355
149,1.48,00:51:34:00,-1973.8355,745.0405,1076.604
150,1.49,00:51:34:00,-1973.8465,745.0795,1076.598
151,1.5,00:51:34:00,-1973.865,745.181,1076.601
152,1.51,00:51:34:01,-1973.8415,745.2669999999999,1076.5735
153,1.52,00:51:34:01,-1973.9035,745.3865,1076.5439999999999
154,1.53,00:51:34:01,-1973.889,745.4265,1076.585
155,1.54,00:51:34:01,-1973.9715,745.533,1076.587
156,1.55,00:51:34:02,-1973.9635,745.6360000000001,1076.519
157,1.56,00:51:34:02,-1973.995,745.671,1076.585
158,1.57,00:51:34:02,-1973.9845,745.7145,1076.5065
159,1.58,00:51:34:02,-1974.0315,745.8215,1076.5215
160,1.59,00:51:34:03,-1974.017,745.8555,1076.509
161,1.6,00:51:34:03,-1974.076,745.8885,1076.5265
162,1.61,00:51:34:03,-1974.0695,745.97,1076.5265
163,1.62,00:51:34:03,-1974.0825,745.993,1076.589
164,1.63,00:51:34:04,-1974.094,746.035,1076.624
165,1.64,00:51:34:04,-1974.1555,746.0525,1076.6605
166,1.65,00:51:34:04,-1974.215,746.086,1076.6795
167,1.66,00:51:34:04,-1974.2085,746.135,1076.702
