Frame,Time,SMPTE,bar_right_foot_x,bar_right_foot_y,bar_right_foot_z
1,0.0,00:51:32:13,-1896.7793,674.0039999999999,39.1627
2,0.01,00:51:32:13,-1896.7837,673.9733,39.1837
3,0.02,00:51:32:13,-1896.7623,673.9889999999999,39.172
4,0.03,00:51:32:14,-1896.4137,673.2230000000001,38.9393
5,0.04,00:51:32:14,-1896.4253,673.2657,38.5917
6,0.05,00:51:32:14,-1896.2293,673.1453,38.7977
7,0.06,00:51:32:14,-1896.224,673.1237,38.8
8,0.07,00:51:32:15,-1896.1753,673.0889999999999,38.8477
9,0.08,00:51:32:15,-1896.1973,673.117,38.81
10,0.09,00:51:32:15,-1896.1663,673.0939999999999,38.8457
11,0.1,00:51:32:15,-1896.156,673.1003,38.818000000000005
12,0.11,00:51:32:16,-1896.1797,673.1010000000001,38.828
13,0.12,00:51:32:16,-1896.1960000000001,673.0973,38.8047
14,0.13,00:51:32:16,-1896.1837,673.0913,38.8307
15,0.14,00:51:32:16,-1896.204,673.0933,38.8037
16,0.15,00:51:32:17,-1896.1713,673.0887,38.8383
17,0.16,00:51:32:17,-1896.193,673.0967,38.838
18,0.17,00:51:32:17,-1896.1787,673.1003,38.8283
19,0.18,00:51:32:17,-1896.2003,673.0953,38.808
20,0.19,00:51:32:18,-1896.1687,673.0653,38.8337
21,0.2,00:51:32:18,-1896.1887,673.097,38.8133
22,0.21,00:51:32:18,-1896.1923,673.0867,38.8087
23,0.22,00:51:32:18,-1896.1629999999998,673.0797,38.8287
24,0.23,00:51:32:19,-1896.1943,673.1003,38.8147
25,0.24,00:51:32:19,-1896.1857,673.0893,38.811
26,0.25,00:51:32:19,-1896.1917,673.0907,38.8113
27,0.26,00:51:32:19,-1896.2,673.0927,38.8137
28,0.27,00:51:32:20,-1896.2153,673.0757,38.818000000000005
29,0.28,00:51:32:20,-1896.1879999999999,673.096,38.811
30,0.29,00:51:32:20,-1896.2073,673.0877,38.7883
31,0.3,00:51:32:20,-1896.1737,673.1039999999999,38.8067
32,0.31,00:51:32:21,-1896.1977,673.079,38.8243
33,0.32,00:51:32:21,-1896.1683,673.079,38.8247
34,0.33,00:51:32:21,-1896.1973,673.0867,38.8063
35,0.34,00:51:32:21,-1896.2077,673.1007,38.816
36,0.35,00:51:32:22,-1896.194,673.0853,38.8157
37,0.36,00:51:32:22,-1896.1689999999999,673.0877,38.8283
38,0.37,00:51:32:22,-1896.183,673.096,38.8197
39,0.38,00:51:32:22,-1896.2187,673.1137,38.7877
40,0.39,00:51:32:23,-1896.2120000000002,673.077,38.7967
41,0.4,00:51:32:23,-1896.205,673.0930000000001,38.8013
42,0.41,00:51:32:23,-1896.1823,673.0667,38.795
43,0.42,00:51:32:23,-1896.1917,673.0830000000001,38.805
44,0.43,00:51:32:24,-1896.1779999999999,673.0833,38.814
45,0.44,00:51:32:24,-1896.1670000000001,673.0693,38.8127
46,0.45,00:51:32:24,-1896.195,673.0753,38.821999999999996
47,0.46,00:51:32:24,-1896.2023,673.086,38.794000000000004
48,0.47,00:51:33:00,-1896.1970000000001,673.0777,38.816
49,0.48,00:51:33:00,-1896.168,673.0773,38.8103
50,0.49,00:51:33:00,-1896.1760000000002,673.0853,38.836
51,0.5,00:51:33:00,-1896.1943,673.0573,38.8167
52,0.51,00:51:33:01,-1896.2103,673.1183,38.8093
53,0.52,00:51:33:01,-1896.1887,673.0717,38.827
54,0.53,00:51:33:01,-1896.2027,673.0797,38.7943
55,0.54,00:51:33:01,-1896.2143,673.0939999999999,38.7947
56,0.55,00:51:33:02,-1896.1660000000002,673.0913,38.833
57,0.56,00:51:33:02,-1896.1917,673.1113,38.8097
58,0.57,00:51:33:02,-1896.2073,673.1023,38.8183
59,0.58,00:51:33:02,-1896.1889999999999,673.1097,38.836999999999996
60,0.59,00:51:33:03,-1896.2079999999999,673.112,38.842
61,0.6,00:51:33:03,-1896.191,673.1107,38.8187
62,0.61,00:51:33:03,-1896.2153,673.1057,38.8127
63,0.62,00:51:33:03,-1896.207,673.1127,38.8247
64,0.63,00:51:33:04,-1896.1970000000001,673.1083,38.8283
65,0.64,00:51:33:04,-1896.2027,673.113,38.8337
66,0.65,00:51:33:04,-1896.2393,673.1207,38.8143
67,0.66,00:51:33:04,-1896.2207,673.1143,38.8267
68,0.67,00:51:33:05,-1896.2187,673.1203,38.8147
69,0.68,00:51:33:05,-1896.2157,673.1237,38.8123
70,0.69,00:51:33:05,-1896.2173,673.1117,38.844
71,0.7,00:51:33:05,-1896.2120000000002,673.1053,38.851
72,0.71,00:51:33:06,-1896.2133,673.1407,38.833
73,0.72,00:51:33:06,-1896.193,673.1193,38.8337
74,0.73,00:51:33:06,-1896.2227,673.1353,38.8333
75,0.74,00:51:33:06,-1896.2303,673.1363,38.827
76,0.75,00:51:33:07,-1896.2387,673.137,38.811
77,0.76,00:51:33:07,-1896.243,673.1439999999999,38.8303
78,0.77,00:51:33:07,-1896.224,673.1387,38.8087
79,0.78,00:51:33:07,-1896.2153,673.1283,38.809
80,0.79,00:51:33:08,-1896.2420000000002,673.1357,38.821999999999996
81,0.8,00:51:33:08,-1896.2313,673.1257,38.8307
82,0.81,00:51:33:08,-1896.2320000000002,673.1503,38.8207
83,0.82,00:51:33:08,-1896.2220000000002,673.123,38.8267
84,0.83,00:51:33:09,-1896.2253,673.1463,38.8503
85,0.84,00:51:33:09,-1896.2267,673.1287,38.8273
86,0.85,00:51:33:09,-1896.257,673.1343,38.8243
87,0.86,00:51:33:09,-1896.2133,673.12,38.8193
88,0.87,00:51:33:10,-1896.2233,673.1217,38.826
89,0.88,00:51:33:10,-1896.2217,673.1297,38.8373
90,0.89,00:51:33:10,-1896.1867,673.117,38.842
91,0.9,00:51:33:10,-1896.226,673.1343,38.801
