Frame,Time,SMPTE,bar_right_hip_x,bar_right_hip_y,bar_right_hip_z
1,0.0,00:51:32:13,-1886.515,669.4075,1011.077
2,0.01,00:51:32:13,-1886.517,669.4085,1011.1175
3,0.02,00:51:32:13,-1886.5095,669.559,1011.1005
4,0.03,00:51:32:14,-1886.5795,668.3305,1011.2875
5,0.04,00:51:32:14,-1886.5245,668.2685,1011.341
6,0.05,00:51:32:14,-1886.5135,668.393,1011.3255
7,0.06,00:51:32:14,-1886.4935,668.4075,1011.35
8,0.07,00:51:32:15,-1886.479,668.427,1011.325
9,0.08,00:51:32:15,-1886.4745,668.4805,1011.325
10,0.09,00:51:32:15,-1886.4435,668.5219999999999,1011.308
11,0.1,00:51:32:15,-1886.4545,668.595,1011.32
12,0.11,00:51:32:16,-1886.4370000000001,668.563,1011.3255
13,0.12,00:51:32:16,-1886.4235,668.6325,1011.3175
14,0.13,00:51:32:16,-1886.411,668.5855,1011.3389999999999
15,0.14,00:51:32:16,-1886.374,668.6585,1011.3225
16,0.15,00:51:32:17,-1886.339,668.6955,1011.315
17,0.16,00:51:32:17,-1886.332,668.7615,1011.3185
18,0.17,00:51:32:17,-1886.3355,668.8085,1011.3175
19,0.18,00:51:32:17,-1886.3035,668.8045,1011.3425
20,0.19,00:51:32:18,-1886.3085,668.8635,1011.3235
21,0.2,00:51:32:18,-1886.254,668.8535,1011.2995
22,0.21,00:51:32:18,-1886.2585,668.9605,1011.2995
23,0.22,00:51:32:18,-1886.2435,668.942,1011.312
24,0.23,00:51:32:19,-1886.217,668.962,1011.331
25,0.24,00:51:32:19,-1886.2145,669.002,1011.317
26,0.25,00:51:32:19,-1886.1625,669.045,1011.305
27,0.26,00:51:32:19,-1886.1575,669.0269999999999,1011.3085
28,0.27,00:51:32:20,-1886.149,669.177,1011.283
29,0.28,00:51:32:20,-1886.125,669.1110000000001,1011.299
30,0.29,00:51:32:20,-1886.1035,669.1419999999999,1011.3375
31,0.3,00:51:32:20,-1886.0945,669.1060000000001,1011.331
32,0.31,00:51:32:21,-1886.12,669.1635,1011.326
33,0.32,00:51:32:21,-1886.08,669.132,1011.3510000000001
34,0.33,00:51:32:21,-1886.011,669.199,1011.3055
35,0.34,00:51:32:21,-1886.016,669.2235,1011.3275
36,0.35,00:51:32:22,-1886.027,669.238,1011.3205
37,0.36,00:51:32:22,-1885.9979999999998,669.2869999999999,1011.3045
38,0.37,00:51:32:22,-1885.9975,669.3155,1011.318
39,0.38,00:51:32:22,-1886.0055,669.3215,1011.3095
40,0.39,00:51:32:23,-1885.96,669.4235,1011.3035
41,0.4,00:51:32:23,-1885.9105,669.6285,1011.2719999999999
42,0.41,00:51:32:23,-1885.905,669.6805,1011.273
43,0.42,00:51:32:23,-1885.8965,669.7689999999999,1011.288
44,0.43,00:51:32:24,-1885.9015,669.8125,1011.2815
45,0.44,00:51:32:24,-1885.9245,669.887,1011.3045
46,0.45,00:51:32:24,-1885.9075,669.937,1011.283
47,0.46,00:51:32:24,-1885.894,670.0260000000001,1011.3
48,0.47,00:51:33:00,-1885.8755,670.0205,1011.2975
49,0.48,00:51:33:00,-1885.905,670.1285,1011.2935
50,0.49,00:51:33:00,-1885.9229999999998,670.1445,1011.31
51,0.5,00:51:33:00,-1885.892,670.1895,1011.309
52,0.51,00:51:33:01,-1885.889,670.2675,1011.303
53,0.52,00:51:33:01,-1885.914,670.4069999999999,1011.33
54,0.53,00:51:33:01,-1885.944,670.49,1011.3455
55,0.54,00:51:33:01,-1885.8745,670.63,1011.3175
56,0.55,00:51:33:02,-1885.8935,670.6535,1011.3480000000001
57,0.56,00:51:33:02,-1885.9525,670.6785,1011.3835
58,0.57,00:51:33:02,-1885.8795,670.7610000000001,1011.3765
59,0.58,00:51:33:02,-1885.8935,670.852,1011.3695
60,0.59,00:51:33:03,-1885.896,670.9035,1011.363
61,0.6,00:51:33:03,-1885.9160000000002,670.971,1011.3855
62,0.61,00:51:33:03,-1885.8935,670.939,1011.4010000000001
63,0.62,00:51:33:03,-1885.904,671.0385,1011.3975
64,0.63,00:51:33:04,-1885.933,671.095,1011.4175
65,0.64,00:51:33:04,-1885.9129999999998,671.1239999999999,1011.4155
66,0.65,00:51:33:04,-1885.922,671.2075,1011.447
67,0.66,00:51:33:04,-1885.9489999999998,671.2445,1011.454
68,0.67,00:51:33:05,-1885.9425,671.2925,1011.452
69,0.68,00:51:33:05,-1885.8965,671.3475,1011.4625
70,0.69,00:51:33:05,-1885.9125,671.3795,1011.5185
71,0.7,00:51:33:05,-1885.9415,671.3815,1011.5205
72,0.71,00:51:33:06,-1885.9425,671.4315,1011.553
73,0.72,00:51:33:06,-1885.925,671.488,1011.566
74,0.73,00:51:33:06,-1885.9005,671.52,1011.5785
75,0.74,00:51:33:06,-1885.899,671.5725,1011.5930000000001
76,0.75,00:51:33:07,-1885.892,671.633,1011.5865
77,0.76,00:51:33:07,-1885.9355,671.6855,1011.6195
78,0.77,00:51:33:07,-1885.8795,671.677,1011.627
79,0.78,00:51:33:07,-1885.8970000000002,671.7395,1011.635
80,0.79,00:51:33:08,-1885.892,671.7489999999999,1011.6645
81,0.8,00:51:33:08,-1885.8829999999998,671.7485,1011.689
82,0.81,00:51:33:08,-1885.91,671.7955,1011.6895
83,0.82,00:51:33:08,-1885.918,671.857,1011.6985
84,0.83,00:51:33:09,-1885.8995,671.8565,1011.7139999999999
85,0.84,00:51:33:09,-1885.9035,671.903,1011.7130000000001
86,0.85,00:51:33:09,-1885.8885,671.86,1011.7365
87,0.86,00:51:33:09,-1885.8895,671.9145,1011.7265
88,0.87,00:51:33:10,-1885.905,671.8960000000001,1011.7510000000001
89,0.88,00:51:33:10,-1885.9435,671.9985,1011.7655
90,0.89,00:51:33:10,-1885.911,671.938,1011.7765
91,0.9,00:51:33:10,-1885.9225,671.9955,1011.7955
92,0.91,00:51:33:11,-1885.899,671.971,1011.779
93,0.92,00:51:33:11,-1885.9095,671.9965,1011.798
94,0.93,00:51:33:11,-1885.9275,672.035,1011.8205
95,0.94,00:51:33:11,-1885.911,672.095,1011.8065
96,0.95,00:51:33:12,-1885.902,672.04,1011.8330000000001
97,0.96,00:51:33:12,-1885.8815,672.0989999999999,1011.8710000000001
98,0.97,00:51:33:12,-1885.8905,672.0795,1011.8685
99,0.98,00:51:33:12,-1885.9270000000001,672.132,1011.913
100,0.99,00:51:33:13,-1885.9035,672.084,1011.9365
101,1.0,00:51:33:13,-1885.8970000000002,672.1375,1011.9635
102,1.01,00:51:33:13,-1885.8975,672.1585,1011.9685
103,1.02,00:51:33:13,-1885.8975,672.184,1011.942
104,1.03,00:51:33:14,-1885.9195,672.159,1011.953
105,1.04,00:51:33:14,-1885.945,672.2189999999999,1011.935
106,1.05,00:51:33:14,-1885.9545,672.182,1011.9195
107,1.06,00:51:33:14,-1885.954,672.2460000000001,1011.9485
108,1.07,00:51:33:15,-1885.9795,672.2165,1011.9735
109,1.08,00:51:33:15,-1885.9735,672.222,1011.9675
110,1.09,00:51:33:15,-1885.9935,672.2525,1011.9785
111,1.1,00:51:33:15,-1886.0105,672.227,1011.9865
112,1.11,00:51:33:16,-1886.0235,672.2375,1012.028
113,1.12,00:51:33:16,-1886.0379999999998,672.207,1012.025
114,1.13,00:51:33:16,-1886.0320000000002,672.257,1012.044
115,1.14,00:51:33:16,-1886.078,672.2435,1012.0555
116,1.15,00:51:33:17,-1886.104,672.312,1012.053
117,1.16,00:51:33:17,-1886.131,672.3535,1012.0685
118,1.17,00:51:33:17,-1886.1025,672.3235,1012.052
119,1.18,00:51:33:17,-1886.1370000000002,672.315,1012.0830000000001
120,1.19,00:51:33:18,-1886.1445,672.405,1012.0655
121,1.2,00:51:33:18,-1886.152,672.395,1012.0885
122,1.21,00:51:33:18,-1886.1775,672.3825,1012.0955
123,1.22,00:51:33:18,-1886.1770000000001,672.3969999999999,1012.087
124,1.23,00:51:33:19,-1886.193,672.444,1012.0805
125,1.24,00:51:33:19,-1886.2295,672.497,1012.078
126,1.25,00:51:33:19,-1886.2320000000002,672.4630000000001,1012.0930000000001
127,1.26,00:51:33:19,-1886.251,672.4125,1012.076
128,1.27,00:51:33:20,-1886.26,672.5255,1012.0535
129,1.28,00:51:33:20,-1886.3155,672.5345,1012.0795
130,1.29,00:51:33:20,-1886.318,672.5765,1012.0715
131,1.3,00:51:33:20,-1886.3325,672.5795,1012.064
132,1.31,00:51:33:21,-1886.3495,672.5695,1012.0685
133,1.32,00:51:33:21,-1886.37,672.6089999999999,1012.079
134,1.33,00:51:33:21,-1886.3755,672.5925,1012.0615
135,1.34,00:51:33:21,-1886.405,672.7189999999999,1012.0405
136,1.35,00:51:33:22,-1886.398,672.732,1012.081
137,1.36,00:51:33:22,-1886.4285,672.7175,1012.0885
138,1.37,00:51:33:22,-1886.4315,672.791,1012.0405
139,1.38,00:51:33:22,-1886.4279999999999,672.8325,1012.047
140,1.39,00:51:33:23,-1886.4129999999998,672.828,1012.0385
141,1.4,00:51:33:23,-1886.4715,672.8765,1012.051
142,1.41,00:51:33:23,-1886.4585,672.935,1012.053
143,1.42,00:51:33:23,-1886.4775,672.9060000000001,1012.067
144,1.43,00:51:33:24,-1886.4779999999998,672.9639999999999,1012.0305
145,1.44,00:51:33:24,-1886.4679999999998,673.066,1012.0015
146,1.45,00:51:33:24,-1886.504,673.0419999999999,1012.0085
147,1.46,00:51:33:24,-1886.497,673.055,1012.043
148,1.47,00:51:34:00,-1886.5055,673.064,1012.041
149,1.48,00:51:34:00,-1886.5145,673.15,1012.007
150,1.49,00:51:34:00,-1886.5425,673.195,1012.005
151,1.5,00:51:34:00,-1886.5305,673.1695,1011.9989999999999
152,1.51,00:51:34:01,-1886.5385,673.2695,1011.9680000000001
153,1.52,00:51:34:01,-1886.5539999999999,673.311,1011.9805
154,1.53,00:51:34:01,-1886.545,673.2975,1011.935
155,1.54,00:51:34:01,-1886.5775,673.387,1011.9725
156,1.55,00:51:34:02,-1886.5755,673.3389999999999,1011.9755
157,1.56,00:51:34:02,-1886.6105,673.375,1011.9689999999999
158,1.57,00:51:34:02,-1886.65,673.4035,1011.9405
159,1.58,00:51:34:02,-1886.6225,673.498,1011.9185
160,1.59,00:51:34:03,-1886.6170000000002,673.5,1011.916
161,1.6,00:51:34:03,-1886.642,673.518,1011.8960000000001
162,1.61,00:51:34:03,-1886.644,673.5945,1011.9019999999999
163,1.62,00:51:34:03,-1886.649,673.6075,1011.9
164,1.63,00:51:34:04,-1886.6625,673.5605,1011.924
165,1.64,00:51:34:04,-1886.672,673.577,1011.9105
166,1.65,00:51:34:04,-1886.6770000000001,673.66,1011.8810000000001
167,1.66,00:51:34:04,-1886.7025,673.683,1011.919
168,1.67,00:51:34:05,-1886.7220000000002,673.7189999999999,1011.925
169,1.68,00:51:34:05,-1886.7075,673.7389999999999,1011.9019999999999
170,1.69,00:51:34:05,-1886.6870000000001,673.697,1011.9060000000001
171,1.7,00:51:34:05,-1886.7075,673.7135,1011.893
172,1.71,00:51:34:06,-1886.7285,673.7765,1011.8760000000001
173,1.72,00:51:34:06,-1886.735,673.7735,1011.8905
174,1.73,00:51:34:06,-1886.746,673.7769999999999,1011.8919999999999
175,1.74,00:51:34:06,-1886.766,673.7145,1011.883
176,1.75,00:51:34:07,-1886.7635,673.7239999999999,1011.9015
177,1.76,00:51:34:07,-1886.74,673.7495,1011.8589999999999
178,1.77,00:51:34:07,-1886.7285,673.666,1011.8530000000001
179,1.78,00:51:34:07,-1886.7525,673.7255,1011.89
180,1.79,00:51:34:08,-1886.781,673.7280000000001,1011.8760000000001
181,1.8,00:51:34:08,-1886.7625,673.7360000000001,1011.865
182,1.81,00:51:34:08,-1886.759,673.6535,1011.8889999999999
183,1.82,00:51:34:08,-1886.7375,673.6335,1011.9065
184,1.83,00:51:34:09,-1886.7535,673.6195,1011.8725
185,1.84,00:51:34:09,-1886.7415,673.5565,1011.8739999999999
186,1.85,00:51:34:09,-1886.7525,673.5735,1011.916
187,1.86,00:51:34:09,-1886.727,673.5255,1011.914
188,1.87,00:51:34:10,-1886.739,673.466,1011.932
189,1.88,00:51:34:10,-1886.7175,673.4685,1011.8835
190,1.89,00:51:34:10,-1886.69,673.419,1011.922
191,1.9,00:51:34:10,-1886.7025,673.3845,1011.8889999999999
192,1.91,00:51:34:11,-1886.6985,673.3645,1011.924
193,1.92,00:51:34:11,-1886.675,673.3,1011.93
194,1.93,00:51:34:11,-1886.6665,673.2610000000001,1011.9425
195,1.94,00:51:34:11,-1886.636,673.2535,1011.919
196,1.95,00:51:34:12,-1886.646,673.1945,1011.924
197,1.96,00:51:34:12,-1886.6170000000002,673.079,1011.9535
198,1.97,00:51:34:12,-1886.5970000000002,673.194,1011.9525
199,1.98,00:51:34:12,-1886.5875,673.11,1011.9435
200,1.99,00:51:34:13,-1886.558,673.097,1011.9325
201,2.0,00:51:34:13,-1886.5105,672.967,1011.96
202,2.01,00:51:34:13,-1886.5145,673.0095,1011.95
203,2.02,00:51:34:13,-1886.476,672.982,1011.951
204,2.03,00:51:34:14,-1886.4625,672.9685,1011.9475
205,2.04,00:51:34:14,-1886.432,672.948,1011.9745
206,2.05,00:51:34:14,-1886.414,672.8845,1011.9685
207,2.06,00:51:34:14,-1886.3645,672.8365,1011.9639999999999
208,2.07,00:51:34:15,-1886.351,672.8495,1011.96
209,2.08,00:51:34:15,-1886.3255,672.863,1011.9435
210,2.09,00:51:34:15,-1886.276,672.8675,1011.9585
211,2.1,00:51:34:15,-1886.2735,672.8005,1011.937
212,2.11,00:51:34:16,-1886.2535,672.8205,1011.9630000000001
213,2.12,00:51:34:16,-1886.2179999999998,672.7985,1011.9595
214,2.13,00:51:34:16,-1886.215,672.8105,1011.931
215,2.14,00:51:34:16,-1886.161,672.7495,1011.9385
216,2.15,00:51:34:17,-1886.1429999999998,672.8005,1011.9435
217,2.16,00:51:34:17,-1886.1255,672.773,1011.9145
218,2.17,00:51:34:17,-1886.0970000000002,672.7669999999999,1011.9385
219,2.18,00:51:34:17,-1886.114,672.7769999999999,1011.9169999999999
220,2.19,00:51:34:18,-1886.0585,672.7295,1011.9325
221,2.2,00:51:34:18,-1886.0639999999999,672.7139999999999,1011.9580000000001
222,2.21,00:51:34:18,-1886.0615,672.704,1011.93
223,2.22,00:51:34:18,-1886.0445,672.7115,1011.9535
224,2.23,00:51:34:19,-1885.9879999999998,672.822,1011.8985
225,2.24,00:51:34:19,-1886.0195,672.699,1011.945
226,2.25,00:51:34:19,-1886.0015,672.7395,1011.8935
227,2.26,00:51:34:19,-1885.9415,672.768,1011.9125
228,2.27,00:51:34:20,-1885.912,672.7245,1011.922
229,2.28,00:51:34:20,-1885.896,672.677,1011.956
230,2.29,00:51:34:20,-1885.888,672.7445,1011.931
231,2.3,00:51:34:20,-1885.849,672.655,1011.9295
232,2.31,00:51:34:21,-1885.836,672.7055,1011.947
233,2.32,00:51:34:21,-1885.8195,672.65,1011.9395
234,2.33,00:51:34:21,-1885.8120000000001,672.696,1011.9465
235,2.34,00:51:34:21,-1885.777,672.645,1011.942
236,2.35,00:51:34:22,-1885.7615,672.6565,1011.9235
237,2.36,00:51:34:22,-1885.777,672.6565,1011.9435
238,2.37,00:51:34:22,-1885.741,672.6005,1011.944
239,2.38,00:51:34:22,-1885.7179999999998,672.6225,1011.9395
240,2.39,00:51:34:23,-1885.6735,672.6565,1011.893
241,2.4,00:51:34:23,-1885.6915,672.6139999999999,1011.8975
242,2.41,00:51:34:23,-1885.6555,672.6285,1011.8685
243,2.42,00:51:34:23,-1885.6335,672.6360000000001,1011.872
244,2.43,00:51:34:24,-1885.6235,672.6515,1011.9035
245,2.44,00:51:34:24,-1885.619,672.664,1011.8995
246,2.45,00:51:34:24,-1885.6095,672.648,1011.895
247,2.46,00:51:34:24,-1885.5910000000001,672.6245,1011.904
248,2.47,00:51:35:00,-1885.5725,672.6515,1011.8889999999999
249,2.48,00:51:35:00,-1885.549,672.6455,1011.877
250,2.49,00:51:35:00,-1885.5365,672.6025,1011.8945
251,2.5,00:51:35:00,-1885.5235,672.5805,1011.928
252,2.51,00:51:35:01,-1885.5285,672.6310000000001,1011.8960000000001
