Frame,Time,SMPTE,bar_right_wrist_x,bar_right_wrist_y,bar_right_wrist_z
1,0.0,00:51:32:13,-2000.4845,680.7965,813.893
2,0.01,00:51:32:13,-2000.34,680.76,813.914
3,0.02,00:51:32:13,-2000.1705,680.695,813.8895
4,0.03,00:51:32:14,-2001.0865,679.877,813.9675
5,0.04,00:51:32:14,-2000.93,680.2735,813.8445
6,0.05,00:51:32:14,-2000.8770000000002,679.8389999999999,813.9245
7,0.06,00:51:32:14,-2000.7205,679.8885,813.9015
8,0.07,00:51:32:15,-2000.5235,680.0160000000001,813.9075
9,0.08,00:51:32:15,-2000.4370000000001,679.9305,813.8725
10,0.09,00:51:32:15,-2000.3625,679.7595,813.9
11,0.1,00:51:32:15,-2000.1645,680.0210000000001,813.873
12,0.11,00:51:32:16,-2000.1325,679.8995,813.8960000000001
13,0.12,00:51:32:16,-2000.0739999999998,679.8535,813.8945
14,0.13,00:51:32:16,-1999.9625,679.828,813.8919999999999
15,0.14,00:51:32:16,-1999.9015,679.8810000000001,813.8645
16,0.15,00:51:32:17,-1999.8745,679.862,813.8610000000001
17,0.16,00:51:32:17,-1999.8129999999999,679.855,813.89
18,0.17,00:51:32:17,-1999.7655,679.9265,813.868
19,0.18,00:51:32:17,-1999.757,679.8955,813.8655
20,0.19,00:51:32:18,-1999.6885,680.0195,813.8725
21,0.2,00:51:32:18,-1999.725,679.898,813.921
22,0.21,00:51:32:18,-1999.766,679.952,813.8760000000001
23,0.22,00:51:32:18,-1999.705,680.065,813.8789999999999
24,0.23,00:51:32:19,-1999.6925,680.188,813.8689999999999
25,0.24,00:51:32:19,-1999.6975,680.237,813.8585
26,0.25,00:51:32:19,-1999.8229999999999,680.1995,813.862
27,0.26,00:51:32:19,-1999.865,680.206,813.8585
28,0.27,00:51:32:20,-1999.8065,680.512,813.847
29,0.28,00:51:32:20,-1999.8285,680.5845,813.8445
30,0.29,00:51:32:20,-1999.91,680.562,813.8955
31,0.3,00:51:32:20,-1999.9295,680.7765,813.8660000000001
32,0.31,00:51:32:21,-2000.1529999999998,680.503,813.953
33,0.32,00:51:32:21,-2000.0415,680.8355,813.9110000000001
34,0.33,00:51:32:21,-2000.1895,680.7365,813.953
35,0.34,00:51:32:21,-2000.1695,680.9760000000001,813.9625
36,0.35,00:51:32:22,-2000.2920000000001,680.92,813.975
37,0.36,00:51:32:22,-2000.297,681.086,813.9739999999999
38,0.37,00:51:32:22,-2000.4215,681.0115,814.0005
39,0.38,00:51:32:22,-2000.5435,681.0195,814.0175
40,0.39,00:51:32:23,-2000.5910000000001,681.053,814.0210000000001
41,0.4,00:51:32:23,-2000.7145,681.0085,814.0485
42,0.41,00:51:32:23,-2000.7420000000002,681.205,814.0495
43,0.42,00:51:32:23,-2000.9555,680.9205,814.1145
44,0.43,00:51:32:24,-2001.0910000000001,680.92,814.1339999999999
45,0.44,00:51:32:24,-2001.14,680.8860000000001,814.1610000000001
46,0.45,00:51:32:24,-2001.1925,680.9545,814.206
47,0.46,00:51:32:24,-2001.3129999999999,680.831,814.2595
48,0.47,00:51:33:00,-2001.408,680.7875,814.2955
49,0.48,00:51:33:00,-2001.4625,680.7410000000001,814.2869999999999
50,0.49,00:51:33:00,-2001.464,680.7745,814.357
51,0.5,00:51:33:00,-2001.556,680.6835,814.3865
52,0.51,00:51:33:01,-2001.6595,680.535,814.4445
53,0.52,00:51:33:01,-2001.7765,680.3765,814.5210000000001
54,0.53,00:51:33:01,-2001.713,680.4535,814.5555
55,0.54,00:51:33:01,-2001.759,680.4245,814.63
56,0.55,00:51:33:02,-2001.8465,680.2465,814.676
57,0.56,00:51:33:02,-2001.8339999999998,680.2355,814.7225
58,0.57,00:51:33:02,-2001.765,680.305,814.76
59,0.58,00:51:33:02,-2001.8829999999998,680.062,814.8105
60,0.59,00:51:33:03,-2001.8870000000002,679.9725,814.8425
61,0.6,00:51:33:03,-2001.8945,679.7785,814.91
62,0.61,00:51:33:03,-2001.9915,679.5655,814.9715
63,0.62,00:51:33:03,-2001.865,679.6725,814.988
64,0.63,00:51:33:04,-2001.9055,679.581,815.0315
65,0.64,00:51:33:04,-2001.7779999999998,679.6475,815.09
66,0.65,00:51:33:04,-2001.8270000000002,679.466,815.1425
67,0.66,00:51:33:04,-2001.8255,679.3305,815.203
68,0.67,00:51:33:05,-2001.753,679.3865,815.2145
69,0.68,00:51:33:05,-2001.78,679.217,815.2710000000001
70,0.69,00:51:33:05,-2001.7565,679.2315,815.2975
71,0.7,00:51:33:05,-2001.786,679.0215,815.3745
72,0.71,00:51:33:06,-2001.727,679.1145,815.3885
73,0.72,00:51:33:06,-2001.7415,678.9595,815.429
74,0.73,00:51:33:06,-2001.6879999999999,679.002,815.4585
75,0.74,00:51:33:06,-2001.71,678.9225,815.555
76,0.75,00:51:33:07,-2001.5735,679.082,815.575
77,0.76,00:51:33:07,-2001.619,679.0425,815.6125
78,0.77,00:51:33:07,-2001.6105,678.9595,815.666
79,0.78,00:51:33:07,-2001.6975,678.8295,815.722
80,0.79,00:51:33:08,-2001.6325,678.8885,815.7280000000001
81,0.8,00:51:33:08,-2001.486,679.191,815.7389999999999
82,0.81,00:51:33:08,-2001.703,678.813,815.8225
83,0.82,00:51:33:08,-2001.5175,679.1545,815.8285
84,0.83,00:51:33:09,-2001.751,678.7785,815.91
85,0.84,00:51:33:09,-2001.777,678.784,815.9615
86,0.85,00:51:33:09,-2001.7895,678.962,815.9665
87,0.86,00:51:33:09,-2001.925,678.809,816.0425
88,0.87,00:51:33:10,-2001.8585,678.9345,816.078
