Frame,Time,SMPTE,bar_hip_centre_x,bar_hip_centre_y,bar_hip_centre_z
1,0.0,00:51:32:13,-1742.4478,673.4182,1005.176
2,0.01,00:51:32:13,-1742.473,673.4865,1005.189
3,0.02,00:51:32:13,-1742.4532,673.512,1005.1742
4,0.03,00:51:32:14,-1742.5002,672.9675,1005.335
5,0.04,00:51:32:14,-1742.493,673.049,1005.3265
6,0.05,00:51:32:14,-1742.4735,673.097,1005.3328
7,0.06,00:51:32:14,-1742.4905,673.1738,1005.3330000000001
8,0.07,00:51:32:15,-1742.4608,673.15,1005.3245
9,0.08,00:51:32:15,-1742.4392,673.138,1005.3148
10,0.09,00:51:32:15,-1742.4372,673.1678,1005.321
11,0.1,00:51:32:15,-1742.4189999999999,673.2878,1005.2818
12,0.11,00:51:32:16,-1742.4520000000002,673.328,1005.3335
13,0.12,00:51:32:16,-1742.4289999999999,673.357,1005.314
14,0.13,00:51:32:16,-1742.1058,672.617,1005.1572
15,0.14,00:51:32:16,-1742.3402,673.2038,1005.335
16,0.15,00:51:32:17,-1742.3088,673.3082,1005.294
17,0.16,00:51:32:17,-1742.3337,673.3695,1005.317
18,0.17,00:51:32:17,-1741.9862,672.571,1005.1747
19,0.18,00:51:32:17,-1742.0048,672.7588,1005.1618
20,0.19,00:51:32:18,-1742.0420000000001,672.878,1005.154
21,0.2,00:51:32:18,-1741.9358,672.7842,1005.1210000000001
22,0.21,00:51:32:18,-1741.8985,672.679,1005.1585
23,0.22,00:51:32:18,-1741.9232,672.818,1005.15
24,0.23,00:51:32:19,-1741.6748,672.3492,1005.1448
25,0.24,00:51:32:19,-1741.662,672.3852,1005.1403
26,0.25,00:51:32:19,-1741.6198,672.4123,1005.1317
27,0.26,00:51:32:19,-1741.6022,672.4205,1005.1292
28,0.27,00:51:32:20,-1741.8522,673.107,1005.265
29,0.28,00:51:32:20,-1741.8378,673.1102,1005.28
30,0.29,00:51:32:20,-1741.8182,673.1535,1005.2968
31,0.3,00:51:32:20,-1741.537,672.5372,1005.1635
32,0.31,00:51:32:21,-1741.7872,673.1608,1005.2958
33,0.32,00:51:32:21,-1741.7747,673.1955,1005.3192
34,0.33,00:51:32:21,-1741.4445,672.6160000000001,1005.15
35,0.34,00:51:32:21,-1741.4289999999999,672.65,1005.1622
36,0.35,00:51:32:22,-1741.4270000000001,672.6562,1005.1592
37,0.36,00:51:32:22,-1741.4070000000002,672.6963,1005.1438
38,0.37,00:51:32:22,-1741.3945,672.7162,1005.1632
39,0.38,00:51:32:22,-1741.3770000000002,672.7189999999999,1005.1512
40,0.39,00:51:32:23,-1741.3532,672.803,1005.1632
41,0.4,00:51:32:23,-1741.3165,672.9145,1005.1398
42,0.41,00:51:32:23,-1741.3088,672.9630000000001,1005.145
43,0.42,00:51:32:23,-1741.293,673.0252,1005.1662
44,0.43,00:51:32:24,-1741.2895,673.057,1005.1642
45,0.44,00:51:32:24,-1741.509,673.6425,1005.1792
46,0.45,00:51:32:24,-1741.463,673.5608,1005.1838
47,0.46,00:51:32:24,-1741.5105,673.7765,1005.195
48,0.47,00:51:33:00,-1741.4975,673.8625,1005.1672
49,0.48,00:51:33:00,-1741.5035,673.8532,1005.2045
50,0.49,00:51:33:00,-1741.5635,674.0155,1005.2028
51,0.5,00:51:33:00,-1741.5462,674.0862,1005.2072
52,0.51,00:51:33:01,-1741.5715,674.173,1005.2205
53,0.52,00:51:33:01,-1741.569,674.207,1005.2392
54,0.53,00:51:33:01,-1741.605,674.334,1005.2515
55,0.54,00:51:33:01,-1741.523,674.3455,1005.225
56,0.55,00:51:33:02,-1741.5782,674.4775,1005.2832
57,0.56,00:51:33:02,-1741.5935,674.5228,1005.299
58,0.57,00:51:33:02,-1741.578,674.6519999999999,1005.284
59,0.58,00:51:33:02,-1741.576,674.7098,1005.2872
60,0.59,00:51:33:03,-1741.5768,674.7405,1005.285
61,0.6,00:51:33:03,-1741.5928,674.7882,1005.3
62,0.61,00:51:33:03,-1741.5558,674.835,1005.3287
63,0.62,00:51:33:03,-1741.6268,674.7468,1005.3182
64,0.63,00:51:33:04,-1741.652,674.7752,1005.3235
65,0.64,00:51:33:04,-1741.6495,674.8292,1005.316
66,0.65,00:51:33:04,-1741.6345,674.8739999999999,1005.3328
67,0.66,00:51:33:04,-1741.6452,674.9072,1005.3445
68,0.67,00:51:33:05,-1741.6425,674.9728,1005.3462
69,0.68,00:51:33:05,-1741.6182,674.9892,1005.3708
70,0.69,00:51:33:05,-1741.6155,675.005,1005.4169999999999
71,0.7,00:51:33:05,-1741.631,675.0247,1005.4128
72,0.71,00:51:33:06,-1741.6315,675.052,1005.4338
73,0.72,00:51:33:06,-1741.6188,675.0975,1005.444
74,0.73,00:51:33:06,-1741.5958,675.1175,1005.4522
75,0.74,00:51:33:06,-1741.6002,675.1548,1005.4762
76,0.75,00:51:33:07,-1741.592,675.1772,1005.48
77,0.76,00:51:33:07,-1741.6052,675.2095,1005.5045
78,0.77,00:51:33:07,-1741.582,675.2265,1005.5152
79,0.78,00:51:33:07,-1741.5638,675.2575,1005.5232
80,0.79,00:51:33:08,-1741.5639999999999,675.26,1005.5558
81,0.8,00:51:33:08,-1741.559,675.2748,1005.5858
82,0.81,00:51:33:08,-1741.5708,675.2885,1005.5893
83,0.82,00:51:33:08,-1741.5542,675.3068,1005.6128
84,0.83,00:51:33:09,-1741.5410000000002,675.3352,1005.6358
85,0.84,00:51:33:09,-1741.5378,675.345,1005.6452
86,0.85,00:51:33:09,-1741.52,675.3380000000001,1005.6595
87,0.86,00:51:33:09,-1741.5082,675.3589999999999,1005.6522
88,0.87,00:51:33:10,-1741.5182,675.3528,1005.6758
89,0.88,00:51:33:10,-1741.5368,675.4325,1005.6855
90,0.89,00:51:33:10,-1741.5085,675.3838,1005.6985
91,0.9,00:51:33:10,-1741.5008,675.3935,1005.7122
92,0.91,00:51:33:11,-1741.486,675.388,1005.7242
93,0.92,00:51:33:11,-1741.4788,675.4295,1005.7402
94,0.93,00:51:33:11,-1741.4772,675.4355,1005.7715
95,0.94,00:51:33:11,-1741.4745,675.4830000000001,1005.779
96,0.95,00:51:33:12,-1741.4475,675.4192,1005.803
97,0.96,00:51:33:12,-1741.4348,675.4755,1005.8265
98,0.97,00:51:33:12,-1741.425,675.4602,1005.8348
99,0.98,00:51:33:12,-1741.4345,675.512,1005.8718
100,0.99,00:51:33:13,-1741.4215,675.4805,1005.8955
101,1.0,00:51:33:13,-1741.4175,675.5252,1005.9195
102,1.01,00:51:33:13,-1741.405,675.5212,1005.921
103,1.02,00:51:33:13,-1741.4028,675.5245,1005.9148
104,1.03,00:51:33:14,-1741.4125,675.5483,1005.9308
105,1.04,00:51:33:14,-1741.4155,675.5805,1005.9202
106,1.05,00:51:33:14,-1741.421,675.57,1005.9188
107,1.06,00:51:33:14,-1741.4270000000001,675.6312,1005.9298
108,1.07,00:51:33:15,-1741.421,675.5965,1005.9632
109,1.08,00:51:33:15,-1741.4275,675.6038,1005.9572
110,1.09,00:51:33:15,-1741.4375,675.6405,1005.9868
111,1.1,00:51:33:15,-1741.4520000000002,675.6515,1006.0039999999999
112,1.11,00:51:33:16,-1741.4522,675.6455,1006.0239999999999
113,1.12,00:51:33:16,-1741.4695,675.673,1006.039
114,1.13,00:51:33:16,-1741.4755,675.7032,1006.0492
115,1.14,00:51:33:16,-1741.5057,675.7145,1006.055
116,1.15,00:51:33:17,-1741.5338,675.7810000000001,1006.0645
117,1.16,00:51:33:17,-1741.5615,675.8412,1006.0708
118,1.17,00:51:33:17,-1741.5485,675.831,1006.0592
119,1.18,00:51:33:17,-1741.5845,675.8645,1006.0818
120,1.19,00:51:33:18,-1741.5885,675.9285,1006.075
121,1.2,00:51:33:18,-1741.6102,675.9412,1006.0775
122,1.21,00:51:33:18,-1741.6328,675.955,1006.082
123,1.22,00:51:33:18,-1741.6475,675.9745,1006.0702
124,1.23,00:51:33:19,-1741.6758,676.0178,1006.0208
125,1.24,00:51:33:19,-1741.7085,676.0503,1006.018
126,1.25,00:51:33:19,-1741.723,676.054,1006.0089999999999
127,1.26,00:51:33:19,-1741.7455,676.0238,1005.9895
128,1.27,00:51:33:20,-1741.769,676.11,1005.9792
129,1.28,00:51:33:20,-1741.8020000000001,676.0928,1005.9832
130,1.29,00:51:33:20,-1741.82,676.1425,1005.9675
131,1.3,00:51:33:20,-1741.8452,676.1385,1005.952
132,1.31,00:51:33:21,-1741.8602,676.1462,1005.944
133,1.32,00:51:33:21,-1741.885,676.1708,1005.9552
134,1.33,00:51:33:21,-1741.9068,676.181,1005.9312
135,1.34,00:51:33:21,-1741.921,676.2185,1005.9175
136,1.35,00:51:33:22,-1741.9265,676.2317,1005.9368
137,1.36,00:51:33:22,-1741.9508,676.2348,1005.9342
138,1.37,00:51:33:22,-1741.9660000000001,676.28,1005.9008
139,1.38,00:51:33:22,-1741.973,676.3168,1005.9095
140,1.39,00:51:33:23,-1741.989,676.3112,1005.9058
141,1.4,00:51:33:23,-1742.004,676.326,1005.9010000000001
142,1.41,00:51:33:23,-1742.0242,676.3919999999999,1005.8935
143,1.42,00:51:33:23,-1742.0410000000002,676.3847,1005.898
144,1.43,00:51:33:24,-1742.0458,676.4112,1005.8760000000001
145,1.44,00:51:33:24,-1742.0465,676.4822,1005.8572
146,1.45,00:51:33:24,-1742.0688,676.4435,1005.8612
147,1.46,00:51:33:24,-1742.0822,676.4818,1005.873
148,1.47,00:51:34:00,-1742.0818,676.4852,1005.87
149,1.48,00:51:34:00,-1742.1002,676.5435,1005.8608
150,1.49,00:51:34:00,-1742.1192,676.5697,1005.8515
151,1.5,00:51:34:00,-1742.1222,676.56,1005.8589999999999
152,1.51,00:51:34:01,-1742.1265,676.6182,1005.8335
153,1.52,00:51:34:01,-1742.1402,676.6683,1005.8218
154,1.53,00:51:34:01,-1742.1425,676.6552,1005.8072
155,1.54,00:51:34:01,-1742.1535,676.6768,1005.845
156,1.55,00:51:34:02,-1742.1788,676.709,1005.797
157,1.56,00:51:34:02,-1742.1995,676.6873,1005.8282
158,1.57,00:51:34:02,-1742.2102,676.7023,1005.7965
159,1.58,00:51:34:02,-1742.1985,676.757,1005.7762
