Frame,Time,SMPTE,bar_left_ankle_x,bar_left_ankle_y,bar_left_ankle_z
1,0.0,00:51:32:13,-1562.969,789.336,62.536
2,0.01,00:51:32:13,-1562.979,789.32,62.596000000000004
3,0.02,00:51:32:13,-1562.9679999999998,789.336,62.586999999999996
4,0.03,00:51:32:14,-1562.9289999999999,789.314,62.527
5,0.04,00:51:32:14,-1563.134,789.471,62.011
6,0.05,00:51:32:14,-1562.875,789.258,62.467
7,0.06,00:51:32:14,-1562.865,789.2510000000001,62.476000000000006
8,0.07,00:51:32:15,-1562.882,789.2310000000001,62.461000000000006
9,0.08,00:51:32:15,-1562.874,789.2330000000001,62.483000000000004
10,0.09,00:51:32:15,-1562.842,789.2289999999999,62.496
11,0.1,00:51:32:15,-1562.848,789.2360000000001,62.483000000000004
12,0.11,00:51:32:16,-1562.8220000000001,789.225,62.518
13,0.12,00:51:32:16,-1562.826,789.216,62.523999999999994
14,0.13,00:51:32:16,-1562.8310000000001,789.2189999999999,62.495
15,0.14,00:51:32:16,-1562.819,789.209,62.521
16,0.15,00:51:32:17,-1562.82,789.23,62.498999999999995
17,0.16,00:51:32:17,-1562.84,789.2439999999999,62.498000000000005
18,0.17,00:51:32:17,-1562.848,789.232,62.485
19,0.18,00:51:32:17,-1562.835,789.2360000000001,62.488
20,0.19,00:51:32:18,-1562.816,789.235,62.495
21,0.2,00:51:32:18,-1562.8370000000002,789.217,62.505
22,0.21,00:51:32:18,-1562.849,789.24,62.483000000000004
23,0.22,00:51:32:18,-1562.8429999999998,789.23,62.486999999999995
24,0.23,00:51:32:19,-1562.828,789.232,62.483999999999995
25,0.24,00:51:32:19,-1562.805,789.221,62.494
26,0.25,00:51:32:19,-1562.8339999999998,789.235,62.478
27,0.26,00:51:32:19,-1562.783,789.215,62.5
28,0.27,00:51:32:20,-1562.8139999999999,789.216,62.504
29,0.28,00:51:32:20,-1562.854,789.232,62.485
30,0.29,00:51:32:20,-1562.8,789.2289999999999,62.479
31,0.3,00:51:32:20,-1562.8329999999999,789.2260000000001,62.494
32,0.31,00:51:32:21,-1562.8039999999999,789.211,62.507
33,0.32,00:51:32:21,-1562.8139999999999,789.243,62.49100000000001
34,0.33,00:51:32:21,-1562.8,789.227,62.468999999999994
35,0.34,00:51:32:21,-1562.7520000000002,789.2,62.495
36,0.35,00:51:32:22,-1562.8010000000002,789.216,62.481
37,0.36,00:51:32:22,-1562.8120000000001,789.252,62.437
38,0.37,00:51:32:22,-1562.775,789.2230000000001,62.461999999999996
39,0.38,00:51:32:22,-1562.781,789.2130000000001,62.473
40,0.39,00:51:32:23,-1562.75,789.209,62.47
41,0.4,00:51:32:23,-1562.776,789.2280000000001,62.48
42,0.41,00:51:32:23,-1562.7720000000002,789.2080000000001,62.45399999999999
43,0.42,00:51:32:23,-1562.759,789.206,62.49100000000001
44,0.43,00:51:32:24,-1562.769,789.2280000000001,62.475
45,0.44,00:51:32:24,-1562.756,789.222,62.458999999999996
46,0.45,00:51:32:24,-1562.764,789.217,62.47
47,0.46,00:51:32:24,-1562.765,789.2130000000001,62.452
48,0.47,00:51:33:00,-1562.769,789.217,62.46
49,0.48,00:51:33:00,-1562.776,789.227,62.449
