Frame,Time,SMPTE,bar_left_elbow_x,bar_left_elbow_y,bar_left_elbow_z
1,0.0,00:51:32:13,-1518.7585,750.7825,1057.618
2,0.01,00:51:32:13,-1518.745,750.7765,1057.6395
3,0.02,00:51:32:13,-1518.7075,750.7795,1057.6325
4,0.03,00:51:32:14,-1518.5625,750.7545,1057.7160000000001
5,0.04,00:51:32:14,-1518.7879999999998,751.3015,1057.606
6,0.05,00:51:32:14,-1518.5165,750.6465,1057.5985
7,0.06,00:51:32:14,-1518.526,750.6385,1057.619
8,0.07,00:51:32:15,-1518.49,750.5905,1057.5895
9,0.08,00:51:32:15,-1518.4795,750.6210000000001,1057.565
10,0.09,00:51:32:15,-1518.4755,750.6475,1057.5575
11,0.1,00:51:32:15,-1518.469,750.6385,1057.557
12,0.11,00:51:32:16,-1518.4620000000002,750.6615,1057.566
13,0.12,00:51:32:16,-1518.4685,750.715,1057.555
14,0.13,00:51:32:16,-1518.4635,750.7505,1057.5505
15,0.14,00:51:32:16,-1518.4575,750.7915,1057.521
16,0.15,00:51:32:17,-1518.4905,750.8465,1057.5325
17,0.16,00:51:32:17,-1518.4825,750.845,1057.5165
18,0.17,00:51:32:17,-1518.4775,750.916,1057.4975
19,0.18,00:51:32:17,-1518.48,750.953,1057.5
20,0.19,00:51:32:18,-1518.484,750.9910000000001,1057.5045
21,0.2,00:51:32:18,-1518.507,751.054,1057.491
22,0.21,00:51:32:18,-1518.483,751.0845,1057.4569999999999
23,0.22,00:51:32:18,-1518.495,751.1325,1057.4555
24,0.23,00:51:32:19,-1518.5195,751.189,1057.412
25,0.24,00:51:32:19,-1518.5215,751.245,1057.4205
26,0.25,00:51:32:19,-1518.53,751.3035,1057.404
27,0.26,00:51:32:19,-1518.529,751.3495,1057.4145
28,0.27,00:51:32:20,-1518.5355,751.3810000000001,1057.4125
29,0.28,00:51:32:20,-1518.5365,751.449,1057.397
30,0.29,00:51:32:20,-1518.558,751.4965,1057.3785
31,0.3,00:51:32:20,-1518.54,751.508,1057.3905
32,0.31,00:51:32:21,-1518.506,751.539,1057.362
33,0.32,00:51:32:21,-1518.4855,751.627,1057.3685
34,0.33,00:51:32:21,-1518.453,751.681,1057.3875
35,0.34,00:51:32:21,-1518.4360000000001,751.6925,1057.3625
36,0.35,00:51:32:22,-1518.411,751.7075,1057.3485
37,0.36,00:51:32:22,-1518.392,751.735,1057.3355
38,0.37,00:51:32:22,-1518.3655,751.7460000000001,1057.33
39,0.38,00:51:32:22,-1518.339,751.78,1057.329
40,0.39,00:51:32:23,-1518.3125,751.803,1057.369
41,0.4,00:51:32:23,-1518.2595,751.8015,1057.4155
42,0.41,00:51:32:23,-1518.2020000000002,751.7675,1057.4460000000001
43,0.42,00:51:32:23,-1518.1855,751.752,1057.444
44,0.43,00:51:32:24,-1518.1229999999998,751.7710000000001,1057.4175
45,0.44,00:51:32:24,-1518.0629999999999,751.7615,1057.502
46,0.45,00:51:32:24,-1517.9779999999998,751.7965,1057.5195
47,0.46,00:51:32:24,-1517.9275,751.76,1057.6055
48,0.47,00:51:33:00,-1517.8145,751.7755,1057.657
49,0.48,00:51:33:00,-1517.7595,751.7189999999999,1057.734
50,0.49,00:51:33:00,-1517.691,751.7289999999999,1057.782
51,0.5,00:51:33:00,-1517.5895,751.6975,1057.7895
52,0.51,00:51:33:01,-1517.5120000000002,751.697,1057.8635
53,0.52,00:51:33:01,-1517.4560000000001,751.6525,1057.9175
54,0.53,00:51:33:01,-1517.3825,751.627,1057.952
55,0.54,00:51:33:01,-1517.3,751.578,1058.013
56,0.55,00:51:33:02,-1517.2305,751.5175,1058.059
57,0.56,00:51:33:02,-1517.1625,751.4605,1058.1155
58,0.57,00:51:33:02,-1517.068,751.435,1058.1545
59,0.58,00:51:33:02,-1516.9665,751.368,1058.2095
60,0.59,00:51:33:03,-1516.904,751.335,1058.2615
61,0.6,00:51:33:03,-1516.8365,751.278,1058.32
62,0.61,00:51:33:03,-1516.741,751.2895,1058.3625
63,0.62,00:51:33:03,-1516.6660000000002,751.192,1058.4080000000001
64,0.63,00:51:33:04,-1516.5705,751.1715,1058.4589999999998
65,0.64,00:51:33:04,-1516.5135,751.1875,1058.512
66,0.65,00:51:33:04,-1516.4335,751.1410000000001,1058.5735
67,0.66,00:51:33:04,-1516.3725,751.1189999999999,1058.642
68,0.67,00:51:33:05,-1516.3005,751.053,1058.6995
69,0.68,00:51:33:05,-1516.2355,751.0445,1058.7365
70,0.69,00:51:33:05,-1516.1785,751.023,1058.81
71,0.7,00:51:33:05,-1516.114,751.0210000000001,1058.8605
72,0.71,00:51:33:06,-1516.0520000000001,750.97,1058.8885
73,0.72,00:51:33:06,-1516.0220000000002,750.9895,1058.965
74,0.73,00:51:33:06,-1515.9805,750.9625,1058.997
75,0.74,00:51:33:06,-1515.9225,750.8845,1059.0455
76,0.75,00:51:33:07,-1515.8695,750.885,1059.0885
77,0.76,00:51:33:07,-1515.7985,750.8935,1059.122
78,0.77,00:51:33:07,-1515.773,750.811,1059.1985
79,0.78,00:51:33:07,-1515.729,750.8225,1059.2455
80,0.79,00:51:33:08,-1515.675,750.797,1059.2825
81,0.8,00:51:33:08,-1515.642,750.806,1059.3335
82,0.81,00:51:33:08,-1515.609,750.783,1059.405
83,0.82,00:51:33:08,-1515.568,750.745,1059.474
84,0.83,00:51:33:09,-1515.5005,750.7505,1059.517
