Frame,Time,SMPTE,bar_head_x,bar_head_y,bar_head_z
1,0.0,00:51:32:13,1413.8853,543.6817,925.137
2,0.01,00:51:32:13,1413.882,543.665,925.146
3,0.02,00:51:32:13,1413.8623,543.6419999999998,925.1513
4,0.03,00:51:32:14,1413.6877,543.3437,924.94
5,0.04,00:51:32:14,1413.563,543.4007,924.97
6,0.05,00:51:32:14,1413.515,543.386,924.9627
7,0.06,00:51:32:14,1413.4883,543.372,924.987
8,0.07,00:51:32:15,1413.4563,543.3597,924.979
9,0.08,00:51:32:15,1413.4337,543.3473,924.9843
10,0.09,00:51:32:15,1413.4033,543.3357,924.9913
11,0.1,00:51:32:15,1413.3757,543.3227,925.005
12,0.11,00:51:32:16,1413.3563,543.311,925.03
13,0.12,00:51:32:16,1413.326,543.2987,925.021
14,0.13,00:51:32:16,1413.3077,543.2853,925.0297
15,0.14,00:51:32:16,1413.276,543.271,925.0353
16,0.15,00:51:32:17,1413.263,543.2693,925.0427
17,0.16,00:51:32:17,1413.2503,543.2647,925.0407
18,0.17,00:51:32:17,1413.2147,543.2527,925.022
19,0.18,00:51:32:17,1413.2133,543.2463,925.0183
20,0.19,00:51:32:18,1413.201,543.2383,925.0143
21,0.2,00:51:32:18,1413.184,543.23,925.0047
22,0.21,00:51:32:18,1413.1793,543.2277,924.9853
23,0.22,00:51:32:18,1413.1737,543.2180000000002,924.9687
24,0.23,00:51:32:19,1413.165,543.207,924.974
25,0.24,00:51:32:19,1413.171,543.2007,924.9887
26,0.25,00:51:32:19,1413.1767,543.187,924.995
27,0.26,00:51:32:19,1413.1647,543.1753,925.002
28,0.27,00:51:32:20,1413.1660000000004,543.179,925.006
29,0.28,00:51:32:20,1413.156,543.1697,924.998
30,0.29,00:51:32:20,1413.1547,543.165,924.9943
31,0.3,00:51:32:20,1413.144,543.155,924.9883
32,0.31,00:51:32:21,1413.1253,543.1483,924.979
33,0.32,00:51:32:21,1413.1173,543.1353,924.9793
34,0.33,00:51:32:21,1413.095,543.1193,924.97
35,0.34,00:51:32:21,1413.0757,543.0963,924.946
