Frame,Time,SMPTE,bar_left_foot_x,bar_left_foot_y,bar_left_foot_z
1,0.0,00:51:32:13,2184.5887,855.7093,19.47
2,0.01,00:51:32:13,2184.606,855.7260000000001,19.515
3,0.02,00:51:32:13,2184.6117,855.7447,19.5387
4,0.03,00:51:32:14,2184.605,855.7167,19.4887
5,0.04,00:51:32:14,2184.597,855.7537,19.371
6,0.05,00:51:32:14,2184.5993,855.7507,19.311
7,0.06,00:51:32:14,2184.593,855.7557,19.329
8,0.07,00:51:32:15,2184.6157,855.7653,19.3327
9,0.08,00:51:32:15,2184.5967,855.7510000000001,19.3127
10,0.09,00:51:32:15,2184.6093,855.765,19.3447
11,0.1,00:51:32:15,2184.614,855.7760000000001,19.3483
12,0.11,00:51:32:16,2184.6173,855.7717,19.3223
13,0.12,00:51:32:16,2184.6277,855.7610000000001,19.315
14,0.13,00:51:32:16,2184.623,855.7787,19.299
15,0.14,00:51:32:16,2184.6233,855.763,19.313
16,0.15,00:51:32:17,2184.6367,855.7739999999999,19.346
17,0.16,00:51:32:17,2184.623,855.7919999999999,19.3107
18,0.17,00:51:32:17,2184.6163,855.7663,19.3143
19,0.18,00:51:32:17,2184.657,855.791,19.3663
20,0.19,00:51:32:18,2184.6467,855.7753,19.3437
21,0.2,00:51:32:18,2184.6393,855.783,19.3283
22,0.21,00:51:32:18,2184.6247,855.7683,19.3083
23,0.22,00:51:32:18,2184.6323,855.7877,19.3197
24,0.23,00:51:32:19,2184.615,855.7757,19.309
25,0.24,00:51:32:19,2184.6487,855.7757,19.3383
26,0.25,00:51:32:19,2184.629,855.7773,19.332
27,0.26,00:51:32:19,2184.6367,855.763,19.325
28,0.27,00:51:32:20,2184.6427,855.7653,19.343
29,0.28,00:51:32:20,2184.638,855.7643,19.3067
30,0.29,00:51:32:20,2184.6413,855.7547,19.3137
31,0.3,00:51:32:20,2184.6393,855.7539999999999,19.2957
32,0.31,00:51:32:21,2184.6363,855.7463,19.3283
33,0.32,00:51:32:21,2184.6393,855.758,19.331
34,0.33,00:51:32:21,2184.6427,855.7613,19.334
35,0.34,00:51:32:21,2184.634,855.742,19.2947
36,0.35,00:51:32:22,2184.644,855.7587,19.3257
37,0.36,00:51:32:22,2184.6483,855.752,19.3063
38,0.37,00:51:32:22,2184.646,855.7557,19.343
39,0.38,00:51:32:22,2184.643,855.742,19.327
40,0.39,00:51:32:23,2184.6383,855.7527,19.3387
41,0.4,00:51:32:23,2184.6367,855.7543,19.309
42,0.41,00:51:32:23,2184.6253,855.7437,19.3233
43,0.42,00:51:32:23,2184.637,855.7260000000001,19.2907
44,0.43,00:51:32:24,2184.6427,855.7493,19.323
45,0.44,00:51:32:24,2184.654,855.7457,19.302
46,0.45,00:51:32:24,2184.6403,855.7497,19.317999999999998
47,0.46,00:51:32:24,2184.6403,855.7293,19.3063
48,0.47,00:51:33:00,2184.643,855.7173,19.335
49,0.48,00:51:33:00,2184.6437,855.7339999999999,19.3243
50,0.49,00:51:33:00,2184.64,855.7337,19.3517
51,0.5,00:51:33:00,2184.647,855.7357,19.338
52,0.51,00:51:33:01,2184.6447,855.7297,19.3027
53,0.52,00:51:33:01,2184.6557,855.7589999999999,19.3563
54,0.53,00:51:33:01,2184.6517,855.7443,19.3287
55,0.54,00:51:33:01,2184.644,855.721,19.317999999999998
56,0.55,00:51:33:02,2184.6479999999997,855.7267,19.3107
57,0.56,00:51:33:02,2184.6623,855.7339999999999,19.3323
58,0.57,00:51:33:02,2184.639,855.721,19.32
59,0.58,00:51:33:02,2184.6553,855.7393,19.3407
60,0.59,00:51:33:03,2184.6577,855.7427,19.3467
61,0.6,00:51:33:03,2184.6463,855.722,19.283
62,0.61,00:51:33:03,2184.6543,855.7283,19.3047
63,0.62,00:51:33:03,2184.6407,855.7313,19.333
64,0.63,00:51:33:04,2184.6493,855.7557,19.3293
65,0.64,00:51:33:04,2184.647,855.7383,19.3083
66,0.65,00:51:33:04,2184.6433,855.74,19.320999999999998
67,0.66,00:51:33:04,2184.6547,855.7383,19.3313
68,0.67,00:51:33:05,2184.6507,855.7547,19.322
69,0.68,00:51:33:05,2184.6553,855.7353,19.305
70,0.69,00:51:33:05,2184.6463,855.7289999999999,19.3413
71,0.7,00:51:33:05,2184.659,855.7510000000001,19.3127
72,0.71,00:51:33:06,2184.65,855.7437,19.3257
73,0.72,00:51:33:06,2184.6377,855.7407,19.3237
74,0.73,00:51:33:06,2184.6427,855.7133,19.3243
75,0.74,00:51:33:06,2184.6443,855.7330000000001,19.305999999999997
76,0.75,00:51:33:07,2184.6407,855.7439999999999,19.3187
77,0.76,00:51:33:07,2184.6267,855.6943,19.2757
78,0.77,00:51:33:07,2184.643,855.7407,19.3493
79,0.78,00:51:33:07,2184.6420000000003,855.7193,19.3143
80,0.79,00:51:33:08,2184.6303,855.7239999999999,19.316
81,0.8,00:51:33:08,2184.6323,855.7123,19.3093
82,0.81,00:51:33:08,2184.6363,855.7273,19.3363
83,0.82,00:51:33:08,2184.633,855.7283,19.303
84,0.83,00:51:33:09,2184.639,855.7373,19.309
85,0.84,00:51:33:09,2184.6317,855.7339999999999,19.2887
86,0.85,00:51:33:09,2184.6383,855.7410000000001,19.3193
87,0.86,00:51:33:09,2184.6323,855.7310000000001,19.2937
88,0.87,00:51:33:10,2184.6543,855.7317,19.3257
89,0.88,00:51:33:10,2184.63,855.7439999999999,19.3127
90,0.89,00:51:33:10,2184.643,855.747,19.2947
91,0.9,00:51:33:10,2184.6547,855.7403,19.3147
92,0.91,00:51:33:11,2184.6443,855.7313,19.273
93,0.92,00:51:33:11,2184.6443,855.7537,19.311
94,0.93,00:51:33:11,2184.6487,855.7513,19.3053
95,0.94,00:51:33:11,2184.658,855.7417,19.2777
96,0.95,00:51:33:12,2184.666,855.7723,19.3293
97,0.96,00:51:33:12,2184.654,855.745,19.3113
98,0.97,00:51:33:12,2184.6683,855.778,19.3357
99,0.98,00:51:33:12,2184.6547,855.742,19.2847
100,0.99,00:51:33:13,2184.67,855.7710000000001,19.315
101,1.0,00:51:33:13,2184.6543,855.7687,19.3003
102,1.01,00:51:33:13,2184.6679999999997,855.7673,19.307000000000002
103,1.02,00:51:33:13,2184.6683,855.7657,19.2973
104,1.03,00:51:33:14,2184.6707,855.78,19.3127
105,1.04,00:51:33:14,2184.6793,855.7943,19.3307
106,1.05,00:51:33:14,2184.679,855.7903,19.2923
107,1.06,00:51:33:14,2184.6710000000003,855.799,19.3067
108,1.07,00:51:33:15,2184.6937,855.8093,19.3377
109,1.08,00:51:33:15,2184.6883,855.8043,19.296
110,1.09,00:51:33:15,2184.6807,855.8207,19.323
111,1.1,00:51:33:15,2184.6707,855.8093,19.2817
112,1.11,00:51:33:16,2184.6787,855.819,19.289
113,1.12,00:51:33:16,2184.674,855.8253,19.293
114,1.13,00:51:33:16,2184.697,855.8273,19.2987
115,1.14,00:51:33:16,2184.6820000000002,855.8237,19.2707
116,1.15,00:51:33:17,2184.6863,855.8373,19.265
117,1.16,00:51:33:17,2184.6820000000002,855.8413,19.2973
118,1.17,00:51:33:17,2184.6839999999997,855.8377,19.2757
119,1.18,00:51:33:17,2184.6903,855.8453,19.293
120,1.19,00:51:33:18,2184.689,855.8303,19.2573
121,1.2,00:51:33:18,2184.68,855.8293,19.294
122,1.21,00:51:33:18,2184.6863,855.8723,19.29
123,1.22,00:51:33:18,2184.6923,855.857,19.2617
124,1.23,00:51:33:19,2184.6883,855.8513,19.2403
125,1.24,00:51:33:19,2184.6943,855.8539999999999,19.2147
126,1.25,00:51:33:19,2184.7097,855.8803,19.2373
127,1.26,00:51:33:19,2184.7023,855.877,19.2197
128,1.27,00:51:33:20,2184.7127,855.8919999999999,19.2283
129,1.28,00:51:33:20,2184.7403,855.921,19.257
130,1.29,00:51:33:20,2184.7333,855.9283,19.259
131,1.3,00:51:33:20,2184.7657,855.9533,19.2907
132,1.31,00:51:33:21,2184.7653,855.9487,19.2403
133,1.32,00:51:33:21,2184.7697,855.9593,19.2303
134,1.33,00:51:33:21,2184.8087,855.993,19.2743
135,1.34,00:51:33:21,2184.8123,856.0017,19.262
136,1.35,00:51:33:22,2184.8423,856.0057,19.283
137,1.36,00:51:33:22,2184.8397,856.0077,19.283
138,1.37,00:51:33:22,2184.8637,856.0153,19.2897
139,1.38,00:51:33:22,2184.8687,856.03,19.2853
140,1.39,00:51:33:23,2184.871,856.0283,19.278
141,1.4,00:51:33:23,2184.8693,856.034,19.2777
142,1.41,00:51:33:23,2184.8657,856.043,19.2787
143,1.42,00:51:33:23,2184.8607,856.0137,19.26
144,1.43,00:51:33:24,2184.864,856.0273,19.2907
145,1.44,00:51:33:24,2184.854,856.028,19.2693
146,1.45,00:51:33:24,2184.856,856.0219999999999,19.2813
147,1.46,00:51:33:24,2184.8543,856.01,19.2803
148,1.47,00:51:34:00,2184.856,856.0197,19.307000000000002
149,1.48,00:51:34:00,2184.844,855.9847,19.2357
150,1.49,00:51:34:00,2184.845,856.007,19.2713
151,1.5,00:51:34:00,2184.8347,855.997,19.2623
152,1.51,00:51:34:01,2184.844,856.0007,19.2763
153,1.52,00:51:34:01,2184.843,855.98,19.2527
154,1.53,00:51:34:01,2184.8517,855.9857,19.2737
155,1.54,00:51:34:01,2184.8493,855.9833,19.2673
156,1.55,00:51:34:02,2184.8523,855.9863,19.327
157,1.56,00:51:34:02,2184.859,856.005,19.3167
158,1.57,00:51:34:02,2184.8487,855.9927,19.322
159,1.58,00:51:34:02,2184.8463,855.9943,19.3097
160,1.59,00:51:34:03,2184.8313,855.9857,19.3093
161,1.6,00:51:34:03,2184.8463,855.9993,19.317
162,1.61,00:51:34:03,2184.8397,855.9967,19.3287
163,1.62,00:51:34:03,2184.8383,856.0043,19.2963
164,1.63,00:51:34:04,2184.8267,855.9653,19.3077
165,1.64,00:51:34:04,2184.8427,855.9683,19.3183
166,1.65,00:51:34:04,2184.8347,855.9567,19.3
167,1.66,00:51:34:04,2184.8257,855.941,19.317
168,1.67,00:51:34:05,2184.8203,855.9517,19.32
169,1.68,00:51:34:05,2184.8160000000003,855.944,19.3047
170,1.69,00:51:34:05,2184.7903,855.9163,19.3023
171,1.7,00:51:34:05,2184.7897,855.915,19.312
172,1.71,00:51:34:06,2184.7887,855.9097,19.314
173,1.72,00:51:34:06,2184.7723,855.9197,19.3553
174,1.73,00:51:34:06,2184.7723,855.8860000000001,19.2957
175,1.74,00:51:34:06,2184.7427,855.8683,19.2997
176,1.75,00:51:34:07,2184.7413,855.8717,19.2777
177,1.76,00:51:34:07,2184.7313,855.8673,19.2917
178,1.77,00:51:34:07,2184.7253,855.8627,19.3373
179,1.78,00:51:34:07,2184.7253,855.8353,19.3287
180,1.79,00:51:34:08,2184.7027,855.8293,19.3073
181,1.8,00:51:34:08,2184.702,855.823,19.2937
182,1.81,00:51:34:08,2184.7129999999997,855.828,19.331
183,1.82,00:51:34:08,2184.7023,855.818,19.2787
184,1.83,00:51:34:09,2184.7033,855.8223,19.285999999999998
185,1.84,00:51:34:09,2184.7027,855.8480000000001,19.354
186,1.85,00:51:34:09,2184.6893,855.835,19.298
187,1.86,00:51:34:09,2184.699,855.8403,19.3023
188,1.87,00:51:34:10,2184.7093,855.841,19.3147
189,1.88,00:51:34:10,2184.6943,855.8287,19.2953
190,1.89,00:51:34:10,2184.708,855.8437,19.3143
191,1.9,00:51:34:10,2184.689,855.829,19.262999999999998
192,1.91,00:51:34:11,2184.71,855.8563,19.3357
193,1.92,00:51:34:11,2184.7003,855.8387,19.2863
194,1.93,00:51:34:11,2184.695,855.8407,19.298
195,1.94,00:51:34:11,2184.7147,855.846,19.2977
196,1.95,00:51:34:12,2184.7193,855.8297,19.2977
197,1.96,00:51:34:12,2184.7197,855.8513,19.3373
198,1.97,00:51:34:12,2184.7147,855.84,19.2537
199,1.98,00:51:34:12,2184.7327,855.8330000000001,19.3033
200,1.99,00:51:34:13,2184.743,855.8453,19.317
201,2.0,00:51:34:13,2184.7373,855.8633,19.304000000000002
202,2.01,00:51:34:13,2184.729,855.836,19.2913
203,2.02,00:51:34:13,2184.7437,855.8597,19.3003
204,2.03,00:51:34:14,2184.737,855.8497,19.2857
205,2.04,00:51:34:14,2184.7393,855.8393,19.2743
206,2.05,00:51:34:14,2184.7497,855.8667,19.3117
207,2.06,00:51:34:14,2184.748,855.85,19.3393
208,2.07,00:51:34:15,2184.7363,855.8503,19.313
209,2.08,00:51:34:15,2184.739,855.83,19.3283
210,2.09,00:51:34:15,2184.7277,855.8247,19.2773
211,2.1,00:51:34:15,2184.7343,855.8527,19.323
212,2.11,00:51:34:16,2184.748,855.8483,19.311
213,2.12,00:51:34:16,2184.7457,855.8357,19.3037
214,2.13,00:51:34:16,2184.7387,855.8253,19.3013
215,2.14,00:51:34:16,2184.7353,855.8377,19.3123
216,2.15,00:51:34:17,2184.745,855.832,19.3053
217,2.16,00:51:34:17,2184.7443,855.834,19.336
218,2.17,00:51:34:17,2184.7470000000003,855.834,19.319000000000003
219,2.18,00:51:34:17,2184.7243,855.8157,19.322
220,2.19,00:51:34:18,2184.745,855.803,19.3013
221,2.2,00:51:34:18,2184.744,855.82,19.3543
222,2.21,00:51:34:18,2184.7393,855.8033,19.2817
223,2.22,00:51:34:18,2184.7463,855.828,19.316
224,2.23,00:51:34:19,2184.745,855.8227,19.337
225,2.24,00:51:34:19,2184.7447,855.8037,19.3333
226,2.25,00:51:34:19,2184.736,855.8093,19.333
227,2.26,00:51:34:19,2184.7387,855.8027,19.340999999999998
228,2.27,00:51:34:20,2184.7483,855.8,19.3163
229,2.28,00:51:34:20,2184.7473,855.813,19.3337
230,2.29,00:51:34:20,2184.7427,855.795,19.3313
231,2.3,00:51:34:20,2184.738,855.8003,19.3003
232,2.31,00:51:34:21,2184.7473,855.8067,19.3423
233,2.32,00:51:34:21,2184.752,855.8343,19.3403
234,2.33,00:51:34:21,2184.7427,855.804,19.3097
235,2.34,00:51:34:21,2184.7627,855.8157,19.333
236,2.35,00:51:34:22,2184.7537,855.8123,19.3447
237,2.36,00:51:34:22,2184.7457,855.8067,19.342
238,2.37,00:51:34:22,2184.7503,855.7977,19.3183
239,2.38,00:51:34:22,2184.756,855.7953,19.3433
240,2.39,00:51:34:23,2184.7577,855.804,19.3273
241,2.4,00:51:34:23,2184.7533,855.7963,19.3307
242,2.41,00:51:34:23,2184.7487,855.8053,19.3433
243,2.42,00:51:34:23,2184.757,855.8067,19.3573
244,2.43,00:51:34:24,2184.755,855.7993,19.345
245,2.44,00:51:34:24,2184.763,855.796,19.3303
246,2.45,00:51:34:24,2184.7553,855.802,19.3247
247,2.46,00:51:34:24,2184.7577,855.802,19.3243
248,2.47,00:51:35:00,2184.7533,855.803,19.317999999999998
249,2.48,00:51:35:00,2184.765,855.824,19.3743
250,2.49,00:51:35:00,2184.7543,855.7843,19.3397
251,2.5,00:51:35:00,2184.7557,855.7913,19.3053
252,2.51,00:51:35:01,2184.765,855.8143,19.359
253,2.52,00:51:35:01,2184.779,855.8133,19.348
254,2.53,00:51:35:01,2184.7663,855.795,19.337
255,2.54,00:51:35:01,2184.7707,855.8067,19.3593
256,2.55,00:51:35:02,2184.757,855.8087,19.325
257,2.56,00:51:35:02,2184.7887,855.8353,19.3547
258,2.57,00:51:35:02,2184.7717,855.8217,19.336
259,2.58,00:51:35:02,2184.764,855.8217,19.3287
260,2.59,00:51:35:03,2184.7817,855.8293,19.326
261,2.6,00:51:35:03,2184.7797,855.834,19.3347
262,2.61,00:51:35:03,2184.801,855.8330000000001,19.3877
263,2.62,00:51:35:03,2184.785,855.8137,19.339000000000002
264,2.63,00:51:35:04,2184.781,855.824,19.3287
265,2.64,00:51:35:04,2184.7887,855.835,19.3643
266,2.65,00:51:35:04,2184.772,855.8467,19.305999999999997
267,2.66,00:51:35:04,2184.7947,855.8387,19.328
268,2.67,00:51:35:05,2184.7870000000003,855.8333,19.361
269,2.68,00:51:35:05,2184.7857,855.8313,19.3163
270,2.69,00:51:35:05,2184.792,855.8487,19.3087
271,2.7,00:51:35:05,2184.8089999999997,855.8587,19.3463
272,2.71,00:51:35:06,2184.799,855.867,19.3297
273,2.72,00:51:35:06,2184.797,855.8523,19.3163
274,2.73,00:51:35:06,2184.8247,855.8827,19.3747
275,2.74,00:51:35:06,2184.8187,855.8739999999999,19.317999999999998
276,2.75,00:51:35:07,2184.8187,855.8810000000001,19.3053
277,2.76,00:51:35:07,2184.826,855.8977,19.3137
278,2.77,00:51:35:07,2184.8463,855.9153,19.3587
279,2.78,00:51:35:07,2184.8379999999997,855.9023,19.3177
280,2.79,00:51:35:08,2184.853,855.9283,19.3513
281,2.8,00:51:35:08,2184.8457,855.9027,19.3183
282,2.81,00:51:35:08,2184.8553,855.9237,19.362000000000002
283,2.82,00:51:35:08,2184.853,855.9233,19.348
284,2.83,00:51:35:09,2184.8493,855.9237,19.3227
285,2.84,00:51:35:09,2184.8463,855.9019999999999,19.3307
286,2.85,00:51:35:09,2184.85,855.904,19.338
287,2.86,00:51:35:09,2184.8407,855.9033,19.309
288,2.87,00:51:35:10,2184.8567,855.909,19.3203
289,2.88,00:51:35:10,2184.8713,855.9217,19.3373
290,2.89,00:51:35:10,2184.8583,855.9153,19.3483
291,2.9,00:51:35:10,2184.862,855.938,19.3243
292,2.91,00:51:35:11,2184.8707,855.9477,19.332
293,2.92,00:51:35:11,2184.8617,855.9253,19.315
294,2.93,00:51:35:11,2184.8797,855.9277,19.326
295,2.94,00:51:35:11,2184.8937,855.951,19.351
296,2.95,00:51:35:12,2184.893,855.9673,19.3483
297,2.96,00:51:35:12,2184.8887,855.9789999999999,19.351
298,2.97,00:51:35:12,2184.8923,855.9633,19.3283
299,2.98,00:51:35:12,2184.8943,855.9883,19.3317
300,2.99,00:51:35:13,2184.9123,855.9763,19.36
301,3.0,00:51:35:13,2184.902,855.975,19.3347
302,3.01,00:51:35:13,2184.9167,855.9897,19.337
303,3.02,00:51:35:13,2184.9093,855.9733,19.327
304,3.03,00:51:35:14,2184.905,855.9960000000001,19.3437
305,3.04,00:51:35:14,2184.91,855.9877,19.334
306,3.05,00:51:35:14,2184.9193,856.0089999999999,19.347
307,3.06,00:51:35:14,2184.9307,856.015,19.3673
308,3.07,00:51:35:15,2184.935,856.0023,19.3593
309,3.08,00:51:35:15,2184.9273,855.9837,19.355
310,3.09,00:51:35:15,2184.9333,855.9760000000001,19.3433
311,3.1,00:51:35:15,2184.9363,855.9903,19.3663
312,3.11,00:51:35:16,2184.939,855.9587,19.3327
313,3.12,00:51:35:16,2184.9127,855.954,19.3163
314,3.13,00:51:35:16,2184.9097,856.005,19.375999999999998
315,3.14,00:51:35:16,2184.9057,855.98,19.3357
316,3.15,00:51:35:17,2184.9117,855.99,19.3867
317,3.16,00:51:35:17,2184.885,855.9633,19.319000000000003
318,3.17,00:51:35:17,2184.868,855.945,19.3327
319,3.18,00:51:35:17,2184.8787,855.95,19.3313
320,3.19,00:51:35:18,2184.8813,855.9593,19.3527
321,3.2,00:51:35:18,2184.8853,855.9567,19.333
322,3.21,00:51:35:18,2184.8779999999997,855.9847,19.3377
323,3.22,00:51:35:18,2184.873,855.9797,19.3713
324,3.23,00:51:35:19,2184.866,855.9623,19.374000000000002
325,3.24,00:51:35:19,2184.8593,855.9780000000001,19.325
326,3.25,00:51:35:19,2184.861,855.9797,19.3353
327,3.26,00:51:35:19,2184.8437,855.9407,19.303
328,3.27,00:51:35:20,2184.8473,855.967,19.312
329,3.28,00:51:35:20,2184.8637,855.9717,19.3497
330,3.29,00:51:35:20,2184.848,855.9477,19.3037
331,3.3,00:51:35:20,2184.885,855.9739999999999,19.3453
332,3.31,00:51:35:21,2184.9087,855.9733,19.352999999999998
333,3.32,00:51:35:21,2184.9193,855.9813,19.3483
334,3.33,00:51:35:21,2184.9283,855.9567,19.3393
335,3.34,00:51:35:21,2184.9577,855.9793,19.3623
336,3.35,00:51:35:22,2184.9437,855.965,19.3547
337,3.36,00:51:35:22,2184.944,855.9563,19.326
338,3.37,00:51:35:22,2184.929,855.941,19.3397
339,3.38,00:51:35:22,2184.9257,855.9273,19.3503
340,3.39,00:51:35:23,2184.9267,855.9347,19.334
341,3.4,00:51:35:23,2184.924,855.9307,19.348
342,3.41,00:51:35:23,2184.9233,855.9367,19.348
343,3.42,00:51:35:23,2184.9253,855.927,19.347
344,3.43,00:51:35:24,2184.9263,855.9317,19.3367
345,3.44,00:51:35:24,2184.9337,855.942,19.331
346,3.45,00:51:35:24,2184.938,855.937,19.3347
347,3.46,00:51:35:24,2184.9387,855.929,19.289
348,3.47,00:51:36:00,2184.9273,855.9347,19.2917
349,3.48,00:51:36:00,2184.9297,855.9323,19.2803
350,3.49,00:51:36:00,2184.947,855.9713,19.3287
351,3.5,00:51:36:00,2184.9377,855.9497,19.3107
352,3.51,00:51:36:01,2184.959,855.9703,19.3153
353,3.52,00:51:36:01,2184.9527,855.9913,19.3367
354,3.53,00:51:36:01,2184.9443,855.959,19.3183
355,3.54,00:51:36:01,2184.9533,855.9833,19.3117
356,3.55,00:51:36:02,2184.949,855.9703,19.303
357,3.56,00:51:36:02,2184.9367,855.9597,19.313
358,3.57,00:51:36:02,2184.9337,855.9553,19.3357
359,3.58,00:51:36:02,2184.9287,855.9537,19.3317
360,3.59,00:51:36:03,2184.9073,855.9010000000001,19.3227
361,3.6,00:51:36:03,2184.901,855.9060000000001,19.324
362,3.61,00:51:36:03,2184.906,855.9157,19.3707
363,3.62,00:51:36:03,2184.8837,855.8837,19.333
364,3.63,00:51:36:04,2184.8913,855.8937,19.369
365,3.64,00:51:36:04,2184.8687,855.8589999999999,19.3603
366,3.65,00:51:36:04,2184.842,855.805,19.3293
367,3.66,00:51:36:04,2184.8367,855.831,19.3733
368,3.67,00:51:36:05,2184.83,855.8273,19.3907
