Frame,Time,SMPTE,bar_head_x,bar_head_y,bar_head_z
1,0.0,02:45:25:03,-203.3502,1554.3486,1102.821
2,0.01,02:45:25:03,-203.428,1554.3492,1103.0592
3,0.02,02:45:25:03,-203.4954,1554.3234,1103.2794
4,0.03,02:45:25:04,-203.5022,1554.2974,1103.4522
5,0.04,02:45:25:04,-203.5014,1554.2948,1103.6594
6,0.05,02:45:25:04,-203.5008,1554.2716,1103.841
7,0.06,02:45:25:04,-203.4588,1554.2412,1104.0148
8,0.07,02:45:25:05,-203.3824,1554.1992,1104.1996
9,0.08,02:45:25:05,-203.298,1554.162,1104.362
10,0.09,02:45:25:05,-203.1898,1554.1472,1104.5054
11,0.1,02:45:25:05,-203.0782,1554.1484,1104.6398
12,0.11,02:45:25:06,-202.9334,1554.1472,1104.7594
13,0.12,02:45:25:06,-202.7672,1554.149,1104.8878
14,0.13,02:45:25:06,-202.6048,1554.1304,1104.9792
15,0.14,02:45:25:06,-202.393,1554.1398,1105.0936
16,0.15,02:45:25:07,-202.1962,1554.1286,1105.1738
17,0.16,02:45:25:07,-201.984,1554.1262,1105.249
18,0.17,02:45:25:07,-201.7662,1554.1426,1105.3156
19,0.18,02:45:25:07,-201.5522,1554.13,1105.3854
20,0.19,02:45:25:08,-201.3352,1554.1206,1105.4448
21,0.2,02:45:25:08,-201.1308,1554.1356,1105.485
22,0.21,02:45:25:08,-200.9038,1554.132,1105.5316
23,0.22,02:45:25:08,-200.6884,1554.1476,1105.592
24,0.23,02:45:25:09,-200.4798,1554.136,1105.627
25,0.24,02:45:25:09,-200.2746,1554.1432,1105.6554
26,0.25,02:45:25:09,-200.095,1554.1356,1105.6558
27,0.26,02:45:25:09,-199.9094,1554.1222,1105.6744
28,0.27,02:45:25:10,-199.7222,1554.1388,1105.7088
29,0.28,02:45:25:10,-199.572,1554.1302,1105.6952
30,0.29,02:45:25:10,-199.4362,1554.1332,1105.6916
31,0.3,02:45:25:10,-199.3202,1554.1248,1105.6652
32,0.31,02:45:25:11,-199.1986,1554.128,1105.6448
33,0.32,02:45:25:11,-199.0934,1554.1358,1105.6228
34,0.33,02:45:25:11,-199.0116,1554.1488,1105.5768
35,0.34,02:45:25:11,-198.9346,1554.1554,1105.5318
