Frame,Time,SMPTE,bar_left_wrist_x,bar_left_wrist_y,bar_left_wrist_z
1,0.0,02:45:25:03,-393.895,835.32,1029.5739999999998
2,0.01,02:45:25:03,-394.163,835.3745,1029.694
3,0.02,02:45:25:03,-394.37300000000005,835.477,1029.6555
4,0.03,02:45:25:04,-395.06300000000005,835.91,1028.7975
5,0.04,02:45:25:04,-395.32800000000003,836.0675,1028.7175
6,0.05,02:45:25:04,-395.551,836.2130000000001,1028.617
7,0.06,02:45:25:04,-395.5875,836.24,1028.6855
8,0.07,02:45:25:05,-395.93199999999996,836.4655,1028.4460000000001
9,0.08,02:45:25:05,-396.13800000000003,836.547,1028.5395
10,0.09,02:45:25:05,-396.2725,836.6725,1028.448
11,0.1,02:45:25:05,-396.4045,836.7945,1028.3415
12,0.11,02:45:25:06,-396.4895,836.8919999999999,1028.257
13,0.12,02:45:25:06,-396.399,836.887,1028.327
14,0.13,02:45:25:06,-396.608,837.071,1028.101
15,0.14,02:45:25:06,-396.6285,837.154,1028.0275
16,0.15,02:45:25:07,-396.625,837.2280000000001,1027.9795
17,0.16,02:45:25:07,-396.4315,837.212,1028.059
18,0.17,02:45:25:07,-396.523,837.3330000000001,1027.9005
19,0.18,02:45:25:07,-396.4455,837.373,1027.8495
20,0.19,02:45:25:08,-396.3385,837.3975,1027.8785
21,0.2,02:45:25:08,-396.01599999999996,837.372,1027.819
22,0.21,02:45:25:08,-396.056,837.4825,1027.6915
23,0.22,02:45:25:08,-395.902,837.465,1027.6955
24,0.23,02:45:25:09,-395.7335,837.4335,1027.7095
25,0.24,02:45:25:09,-395.555,837.3765,1027.7505
26,0.25,02:45:25:09,-395.3575,837.352,1027.8
27,0.26,02:45:25:09,-395.1665,837.315,1027.8665
28,0.27,02:45:25:10,-394.9745,837.2805,1027.9260000000002
29,0.28,02:45:25:10,-394.76099999999997,837.222,1028.0395
30,0.29,02:45:25:10,-394.564,837.1805,1028.135
31,0.3,02:45:25:10,-394.3525,837.1615,1028.229
32,0.31,02:45:25:11,-394.176,837.1460000000001,1028.2939999999999
33,0.32,02:45:25:11,-394.0085,837.1419999999999,1028.37
34,0.33,02:45:25:11,-393.8575,837.1375,1028.4455
35,0.34,02:45:25:11,-393.7245,837.14,1028.517
36,0.35,02:45:25:12,-393.431,837.0695,1028.7445
37,0.36,02:45:25:12,-393.4775,837.1489999999999,1028.6925
38,0.37,02:45:25:12,-393.3935,837.145,1028.7415
39,0.38,02:45:25:12,-393.29900000000004,837.14,1028.8055
40,0.39,02:45:25:13,-393.2455,837.1410000000001,1028.858
41,0.4,02:45:25:13,-393.043,837.058,1029.0145
42,0.41,02:45:25:13,-393.171,837.127,1028.9325
43,0.42,02:45:25:13,-393.1645,837.1345,1028.9575
44,0.43,02:45:25:14,-393.165,837.1345,1028.9965
45,0.44,02:45:25:14,-393.186,837.1305,1029.014
46,0.45,02:45:25:14,-393.2055,837.1475,1029.0425
47,0.46,02:45:25:14,-393.24800000000005,837.1569999999999,1029.072
48,0.47,02:45:25:15,-393.1395,837.0795,1029.215
49,0.48,02:45:25:15,-393.3515,837.209,1029.0910000000001
50,0.49,02:45:25:15,-393.4165,837.2205,1029.105
51,0.5,02:45:25:15,-393.486,837.2575,1029.12
52,0.51,02:45:25:16,-393.411,837.2610000000001,1029.2465
53,0.52,02:45:25:16,-393.6115,837.283,1029.161
54,0.53,02:45:25:16,-393.6815,837.311,1029.1955
55,0.54,02:45:25:16,-393.75699999999995,837.324,1029.2305
56,0.55,02:45:25:17,-393.81699999999995,837.346,1029.2635
57,0.56,02:45:25:17,-393.774,837.2735,1029.2695
58,0.57,02:45:25:17,-393.9175,837.3530000000001,1029.384
59,0.58,02:45:25:17,-393.796,837.2539999999999,1029.5905
60,0.59,02:45:25:18,-393.8805,837.2739999999999,1029.63
61,0.6,02:45:25:18,-394.0385,837.3655,1029.5805
62,0.61,02:45:25:18,-393.9,837.2575,1029.8075
63,0.62,02:45:25:18,-393.9055,837.2265,1029.9195
64,0.63,02:45:25:19,-393.9525,837.331,1029.9855
65,0.64,02:45:25:19,-393.9195,837.2819999999999,1030.106
66,0.65,02:45:25:19,-394.1055,837.4405,1030.0625
67,0.66,02:45:25:19,-394.108,837.4705,1030.1585
68,0.67,02:45:25:20,-394.0895,837.4895,1030.286
69,0.68,02:45:25:20,-393.9165,837.432,1030.5205
70,0.69,02:45:25:20,-393.9185,837.4630000000001,1030.6245
71,0.7,02:45:25:20,-394.0395,837.5045,1030.622
72,0.71,02:45:25:21,-394.01,837.4895,1030.7525
73,0.72,02:45:25:21,-393.975,837.4695,1030.8835
74,0.73,02:45:25:21,-393.9605,837.4725,1030.9955
75,0.74,02:45:25:21,-393.93,837.4665,1031.1175
76,0.75,02:45:25:22,-393.897,837.475,1031.2169999999999
77,0.76,02:45:25:22,-393.8935,837.4860000000001,1031.3255
78,0.77,02:45:25:22,-393.7825,837.451,1031.4105
79,0.78,02:45:25:22,-393.7695,837.4835,1031.5185
80,0.79,02:45:25:23,-393.5805,837.413,1031.85
81,0.8,02:45:25:23,-393.769,837.5939999999999,1031.725
82,0.81,02:45:25:23,-393.759,837.6305,1031.817
83,0.82,02:45:25:23,-393.765,837.709,1031.911
84,0.83,02:45:25:24,-393.7775,837.7715,1032.002
85,0.84,02:45:25:24,-393.786,837.822,1032.103
86,0.85,02:45:25:24,-393.7265,837.8685,1032.407
87,0.86,02:45:25:24,-393.9255,838.0265,1032.359
