Frame,Time,SMPTE,bar_right_ankle_x,bar_right_ankle_y,bar_right_ankle_z
1,0.0,02:45:25:03,-115.725,116.428,1111.44
2,0.01,02:45:25:03,-115.715,116.45100000000001,1111.454
3,0.02,02:45:25:03,-115.743,116.45,1111.4569999999999
4,0.03,02:45:25:04,-115.525,116.414,1111.682
5,0.04,02:45:25:04,-115.709,116.572,1111.71
6,0.05,02:45:25:04,-115.712,116.602,1111.733
7,0.06,02:45:25:04,-115.723,116.605,1111.75
8,0.07,02:45:25:05,-115.726,116.62,1111.732
9,0.08,02:45:25:05,-115.73100000000001,116.615,1111.731
10,0.09,02:45:25:05,-115.735,116.63600000000001,1111.735
11,0.1,02:45:25:05,-115.726,116.637,1111.754
12,0.11,02:45:25:06,-115.711,116.619,1111.748
13,0.12,02:45:25:06,-115.71700000000001,116.62700000000001,1111.745
14,0.13,02:45:25:06,-115.68700000000001,116.60799999999999,1111.742
15,0.14,02:45:25:06,-115.68700000000001,116.615,1111.745
16,0.15,02:45:25:07,-115.677,116.609,1111.739
17,0.16,02:45:25:07,-115.67200000000001,116.61399999999999,1111.729
18,0.17,02:45:25:07,-115.67299999999999,116.617,1111.731
19,0.18,02:45:25:07,-115.652,116.589,1111.762
20,0.19,02:45:25:08,-115.65,116.603,1111.759
21,0.2,02:45:25:08,-115.67299999999999,116.633,1111.731
22,0.21,02:45:25:08,-115.667,116.61200000000001,1111.743
23,0.22,02:45:25:08,-115.65100000000001,116.605,1111.767
24,0.23,02:45:25:09,-115.65299999999999,116.585,1111.786
25,0.24,02:45:25:09,-115.64200000000001,116.64,1111.77
26,0.25,02:45:25:09,-115.62899999999999,116.57600000000001,1111.797
27,0.26,02:45:25:09,-115.65,116.634,1111.763
28,0.27,02:45:25:10,-115.64399999999999,116.63,1111.769
29,0.28,02:45:25:10,-115.61200000000001,116.59899999999999,1111.7830000000001
30,0.29,02:45:25:10,-115.615,116.585,1111.78
31,0.3,02:45:25:10,-115.611,116.6,1111.775
32,0.31,02:45:25:11,-115.59200000000001,116.59200000000001,1111.799
33,0.32,02:45:25:11,-115.601,116.586,1111.7839999999999
34,0.33,02:45:25:11,-115.59200000000001,116.595,1111.786
35,0.34,02:45:25:11,-115.60600000000001,116.598,1111.774
36,0.35,02:45:25:12,-115.609,116.594,1111.777
37,0.36,02:45:25:12,-115.575,116.586,1111.786
38,0.37,02:45:25:12,-115.56200000000001,116.59,1111.7839999999999
39,0.38,02:45:25:12,-115.56200000000001,116.59100000000001,1111.8010000000002
40,0.39,02:45:25:13,-115.581,116.588,1111.7939999999999
