Frame,Time,SMPTE,bar_right_elbow_x,bar_right_elbow_y,bar_right_elbow_z
1,0.0,02:45:25:03,-10.4885,1008.125,1147.496
2,0.01,02:45:25:03,-10.4985,1008.0775,1147.3565
3,0.02,02:45:25:03,-10.498,1008.0419999999999,1147.243
4,0.03,02:45:25:04,-10.6695,1008.078,1147.8555
5,0.04,02:45:25:04,-10.534,1008.0745,1147.7185
6,0.05,02:45:25:04,-10.559000000000001,1008.0219999999999,1147.5695
7,0.06,02:45:25:04,-10.6445,1007.955,1147.4245
8,0.07,02:45:25:05,-10.669,1007.932,1147.302
9,0.08,02:45:25:05,-10.6865,1007.929,1147.2105
10,0.09,02:45:25:05,-10.6845,1007.9065,1147.137
11,0.1,02:45:25:05,-10.6925,1007.8939999999999,1147.089
12,0.11,02:45:25:06,-10.706,1007.8785,1147.0215
13,0.12,02:45:25:06,-10.7045,1007.8785,1146.958
14,0.13,02:45:25:06,-10.6885,1007.9069999999999,1146.9215
15,0.14,02:45:25:06,-10.6635,1007.9125,1146.8925
16,0.15,02:45:25:07,-10.6505,1007.9135,1146.8275
17,0.16,02:45:25:07,-10.6395,1007.9505,1146.8205
18,0.17,02:45:25:07,-10.612,1007.9739999999999,1146.7765
19,0.18,02:45:25:07,-10.602,1007.9855,1146.7775
20,0.19,02:45:25:08,-10.582,1008.0385,1146.76
21,0.2,02:45:25:08,-10.579,1008.064,1146.704
22,0.21,02:45:25:08,-10.567,1008.1005,1146.6765
23,0.22,02:45:25:08,-10.562999999999999,1008.123,1146.6785
24,0.23,02:45:25:09,-10.582,1008.1610000000001,1146.6480000000001
25,0.24,02:45:25:09,-10.5905,1008.1625,1146.62
26,0.25,02:45:25:09,-10.591,1008.193,1146.5915
27,0.26,02:45:25:09,-10.593,1008.2415,1146.583
28,0.27,02:45:25:10,-10.588,1008.2485,1146.596
29,0.28,02:45:25:10,-10.575,1008.2575,1146.579
30,0.29,02:45:25:10,-10.5705,1008.2465,1146.619
31,0.3,02:45:25:10,-10.5485,1008.2669999999999,1146.683
32,0.31,02:45:25:11,-10.544,1008.284,1146.729
33,0.32,02:45:25:11,-10.512,1008.319,1146.7905
34,0.33,02:45:25:11,-10.497,1008.3475,1146.87
35,0.34,02:45:25:11,-10.47,1008.3865,1146.9975
36,0.35,02:45:25:12,-10.440999999999999,1008.424,1147.1185
37,0.36,02:45:25:12,-10.3255,1008.533,1147.317
38,0.37,02:45:25:12,-10.337,1008.561,1147.435
39,0.38,02:45:25:12,-10.2775,1008.6560000000001,1147.5910000000001
40,0.39,02:45:25:13,-10.205,1008.7005,1147.7915
41,0.4,02:45:25:13,-10.1605,1008.7555,1147.9385
42,0.41,02:45:25:13,-10.1375,1008.793,1148.11
43,0.42,02:45:25:13,-10.0535,1008.7995,1148.277
44,0.43,02:45:25:14,-10.107000000000001,1008.7645,1148.3905
45,0.44,02:45:25:14,-10.0805,1008.804,1148.51
46,0.45,02:45:25:14,-10.0775,1008.836,1148.673
47,0.46,02:45:25:14,-10.0895,1008.865,1148.8115
48,0.47,02:45:25:15,-10.104,1008.8845,1148.943
49,0.48,02:45:25:15,-10.0855,1008.9939999999999,1149.0905
50,0.49,02:45:25:15,-10.095,1009.0260000000001,1149.2169999999999
51,0.5,02:45:25:15,-10.1215,1009.071,1149.3365
52,0.51,02:45:25:16,-10.154,1009.1065,1149.437
53,0.52,02:45:25:16,-10.1985,1009.148,1149.56
54,0.53,02:45:25:16,-10.2365,1009.196,1149.6735
55,0.54,02:45:25:16,-10.277000000000001,1009.2375,1149.7930000000001
56,0.55,02:45:25:17,-10.312000000000001,1009.2885,1149.907
57,0.56,02:45:25:17,-10.3395,1009.3505,1150.036
58,0.57,02:45:25:17,-10.3575,1009.3885,1150.165
59,0.58,02:45:25:17,-10.3855,1009.4425,1150.29
60,0.59,02:45:25:18,-10.3665,1009.466,1150.433
61,0.6,02:45:25:18,-10.3645,1009.5345,1150.5555
62,0.61,02:45:25:18,-10.3615,1009.561,1150.7145
63,0.62,02:45:25:18,-10.38,1009.6195,1150.7875
64,0.63,02:45:25:19,-10.3855,1009.645,1150.914
65,0.64,02:45:25:19,-10.3895,1009.679,1151.0375
66,0.65,02:45:25:19,-10.411,1009.7460000000001,1151.1175
67,0.66,02:45:25:19,-10.4175,1009.81,1151.1975
68,0.67,02:45:25:20,-10.422,1009.8589999999999,1151.3085
69,0.68,02:45:25:20,-10.43,1009.9295,1151.379
70,0.69,02:45:25:20,-10.4335,1010.002,1151.4589999999998
71,0.7,02:45:25:20,-10.392999999999999,1010.0615,1151.5405
72,0.71,02:45:25:21,-10.4135,1010.0805,1151.5725
73,0.72,02:45:25:21,-10.3955,1010.102,1151.646
74,0.73,02:45:25:21,-10.3225,1010.117,1151.7535
75,0.74,02:45:25:21,-10.308,1010.1389999999999,1151.835
76,0.75,02:45:25:22,-10.331,1010.1395,1151.875
77,0.76,02:45:25:22,-10.325,1010.1139999999999,1151.9205
78,0.77,02:45:25:22,-10.2615,1010.1439999999999,1152.0405
79,0.78,02:45:25:22,-10.2985,1010.1395,1152.0639999999999
80,0.79,02:45:25:23,-10.2745,1010.1455,1152.145
81,0.8,02:45:25:23,-10.265,1010.1335,1152.2160000000001
82,0.81,02:45:25:23,-10.283,1010.1510000000001,1152.302
83,0.82,02:45:25:23,-10.279000000000002,1010.125,1152.377
84,0.83,02:45:25:24,-10.3045,1010.1030000000001,1152.4835
85,0.84,02:45:25:24,-10.27,1010.0855,1152.6085
86,0.85,02:45:25:24,-10.279000000000002,1010.084,1152.7235
87,0.86,02:45:25:24,-10.352,1009.9115,1152.7875
88,0.87,02:45:26:00,-10.380999999999998,1009.812,1152.886
89,0.88,02:45:26:00,-10.405,1009.721,1152.9805
90,0.89,02:45:26:00,-10.423,1009.5845,1153.0910000000001
91,0.9,02:45:26:00,-10.423,1009.4275,1153.2015
92,0.91,02:45:26:01,-10.4455,1009.2145,1153.3125
